Telugu,Gujarati
అసాధారణ,અસામાન્ય
అబార్ట్,ગર્ભપાત
అబ్రేషన్,ઘર્ષણ
ఆకస్మిక,અચાનક
సంపూర్ణ క్షేత్ర బలం,સંપૂર્ણ ક્ષેત્ર શક્તિ
సంపూర్ణ ఉష్ణోగ్రత,સંપૂર્ણ તાપમાન
సంపూర్ణ విలువ,અબાધિત મૂલ્ય
గ్రహించండి,શોષવું
శోషణ సహ-సమర్థత,સહ-કાર્યક્ષમ
శోషణ నష్టం,શોષણ
నైరూప్య,નિષ્ક્રિય
యాక్సిలెరోమీటర్,પ્રવેગમાપક
అంగీకార పరీక్ష,સ્વીકૃતિ કસોટી
యాక్సెస్,પ્રવેશ
యాక్సెస్ నియంత్రణ,વપરાશ નિયંત્રણ
యాక్సెస్ పాయింట్,પ્રવેશ -બિંદુ
ప్రాప్యత సమయం,પ્રવેશ સમય
సౌలభ్యాన్ని,ઉપલ્બધતા
సంచిత కణం,સંકુચિત સેલી
ఖచ్చితత్వం,ચોકસાઈ
ఖచ్చితమైనది,ચોક્કસ
అచ్రోమాటిక్ లెన్స్,ઘેટાંના લેન્સ
ఆమ్లము,તેજાબ
యాసిడ్ ప్రూఫ్,એસિડ પ્રૂફ
ఆమ్లత్వం,અમલ્ય
రసీదు బిట్,સ્વીકૃતિ
శబ్ద,ધ્વનિશાસ્ત્ર
ఎకౌస్టిక్ కమ్యూనికేషన్,ધ્વનિશાસ્ત્ર
శబ్ద వ్యాప్తి,ધ્વનિ -પ્રસરણ
ఎకౌస్టిక్ ఈక్వలైజర్,ધ્વનિ -બરાબરી
శబ్ద అభిప్రాయం,ધ્વનિ -પ્રતિસાદ
శబ్ద వడపోత,ધ્વનિ ફિલ્ટર
శబ్ద ఇంపెడెన్స్,ધ્વનિ અવરોધ
ఎకౌస్టిక్ మాస్కింగ్,ધ્વનિ -માસ્કીંગ
శబ్ద శక్తి,ધ્વનિની શક્તિ
శబ్ద ఆస్తి,ધ્વનિપક્ષીય મિલકત
శబ్ద ప్రతిచర్య,ધ્વનિની પ્રતિક્રિયા
ఎకౌస్టిక్ రిఫ్లెక్స్,ધ્વનિ -પ્રતિબિંબ
శబ్ద టైల్,ધ્વનિ ટાઇલ
శబ్ద వేవ్,ધ્વનિ તરંગ
శబ్ద శోషణ,શ્રવ -શોષણ
శబ్ద అటెన్యుయేషన్ స్థిరాంకం,શ્રવણશક્તિ એટેન્યુએશન
శబ్ద డంపింగ్,શ્રવણની ભીનાશ
శబ్ద ఆలస్యం రేఖ,ધ્વનિ વિલંબ રેખા
శబ్ద వక్రీకరణ,ધ્વનિની વિકૃતિ
శబ్ద వాహిక,શ્રવણ નલિક
శబ్ద శక్తి,શ્રવણશક્તિ
శబ్ద అభిప్రాయం,શ્રવણશક્તિ
శబ్ద వడపోత,શ્રદ્ધ ફિલ્ટર
శబ్ద ఇంపెడెన్స్,શ્રવણનો અવરોધ
శబ్ద ప్రచారం స్థిరాంకం,ધ્વનિ -પ્રચાર
శబ్ద నిరోధకత,શ્રવણ પ્રતિકાર
శబ్దపరంగా ఇన్సులేట్ చేయబడింది,ધ્વનિભ્રમણાથી ઇન્સ્યુલેટેડ
ధ్వని,ધ્વનિશાસ્ત્ર
సముపార్జన,સંપાદન
ఎక్రోనిం,ટૂંકાક્ષર
