Marathi,Tamil
अबेलियन गट,அபெலியன் குழு
अबेलियन अर्धसमूह,அபிலியன் அரைகுழு
abscissa,abscissa
निरपेक्ष,அறுதி
परिपूर्ण अभिसरण,முழுமையான ஒருங்கிணைப்பு
पूर्ण त्रुटी,முழுமையான பிழை
परिपूर्ण कमाल,முழுமையான அதிகபட்சம்
परिपूर्ण किमान,முழுமையான குறைந்தபட்சம்
परिपूर्ण मूल्य,துல்லியமான மதிப்பு
परिपूर्ण वेग,முழுமையான வேகம்
अमूर्त बीजगणित,சுருக்க இயற்கணிதம்
अमूर्त गट सिद्धांत,சுருக்க குழு கோட்பாடு
प्रवेग,முடுக்கம்
गुरुत्वाकर्षणामुळे प्रवेग,புவியீர்ப்பு காரணமாக முடுக்கம்
स्वीकार्य निवड संच,ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு
स्वीकार्य गुणवत्ता पातळी,ஏற்றுக்கொள்ளக்கூடிய தர நிலை
स्वीकार्य श्रेणी,ஏற்றுக்கொள்ளக்கூடிய வரம்பு
स्वीकार्य विश्वसनीयता पातळी,ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை
स्वीकार्य नमुना,ஏற்றுக்கொள்ளக்கூடிய மாதிரி
संचित त्रुटी,திரட்டப்பட்ட பிழை
अचूकता,துல்லியம்
अभिनय शक्ती,செயல்படும் சக்தி
क्रिया,நடவடிக்கை
क्रिया आणि प्रतिक्रिया,செயல் மற்றும் எதிர்வினை
वास्तविक विज्ञान,உண்மையான அறிவியல்
तीव्र कोन त्रिकोण,கடுமையான கோண முக்கோணம்
अॅसायक्लिक,அசைக்ளிக்
जोडा,கூட்டு
जोडणारा,சேர்ப்பான்
या व्यतिरिक्त,கூடுதலாக
जोड सूत्र,கூட்டல் சூத்திரம்
जटिल संख्यांची बेरीज,சிக்கலான எண்களைச் சேர்த்தல்
कार्ये जोडणे,செயல்பாடுகளைச் சேர்த்தல்
मॅट्रिक्स जोडणे,மெட்ரிக்குகள் சேர்த்தல்
बहुपदी जोडणे,பல்லுறுப்புக்கோவைகள் சேர்த்தல்
संभाव्यता जोडणे,நிகழ்தகவுகளைச் சேர்த்தல்
वेक्टर जोडणे,திசையன்கள் சேர்த்தல்
अतिरिक्त प्रमेय,கூட்டல் தேற்றம்
मिश्रित गट,சேர்க்கை குழு
additive inverse,தலைகீழ் சேர்க்கை
अतिरिक्त गुणधर्म,சேர்க்கை சொத்து
जोड,சேர்க்கை
संलग्नता मॅट्रिक्स,அருகாமை அணி
समीप,அருகில்
समीप कोन,அருகில் உள்ள கோணங்கள்
समीप शिरोबिंदू,அருகில் உள்ள உச்சி
संलग्न,இணை
शेजारील,அருகில்
संलग्न निर्धारक,இணைந்த தீர்மானிப்பான்
संलग्न विभेदक समीकरण,இணை வேறுபாடு சமன்பாடு
संलग्न समीकरण,இணைந்த சமன்பாடு
संलग्न मॅट्रिक्स,இணை அணி
मॅट्रिक्सचा संलग्न,மேட்ரிக்ஸின் இணைப்பு
मॅट्रिक्स समायोजित करा,adjugate matrix
स्वीकार्य निर्णय कार्य,ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு
स्वीकार्य गृहीतक,ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்
वायुगतिकीय शक्ती,காற்றியக்க விசை
वायुगतिकी,காற்றியக்கவியல்
affine भूमिती,இணைப்பு வடிவியல்
affine मॅपिंग,இணைப்பு மேப்பிங்
affine परिवर्तन,இணைப்பு மாற்றம்
एकत्रित व्हेरिएबल्स,ஒருங்கிணைக்கும் மாறிகள்
बीजगणित,இயற்கணிதம்
बीजगणितानुसार बंद,இயற்கணிதப்படி மூடப்பட்டது
बीजगणितीय समीकरण,இயற்கணித சமன்பாடு
बीजगणितीय अभिव्यक्ती,இயற்கணித வெளிப்பாடு
बीजगणितीय फॉर्म,இயற்கணித வடிவம்
बीजगणितीय कार्य,இயற்கணித செயல்பாடு
बीजगणितीय भूमिती,இயற்கணித வடிவியல்
बीजगणितीय गुणाकार,இயற்கணிதப் பெருக்கம்
बीजगणित प्रणाली,இயற்கணித அமைப்பு
सर्व-पूर्णांक समस्या,அனைத்து முழு எண் பிரச்சனை
वाटप समस्या,ஒதுக்கீடு பிரச்சனை
वर्णक्रमानुसार नोटेशन,அகரவரிசைக் குறியீடு
वर्णमाला वर्ण,அகரவரிசை எழுத்து
पर्यायी कोन,மாற்று கோணம்
पर्यायी फॉर्म,மாற்று வடிவம்
पर्यायी गट,மாற்று குழு
पर्यायी मॅट्रिक्स,மாற்று அணி
पर्यायी मालिका,மாற்று தொடர்
पर्यायी गृहीतक,மாற்று கருதுகோள்
पर्यायी ऑप्टिमा,மாற்று ஆப்டிமா
पर्यायी परिणाम,மாற்று விளைவு
अॅनालॉग-टू-डिजिटल कनवर्टर,அனலாக்-டு-டிஜிட்டல் மாற்றி
अॅनालॉग संगणक,அனலாக் கணினி
विश्लेषण,பகுப்பாய்வு
सहप्रसरणाचे विश्लेषण,இணையான பகுப்பாய்வு
गणना डेटाचे विश्लेषण,கணக்கியல் தரவு பகுப்பாய்வு
भिन्नतेचे विश्लेषण,மாறுபாட்டின் பகுப்பாய்வு
विश्लेषणात्मक भूमिती,பகுப்பாய்வு வடிவியல்
विश्लेषणात्मक कार्य,பகுப்பாய்வு செயல்பாடு
कोन,கோணம்
संपर्क कोन,தொடர்பு கோணம்
विक्षेपण कोन,விலகல் கோணம்
उदासीनता कोन,மனச்சோர்வின் கோணம்
विचलन कोन,விலகல் கோணம்
विवर्तन कोन,விலகல் கோணம்
उंचीचा कोन,உயரத்தின் கோணம்
घटनेचा कोन,நிகழ்வு கோணம்
प्रक्षेपण कोन,திட்ட கோணம்
परावर्तन कोन,பிரதிபலிப்பு கோணம்
अपवर्तन कोन,ஒளிவிலகல் கோணம்
रोटेशनचा कोन,சுழற்சி கோணம்
एकूण परावर्तनाचा कोन,மொத்த பிரதிபலிப்பு கோணம்
कोनीय प्रवेग,கோண முடுக்கம்
कोणीय गती,கோண இயக்கம்
कोनीय गती,கோண வேகம்
कोनीय गती,கோண வேகம்
वलय,வளையம்
उत्तर,பதில்
विरोधी व्युत्पन्न,எதிர்ப்பு வழித்தோன்றல்
विषमताविरोधी कार्य,சமச்சீரற்ற செயல்பாடு
लागू,பொருந்தும்
अर्ज,விண்ணப்பம்
लागू डायनॅमिक प्रोग्रामिंग,பயன்பாட்டு டைனமிக் நிரலாக்கம்
लागू भूमिती,பயன்படுத்தப்படும் வடிவியல்
लागू गणित,பயன்பாட்டு கணிதம்
लागू आकडेवारी,பயன்பாட்டு புள்ளிவிவரங்கள்
अंदाजे,தோராயமாக
अंदाजे सतत कार्य,தோராயமாக தொடர்ச்சியான செயல்பாடு
अंदाजे पद्धत,தோராயமான முறை
अंदाजे उपाय,தோராயமான தீர்வு
अंदाजे समस्या,தோராயமான பிரச்சனை
अंदाजे मालमत्ता,தோராயமான சொத்து
योग्यता चाचणी बॅटरी,திறன் சோதனை பேட்டரி
आर्गंड आकृती,அர்காண்ட் வரைபடம்
अनियंत्रितपणे निवडले,தன்னிச்சையாக தேர்வு
अनियंत्रित,தன்னிச்சையான
अनियंत्रित स्थिरांक,தன்னிச்சையான மாறிலி
अनियंत्रित घटक,தன்னிச்சையான உறுப்பு
अनियंत्रित बिंदू,தன்னிச்சையான புள்ளி
आर्किमेडियन कायदा,ஆர்க்கிமிடியன் சட்டம்
आर्किमिडीज तत्त्व,ஆர்க்கிமிடிஸ் கொள்கை
चाप लांबी,வில்லின் நீளம்
वर्तुळाचा चाप,வட்ட வில்
आर्क साइन वितरण,ஆர்க் சைன் விநியோகம்
चाप साइन परिवर्तन,ஆர்க் சைன் மாற்றம்
क्षेत्र,பகுதி
क्षेत्रीय पोत,பகுதி அமைப்பு
जटिल संख्येचा युक्तिवाद,கலப்பு எண்ணின் வாதம்
अंकगणित सरासरी,எண்கணித சராசரி
अंकगणित ऑपरेशन,எண்கணித செயல்பாடு
अंकगणित एकक,எண்கணித அலகு
व्यवस्था,ஏற்பாடு
रचना,வரிசை
कृत्रिम उपग्रह,செயற்கை செயற்கைக்கோள்
कृत्रिम व्हेरिएबल,செயற்கை மாறி
चढणे,ஏறும்
चढत्या,ஏறும்
परिमाणाचा चढता क्रम,அளவின் ஏறுவரிசை
चढत्या मालिका,ஏறுவரிசை தொடர்
असेंबलर भाषा,அசெம்பிளர் மொழி
असाइनमेंट समस्या,பணி நியமன பிரச்சனை
सहयोगी कायदा,துணை சட்டம்
ऑपरेटर्सचा सहयोगी कायदा,ஆபரேட்டர்களின் துணை சட்டம்
सहयोगी ऑपरेशन,துணை செயல்பாடு
सहवास,கூட்டுறவு
सरासरी गृहीत धरले,சராசரியாக கருதப்படுகிறது
गृहीत संभाव्यता वितरण,நிகழ்தகவு விநியோகம் என்று கருதப்படுகிறது
गृहीतक,அனுமானம்
ज्योतिष,ஜோதிடம்
अंतराळवीर अभियंता,விண்வெளி பொறியாளர்
खगोलशास्त्रज्ञ,வானியலாளர்
खगोलशास्त्रीय घड्याळ,வானியல் கடிகாரம்
खगोलशास्त्र,வானியல்
असममित वक्र,சமச்சீரற்ற வளைவு
विषमता,சமச்சீரற்ற தன்மை
लक्षणे,அறிகுறியற்றது
लक्षणे नसलेला,அறிகுறியற்ற
असिम्प्टोटिकली कार्यक्षम अंदाजकर्ता,அறிகுறியற்ற திறமையான மதிப்பீட்டாளர்
asymptotically निष्पक्ष अंदाजकर्ता,அறிகுறியற்ற பாரபட்சமற்ற மதிப்பீட்டாளர்
लक्षणे नसलेले वर्तन,அறிகுறியற்ற நடத்தை
एसिम्प्टोटिक वितरण कार्य,அறிகுறியற்ற விநியோக செயல்பாடு
एसिम्प्टोटिक विस्तार,அறிகுறியற்ற விரிவாக்கம்
वातावरणाचा दाब,வளிமண்டல அழுத்தம்
यादृच्छिकपणे,சீரற்ற முறையில்
विशेषता,பண்பு
गुणधर्म नमुना प्रक्रिया,மாதிரி செயல்முறை பண்புகளை
संवर्धित मॅट्रिक्स,பெரிதாக்கப்பட்ட அணி
स्वयंसंबंध गुणांक,தன்னியக்க தொடர்பு குணகம்
स्वयंसंबंध कार्य,தன்னியக்க தொடர்பு செயல்பாடு
autocovariance,தன்னியக்க மாறுபாடு
स्वयंचलित संगणक,தானியங்கி கணினி
ऑटोरिग्रेशन,தன்னியக்க பின்னடைவு
सहाय्यक समीकरण,துணை சமன்பாடு
सरासरी नमुना क्रमांक वक्र (ASN वक्र),சராசரி மாதிரி எண் வளைவு (ASN வளைவு)
स्वयंसिद्ध,கோட்பாடு
स्वयंसिद्ध दृष्टीकोन,அச்சு அணுகுமுறை
संभाव्यतेचे स्वयंसिद्ध,நிகழ்தகவு கோட்பாடு
अक्ष,அச்சு
abscissa चा अक्ष,abscissa அச்சு
पृथ्वीचा अक्ष,பூமியின் அச்சு
क्रांतीची अक्ष,புரட்சியின் அச்சு
रोटेशनचा अक्ष,சுழற்சியின் அச்சு
फिरकीचा अक्ष,சுழற்சியின் அச்சு
परत प्रतिस्थापन,பின்-மாற்று
मागास फरक,பின்தங்கிய வேறுபாடு
बॅकवर्ड-इंटरपोलेशन सूत्र,பின்தங்கிய இடைக்கணிப்பு சூத்திரம்
शिल्लक,சமநிலை
संतुलित डिझाइन,சீரான வடிவமைப்பு
ताळेबंद,இருப்புநிலை
बॅलिस्टिक क्षेपणास्त्र,பாலிஸ்டிக் ஏவுகணை
बॅलिस्टिक्स,பாலிஸ்டிக்ஸ்
बार,மதுக்கூடம்
पाया,அடித்தளம்
बेस कोन,அடிப்படை கோணம்
लॉगरिदमचा आधार,மடக்கையின் அடிப்படை
मूलभूत,அடிப்படை
मूलभूत व्यवहार्य उपाय,அடிப்படை சாத்தியமான தீர்வு
मूलभूत उपाय,அடிப்படை தீர்வு
मूलभूत चल,அடிப்படை மாறி
आधार,அடிப்படையில்
आधार घटक,அடிப்படை உறுப்பு
आधार मॅट्रिक्स,அடிப்படை அணி
