English,Marathi
Abort,गर्भपात
Abort timer,गर्भपात टाइमर
Absolute address,परिपूर्ण पत्ता
Absolute addressing,परिपूर्ण पत्ता
Absolute assembler,परिपूर्ण असेंबलर
Absolute code,परिपूर्ण कोड
Absolute coding,परिपूर्ण कोडिंग
Absolute command,परिपूर्ण आज्ञा
Absolute coordinate,परिपूर्ण समन्वय
Absolute data,परिपूर्ण डेटा
Absolute error,परिपूर्ण त्रुटी
Absolute expression,परिपूर्ण अभिव्यक्ती
Absolute instruction,परिपूर्ण सूचना
Absolute loader,परिपूर्ण लोडर
Absolute order,परिपूर्ण ऑर्डर
Absolute programming,परिपूर्ण प्रोग्रामिंग
Absolute term,परिपूर्ण संज्ञा
Absolute value,परिपूर्ण मूल्य
Absolute vector,परिपूर्ण वेक्टर
Abstract,गोषवारा
Abstracting,अमूर्त
Abstract symbol,अमूर्त प्रतीक
Acceleration period,प्रवेग कालावधी
Acceleration time,प्रवेग वेळ
Accent,उच्चारण
Acceptance test,स्वीकृती चाचणी
Access,प्रवेश
Access arm,प्रवेश आर्म
Access arrangement,प्रवेश व्यवस्था
Access authority,प्रवेश प्राधिकरण
Access charge,प्रवेश शुल्क
Access class,प्रवेश वर्ग
Access data base management,प्रवेश डेटा बेस व्यवस्थापन
Access environment,प्रवेश वातावरण
Access gap,प्रवेश अंतर
Access index,प्रवेश निर्देशांक
Access line,Line क्सेस लाइन
Access mechanism,प्रवेश यंत्रणा
Access method,प्रवेश पद्धत
Access method routine,प्रवेश पद्धत दिनचर्या
Access mode,प्रवेश मोड
Access right,प्रवेश बरोबर
Access scan,प्रवेश स्कॅन
Access time,प्रवेश वेळ
Accounting,लेखा
Accounting finance system,लेखा वित्त प्रणाली
Accounting machine,लेखा मशीन
Account number,खाते क्रमांक
Accumulating reproducer,पुनरुत्पादक संचय
Accumulator,संचयक
Accumulator register,संचयक नोंदणी
Accumulator shift instruction,संचयक शिफ्ट सूचना
Accuracy,अचूकता
Accuracy control character,अचूकता नियंत्रण वर्ण
Accuracy control system,अचूकता नियंत्रण प्रणाली
Ace pilot,ऐस पायलट
Acknowledge character,चरित्र कबूल करा
Acoustic coupler,ध्वनिक कपलर
Acoustic coupling,ध्वनिक कपलिंग
Acoustic delay line,ध्वनिक विलंब रेखा
Acoustic memory,ध्वनिक मेमरी
Acoustic modem,ध्वनिक मॉडेम
Acoustic signal,ध्वनिक सिग्नल
Acoustic storage,ध्वनिक संचयन
Acronym,परिवर्णी शब्द
Action,क्रिया
Action cycle,कृती चक्र
Action line,कृती ओळ
Action message,कृती संदेश
Action specification,कृती तपशील
Activation,सक्रियकरण
Active,सक्रिय
Active file,सक्रिय फाईल
Active line,सक्रिय ओळ
Active link,सक्रिय दुवा
Active master file,सक्रिय मास्टर फाइल
Active master item,सक्रिय मास्टर आयटम
Active satellite,सक्रिय उपग्रह
Active station,सक्रिय स्टेशन
Active storage,सक्रिय संचयन
Activity,क्रियाकलाप
Activity level,क्रियाकलाप पातळी
Activity loading,क्रियाकलाप लोडिंग
Activity ratio,क्रियाकलाप प्रमाण
Actual address (=absolute address),वास्तविक पत्ता (= परिपूर्ण पत्ता)
Actual code (=absolute code),वास्तविक कोड (= परिपूर्ण कोड)
Actual data transfer rate,वास्तविक डेटा हस्तांतरण दर
Actual decimal point,वास्तविक दशांश बिंदू
Actual instruction (=effective instruction),वास्तविक सूचना (= प्रभावी सूचना)
Actual key,वास्तविक की
Actual time,वास्तविक वेळ
Actual work time,वास्तविक कामाची वेळ
Actuating signal,अ‍ॅक्ट्युएटिंग सिग्नल
Adaptability,अनुकूलता
Adapter,अ‍ॅडॉप्टर
Adaptive channel allocation,अ‍ॅडॉप्टिव्ह चॅनेल वाटप
Adaptive integration,अनुकूली एकत्रीकरण
Adaptive transversal equalizer,अ‍ॅडॉप्टिव्ह ट्रान्सव्हर्सल इक्वेलायझर
Added entry,जोडलेली प्रविष्टी
Addend,परिशिष्ट
Adder,अ‍ॅडर
Adder subtracter,अ‍ॅडडर सबट्रॅक्टर
Add file,फाईल जोडा
Additional character (= special character),अतिरिक्त वर्ण (= विशेष वर्ण)
Addition recorder,व्यतिरिक्त रेकॉर्डर
Addition table,व्यतिरिक्त सारणी
Additive attribute,अ‍ॅडिटिव्ह विशेषता
Add mode,मोड जोडा
Add operation,ऑपरेशन जोडा
Address,पत्ता
Addressability measure,पत्तेपणाचा उपाय
Addressable horizontal position,पत्ते करण्यायोग्य क्षैतिज स्थिती
Addressable point,पत्ता योग्य बिंदू
Addressable position,पत्ता योग्य स्थिती
Addressable register,पत्ते करण्यायोग्य नोंदणी
Addressable storage,पत्ता योग्य स्टोरेज
Addressable vertical position,पत्ता योग्य अनुलंब स्थिती
Address bus,अ‍ॅड्रेस बस
Address code,पत्ता कोड
Address comparator,पत्ता तुलनात्मक
Address computation,पत्ता गणना
Address constant,पत्ता स्थिर
Address conversion,पत्ता रूपांतरण
Address data,पत्ता डेटा
Addressed memory,संबोधित मेमरी
Address effective,पत्ता प्रभावी
Address field,पत्ता फील्ड
Address format,पत्ता स्वरूप
Address free program,पत्ता विनामूल्य कार्यक्रम
Addressing,पत्ता
"Addressing
 Character","पत्ता
 वर्ण"
Addressing interrupt,व्यत्यय संबोधित करणे
Addressing loop,पळवाट पळवाट
Addressing virtual memory,आभासी मेमरी संबोधित करणे
Address interlacing,पत्ता इंटरलॅकिंग
Addressless instruction format,पत्ता नसलेली सूचना स्वरूप
Address line,पत्ता ओळ
Address mapping,पत्ता मॅपिंग
Address mark,पत्ता चिन्ह
Address modification,पत्ता बदल
Address part,पत्ता भाग
Address pointer,पत्ता पॉईंटर
Address register,पत्ता नोंदणी
Address signal,पत्ता सिग्नल
Address size,पत्ता आकार
Address space,पत्ता जागा
Address space identifier,पत्ता जागा अभिज्ञापक
Address stop,पत्ता थांबा
Address trace,पत्ता ट्रेस
Address track,पत्ता ट्रॅक
Address translation,पत्ता अनुवाद
Address translator,पत्ता अनुवादक
Add-subtract time,अ‍ॅड-सबस्ट्रॅक्ट वेळ
Add time,वेळ जोडा
Adjacency,समीप
Adjacency structure,जवळची रचना
Adjacent channel,समीप चॅनेल
Adjacent domain,समीप डोमेन
Adjacent matrix,समीप मॅट्रिक्स
Adjacent node,समीप नोड
Adjacent subarea,समीप सुबेरिया
Adjoint (system),संक्षिप्त रुप (सिस्टम)
Adjust,समायोजित करा
Adjustable extent,समायोज्य मर्यादा
Adjust text mode,मजकूर मोड समायोजित करा
Administrative data processing,प्रशासकीय डेटा प्रक्रिया
Administrative operation,प्रशासकीय ऑपरेशन
Administrative operator,प्रशासकीय ऑपरेटर
Administrative operator station,प्रशासकीय ऑपरेटर स्टेशन
Administrative support system,प्रशासकीय समर्थन प्रणाली
Advanced communication service,प्रगत संप्रेषण सेवा
Advanced information system,प्रगत माहिती प्रणाली
Advanced optical character reader,प्रगत ऑप्टिकल कॅरेक्टर रीडर
Advanced scientific computer,प्रगत वैज्ञानिक संगणक
Aerial,हवाई
Aggregate,एकूण
Aggregate expression,एकूण अभिव्यक्ती
Aiming circle,लक्ष्य वर्तुळ
Aiming field (= aiming symbol),लक्ष्य फील्ड (= लक्ष्य चिन्ह)
Aiming symbol,लक्ष्य प्रतीक
Airborne computer system,एअरबोर्न संगणक प्रणाली
Algebraic eigenvalue problem,बीजगणित ईगेनव्हल्यू समस्या
"Algebraic
 Integration","बीजगणित
 एकत्रीकरण"
Algebraic language,बीजगणित भाषा
Algebraic manipulation,बीजगणित हाताळणी
Algebraic manipulation language,बीजगणित मॅनिपुलेशन भाषा
Algebraic oriented language,बीजगणित ओरिएंटेड भाषा
Algebraic shift,बीजगणित शिफ्ट
Algebraic sign convention,बीजगणित साइन कन्व्हेन्शन
Algol,अल्गोल
Algol feature,अल्गोल वैशिष्ट्य
Algol Programming,अल्गोल प्रोग्रामिंग
Algorithm,अल्गोरिदम
Algorithm associative language,अल्गोरिदम असोसिएटिव्ह भाषा
Algorithm classification,अल्गोरिदम वर्गीकरण
Algorithm complexity,अल्गोरिदम जटिलता
Algorithm computability,अल्गोरिदम संगणन
Algorithmic analysis,अल्गोरिदम विश्लेषण
Algorithmic approach,अल्गोरिदम दृष्टिकोन
Algorithmic language,अल्गोरिदम भाषा
Algorithmic routine,अल्गोरिदम नित्यक्रम
Algorithmic theory,अल्गोरिदम सिद्धांत
Alias,उर्फ
Aliasing,अलियासिंग
Alias name (= alternative name),उर्फ नाव (= वैकल्पिक नाव)
Alignment,संरेखन
Allocate,वाटप
Allocation structure,वाटप रचना
All-purpose computer,सर्व हेतू संगणक
Alphabetic character,वर्णमाला वर्ण
Alphabetic character set,वर्णमाला वर्ण सेट
Alphabetic character subset,अल्फाबेटिक कॅरेक्टर सबसेट
Alphabetic code,वर्णमाला कोड
Alphabetic shift,वर्णमाला शिफ्ट
Alphabetic string,वर्णमाला स्ट्रिंग
Alphabetic word,वर्णमाला शब्द
Alphabetization,वर्णमाला
Alphageometrics,अल्फेजोमेट्रिक्स
Alphameric,अल्फामेरिक
Alphamosaic,अल्फामोसॅक
Alphanumeric,अल्फान्यूमेरिक
Alphanumerical keyboard device,अल्फान्यूमरिकल कीबोर्ड डिव्हाइस
Alphanumeric character set,अल्फान्यूमेरिक कॅरेक्टर सेट
Alphanumeric code,अल्फान्यूमेरिक कोड
Alphanumeric coded character set,अल्फान्यूमेरिक कोडेड कॅरेक्टर सेट
Alphanumeric data,अल्फान्यूमेरिक डेटा
Alphanumeric display device,अल्फान्यूमेरिक डिस्प्ले डिव्हाइस
Alphanumeric edited character,अल्फान्यूमेरिक संपादित वर्ण
Alphanumeric field,अल्फान्यूमेरिक फील्ड
Alphanumeric instruction,अल्फान्यूमेरिक सूचना
Alphanumeric keyboard,अल्फान्यूमेरिक कीबोर्ड
Alphanumeric sort,अल्फान्यूमेरिक क्रमवारी
Alphanumeric storage,अल्फान्यूमेरिक स्टोरेज
Alterable memory,बदलण्यायोग्य मेमरी
Alteration switch,बदल स्विच
Altering,बदल
Alter mode,बदल मोड
Alternate recovery,वैकल्पिक पुनर्प्राप्ती
Alternate route,वैकल्पिक मार्ग
Alternate routing,वैकल्पिक मार्ग
Alternate track,वैकल्पिक ट्रॅक
Alternation (= OR operation),अल्टरनेशन (= किंवा ऑपरेशन)
Alternative attribute,वैकल्पिक गुणधर्म
Alternative denial (= NOT-AND operation),वैकल्पिक नकार (= नाही आणि ऑपरेशन)
Ambiguity error,अस्पष्टता त्रुटी
Ambiguous reference,संदिग्ध संदर्भ
Analog,एनालॉग
Analog adder,एनालॉग अ‍ॅडडर
Analog channel,एनालॉग चॅनेल
Analog computer,एनालॉग संगणक
Analog converter,एनालॉग कन्व्हर्टर
Analog data,एनालॉग डेटा
Analog divider,एनालॉग विभाजक
Analog facility terminal,अ‍ॅनालॉग सुविधा टर्मिनल
"Analog function
 Generator","एनालॉग फंक्शन
 जनरेटर"
Analog integration,एनालॉग एकत्रीकरण
Analog multiplier,एनालॉग गुणक
Analog programming,एनालॉग प्रोग्रामिंग
Analog scaling,एनालॉग स्केलिंग
Analog signal,एनालॉग सिग्नल
Analog simulation,एनालॉग सिम्युलेशन
Analog switch,एनालॉग स्विच
Analog system,एनालॉग सिस्टम
"Analog to digital
 Converter","डिजिटल टू डिजिटल
 कन्व्हर्टर"
"Analog to digital
 Encoder","डिजिटल टू डिजिटल
 एन्कोडर"
Analog transmission,एनालॉग ट्रान्समिशन
Analog type,एनालॉग प्रकार
Analysis block,विश्लेषण ब्लॉक
Analysis mode,विश्लेषण मोड
Analytical engine,विश्लेषणात्मक इंजिन
Ancestral task,वडिलोपार्जित कार्य
Ancillary equipment,सहायक उपकरणे
AND,आणि
AND circuit,आणि सर्किट
AND element,आणि घटक
AND gate,आणि गेट
AND masking,आणि मुखवटा
AND NOT operation (=exclusion,आणि ऑपरेशन नाही (= अपवर्जन)
AND operation,आणि ऑपरेशन
Annex memory,अनुबंध मेमरी
Annotation,भाष्य
Annunciator,अ‍ॅन्युन्सिएटर
Answer back,उत्तर परत
Answer delay,उत्तर विलंब
Answering time,उत्तर वेळ
Answer lamp,उत्तर दिवा
Answer list,उत्तर यादी
Answer only,फक्त उत्तर द्या
Anticipation mode,अपेक्षित मोड
Anticipatory buffering,अपेक्षित बफरिंग
Anticipatory carry,अपेक्षित वाहून नेणे
Anticipatory paging,अपेक्षित पेजिंग
Anticoincidence operation,अँटीकोइन्सिडन्स ऑपरेशन
Anticoincident element,अँटीकोइन्सींट घटक
Aperiodic antenna,अ‍ॅपरिओडिक ten न्टीना
Aperture card,छिद्र कार्ड
Aperture code,छिद्र कोड
Aperture time,छिद्र वेळ
Appendage,परिशिष्ट
Appendage task,परिशिष्ट कार्य
Application developer,अनुप्रयोग विकसक
Application layer,अनुप्रयोग स्तर
Application oriented language,अनुप्रयोग देणारं भाषा
Application package,अनुप्रयोग पॅकेज
Application program,अनुप्रयोग कार्यक्रम
Application programming,अनुप्रयोग प्रोग्रामिंग
Application required language,अर्ज आवश्यक भाषा
Application software,अनुप्रयोग सॉफ्टवेअर
Applique,अ‍ॅप्लिक
Approximation theory,अंदाजे सिद्धांत
Arbitrary access,अनियंत्रित प्रवेश
Arbitrary sequence computer,अनियंत्रित अनुक्रम संगणक
Arbitration,लवाद
Architecture,आर्किटेक्चर
Archiving,संग्रहण
Area code,क्षेत्र कोड
Area search,क्षेत्र शोध
Area transfer,क्षेत्र हस्तांतरण
Area variable,क्षेत्र चल
Argument,युक्तिवाद
Argument address,युक्तिवाद पत्ता
Argument list,युक्तिवाद यादी
Arithmetical instruction,अंकगणित सूचना
Arithmetic and logic unit,अंकगणित आणि तर्कशास्त्र युनिट
Arithmetic assignment statement,अंकगणित असाइनमेंट स्टेटमेंट
Arithmetic check,अंकगणित तपासणी
Arithmetic constant,अंकगणित स्थिर
Arithmetic conversion,अंकगणित रूपांतरण
Arithmetic data,अंकगणित डेटा
Arithmetic exception,अंकगणित अपवाद
Arithmetic expression,अंकगणित अभिव्यक्ती
Arithmetic fixed point,अंकगणित निश्चित बिंदू
Arithmetic hierarchy,अंकगणित पदानुक्रम
Arithmetic IF statement,अंकगणित जर विधान
Arithmetic logic,अंकगणित तर्कशास्त्र
Arithmetic logic unit,अंकगणित लॉजिक युनिट
Arithmetic operation,अंकगणित ऑपरेशन
Arithmetic operator,अंकगणित ऑपरेटर
Arithmetic overflow,अंकगणित ओव्हरफ्लो
Arithmetic picture data,अंकगणित चित्र डेटा
Arithmetic precedence,अंकगणित प्राधान्य
Arithmetic primary,अंकगणित प्राथमिक
Arithmetic register,अंकगणित नोंदणी
Arithmetic relation,अंकगणित संबंध
Arithmetic scan,अंकगणित स्कॅन
Arithmetic section,अंकगणित विभाग
Arithmetic shift,अंकगणित शिफ्ट
Arithmetic shifting,अंकगणित शिफ्टिंग
Arithmetic statement,अंकगणित विधान
Arithmetic term,अंकगणित संज्ञा
Arithmetic underflow,अंकगणित अंडरफ्लो
Arithmetic unit,अंकगणित युनिट
Array,रचना
Array bound,अ‍ॅरे बाउंड
Array computer,अ‍ॅरे संगणक
Array dimension,अ‍ॅरे आयाम
Array element,अ‍ॅरे घटक
Array expression,अ‍ॅरे अभिव्यक्ती
Array name,अ‍ॅरे नाव
Array of structures,संरचनांचा अ‍ॅरे
Array printing,अ‍ॅरे प्रिंटिंग
Array processing,अ‍ॅरे प्रक्रिया
Array processor,अ‍ॅरे प्रोसेसर
Articulation point,बोलण्याचे बिंदू
Artificial cognition,कृत्रिम अनुभूती
Artificial intelligence,कृत्रिम बुद्धिमत्ता
Artificial language,कृत्रिम भाषा
Artificial variable,कृत्रिम चल
Arts application data bank,कला अनुप्रयोग डेटा बँक
Arts application music,कला अनुप्रयोग संगीत
Arts application pattern generation,कला अनुप्रयोग नमुना निर्मिती
Ascender,आरोहण
Ascending sort,चढत्या क्रमवारी
ASCIL,एएससीएल
ASCII control character,एएससीआयआय नियंत्रण वर्ण
ASCII key board,एएससीआयआय की बोर्ड
Aspect,पैलू
Aspect and,पैलू आणि
Assemble,एकत्र करा
Assembled origin,एकत्रित मूळ
Assemble duration,कालावधी एकत्र करा
Assembler,असेंबलर
Assembler directive,असेंबलर डायरेक्टिव्ह
Assembler facility,असेंबलर सुविधा
Assembler language,असेंबलर भाषा
Assembling,एकत्र करणे
Assembling phase,एकत्रित टप्पा
Assembling time,वेळ एकत्र करणे
Assembly,असेंब्ली
Assembly language,असेंब्ली भाषा
Assembly language programming,असेंब्ली भाषा प्रोग्रामिंग
Assembly language software flexibility,असेंब्ली भाषा सॉफ्टवेअर लवचिकता
