Marathi,Bengali
गर्भपात,গর্ভপাত
गर्भपात टाइमर,গর্ভপাত টাইমার
परिपूर्ण पत्ता,পরম ঠিকানা
परिपूर्ण पत्ता,পরম ঠিকানা
परिपूर्ण असेंबलर,পরম এসেম্বলার
परिपूर्ण कोड,পরম কোড
परिपूर्ण कोडिंग,পরম কোডিং
परिपूर्ण आज्ञा,পরম কমান্ড
परिपूर्ण समन्वय,পরম সমন্বয়
परिपूर्ण डेटा,পরম ডেটা
परिपूर्ण त्रुटी,পরম ত্রুটি
परिपूर्ण अभिव्यक्ती,পরম অভিব্যক্তি
परिपूर्ण सूचना,পরম নির্দেশ
परिपूर्ण लोडर,পরম লোডার
परिपूर्ण ऑर्डर,পরম আদেশ
परिपूर्ण प्रोग्रामिंग,পরম প্রোগ্রামিং
परिपूर्ण संज्ञा,পরম শব্দ
परिपूर्ण मूल्य,পরম মান
परिपूर्ण वेक्टर,পরম ভেক্টর
गोषवारा,বিমূর্ত
अमूर्त,বিমূর্ত
अमूर्त प्रतीक,বিমূর্ত প্রতীক
प्रवेग कालावधी,ত্বরণ সময়কাল
प्रवेग वेळ,ত্বরণের সময়
उच्चारण,অ্যাকসেন্ট
स्वीकृती चाचणी,স্বীকৃতি পরীক্ষা
प्रवेश,অ্যাক্সেস
प्रवेश आर्म,অ্যাক্সেস আর্ম
प्रवेश व्यवस्था,অ্যাক্সেস ব্যবস্থা
प्रवेश प्राधिकरण,অ্যাক্সেস কর্তৃপক্ষ
प्रवेश शुल्क,অ্যাক্সেস চার্জ
प्रवेश वर्ग,অ্যাক্সেস ক্লাস
प्रवेश डेटा बेस व्यवस्थापन,অ্যাক্সেস ডেটা বেস ম্যানেজমেন্ট
प्रवेश वातावरण,অ্যাক্সেস পরিবেশ
प्रवेश अंतर,অ্যাক্সেস ফাঁক
प्रवेश निर्देशांक,অ্যাক্সেস সূচক
Line क्सेस लाइन,অ্যাক্সেস লাইন
प्रवेश यंत्रणा,অ্যাক্সেস প্রক্রিয়া
प्रवेश पद्धत,অ্যাক্সেস পদ্ধতি
प्रवेश पद्धत दिनचर्या,অ্যাক্সেস পদ্ধতির রুটিন
प्रवेश मोड,অ্যাক্সেস মোড
प्रवेश बरोबर,এক্সেস অধিকার
प्रवेश स्कॅन,অ্যাক্সেস স্ক্যান
प्रवेश वेळ,প্রবেশাধিকার সময়
लेखा,অ্যাকাউন্টিং
लेखा वित्त प्रणाली,অ্যাকাউন্টিং ফিনান্স সিস্টেম
लेखा मशीन,অ্যাকাউন্টিং মেশিন
खाते क्रमांक,হিসাব নাম্বার
पुनरुत्पादक संचय,প্রজননকারী জমে
संचयक,জমে
संचयक नोंदणी,সংগ্রহকারী রেজিস্টার
संचयक शिफ्ट सूचना,সংগ্রহকারী শিফট নির্দেশনা
अचूकता,সঠিকতা
अचूकता नियंत्रण वर्ण,নির্ভুলতা নিয়ন্ত্রণ চরিত্র
अचूकता नियंत्रण प्रणाली,নির্ভুলতা নিয়ন্ত্রণ ব্যবস্থা
ऐस पायलट,এস পাইলট
चरित्र कबूल करा,চরিত্র স্বীকৃতি
ध्वनिक कपलर,অ্যাকোস্টিক কাপলার
ध्वनिक कपलिंग,অ্যাকোস্টিক কাপলিং
ध्वनिक विलंब रेखा,অ্যাকোস্টিক বিলম্ব লাইন
ध्वनिक मेमरी,অ্যাকোস্টিক মেমরি
ध्वनिक मॉडेम,অ্যাকোস্টিক মডেম
ध्वनिक सिग्नल,অ্যাকোস্টিক সিগন্যাল
ध्वनिक संचयन,অ্যাকোস্টিক স্টোরেজ
परिवर्णी शब्द,সংক্ষিপ্ত বিবরণ
क्रिया,কর্ম
कृती चक्र,অ্যাকশন চক্র
कृती ओळ,অ্যাকশন লাইন
कृती संदेश,অ্যাকশন বার্তা
कृती तपशील,ক্রিয়া স্পেসিফিকেশন
सक्रियकरण,অ্যাক্টিভেশন
सक्रिय,সক্রিয়
सक्रिय फाईल,সক্রিয় ফাইল
सक्रिय ओळ,সক্রিয় লাইন
सक्रिय दुवा,সক্রিয় লিঙ্ক
सक्रिय मास्टर फाइल,সক্রিয় মাস্টার ফাইল
सक्रिय मास्टर आयटम,সক্রিয় মাস্টার আইটেম
सक्रिय उपग्रह,সক্রিয় স্যাটেলাইট
सक्रिय स्टेशन,সক্রিয় স্টেশন
सक्रिय संचयन,সক্রিয় স্টোরেজ
क्रियाकलाप,ক্রিয়াকলাপ
क्रियाकलाप पातळी,কর্মকান্ডের পর্যায়
क्रियाकलाप लोडिंग,ক্রিয়াকলাপ লোড হচ্ছে
क्रियाकलाप प्रमाण,ক্রিয়াকলাপ অনুপাত
वास्तविक पत्ता (= परिपूर्ण पत्ता),আসল ঠিকানা (= পরম ঠিকানা)
वास्तविक कोड (= परिपूर्ण कोड),আসল কোড (= পরম কোড)
वास्तविक डेटा हस्तांतरण दर,প্রকৃত ডেটা স্থানান্তর হার
वास्तविक दशांश बिंदू,আসল দশমিক পয়েন্ট
वास्तविक सूचना (= प्रभावी सूचना),প্রকৃত নির্দেশ (= কার্যকর নির্দেশ)
वास्तविक की,আসল কী
वास्तविक वेळ,প্রকৃত সময়
वास्तविक कामाची वेळ,আসল কাজের সময়
अ‍ॅक्ट्युएटिंग सिग्नल,অ্যাকিউটিং সিগন্যাল
अनुकूलता,অভিযোজনযোগ্যতা
अ‍ॅडॉप्टर,অ্যাডাপ্টার
अ‍ॅडॉप्टिव्ह चॅनेल वाटप,অভিযোজিত চ্যানেল বরাদ্দ
अनुकूली एकत्रीकरण,অভিযোজিত সংহতকরণ
अ‍ॅडॉप्टिव्ह ट्रान्सव्हर्सल इक्वेलायझर,অভিযোজিত ট্রান্সভার্সাল ইকুয়ালাইজার
जोडलेली प्रविष्टी,যুক্ত এন্ট্রি
परिशिष्ट,সংযোজন
अ‍ॅडर,সংযোজন
अ‍ॅडडर सबट्रॅक्टर,অ্যাডার সাবট্র্যাক্টর
फाईल जोडा,ফাইল যুক্ত কর
अतिरिक्त वर्ण (= विशेष वर्ण),অতিরিক্ত চরিত্র (= বিশেষ চরিত্র)
व्यतिरिक्त रेकॉर्डर,সংযোজন রেকর্ডার
व्यतिरिक्त सारणी,সংযোজন টেবিল
अ‍ॅडिटिव्ह विशेषता,সংযোজন বৈশিষ্ট্য
मोड जोडा,মোড যুক্ত করুন
ऑपरेशन जोडा,অপারেশন যুক্ত করুন
पत्ता,ঠিকানা
पत्तेपणाचा उपाय,ঠিকানা পরিমাপ
पत्ते करण्यायोग्य क्षैतिज स्थिती,ঠিকানাযোগ্য অনুভূমিক অবস্থান
पत्ता योग्य बिंदू,ঠিকানাযোগ্য পয়েন্ট
पत्ता योग्य स्थिती,ঠিকানাযোগ্য অবস্থান
पत्ते करण्यायोग्य नोंदणी,ঠিকানাযোগ্য নিবন্ধ
पत्ता योग्य स्टोरेज,ঠিকানাযোগ্য স্টোরেজ
पत्ता योग्य अनुलंब स्थिती,ঠিকানাযোগ্য উল্লম্ব অবস্থান
अ‍ॅड्रेस बस,ঠিকানা বাস
पत्ता कोड,ঠিকানা কোড
पत्ता तुलनात्मक,ঠিকানা তুলনামূলক
पत्ता गणना,ঠিকানা গণনা
पत्ता स्थिर,ধ্রুবক ঠিকানা
पत्ता रूपांतरण,ঠিকানা রূপান্তর
पत्ता डेटा,ঠিকানা ডেটা
संबोधित मेमरी,সম্বোধন স্মৃতি
पत्ता प्रभावी,ঠিকানা কার্যকর
पत्ता फील्ड,ঠিকানা ক্ষেত্র
पत्ता स्वरूप,ঠিকানা ফর্ম্যাট
पत्ता विनामूल्य कार्यक्रम,ঠিকানা বিনামূল্যে প্রোগ্রাম
पत्ता,সম্বোধন
"पत्ता
 वर्ण","সম্বোধন
 চরিত্র"
व्यत्यय संबोधित करणे,বাধা সম্বোধন
पळवाट पळवाट,লুপ সম্বোধন
आभासी मेमरी संबोधित करणे,ভার্চুয়াল মেমরি সম্বোধন
पत्ता इंटरलॅकिंग,ঠিকানা ইন্টারল্যাকিং
पत्ता नसलेली सूचना स्वरूप,ঠিকানাহীন নির্দেশাবলী ফর্ম্যাট
पत्ता ओळ,ঠিকানা লাইন
पत्ता मॅपिंग,ঠিকানা ম্যাপিং
पत्ता चिन्ह,ঠিকানা চিহ্ন
पत्ता बदल,ঠিকানা পরিবর্তন
पत्ता भाग,ঠিকানা অংশ
पत्ता पॉईंटर,ঠিকানা পয়েন্টার
पत्ता नोंदणी,ঠিকানা রেজিস্টার
पत्ता सिग्नल,ঠিকানা সংকেত
पत्ता आकार,ঠিকানা আকার
पत्ता जागा,ঠিকানা স্থান
पत्ता जागा अभिज्ञापक,ঠিকানা স্পেস আইডেন্টিফায়ার
पत्ता थांबा,ঠিকানা স্টপ
पत्ता ट्रेस,ঠিকানা ট্রেস
पत्ता ट्रॅक,ঠিকানা ট্র্যাক
पत्ता अनुवाद,ঠিকানা অনুবাদ
पत्ता अनुवादक,ঠিকানা অনুবাদক
अ‍ॅड-सबस्ट्रॅक्ट वेळ,বিয়োগের সময় যোগ করুন
वेळ जोडा,সময় যোগ করুন
समीप,সংলগ্নতা
जवळची रचना,সংলগ্ন কাঠামো
समीप चॅनेल,সংলগ্ন চ্যানেল
समीप डोमेन,সংলগ্ন ডোমেন
समीप मॅट्रिक्स,সংলগ্ন ম্যাট্রিক্স
समीप नोड,সংলগ্ন নোড
समीप सुबेरिया,সংলগ্ন সুবেরিয়া
संक्षिप्त रुप (सिस्टम),স্থগিত (সিস্টেম)
समायोजित करा,সামঞ্জস্য করুন
समायोज्य मर्यादा,সামঞ্জস্যযোগ্য মাত্রা
मजकूर मोड समायोजित करा,পাঠ্য মোড সামঞ্জস্য করুন
प्रशासकीय डेटा प्रक्रिया,প্রশাসনিক ডেটা প্রসেসিং
प्रशासकीय ऑपरेशन,প্রশাসনিক অপারেশন
प्रशासकीय ऑपरेटर,প্রশাসনিক অপারেটর
प्रशासकीय ऑपरेटर स्टेशन,প্রশাসনিক অপারেটর স্টেশন
प्रशासकीय समर्थन प्रणाली,প্রশাসনিক সহায়তা সিস্টেম
प्रगत संप्रेषण सेवा,উন্নত যোগাযোগ পরিষেবা
प्रगत माहिती प्रणाली,উন্নত তথ্য সিস্টেম
प्रगत ऑप्टिकल कॅरेक्टर रीडर,উন্নত অপটিক্যাল চরিত্র পাঠক
प्रगत वैज्ञानिक संगणक,উন্নত বৈজ্ঞানিক কম্পিউটার
हवाई,এরিয়াল
एकूण,সমষ্টি
एकूण अभिव्यक्ती,সামগ্রিক অভিব্যক্তি
लक्ष्य वर्तुळ,লক্ষ্য বৃত্ত
लक्ष्य फील्ड (= लक्ष्य चिन्ह),লক্ষ্য ক্ষেত্র (= লক্ষ্য প্রতীক)
लक्ष्य प्रतीक,লক্ষ্য প্রতীক
एअरबोर्न संगणक प्रणाली,বায়ুবাহিত কম্পিউটার সিস্টেম
बीजगणित ईगेनव्हल्यू समस्या,বীজগণিত ইগেনভ্যালু সমস্যা
"बीजगणित
 एकत्रीकरण","বীজগণিত
 মিশ্রণ"
बीजगणित भाषा,বীজগণিত ভাষা
बीजगणित हाताळणी,বীজগণিত হেরফের
बीजगणित मॅनिपुलेशन भाषा,বীজগণিত ম্যানিপুলেশন ভাষা
बीजगणित ओरिएंटेड भाषा,বীজগণিতমুখী ভাষা
बीजगणित शिफ्ट,বীজগণিত শিফট
बीजगणित साइन कन्व्हेन्शन,বীজগণিত সাইন কনভেনশন
अल्गोल,অ্যালগল
अल्गोल वैशिष्ट्य,অ্যালগল বৈশিষ্ট্য
अल्गोल प्रोग्रामिंग,অ্যালগল প্রোগ্রামিং
अल्गोरिदम,অ্যালগরিদম
अल्गोरिदम असोसिएटिव्ह भाषा,অ্যালগরিদম সহযোগী ভাষা
अल्गोरिदम वर्गीकरण,অ্যালগরিদম শ্রেণিবিন্যাস
अल्गोरिदम जटिलता,অ্যালগরিদম জটিলতা
अल्गोरिदम संगणन,অ্যালগরিদম গণনাযোগ্যতা
अल्गोरिदम विश्लेषण,অ্যালগরিদমিক বিশ্লেষণ
अल्गोरिदम दृष्टिकोन,অ্যালগরিদমিক পদ্ধতির
अल्गोरिदम भाषा,অ্যালগরিদমিক ভাষা
अल्गोरिदम नित्यक्रम,অ্যালগরিদমিক রুটিন
अल्गोरिदम सिद्धांत,অ্যালগরিদমিক তত্ত্ব
उर्फ,ওরফে
अलियासिंग,এলিয়াসিং
उर्फ नाव (= वैकल्पिक नाव),ওরফে নাম (= বিকল্প নাম)
संरेखन,প্রান্তিককরণ
वाटप,বরাদ্দ
वाटप रचना,বরাদ্দ কাঠামো
सर्व हेतू संगणक,সমস্ত উদ্দেশ্যমূলক কম্পিউটার
वर्णमाला वर्ण,বর্ণমালা চরিত্র
वर्णमाला वर्ण सेट,বর্ণমালা চরিত্র সেট
अल्फाबेटिक कॅरेक्टर सबसेट,বর্ণমালা চরিত্রের সাবসেট
वर्णमाला कोड,বর্ণমালা কোড
वर्णमाला शिफ्ट,বর্ণমালা শিফট
वर्णमाला स्ट्रिंग,বর্ণমালা স্ট্রিং
वर्णमाला शब्द,বর্ণমালা শব্দ
वर्णमाला,বর্ণমালা
अल्फेजोमेट्रिक्स,আলফেজোমেট্রিক্স
अल्फामेरिक,বর্ণমালা
अल्फामोसॅक,আলফামোসাইক
अल्फान्यूमेरिक,বর্ণমালা
अल्फान्यूमरिकल कीबोर्ड डिव्हाइस,আলফানুমারিকাল কীবোর্ড ডিভাইস
अल्फान्यूमेरिक कॅरेक्टर सेट,আলফানিউমেরিক চরিত্র সেট
अल्फान्यूमेरिक कोड,আলফানিউমেরিক কোড
अल्फान्यूमेरिक कोडेड कॅरेक्टर सेट,আলফানিউমেরিক কোডেড চরিত্র সেট
अल्फान्यूमेरिक डेटा,আলফানিউমেরিক ডেটা
अल्फान्यूमेरिक डिस्प्ले डिव्हाइस,আলফানিউমেরিক ডিসপ্লে ডিভাইস
अल्फान्यूमेरिक संपादित वर्ण,আলফানিউমেরিক সম্পাদিত চরিত্র
अल्फान्यूमेरिक फील्ड,আলফানিউমেরিক ফিল্ড
अल्फान्यूमेरिक सूचना,বর্ণমালা নির্দেশ
अल्फान्यूमेरिक कीबोर्ड,আলফানিউমেরিক কীবোর্ড
अल्फान्यूमेरिक क्रमवारी,আলফানিউমেরিক বাছাই
अल्फान्यूमेरिक स्टोरेज,আলফানিউমেরিক স্টোরেজ
बदलण्यायोग्य मेमरी,পরিবর্তনযোগ্য মেমরি
बदल स्विच,পরিবর্তন সুইচ
बदल,পরিবর্তন
बदल मोड,পরিবর্তন মোড
वैकल्पिक पुनर्प्राप्ती,বিকল্প পুনরুদ্ধার
वैकल्पिक मार्ग,বিকল্প রুট
वैकल्पिक मार्ग,বিকল্প রাউটিং
वैकल्पिक ट्रॅक,বিকল্প ট্র্যাক
अल्टरनेशन (= किंवा ऑपरेशन),বিকল্প (= বা অপারেশন)
वैकल्पिक गुणधर्म,বিকল্প বৈশিষ্ট্য
वैकल्पिक नकार (= नाही आणि ऑपरेशन),বিকল্প অস্বীকার (= না-অপারেশন)
अस्पष्टता त्रुटी,অস্পষ্টতা ত্রুটি
संदिग्ध संदर्भ,অস্পষ্ট রেফারেন্স
एनालॉग,অ্যানালগ
एनालॉग अ‍ॅडडर,অ্যানালগ অ্যাডার
एनालॉग चॅनेल,অ্যানালগ চ্যানেল
एनालॉग संगणक,অ্যানালগ কম্পিউটার
एनालॉग कन्व्हर्टर,অ্যানালগ রূপান্তরকারী
एनालॉग डेटा,অ্যানালগ ডেটা
एनालॉग विभाजक,অ্যানালগ বিভাজক
अ‍ॅनालॉग सुविधा टर्मिनल,অ্যানালগ সুবিধা টার্মিনাল
"एनालॉग फंक्शन
 जनरेटर","অ্যানালগ ফাংশন
 জেনারেটর"
एनालॉग एकत्रीकरण,অ্যানালগ ইন্টিগ্রেশন
एनालॉग गुणक,অ্যানালগ গুণক
एनालॉग प्रोग्रामिंग,অ্যানালগ প্রোগ্রামিং
एनालॉग स्केलिंग,অ্যানালগ স্কেলিং
