English,Odiya
Abelian group,ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |
abelian semigroup,ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |
abscissa,abscissa
absolute,ସଂପୂର୍ଣ୍ଣ
absolute convergence,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
absolute error,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
absolute maximum,ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ
absolute minimum,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
absolute value,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
absolute velocity,ସଂପୂର୍ଣ୍ଣ ବେଗ
abstract algebra,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
abstract group theory,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
acceleration,ତ୍ୱରଣ
acceleration due to gravity,ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |
acceptable choice set,ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |
acceptable quality level,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
acceptable range,ଗ୍ରହଣୀୟ ପରିସର |
acceptable reliability level,ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
acceptable sampling,ଗ୍ରହଣୀୟ ନମୁନା
accumulated error,ସଂଗୃହିତ ତ୍ରୁଟି |
accuracy,ସଠିକତା
acting force,ଅଭିନୟ ଶକ୍ତି
action,କାର୍ଯ୍ୟ
action and reaction,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
acturial science,ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |
acute angled triangle,ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |
acyclic,acyclic
add,ଯୋଡନ୍ତୁ |
adder,ଆଡର୍
addition,ଯୋଗ
addition formula,ଯୋଗ ସୂତ୍ର
addition of complex numbers,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |
addition of functions,କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ
addition of matrices,ମାଟ୍ରିକ୍ସର ଯୋଗ
addition of polynomials,ବହୁଭାଷୀ ଯୋଗ |
addition of probabilities,ସମ୍ଭାବ୍ୟତାର ଯୋଗ |
addition of vectors,ଭେକ୍ଟର ଯୋଗ
addition theorem,ଯୋଗ ତତ୍ତ୍ୱ
additive group,ଯୋଗୀ ଗୋଷ୍ଠୀ |
additive inverse,ଯୋଗୀ ଓଲଟା |
additive property,ଯୋଗୀ ସମ୍ପତ୍ତି |
additivity,ଯୋଗୀତା |
adjacency matrix,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
adjacent,ସଂଲଗ୍ନ
adjacent angles,ସଂଲଗ୍ନ କୋଣ
adjacent vertex,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
adjoin,ସଂଲଗ୍ନ
adjoining,ସଂଲଗ୍ନ
adjoint determinant,ନିର୍ଣ୍ଣୟକାରୀ
adjoint differential equation,ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ
adjoint equation,ସମୀକରଣ
adjoint matrix,ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |
adjoint of matrix,ମାଟ୍ରିକ୍ସର ଯୋଗ
adjugate matrix,ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |
admissible decision function,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
admissible hypothesis,ଗ୍ରହଣୀୟ ଅନୁମାନ
aerodynamic force,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
aerodynamics,ଏରୋଡାଇନାମିକ୍ସ |
affine geometry,ଆଫାଇନ୍ ଜ୍ୟାମିତି |
affine mapping,ଆଫାଇନ୍ ମ୍ୟାପିଙ୍ଗ୍ |
affine transformation,ଆଫାଇନ୍ ଟ୍ରାନ୍ସଫର୍ମେସନ୍ |
aggregating variables,ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |
algebra,ବୀଜ ବିବେଚନା
algebraically closed,ବୀଜ ବର୍ଣ୍ଣିତ ଭାବରେ ବନ୍ଦ |
algebraic equation,ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |
algebraic expression,ବୀଜ ବର୍ଣ୍ଣନା
algebraic form,ବୀଜ ବର୍ଣ୍ଣିତ ଫର୍ମ |
algebraic function,ବୀଜ ବର୍ଣ୍ଣିତ କାର୍ଯ୍ୟ
algebraic geometry,ବୀଜ ବର୍ଣ୍ଣିତ ଜ୍ୟାମିତି |
algebraic multiplicity,ବୀଜ ବର୍ଣ୍ଣିତ ଗୁଣ |
algebraic system,ବୀଜ ବର୍ଣ୍ଣିତ ପ୍ରଣାଳୀ |
all-integer problem,ସମସ୍ତ-ପୂର୍ଣ୍ଣ ସମସ୍ୟା |
allocation problem,ବଣ୍ଟନ ସମସ୍ୟା
alphabetical notation,ବର୍ଣ୍ଣାନୁକ୍ରମିକ ଟିପ୍ପଣୀ |
alphabetic character,ବର୍ଣ୍ଣମାଳା ବର୍ଣ୍ଣ
alternate angle,ବିକଳ୍ପ କୋଣ
alternating form,ବିକଳ୍ପ ଫର୍ମ |
alternating group,ବିକଳ୍ପ ଗୋଷ୍ଠୀ
alternating matrix,ବିକଳ୍ପ ମ୍ୟାଟ୍ରିକ୍ସ |
alternating series,ବିକଳ୍ପ କ୍ରମ |
alternative hypothesis,ବିକଳ୍ପ ଅନୁମାନ
alternative optima,ବିକଳ୍ପ ଅପ୍ଟିମା |
alternative outcome,ବିକଳ୍ପ ଫଳାଫଳ |
analog-to-digital converter,ଆନାଗଲ୍-ଟୁ-ଡିଜିଟାଲ୍ କନଭର୍ଟର |
analogue computer,ଆନାଗଲ୍ କମ୍ପ୍ୟୁଟର |
analysis,ବିଶ୍ଳେଷଣ |
analysis of covariance,କୋଭାରିଆନ୍ସର ବିଶ୍ଳେଷଣ |
analysis of enumeration data,ଗଣନା ତଥ୍ୟର ବିଶ୍ଳେଷଣ |
analysis of variance,ଭିନ୍ନତାର ବିଶ୍ଳେଷଣ |
analytic geometry,ଆନାଲିଟିକ୍ ଜ୍ୟାମିତି |
analytic function,ଆନାଲିଟିକ୍ କାର୍ଯ୍ୟ
angle,କୋଣ
angle of contact,ଯୋଗାଯୋଗ କୋଣ
angle of deflection,ବିଘ୍ନର କୋଣ |
angle of depression,ଉଦାସୀନତାର କୋଣ
angle of deviation,ବିଘ୍ନର କୋଣ |
angle of diffraction,ବିଭାଜନର କୋଣ |
angle of elevation,ଉଚ୍ଚତାର କୋଣ
angle of incidence,ଘଟଣାର କୋଣ
angle of projection,ପ୍ରୋଜେକ୍ଟର କୋଣ
angle of reflection,ପ୍ରତିଫଳନ କୋଣ
angle of refraction,ପ୍ରତିଫଳନ କୋଣ
angle of rotation,ଘୂର୍ଣ୍ଣନ କୋଣ
angle of total reflection,ସମୁଦାୟ ପ୍ରତିଫଳନର କୋଣ |
angular acceleration,କୋଣାର୍କ ତ୍ୱରଣ |
angular motion,କୋଣାର୍କ ଗତି |
angular speed,କୋଣାର୍କ ଗତି
angular velocity,କୋଣାର୍କ ବେଗ |
annulus,annulus
answer,ଉତ୍ତର ଦିଅ
anti – derivative,ଆଣ୍ଟି-ଡେରିଭେଟିଭ୍ |
antisymmetric function,ଆଣ୍ଟିସାଇମେଟ୍ରିକ୍ କାର୍ଯ୍ୟ
applicable,ପ୍ରଯୁଜ୍ୟ |
application,ପ୍ରୟୋଗ
applied dynamic programming,ପ୍ରୟୋଗ ହୋଇଥିବା ଗତିଶୀଳ ପ୍ରୋଗ୍ରାମିଂ |
applied geometry,ପ୍ରୟୋଗ ହୋଇଥିବା ଜ୍ୟାମିତି |
applied mathematics,ପ୍ରୟୋଗ ହୋଇଥିବା ଗଣିତ |
applied statistics,ପ୍ରୟୋଗ ପରିସଂଖ୍ୟାନ |
approximately,ପାଖାପାଖି
approximately continuous function,ପ୍ରାୟ ନିରନ୍ତର କାର୍ଯ୍ୟ |
approximate method,ଆନୁମାନିକ ପଦ୍ଧତି |
