Gujarati,Bengali
એબેલિયન જૂથ,আবেলিয়ান গ্রুপ
અબેલીયન સેમીગ્રુપ,আবেলিয়ান সেমিগ্রুপ
એબ્સીસા,abscissa
સંપૂર્ણ,পরম
સંપૂર્ણ સંકલન,পরম মিলন
સંપૂર્ણ ભૂલ,পরম ত্রুটি
સંપૂર્ણ મહત્તમ,পরম সর্বোচ্চ
સંપૂર્ણ લઘુત્તમ,পরম সর্বনিম্ন
સંપૂર્ણ મૂલ્ય,পরম মান
સંપૂર્ણ વેગ,পরম বেগ
અમૂર્ત બીજગણિત,বিমূর্ত বীজগণিত
અમૂર્ત જૂથ સિદ્ધાંત,বিমূর্ত গ্রুপ তত্ত্ব
પ્રવેગ,ত্বরণ
ગુરુત્વાકર્ષણને કારણે પ્રવેગક,মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি
સ્વીકાર્ય પસંદગી સમૂહ,গ্রহণযোগ্য পছন্দ সেট
સ્વીકાર્ય ગુણવત્તા સ્તર,গ্রহণযোগ্য মানের স্তর
સ્વીકાર્ય શ્રેણી,গ্রহণযোগ্য পরিসীমা
સ્વીકાર્ય વિશ્વસનીયતા સ્તર,গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর
સ્વીકાર્ય નમૂના,গ্রহণযোগ্য নমুনা
સંચિત ભૂલ,সঞ্চিত ত্রুটি
ચોકસાઈ,সঠিকতা
અભિનય બળ,অভিনয় শক্তি
ક્રિયા,কর্ম
ક્રિયા અને પ્રતિક્રિયા,কর্ম এবং প্রতিক্রিয়া
વાસ્તવિક વિજ્ઞાન,বাস্তব বিজ্ঞান
તીવ્ર કોણીય ત્રિકોણ,তীব্র কোণযুক্ত ত্রিভুজ
એસાયક્લિક,অ্যাসাইক্লিক
ઉમેરો,যোগ করুন
ઉમેરનાર,যোগকারী
વધુમાં,সংযোজন
વધારાનું સૂત્ર,সংযোজন সূত্র
જટિલ સંખ્યાઓનો ઉમેરો,জটিল সংখ্যার সংযোজন
કાર્યોનો ઉમેરો,ফাংশন সংযোজন
મેટ્રિસિસનો ઉમેરો,ম্যাট্রিক্সের সংযোজন
બહુપદીનો ઉમેરો,বহুপদ সংযোজন
સંભાવનાઓનો ઉમેરો,সম্ভাবনার সংযোজন
વેક્ટરનો ઉમેરો,ভেক্টর সংযোজন
વધારાનું પ્રમેય,সংযোজন উপপাদ্য
ઉમેરણ જૂથ,সংযোজনকারী গ্রুপ
ઉમેરણ વ્યસ્ત,সংযোজন বিপরীত
ઉમેરણ મિલકત,সংযোজক সম্পত্তি
ઉમેરણ,সংযোজন
સંલગ્નતા મેટ્રિક્સ,অন্তিক ম্যাট্রিক্স
અડીને,সংলগ্ন
અડીને આવેલા ખૂણા,সন্নিহিত কোণ
અડીને શિરોબિંદુ,সংলগ্ন শীর্ষবিন্দু
સંલગ્ન,সংলগ্ন
સંલગ્ન,সংলগ্ন
સંલગ્ન નિર્ણાયક,সংলগ্ন নির্ধারক
સંલગ્ન વિભેદક સમીકરણ,সন্নিহিত ডিফারেনশিয়াল সমীকরণ
સંલગ્ન સમીકરણ,সংলগ্ন সমীকরণ
સંલગ્ન મેટ્રિક્સ,সংলগ্ন ম্যাট্রিক্স
મેટ્રિક્સનો સંલગ્ન ભાગ,ম্যাট্রিক্সের সংলগ্ন
એડજ્યુગેટ મેટ્રિક્સ,সামঞ্জস্যপূর্ণ ম্যাট্রিক্স
સ્વીકાર્ય નિર્ણય કાર્ય,গ্রহণযোগ্য সিদ্ধান্ত ফাংশন
સ્વીકાર્ય પૂર્વધારણા,গ্রহণযোগ্য অনুমান
એરોડાયનેમિક બળ,এরোডাইনামিক বল
એરોડાયનેમિક્સ,বায়ুগতিবিদ্যা
સંલગ્ન ભૂમિતિ,affine জ্যামিতি
affine મેપિંગ,affine ম্যাপিং
સંલગ્ન રૂપાંતર,affine রূপান্তর
એકંદર ચલો,একত্রিত ভেরিয়েবল
બીજગણિત,বীজগণিত
બીજગણિતીય રીતે બંધ,বীজগণিতভাবে বন্ধ
બીજગણિતીય સમીકરણ,বীজগণিত সমীকরণ
બીજગણિતીય અભિવ્યક્તિ,বীজগাণিতিক এক্সপ্রেশন
બીજગણિત સ્વરૂપ,বীজগাণিতিক ফর্ম
બીજગણિત કાર્ય,বীজগণিতীয় ফাংশন
બીજગણિત ભૂમિતિ,বীজগণিত জ্যামিতি
બીજગણિત ગુણાકાર,বীজগণিতের বহুত্ব
બીજગણિત સિસ્ટમ,বীজগণিত ব্যবস্থা
તમામ પૂર્ણાંક સમસ્યા,সমস্ত পূর্ণসংখ্যা সমস্যা
ફાળવણી સમસ્યા,বরাদ্দ সমস্যা
આલ્ફાબેટીકલ નોટેશન,বর্ণানুক্রমিক স্বরলিপি
આલ્ફાબેટીક અક્ષર,বর্ণানুক্রমিক অক্ষর
વૈકલ્પિક કોણ,বিকল্প কোণ
વૈકલ્પિક સ્વરૂપ,বিকল্প ফর্ম
વૈકલ્પિક જૂથ,বিকল্প গোষ্ঠী
વૈકલ્પિક મેટ્રિક્સ,বিকল্প ম্যাট্রিক্স
વૈકલ્પિક શ્રેણી,বিকল্প সিরিজ
વૈકલ્પિક પૂર્વધારણા,বিকল্প অনুমান
વૈકલ્પિક ઓપ્ટિમા,বিকল্প অপটিমা
વૈકલ્પિક પરિણામ,বিকল্প ফলাফল
એનાલોગ-ટુ-ડિજિટલ કન્વર્ટર,এনালগ থেকে ডিজিটাল রূপান্তরকারী
એનાલોગ કમ્પ્યુટર,অ্যানালগ কম্পিউটার
વિશ્લેષણ,বিশ্লেষণ
સહપ્રવૃત્તિનું વિશ્લેષણ,সহভক্তির বিশ্লেষণ
ગણતરી માહિતીનું વિશ્લેષણ,গণনা তথ্য বিশ্লেষণ
વિચલનનું વિશ્લેષણ,বৈচিত্র্যের বিশ্লেষণ
વિશ્લેષણાત્મક ભૂમિતિ,বিশ্লেষণাত্মক জ্যামিতি
વિશ્લેષણાત્મક કાર્ય,বিশ্লেষণমূলক ফাংশন
કોણ,কোণ
સંપર્ક કોણ,যোগাযোগের কোণ
વિચલન કોણ,বিচ্যুতি কোণ
હતાશાનો કોણ,বিষণ্নতা কোণ
વિચલન કોણ,বিচ্যুতি কোণ
વિવર્તન કોણ,বিবর্তন কোণ
એલિવેશન કોણ,উচ্চতা কোণ
ઘટના કોણ,ঘটনার কোণ
પ્રક્ષેપણ કોણ,অভিক্ষেপ কোণ
પ્રતિબિંબ કોણ,প্রতিফলন কোণ
રીફ્રેક્શન કોણ,প্রতিসরণ কোণ
પરિભ્રમણ કોણ,ঘূর্ণন কোণ
કુલ પ્રતિબિંબ કોણ,মোট প্রতিফলনের কোণ
કોણીય પ્રવેગક,কৌণিক ত্বরণ
કોણીય ગતિ,কৌণিক গতি
કોણીય ઝડપ,কৌণিক গতি
કોણીય વેગ,কৌণিক বেগ
વલય,অ্যানুলাস
જવાબ,উত্তর
વિરોધી વ્યુત્પન્ન,বিরোধী – ডেরিভেটিভ
એન્ટિસપ્રમાણ કાર્ય,অপ্রতিসম ফাংশন
લાગુ,প্রযোজ্য
અરજી,আবেদন
લાગુ ડાયનેમિક પ્રોગ્રામિંગ,প্রয়োগকৃত গতিশীল প্রোগ্রামিং
લાગુ ભૂમિતિ,প্রয়োগ করা জ্যামিতি
લાગુ ગણિત,ফলিত গণিত
લાગુ આંકડા,ফলিত পরিসংখ্যান
લગભગ,আন্দাজ
લગભગ સતત કાર્ય,প্রায় একটানা ফাংশন
અંદાજિત પદ્ધતિ,আনুমানিক পদ্ধতি
અંદાજિત ઉકેલ,আনুমানিক সমাধান
અંદાજની સમસ્યા,আনুমানিক সমস্যা
અંદાજિત મિલકત,আনুমানিক সম্পত্তি
યોગ્યતા પરીક્ષણ બેટરી,যোগ্যতা পরীক্ষার ব্যাটারি
આર્ગાન્ડ ડાયાગ્રામ,Argand ডায়াগ্রাম
મનસ્વી રીતે પસંદ કરેલ,নির্বিচারে নির্বাচিত
મનસ્વી,ইচ্ছামত
મનસ્વી સતત,নির্বিচারে ধ্রুবক
મનસ્વી તત્વ,নির্বিচারে উপাদান
મનસ્વી બિંદુ,নির্বিচারে পয়েন্ট
આર્કેમીડિયન કાયદો,আর্কিমিডিয়ান আইন
આર્કિમિડીઝ સિદ્ધાંત,আর্কিমিডিসের নীতি
ચાપ લંબાઈ,চাপ দৈর্ঘ্য
વર્તુળની ચાપ,বৃত্তের চাপ
આર્ક સાઈન વિતરણ,আর্ক সাইন ডিস্ট্রিবিউশন
આર્ક સાઈન ટ્રાન્સફોર્મેશન,চাপ সাইন রূপান্তর
વિસ્તાર,এলাকা
ક્ષેત્રીય રચના,আঞ্চলিক টেক্সচার
જટિલ સંખ્યાની દલીલ,জটিল সংখ্যার যুক্তি
અંકગણિત સરેરાશ,গাণিতিক গড়
અંકગણિત કામગીરી,গাণিতিক অপারেশন
અંકગણિત એકમ,পাটিগণিত একক
વ્યવસ્થા,ব্যবস্থা
એરે,অ্যারে
કૃત્રિમ ઉપગ્રહ,কৃত্রিম উপগ্রহ
કૃત્રિમ ચલ,কৃত্রিম পরিবর্তনশীল
ચડવું,আরোহণ
ચડતા,আরোহী
તીવ્રતાનો ચડતો ક્રમ,মাত্রার আরোহী ক্রম
ચડતી શ્રેણી,আরোহী সিরিজ
એસેમ્બલર ભાષા,সংযোজনকারী ভাষা
સોંપણીની સમસ્યા,নিয়োগ সমস্যা
સહયોગી કાયદો,সহযোগী আইন
ઓપરેટરોનો સહયોગી કાયદો,অপারেটরদের সহযোগী আইন
સહયોગી કામગીરી,সহযোগী অপারেশন
સહયોગ,সহযোগীতা
ધાર્યું સરેરાશ,ধরে নেওয়া গড়
અનુમાનિત સંભાવના વિતરણ,অনুমান সম্ভাব্যতা বন্টন
ધારણા,ধৃষ্টতা
જ્યોતિષ,জ্যোতিষশাস্ত্র
એસ્ટ્રોનોટિકલ એન્જિનિયર,মহাকাশচারী প্রকৌশলী
ખગોળશાસ્ત્રી,জ্যোতির্বিজ্ঞানী
ખગોળશાસ્ત્રીય ઘડિયાળ,জ্যোতির্বিদ্যা ঘড়ি
ખગોળશાસ્ત્ર,জ্যোতির্বিদ্যা
અસમપ્રમાણ વળાંક,অপ্রতিসম বক্ররেখা
અસમપ્રમાણતા,অসমতা
એસિમ્પ્ટોટ,উপসর্গ
એસિમ્પટોટિક,অ্যাসিম্পোটিক
એસિમ્પટોટિકલી કાર્યક્ષમ અંદાજકાર,লক্ষণগতভাবে দক্ষ অনুমানকারী
એસિમ્પટોટિકલી નિષ્પક્ષ અંદાજકર્તા,asymptotically নিরপেক্ষ অনুমানকারী
એસિમ્પ્ટોટિક વર્તન,অ্যাসিম্পোটিক আচরণ
એસિમ્પ્ટોટિક વિતરણ કાર્ય,অ্যাসিম্পোটিক ডিস্ট্রিবিউশন ফাংশন
એસિમ્પ્ટોટિક વિસ્તરણ,অ্যাসিম্পোটিক সম্প্রসারণ
વાતાવરણ નુ દબાણ,বায়ুমণ্ডলীয় চাপ
રેન્ડમ પર,এলোমেলোভাবে
લક્ષણ,বৈশিষ্ট্য
વિશેષતા નમૂના પ્રક્રિયા,বৈশিষ্ট্য নমুনা পদ্ধতি
સંવર્ધિત મેટ્રિક્સ,অগমেন্টেড ম্যাট্রিক্স
સ્વતઃસંબંધ ગુણાંક,স্বয়ংক্রিয় সম্পর্ক সহগ
સ્વતઃસંબંધ કાર્ય,স্বয়ংক্রিয় সম্পর্ক ফাংশন
ઓટોકોવરિઅન્સ,স্বয়ংক্রিয়তা
સ્વચાલિત કમ્પ્યુટર,স্বয়ংক্রিয় কম্পিউটার
ઓટો રીગ્રેશન,অটোরিগ্রেশন
સહાયક સમીકરણ,সহায়ক সমীকরণ
સરેરાશ સેમ્પલ નંબર કર્વ (ASN કર્વ),গড় নমুনা সংখ্যা বক্ররেখা (ASN কার্ভ)
સ્વયંસિદ્ધ,স্বতঃসিদ্ধ
સ્વયંસિદ્ધ અભિગમ,স্বতঃসিদ্ধ পদ্ধতি
સંભાવનાનું સ્વયંસિદ્ધ,সম্ভাব্যতার স্বতঃসিদ্ধ
ધરી,অক্ষ
abscissa ની અક્ષ,আবসিসার অক্ষ
પૃથ્વીની ધરી,পৃথিবীর অক্ষ
ક્રાંતિની ધરી,বিপ্লবের অক্ষ
પરિભ્રમણની અક્ષ,ঘূর্ণনের অক্ষ
સ્પિનની ધરી,ঘূর্ণনের অক্ষ
બેક-અવેજી,ফিরে প্রতিস্থাপন
પછાત તફાવત,পশ্চাদপদ পার্থক্য
બેકવર્ડ-ઇન્ટરપોલેશન ફોર્મ્યુલા,পশ্চাদগামী-ইন্টারপোলেশন সূত্র
સંતુલન,ভারসাম্য
સંતુલિત ડિઝાઇન,সুষম নকশা
સરવૈયા,ব্যালেন্স শীট
બેલિસ્ટિક મિસાઇલ,ক্ষেপণাস্ত্র
બેલિસ્ટિક્સ,ব্যালিস্টিক
બાર,বার
પાયો,ভিত্তি
આધાર કોણ,ভিত্তি কোণ
લઘુગણકનો આધાર,লগারিদমের ভিত্তি
પાયાની,মৌলিক
મૂળભૂત શક્ય ઉકેલ,মৌলিক সম্ভাব্য সমাধান
મૂળભૂત ઉકેલ,মৌলিক সমাধান
મૂળભૂત ચલ,মৌলিক পরিবর্তনশীল
આધાર,ভিত্তি
આધાર તત્વ,ভিত্তি উপাদান
આધાર મેટ્રિક્સ,ভিত্তি ম্যাট্রিক্স
વેક્ટર સ્પેસનો આધાર,একটি ভেক্টর স্থান ভিত্তি
સબસ્પેસનો આધાર,সাবস্পেস ভিত্তি
બેયસિયન અંદાજ,Bayesian অনুমান
બેયસનો કાયદો,বেইস আইন
બેયસનું પ્રમેય,বেইসের উপপাদ্য
બર્નૌલી વિતરણ,বার্নোলি বিতরণ
બર્નોલી નંબર,বার্নোলি নম্বর
બર્નૌલી સંભાવના કાર્ય,Bernoulli সম্ভাব্যতা ফাংশন
બર્નૌલીનું સમીકરણ,বার্নউলির সমীকরণ
બેરી કાર્ય,বেরি ফাংশন
શ્રેષ્ઠ ગોઠવણ,শ্রেষ্ঠ মিল
શ્રેષ્ઠ - ફિટ લાઇન,সেরা - ফিট লাইন
શ્રેષ્ઠ ઉકેલ,সেরা সমাধান
શ્રેષ્ઠ વ્યૂહરચના,সেরা কৌশল
બીટા વિતરણ,বিটা বিতরণ
પૂર્વગ્રહ,পক্ষপাত
પક્ષપાતી અંદાજ,পক্ষপাতমূলক অনুমান
બિહાર્મોનિક સમીકરણ,বিহারমোনিক সমীকরণ
બાયજેક્શન,দ্বিখণ্ডন
દ્વિભાષી નકશો,দ্বিমুখী মানচিত্র
બાયજેક્ટિવ મેપિંગ,দ্বিমুখী ম্যাপিং
દ્વિરેખીય સ્વરૂપ,বাইলিনিয়ার ফর্ম
દ્વિરેખીય કાર્ય,বাইলিনিয়ার ফাংশন
દ્વિરેખીય હર્મિટિયન સ્વરૂપ,বাইলিনিয়ার হারমিটিয়ান ফর্ম
દ્વિસંગી,বাইনারি
દ્વિસંગી કોડ,বাইনারি কোড
દ્વિસંગી કોડેડ દશાંશ,বাইনারি কোডেড দশমিক
દ્વિસંગી કોડિંગ,বাইনারি কোডিং
દ્વિસંગી કમ્પ્યુટર,বাইনারি কম্পিউটার
દ્વિસંગી અંક,বাইনারি সংখ্যা
દ્વિસંગી કામગીરી,বাইনারি অপারেশন
દ્વિસંગી સિસ્ટમ,বাইনারি সিস্টেম
દ્વિસંગી ચલ,বাইনারি পরিবর্তনশীল
દ્વિપદી ગુણાંક,দ্বিপদ সহগ
દ્વિપદી વિતરણ,দ্বিপদ ডিস্ট্রিবিউশন
દ્વિપદી સમીકરણ,দ্বিপদ সমীকরণ
દ્વિપદી વિસ્તરણ,দ্বিপদ সম্প্রসারণ
દ્વિપદી અભિવ્યક્તિ,দ্বিপদ অভিব্যক্তি
દ્વિપદી રેન્ડમ ચલ,দ্বিপদী র্যান্ডম পরিবর্তনশীল
દ્વિપદી પ્રમેય,দ্বিপদ উপপাদ্য
દ્વિભાગ,দ্বিখণ্ডন
દ્વિભાજન પદ્ધતિ,দ্বিখণ্ডিত পদ্ধতি
દ્વિભાજક,দ্বিখণ্ডিত
બાયસીરીયલ,biserial
બીટ,বিট
દ્વિપક્ષીય દ્વિપદી વિતરણ,দ্বিপদ দ্বিপদ বণ্টন
બાયવેરિયેટ સહસંબંધ ગુણાંક,bivariate পারস্পরিক সম্পর্ক সহগ
દ્વિવિધ વિતરણ,দ্বিমুখী বন্টন
બાયવેરિયેટ સામાન્ય વિતરણ,দ্বিমুখী স্বাভাবিক বন্টন
બાઇવેક્ટર,bivector
બોલ્ટ્ઝમેન સમીકરણ,বোল্টজম্যান সমীকরণ
બુલિયન બીજગણિત,বুলিয়ান বীজগণিত
બોઝ - આઈન્સ્ટાઈન આંકડા,বোস-আইনস্টাইন পরিসংখ্যান
સીમાની સ્થિતિ,সীমানার অবস্থা
સીમા સ્તર,সীমানা স্তর
સીમા રેખા,সীমান
સીમા મૂલ્ય,সীমানা মান
સીમા મૂલ્યની સમસ્યા,সীমানা মান সমস্যা
બંધાયેલ કાર્ય,আবদ্ধ ফাংশন
બાઉન્ડેડ મેટ્રિક્સ,আবদ্ধ ম্যাট্রিক্স
સીમિત પ્રદેશ,আবদ্ধ অঞ্চল
બાઉન્ડેડ સેટ,আবদ্ধ সেট
બ્રાઉનિયન ગતિ,ব্রোমিন
ગણત્રી,গণনা করা
ગણતરી,গণনা করা
ગણતરી મશીન,গননা যন্ত্র
ગણતરી,গণনা
ગણતરીની પ્રક્રિયા,গণনা পদ্ধতি
કેલ્ક્યુલેટર,ক্যালকুলেটর
કલન,ক্যালকুলাস
વિવિધતાની ગણતરી,পরিবর্তনের ক্যালকুলাস
કેલરી,ক্যালোরি
રદ કરવાનો કાયદો,বাতিল আইন
પ્રામાણિક સમીકરણ,ক্যানোনিকাল সমীকরণ
પ્રમાણભૂત સ્વરૂપ,ক্যানোনিকাল ফর্ম
