Marathi,Kannada
अबेलियन गट,ಅಬೆಲಿಯನ್ ಗುಂಪು
अबेलियन अर्धसमूह,ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್
abscissa,ಅಬ್ಸಿಸ್ಸಾ
निरपेक्ष,ಸಂಪೂರ್ಣ
परिपूर्ण अभिसरण,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
पूर्ण त्रुटी,ಸಂಪೂರ್ಣ ದೋಷ
परिपूर्ण कमाल,ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ
परिपूर्ण किमान,ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ
परिपूर्ण मूल्य,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
परिपूर्ण वेग,ಸಂಪೂರ್ಣ ವೇಗ
अमूर्त बीजगणित,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
अमूर्त गट सिद्धांत,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
प्रवेग,ವೇಗವರ್ಧನೆ
गुरुत्वाकर्षणामुळे प्रवेग,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
स्वीकार्य निवड संच,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್
स्वीकार्य गुणवत्ता पातळी,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
स्वीकार्य श्रेणी,ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ
स्वीकार्य विश्वसनीयता पातळी,ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
स्वीकार्य नमुना,ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ
संचित त्रुटी,ಸಂಚಿತ ದೋಷ
अचूकता,ನಿಖರತೆ
अभिनय शक्ती,ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ
क्रिया,ಕ್ರಮ
क्रिया आणि प्रतिक्रिया,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
वास्तविक विज्ञान,ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ
तीव्र कोन त्रिकोण,ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ
अॅसायक्लिक,ಅಸೈಕ್ಲಿಕ್
जोडा,ಸೇರಿಸಿ
जोडणारा,ಸೇರಿಸುವವನು
या व्यतिरिक्त,ಜೊತೆಗೆ
जोड सूत्र,ಸೇರ್ಪಡೆ ಸೂತ್ರ
जटिल संख्यांची बेरीज,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ
कार्ये जोडणे,ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ
मॅट्रिक्स जोडणे,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ
बहुपदी जोडणे,ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ
संभाव्यता जोडणे,ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ
वेक्टर जोडणे,ವಾಹಕಗಳ ಸೇರ್ಪಡೆ
अतिरिक्त प्रमेय,ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ
मिश्रित गट,ಸಂಯೋಜಕ ಗುಂಪು
additive inverse,ಸಂಯೋಜಕ ವಿಲೋಮ
अतिरिक्त गुणधर्म,ಸಂಯೋಜಕ ಆಸ್ತಿ
जोड,ಸಂಕಲನ
संलग्नता मॅट्रिक्स,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
समीप,ಪಕ್ಕದ
समीप कोन,ಪಕ್ಕದ ಕೋನಗಳು
समीप शिरोबिंदू,ಪಕ್ಕದ ಶೃಂಗ
