Marathi,Punjabi
एसी समतुल्य सर्किट,ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ
एनालॉग ते अंकीय कनवर्टर,ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ
पूर्ण शून्य,ਪੂਰਨ ਜ਼ੀਰੋ
शोषण गुणांक,ਸਮਾਈ ਗੁਣਾਂਕ
शोषण स्पेक्ट्रम,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ
रिसेप्टर अणू,ਰੀਸੈਪਟਰ ਐਟਮ
पर्यायी वर्तमान जोडणी,ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ
इलेक्ट्रॉन कापणी,ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ
भोक संचयन,ਮੋਰੀ ਸਟੋਰੇਜ਼
सक्रियता ऊर्जा,ਸਰਗਰਮੀ ਊਰਜਾ
सक्रिय अॅम्प्लीफायर,ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ
सक्रिय डायोड सर्किट,ਸਰਗਰਮ diode ਸਰਕਟ
सक्रिय फिल्टर,ਸਰਗਰਮ ਫਿਲਟਰ
सक्रिय उच्च वारंवारता पर्केट फिल्टर,ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ
सक्रिय भार,ਸਰਗਰਮ ਲੋਡ
सक्रिय कमी वारंवारता पार्स फिल्टर,ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ
सक्रिय क्षेत्र,ਸਰਗਰਮ ਖੇਤਰ
अनुकूली इलेक्ट्रॉनिक्स,ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ
जोडणारा,ਜੋੜਨ ਵਾਲਾ
समायोज्य बँड विस्तार,ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ
प्रवेश,ਪ੍ਰਵੇਸ਼
एरियल,ਏਰੀਅਲ
pep वारंवारता,pep ਬਾਰੰਬਾਰਤਾ
एअर कंडिशनर,ੲੇ. ਸੀ
संरेखन,ਅਲਾਈਨਮੈਂਟ
अल्गोरिदम,ਐਲਗੋਰਿਦਮ
सर्व पास फिल्टर,ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ
मिश्र धातु जंक्शन,ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ
क्षीणन,ਧਿਆਨ
पर्यायी प्रवाह,ਬਦਲਵੇਂ ਮੌਜੂਦਾ
वातावरणीय तापमान,ਅੰਬੀਨਟ ਤਾਪਮਾਨ
द्विध्रुवीय,ਬਾਈਪੋਲਰ
प्रवर्धन,ਵਾਧਾ
अॅम्प्लिफायर,ਐਂਪਲੀਫਾਇਰ
एम्पलीफायर कार्यक्षमता,ਐਂਪਲੀਫਾਇਰ ਕੁਸ਼ਲਤਾ
परिमाण,ਮਾਪ
मोठेपणा क्षीणन,ਐਪਲੀਟਿਊਡ attenuation
अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਡ AM ਔਸਿਲੇਟਰ
मोठेपणा मॉड्यूलेशन,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਸ਼ਨ
मोठेपणा मॉड्युलेटर,ਐਪਲੀਟਿਊਡ ਮੋਡਿਊਲੇਟਰ
अँग्स्ट्रोम युनिट,ਐਂਗਸਟ੍ਰੋਮ ਯੂਨਿਟ
अॅनालॉग सर्किट,ਐਨਾਲਾਗ ਸਰਕਟ
अॅनालॉग संगणक,ਐਨਾਲਾਗ ਕੰਪਿਊਟਰ
अॅनालॉग फिल्टर,ਐਨਾਲਾਗ ਫਿਲਟਰ
अॅनालॉग मल्टीमीटर,ਐਨਾਲਾਗ ਮਲਟੀਮੀਟਰ
अॅनालॉग स्विच,ਐਨਾਲਾਗ ਸਵਿੱਚ
आणि गेट,ਅਤੇ ਗੇਟ
कोनीय वारंवारता,ਕੋਣੀ ਬਾਰੰਬਾਰਤਾ
"anion, anion","anion, anion"
एनीलिंग तापमान,ਐਨੀਲਿੰਗ ਤਾਪਮਾਨ
एनोड,ਐਨੋਡ
एनोड अॅम्प्लिफायर,ਐਨੋਡ ਐਂਪਲੀਫਾਇਰ
anodyne,anodyne
अँटेना,ਐਂਟੀਨਾ
अँटेना घटक,ਐਂਟੀਨਾ ਕੰਪੋਨੈਂਟ
विरोधी परावर्तक कोटिंग,ਵਿਰੋਧੀ ਪ੍ਰਤੀਬਿੰਬ ਪਰਤ
अँटिलॉगिन अॅम्प्लिफायर,ਐਂਟੀਲੌਗਿਨ ਐਂਪਲੀਫਾਇਰ
अँटीरेझोनंट सर्किट,antiresonant ਸਰਕਟ
द्वारक काळ,ਦੁਆਰਕ ਕਾਲ
आभासी शक्ती,ਵਰਚੁਅਲ ਪਾਵਰ
वायर कनेक्शन,ਤਾਰ ਕੁਨੈਕਸ਼ਨ
अंदाजे व्होल्टेज वाढ,ਲਗਭਗ ਵੋਲਟੇਜ ਲਾਭ
आर्मस्ट्राँग मॉड्युलेटर,armstrong modulator
अँटेना अॅरे,ਐਂਟੀਨਾ ਐਰੇ
"आकार गुणोत्तर, गुणोत्तर","ਆਕਾਰ ਅਨੁਪਾਤ, ਆਕਾਰ ਅਨੁਪਾਤ"
फ्लोटिंग सर्किट (फ्री ऑपरेटिंग सर्किट),ਫਲੋਟਿੰਗ ਸਰਕਟ (ਮੁਫ਼ਤ ਓਪਰੇਟਿੰਗ ਸਰਕਟ)
स्वयंचलित मल्टीव्हायब्रेटर,ਆਟੋਮੈਟਿਕ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ
फ्लोटिंग मल्टीव्हायब्रेटर,ਫਲੋਟਿੰਗ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ
असममित जंक्शन,ਅਸਮਿਤ ਜੰਕਸ਼ਨ
असिंक्रोनस कॅल्क्युलेटर,ਅਸਿੰਕ੍ਰੋਨਸ ਕੈਲਕੁਲੇਟਰ
आण्विक,ਪ੍ਰਮਾਣੂ
अणुक्रमांक,ਪਰਮਾਣੂ ਨੰਬਰ
अणु रचना,ਪਰਮਾਣੂ ਬਣਤਰ
ऑडिओ अॅम्प्लीफायर,ਆਡੀਓ ਐਂਪਲੀਫਾਇਰ
ऑडिओ अॅम्प्लीफायर,ਆਡੀਓ ਐਂਪਲੀਫਾਇਰ
ऑडिओ कॅसेट,ਆਡੀਓ ਕੈਸੇਟ
ऑडिओ सर्किट,ਆਡੀਓ ਸਰਕਟ
ऐकण्यायोग्य वारंवारता,ਸੁਣਨਯੋਗ ਬਾਰੰਬਾਰਤਾ
स्वयंचलित व्होल्टेज नियंत्रण,ਆਟੋਮੈਟਿਕ ਵੋਲਟੇਜ ਕੰਟਰੋਲ
हिमस्खलन,ਬਰਫ਼ਬਾਰੀ
सरासरी डिटेक्टर,ਔਸਤ ਖੋਜੀ
अक्षीय मोड,ਧੁਰੀ ਮੋਡ
अक्षीय प्रमाण,ਧੁਰੀ ਅਨੁਪਾਤ
अँटेना,ਐਂਟੀਨਾ
बॅक इलेक्ट्रोमोटिव्ह फोर्स,ਵਾਪਸ ਇਲੈਕਟ੍ਰੋਮੋਟਿਵ ਫੋਰਸ
मागील क्षेत्र,ਪਿਛਲਾ ਖੇਤਰ
परत स्कॅटर,ਵਾਪਸ ਸਕੈਟਰ
पार्श्वभूमी शुल्क,ਪਿਛੋਕੜ ਚਾਰਜ
बाजूचा आवाज,ਪਾਸੇ ਦਾ ਰੌਲਾ
प्रतिगामी,ਪਿਛਾਖੜੀ
पोस्टरियर इरॅडिएशन,ਪਿਛਲਾ ਕਿਰਨ
बॅकवर्ड डायोड / बॅकवर्ड डायोड,ਬੈਕਵਰਡ ਡਾਇਡ / ਬੈਕਵਰਡ ਡਾਇਡ
बॅकवर्ड वेव्ह ऑसिलेटर,ਬੈਕਵਰਡ ਵੇਵ ਔਸਿਲੇਟਰ
"अडथळा, अडथळा","ਰੁਕਾਵਟ, ਰੁਕਾਵਟ"
अडथळा,ਰੁਕਾਵਟ
संतुलित पूल,ਸੰਤੁਲਿਤ ਪੁਲ
संतुलित मॉड्युलेटर,ਸੰਤੁਲਿਤ ਮੋਡਿਊਲੇਟਰ
संतुलित मॉड्युलेटर,ਸੰਤੁਲਿਤ ਮੋਡਿਊਲੇਟਰ
संतुलित सर्किट,ਸੰਤੁਲਿਤ ਸਰਕਟ
संतुलित ग्रेडियंट डिटेक्टर,ਸੰਤੁਲਿਤ ਗਰੇਡੀਐਂਟ ਡਿਟੈਕਟਰ
वर्तमान स्टॅबिलायझर प्रतिरोध,ਮੌਜੂਦਾ ਸਟੈਬੀਲਾਈਜ਼ਰ ਪ੍ਰਤੀਰੋਧ
बोलोमीटर,ਬੋਲੋਮੀਟਰ
बोलोमीटर पूल,ਬੋਲੋਮੀਟਰ ਪੁਲ
फुगा,ਗੁਬਾਰਾ
केळी जॅक,ਕੇਲਾ ਜੈਕ
केळी प्लग,ਕੇਲੇ ਦਾ ਪਲੱਗ
"पट्टी, पट्टी","ਪੱਟੀ, ਪੱਟੀ"
बँड चालक,ਬੈਂਡ ਡਰਾਈਵਰ
बँड ऊर्जा,ਬੈਂਡ ਊਰਜਾ
बँड अंतर,ਬੈਂਡ ਗੈਪ
बॅडपार्क अॅम्प्लीफायर,ਬੈਡਪਾਰਕ ਐਂਪਲੀਫਾਇਰ
बँड पास फिल्टर,ਬੈਂਡ ਪਾਸ ਫਿਲਟਰ
बॉड रेट जनरेटर,ਬੌਡ ਰੇਟ ਜਨਰੇਟਰ
banddispersion,banddispersion
बँड रेझिस्टर,ਬੈਂਡ ਰੋਧਕ
बँड ब्रेकर फिल्टर,ਬੈਂਡ ਤੋੜਨ ਵਾਲਾ ਫਿਲਟਰ
बँड विस्तार,ਬੈਂਡ ਦਾ ਵਿਸਥਾਰ
बँड रिमूव्हर फिल्टर,ਬੈਂਡ ਰੀਮੂਵਰ ਫਿਲਟਰ
बँड विस्तार विक्षेप गुणक,ਬੈਂਡ ਐਕਸਪੈਂਸ਼ਨ ਡਿਫਲੈਕਸ਼ਨ ਗੁਣਕ
बँड विस्तार अंतर गुणक,ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ ਦੂਰੀ ਗੁਣਕ
"बीम कॅपेसिटर, बँक कॅपेसिटर","ਬੀਮ ਕੈਪਸੀਟਰ, ਬੈਂਕ ਕੈਪਸੀਟਰ"
"बार्कर कोड, बार्कर कोड","ਬਾਰਕਰ ਕੋਡ, ਬਾਰਕਰ ਕੋਡ"
barravaugen निकष,barravaugen ਮਾਪਦੰਡ
बॅरेटर,ਬੈਰਟਰ
अडथळा,ਰੁਕਾਵਟ
इन्सुलेट कॅपेसिटर,ਇਨਸੂਲੇਟਿੰਗ ਕੈਪਸੀਟਰ
अडथळा ऊर्जा,ਰੁਕਾਵਟ ਊਰਜਾ
रेझिस्टर व्होल्टेज,ਰੋਧਕ ਵੋਲਟੇਜ
बार्टलेट विंडो,ਬਾਰਟਲੇਟ ਵਿੰਡੋ
"आधार, आधार","ਅਧਾਰ, ਅਧਾਰ"
बेस बँड,ਅਧਾਰ ਬੈਂਡ
बेस बँड ट्रान्समिशन,ਬੇਸ ਬੈਂਡ ਪ੍ਰਸਾਰਣ
बेस चार्ज,ਬੇਸ ਚਾਰਜ
बेस करंट,ਅਧਾਰ ਮੌਜੂਦਾ
मूळ वर्तमान स्रोत,ਅਧਾਰ ਮੌਜੂਦਾ ਸਰੋਤ
बेस कातरणे,ਅਧਾਰ ਕੱਟਣਾ
आधार मदन,ਆਧਾਰ ਮਦਨ
बेस एमिटर फीड,ਬੇਸ ਐਮੀਟਰ ਫੀਡ
बेस एमिटर जंक्शन,ਬੇਸ ਐਮੀਟਰ ਜੰਕਸ਼ਨ
बेस इंजेक्शन,ਅਧਾਰ ਟੀਕਾ
ग्राउंड लाईन,ਜ਼ਮੀਨੀ ਲਾਈਨ
बेस प्रतिकार,ਅਧਾਰ ਪ੍ਰਤੀਰੋਧ
मूळ स्रोत,ਅਧਾਰ ਸਰੋਤ
बेस विस्तार प्रतिकार,ਅਧਾਰ ਵਿਸਤਾਰ ਪ੍ਰਤੀਰੋਧ
बेस विस्तार प्रतिकार,ਅਧਾਰ ਵਿਸਤਾਰ ਪ੍ਰਤੀਰੋਧ
बेस जाडी,ਅਧਾਰ ਮੋਟਾਈ
बेस प्रवेश,ਅਧਾਰ ਪਹੁੰਚ
"बेस विड्थ मॉड्युलेशन, बेस एक्सपेन्शन मॉड्युलेशन","ਬੇਸ ਵਿਡਥ ਮੋਡੂਲੇਸ਼ਨ, ਬੇਸ ਐਕਸਪੈਂਸ਼ਨ ਮੋਡੂਲੇਸ਼ਨ"
बेस कलेक्टर करार,ਆਧਾਰ ਕੁਲੈਕਟਰ ਸੰਧੀ
वास,ਗੰਧ
बास वारंवारता,ਬਾਸ ਬਾਰੰਬਾਰਤਾ
बॅटरी,ਬੈਟਰੀ
बॉड,ਬੌਡ
बॉड दर,ਬੌਡ ਦਰ
बॉड रेट जनरेटर,ਬੌਡ ਰੇਟ ਜਨਰੇਟਰ
बोडो कोड,ਬੋਡੋ ਕੋਡ
"सिग्नल, बीकन","ਸੰਕੇਤ, ਬੀਕਨ"
"माणिका, बीड","ਮਨਿਕਾ, ਬੀਡ"
मॅनिक कॅपेसिटर,manic capacitor
मणिकर्तपी प्रतिरोधक,ਮਾਨਿਕਰ੍ਤਾਪਿ ਪ੍ਰਤਿਰੋਧਕਃ
"बीम अँटेना, बीम अँटेना","ਬੀਮ ਐਂਟੀਨਾ, ਬੀਮ ਐਂਟੀਨਾ"
बीम डिटेक्टर,ਬੀਮ ਡਿਟੈਕਟਰ
बीम पॉवर नळी,ਬੀਮ ਪਾਵਰ ਹੋਜ਼
बीम स्विचिंग नोजल,ਬੀਮ ਸਵਿਚਿੰਗ ਨੋਜ਼ਲ
तुळई विस्तार,ਬੀਮ ਦਾ ਵਿਸਥਾਰ
बीट वारंवारता,ਬੀਟ ਬਾਰੰਬਾਰਤਾ
बीट-फ्रिक्वेंसी ऑसिलेटर,ਬੀਟ-ਫ੍ਰੀਕੁਐਂਸੀ ਔਸਿਲੇਟਰ
पल्स ऑसिलेटर,ਪਲਸ ਔਸਿਲੇਟਰ
घंटा,ਘੰਟੀ
वाकणे नुकसान,ਝੁਕਣ ਦਾ ਨੁਕਸਾਨ
बेसल फिल्टर,ਬੇਸਲ ਫਿਲਟਰ
बीटा,ਬੀਟਾ
b-h वक्र,b-h ਵਕਰ
"पक्षपात, पक्षपात","ਪੱਖਪਾਤ, ਪੱਖਪਾਤ"
पूर्वाग्रह वर्तमान,ਪੱਖਪਾਤ ਮੌਜੂਦਾ
पूर्वाग्रह प्रतिकार,ਪੱਖਪਾਤ ਪ੍ਰਤੀਰੋਧ
दुहेरी अँटेना,ਡਬਲ ਐਂਟੀਨਾ
द्विदिशात्मक भार प्रवाह,ਦੋ-ਦਿਸ਼ਾਵੀ ਲੋਡ ਕਰੰਟ
द्विदिश अँटेना,ਦੋ-ਦਿਸ਼ਾਵੀ ਐਂਟੀਨਾ
द्विदिश प्रकाश उत्सर्जक डायोड,ਦੋ-ਦਿਸ਼ਾਵੀ ਰੋਸ਼ਨੀ ਐਮੀਟਿੰਗ ਡਾਇਓਡ
द्विदिशात्मक थायरिस्टर,ਦੋ-ਦਿਸ਼ਾਵੀ thyristor
bi FET तंत्रज्ञान,bi FET ਤਕਨਾਲੋਜੀ
द्वि-बिंदू ट्रान्सफॉर्मर,ਦੋ ਬਿੰਦੂ ਟ੍ਰਾਂਸਫਾਰਮਰ
दुहेरी संलयन,ਡਬਲ ਫਿਊਜ਼ਨ
द्विपक्षीय सर्किट,ਦੁਵੱਲੀ ਸਰਕਟ
बायनरी,ਬਾਈਨਰੀ
बायनरी बेरीज,ਬਾਈਨਰੀ ਜੋੜ
बायनरी सर्किट,ਬਾਈਨਰੀ ਸਰਕਟ
बायनरी कोडेड दशांश,ਬਾਈਨਰੀ ਕੋਡਿਡ ਦਸ਼ਮਲਵ
बायनरी कोडेड दशांश प्रणाली,ਬਾਈਨਰੀ ਕੋਡਡ ਡੈਸੀਮਲ ਸਿਸਟਮ
बायनरी द्विध्रुवीय कॅपेसिटर,ਬਾਈਨਰੀ ਡਾਈਪੋਲ ਕੈਪਸੀਟਰ
बायनरी कॅल्क्युलेटर,ਬਾਈਨਰੀ ਕੈਲਕੁਲੇਟਰ
बायनरी कॅल्क्युलेटर,ਬਾਈਨਰੀ ਕੈਲਕੁਲੇਟਰ
बायनरी डीकोडर,ਬਾਈਨਰੀ ਡੀਕੋਡਰ
बायनरी शिडी,ਬਾਈਨਰੀ ਪੌੜੀ
बायनरी पॅथोमीटर,ਬਾਈਨਰੀ ਪਾਥੋਮੀਟਰ
बायनरी स्थिती,ਬਾਈਨਰੀ ਸਥਿਤੀ
बायनरी-दशांश डिकोडर,ਬਾਈਨਰੀ-ਦਸ਼ਮਲਵ ਡੀਕੋਡਰ
बायनरी लोड,ਬਾਈਨਰੀ ਲੋਡ
बायनरी शब्द,ਬਾਈਨਰੀ ਸ਼ਬਦ
द्विध्रुवीय,ਬਾਈਪੋਲਰ
द्विध्रुवीय कॅपेसिटर,ਬਾਇਪੋਲਰ ਕੈਪੇਸੀਟਰ
द्विध्रुवीय उपकरण,ਦੋਧਰੁਵੀ ਜੰਤਰ
द्विध्रुवीय स्रोत,ਦੋਧਰੁਵੀ ਸਰੋਤ
द्विध्रुवीय ट्रान्झिस्टर,ਬਾਈਪੋਲਰ ਟਰਾਂਜ਼ਿਸਟਰ
द्विध्रुवीय जंक्शन ट्रान्झिस्टर,ਬਾਈਪੋਲਰ ਜੰਕਸ਼ਨ ਟਰਾਂਜ਼ਿਸਟਰ
चतुर्भुज फिल्टर,ਚਤੁਰਭੁਜ ਫਿਲਟਰ
दुहेरी स्थिती,ਡਬਲ ਸਥਿਤੀ
दोन-स्टेज मल्टीव्हायब्रेटर,ਦੋ-ਪੜਾਅ ਮਲਟੀਵਾਈਬ੍ਰੇਟਰ
द्विदिशात्मक रिले,ਦੋ-ਦਿਸ਼ਾਵੀ ਰੀਲੇਅ
biphasic स्थिती,ਦੋ-ਪੜਾਅ ਰਾਜ
दोन-स्थिती ट्रिगर,ਦੋ-ਸਥਿਤੀ ਟਰਿੱਗਰ
बिट त्रुटी,ਬਿੱਟ ਗਲਤੀ
बिट त्रुटी दर,ਬਿੱਟ ਗਲਤੀ ਦਰ
बिट त्रुटी,ਬਿੱਟ ਗਲਤੀ
बिटकल त्रुटी,ਬਿਟਕਲ ਗਲਤੀ
आंधळा बॉक्स,ਅੰਨ੍ਹੇ ਬਾਕਸ
घनरूप नाडी,ਸੰਘਣੀ ਨਬਜ਼
सचिव,ਸਕੱਤਰ
सेक्रेटरी इनहिबिटर,secretory inhibitor
अंधत्व,ਅੰਨ੍ਹਾਪਨ
खंड आकृती,ਖੰਡ ਚਿੱਤਰ
अवरोधित करणे,ਰੁਕਾਵਟ ਨੂੰ ਰੋਕਣਾ
तुकडा हस्तांतरण,ਟੁਕੜਾ ਟ੍ਰਾਂਸਫਰ
इंटरसेप्ट,ਰੁਕਾਵਟ
रेझिस्टर कॅपेसिटर,ਬਲਾਕਿੰਗ ਕੈਪਸੀਟਰ
