Malayalam,Gujarati
വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി,વેસ્ટમિન્સ્ટરના એબી
ഒഴിഞ്ഞുമാറുക,ત્યાગી
അടിമത്തം നിർത്തലാക്കൽ,ગુલામી નાબૂદી
ആദിവാസികൾ,એબોરિજિનલ
അബ്രഹാം യുഗം,અબ્રાહમ યુગ
ഹാജരാകാത്ത ഭൂവുടമകൾ,ગેરહાજર મકાનમાલિકો
അക്കാദമി,એકેડમી
അക്ര സമ്മേളനം,અકરા કોન્ફરન્સ
സമാഹരണങ്ങൾ,સંસાધનો
സംസ്കരണം,સંવર્ધન
അസെൽഡാമ,એસેલડામા
അച്ചായൻ (=അച്ചിയൻ),અચેઅન (=અચિયન)
അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്),આચિયન લીગ (=એચિયન લીગ)
അക്രോപോളിസ്,એક્રોપોલિસ
ആക്റ്റ ദിയുർന,એક્ટા દીર્ના
ആക്റ്റ സെനറ്റസ്,એક્ટા સેનાટસ
ആക്റ്റ് അഡീഷണൽ,એક્ટ એડિશનલ
സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്),સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ)
നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം,પ્રાપ્ત કરનારનું કાર્ય
നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം,ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય
സെറ്റിൽമെന്റ് നിയമം,સમાધાનનો અધિનિયમ
പരസ്യ കരാർ മുദ്ര,જાહેરાત કરાર સીલ
അഡുല്ലമൈറ്റുകൾ,અદુલ્લામાઈટસ
എതിരാളി,વિરોધી
എതിരാളി,વિરોધી
അയോൺ,એઓન
എയറേറിയം,એરેરિયમ
ആകാശ യുദ്ധം,હવાઈ યુદ્ધ
എറ്റോലിയൻ ലീഗ്,એટોલિયન લીગ
വയസ്സ്,ઉંમર
വാർദ്ധക്യം (=വാർദ്ധക്യം),વૃદ્ધત્વ (=વૃદ્ધત્વ)
പ്രായമാകൽ പ്രക്രിയ,વૃદ્ધત્વ પ્રક્રિયા
അഗെലൈ,અગેલાઈ
ധീരതയുടെ പ്രായം,શૌર્યની ઉંમર
എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം,જ્ઞાનની ઉંમર
പെരിക്കിൾസിന്റെ പ്രായം,પેરિકલ્સની ઉંમર
യുക്തിയുടെ പ്രായം,કારણની ઉંમર
കാർഷികവാദം,કૃષિવાદ
കാർഷിക പ്രസ്ഥാനം,કૃષિ આંદોલન
ആൽബിയോൺ,એલ્બિયન
ആൽബം,આલ્બમ
ആൽഡർമാൻ,એલ્ડરમેન
വശീകരിക്കുന്ന ആയുധങ്ങൾ,મોહક શસ્ત્રો
അമിറ്റി,સૌમ્યતા
ആംഫിക്റ്റോണിക് കൗൺസിൽ,એમ્ફિક્ટિઓનિક કાઉન્સિલ
ആംഫിക്റ്റോണിക് ലീഗ്,એમ્ફિક્ટિઓનિક લીગ
ആംഫി തിയേറ്റർ,એમ્ફીથિયેટર
അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ),અમરી નલ જૂથ (માટીના વાસણો)
അനാക്രോണിസം,અનાક્રોનિઝમ
അനാക്രോണിസ്റ്റിക്,એનાક્રોનિસ્ટિક
പൂർവ്വികൻ,પૂર્વજ
പൂർവിക ആരാധന,પૂર્વજની પૂજા
വംശപരമ്പര,વંશ
വംശപരമ്പര,વંશ
വംശപരമ്പര,વંશ
വംശപരമ്പര,વંશ
പുരാതന ഭരണം,પ્રાચીન શાસન
പുരാതന,પ્રાચીન
പുരാതന ബാലഡ്,પ્રાચીન લોકગીત
പുരാതന വിശ്വാസം,પ્રાચીન માન્યતા
പുരാതന ആചാരം,પ્રાચીન રિવાજ
പുരാതനമായ ചരിത്രം,પ્રાચીન ઇતિહાસ
പുരാതന സ്മാരകങ്ങൾ,પ્રાચીન સ્મારકો
ഉപകഥ,ટુચકો
ആഞ്ചലോട്ട്,એન્જેલોટ
ആഞ്ചലസ്,એન્જલસ
ആഞ്ജെവിൻ (=ആഞ്ജെവിൻ),એન્જેવિન (=એન્જેવિન)
കോണുകൾ,ખૂણો
ആംഗ്ലിക്കൻ,એંગ્લિકન
ആംഗ്ലിക്കൻ കൂട്ടായ്മ,એંગ્લિકન કોમ્યુનિયન
ആംഗ്ലിക്കനിസം,અંગ્રેજવાદ
ആംഗ്ലോ-ഫോബ്,એંગ્લો-ફોબ
ആംഗ്ലോ-ഫോബിയ,એંગ્લો-ફોબિયા
ആംഗ്ലോ-സാക്സൺ,એંગ્લો-સેક્સન
ആംഗ്ലോ-സാക്‌സോണിസം,એંગ્લો-સેક્સોનિઝમ
അനലിസ്റ്റ്,એનાલિસ્ટ
