Hindi,Kannada
ए.सी. समतुल्य परिपथ,ಎಸಿ ಸಮಾನ ಸರ್ಕ್ಯೂಟ್
अनुरूप से अंकीय परिवर्तक,ಸಂಖ್ಯಾ ಪರಿವರ್ತಕಕ್ಕೆ ಅನಲಾಗ್
परम शून्य,ಸಂಪೂರ್ಣ ಶೂನ್ಯ
अवशोषण गुणांक,ಹೀರಿಕೊಳ್ಳುವ ಗುಣಾಂಕ
अवशोषण स्पेक्ट्रम,ಹೀರಿಕೊಳ್ಳುವ ವರ್ಣಪಟಲ
ग्राही परमाणु,ಗ್ರಾಹಕ ಪರಮಾಣು
प्रत्यावर्ती धारा युग्मन,ಪರ್ಯಾಯ ವಿದ್ಯುತ್ ಜೋಡಣೆ
इलेक्ट्रॉन संचयन,ಎಲೆಕ್ಟ್ರಾನ್ ಕೊಯ್ಲು
होल संचयन,ರಂಧ್ರ ಸಂಗ್ರಹಣೆ
सक्रियण ऊर्जा,ಸಕ್ರಿಯಗೊಳಿಸುವ ಶಕ್ತಿ
सक्रिय प्रवर्धक,ಸಕ್ರಿಯ ಆಂಪ್ಲಿಫಯರ್
सक्रिय डायोड परिपथ,ಸಕ್ರಿಯ ಡಯೋಡ್ ಸರ್ಕ್ಯೂಟ್
सक्रिय फिल्टर,ಸಕ್ರಿಯ ಫಿಲ್ಟರ್
सक्रिय उच्च आवृत्ति पारक फिल्टर,ಸಕ್ರಿಯ ಹೈ ಫ್ರೀಕ್ವೆನ್ಸಿ ಪ್ಯಾರ್ಕ್ವೆಟ್ ಫಿಲ್ಟರ್
सक्रिय लोड,ಸಕ್ರಿಯ ಲೋಡ್
सक्रिय निमन आवृत्ति पारक फिल्टर,ಸಕ್ರಿಯ ಕಡಿಮೆ ಆವರ್ತನ ಪಾರ್ಸ್ ಫಿಲ್ಟರ್
सक्रिय क्षेत्र,ಸಕ್ರಿಯ ಪ್ರದೇಶ
अनुकूली इलेक्ट्रॉनिकी,ಹೊಂದಾಣಿಕೆಯ ಎಲೆಕ್ಟ್ರಾನಿಕ್ಸ್
योजक,ಸೇರಿಸುವವನು
