Assamese,Hindi
এম্পিয়াৰ (ইউনিট),ऐम्पियर (मात्रक)
angstrum,ऐंगस्ट्रम
এ-ক্লাছ এম্প্লিফায়াৰ,ए-वर्ग प्रवर्धक
এ এন ৰেডিঅ&#39; সহায়,ए.एन रेडियो सहाय
a-স্কেনিং উপস্থাপন,ए-क्रमवीक्षण प्रस्तुति
আ-দৰ্শ,ए-दर्श
এ-স্কোপ পৰিৱেশন,ए-स्कोप प्रदर्शन
A-T বক্ৰ স্ফটিক,ए-टी कर्तित क्रिस्टल
"এ চি-ডি চি লাভ, ক. চিডি। চি লাভী, এ. চিডি। গ) পৰিবৰ্ধন","ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन"
am,पूर्वाह्न
এ এম ইউ (পাৰমাণৱিক ভৰ একক),ए.एम.यू. (परमाणु संहति मात्रक)
aard-vark* গেস্টবুক,आर्ड-वार्क*
ab-ampere,ऐब-ऐम्पियर
A-B শ্ৰেণীৰ এম্প্লিফায়াৰ,ए-बी वर्ग प्रवर्धक
আদাহ,आदितः
ক-খ শক্তি পিটকা,ए-बी शक्ति पिटक
abc = প্ৰান্তিককৰণ চাৰ্ট = নোমোগ্ৰাফ,एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़
Abe সংখ্যা (Abe ধ্ৰুৱক),ऐबे संख्या (ऐबे नियतांक)
abe বিবৰ্তনমাপক,ऐबे अपवर्तनमापी
abe চাইন অৱস্থা,ऐबे ज्या अवस्था
স্বয়ংক্ৰিয় পক্ষপাতিত্ব ক্ষতিপূৰণ,स्वचालित बायस प्रतिकार
abcoulom,ऐबकूलॉम
বিচ্যুতি,"विपथन, अपेरण"
বিচ্যুতি সংশোধক লেন্স,विपथन संशोधक लेन्स
আকাশৰ বিচ্যুতি,आकाश-विपथन
abfarad,एबफैराड
এবেনৰী,एबहेनरी
আবলুস ইফেক্ট,ऐबनी प्रभाव (ऐबनी नियम)
অস্বাভাৱিক মেৰুকৰণ,अपसामान्य ध्रुवण
অস্বাভাৱিক সংক্ৰমণ,अपसामान्य संचरण
অস্বাভাৱিক প্ৰতিফলন,अपसामान्य परावर्तन
অস্বাভাৱিক বিবৰ্তন*,अपसामान्य अपवर्तन*
পেৰানাৰ্মেল ৰেজিষ্টেন্স,अपसामान्य प्रतिरोध
ab-om,ऐब-ओम
"preponderance, বিফলতা","पूर्वपात, विफलन"
"সংলগ্ন, সাধাৰণতে, থিয় হৈ, কাটি যোৱা, খণ্ডিত","असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित"
সঘনাই জপিয়াই পৰে,सहसा जंप
হাত*,भुज*
হেৰুৱা প্ৰতিফলন,लुप्त परावर्तन
অনুপস্থিত বৰ্ণালী,लुप्त स्पैक्ट्रम
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","निरपेक्ष, परम, अचर, परिशुद्ध"
নিৰপেক্ষ ত্বৰণ,निरपेक्ष त्वरण
নিৰপেক্ষ বাস্তৱতা,निरपेक्ष यथार्थता
নিৰপেক্ষ ঠিকনা,निरपेक्ष पता
ভূ-আপেক্ষিক উচ্চতামাপক,भूसापेक्ष तुंगतामापी
ভূতাত্ত্বিক উচ্চতা,भूसापेक्ष तुंगता
নিৰপেক্ষ এম্পিয়াৰ,निरपेक्ष ऐम्पियर
নিৰপেক্ষ উতলাংক,परम क्वथनांक
নিৰপেক্ষ আলোকসজ্জা,निरपेक्ष तेजमापीय दीप्ति
নিৰপেক্ষ ধাৰণক্ষমতা,निरपेक्ष धारिता
নিৰপেক্ষ উচ্চতা,निरपेक्ष ऊँचाई
নিৰপেক্ষ ৰঞ্জক পদাৰ্থ,निरपेक्ष वर्णाक
"নিৰপেক্ষ বিন্যাস, নিৰ্দ্বিধায় বিন্যাস","निरपेक्ष विन्यास, असंदिग्ध विन्यास"
নিৰপেক্ষ coulomb,निरपेक्ष कूलॉम
সম্পূৰ্ণ অন্ধকাৰ,पूर्ण अंधकार
নিৰপেক্ষ সময়সূচী,निरपेक्ष कालनिर्धारण
নিৰপেক্ষ ঘনত্ব*,निरपेक्ष घनत्व*
নিৰপেক্ষ নিষ্কাশন,निरपेक्ष अपवहन
নিৰপেক্ষ ইএমইউ (বিদ্যুৎচুম্বকীয় একক),निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक)
নিৰপেক্ষ ই এছ ইউ (স্থিৰ শক্তি একক),निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक)
নিৰপেক্ষ দক্ষতা,निरपेक्ष दक्षता
নিৰপেক্ষ ইলেক্ট্ৰ&#39;মিটাৰ,निरपेक्ष विद्युतमापी
নিৰপেক্ষ কম্পাঙ্ক নিৰপেক্ষ কম্পাঙ্ক,"निरपेक्ष बारंबारता, निरपेक्ष आवृत्ति"
নিৰপেক্ষ আৰ্দ্ৰতা,निरपेक्ष आर्द्रता
নিৰপেক্ষ প্ৰাদুৰ্ভাৱ,निरपेक्ष आपतन
নিৰপেক্ষ বিবৰ্তন সূচকাংক,निरपेक्ष अपवर्तनांक
নিৰপেক্ষ অস্থিৰতা,निरपेक्ष अस्‍थायित्व
নিৰপেক্ষ অস্থিৰতা,निरपेक्ष अस्‍थायित्व
"নিৰপেক্ষ তীব্ৰতা, নিৰপেক্ষ তীব্ৰতা","निरपेक्ष तीव्रता, निरपेक्ष उग्रता"
এষ্টেনিয়াৰ নিৰপেক্ষ সীমা,शैथिल्य की निरपेक्ष सीमा
নিৰপেক্ষ আলোকসজ্জা sill,निरपेक्ष ज्योतिर्मयता देहली
নিৰপেক্ষ পোহৰৰ বক্ৰ,निरपेक्ष ज्योति वक्र
