Telugu,Marathi
గర్భస్రావం చేసిన అవయవం,गर्भपात केलेला अवयव
గర్భస్రావం చేసిన విత్తనం,गर्भपात बियाणे
గర్భస్రావం,गर्भपात
సంపూర్ణ కలుపు,परिपूर्ण तण
గ్రహించిన కేషన్,शोषून घेतलेले केशन
శోషణ,शोषण
అబిస్సినియన్ ఆవాలు,अ‍ॅबिसिनियन मोहरी
అకారిసైడ్,एकरिसाइड
యాక్సెంట్రిక్,उच्चारण
ఉచ్ఛారణ (సెల్),उच्चारण (सेल)
అంగీకరించబడిన సహనం,स्वीकारलेले सहिष्णुता
అనుబంధ,Ory क्सेसरी
అలవాటు,सहनशीलता
చేరడం,संचय
ఖచ్చితత్వం,अचूकता
అసర్వులస్,अ‍ॅसर्व्हुलस
ఎసిటిఫికేషన్,एसीटिफिकेशन
ఆమ్లీకరణ,आम्लता
అసిడిమీటర్,अ‍ॅसिडिमीटर
ఆమ్లత్వం,आंबटपणा
అసిడోఫిలిక్,अ‍ॅसिडोफिलिक
ఆమ్లీకృత రాక్ ఫాస్ఫేట్,अ‍ॅसिड्युलेटेड रॉक फॉस्फेट
యాసిడ్యూరిక్,अ‍ॅसिड्यूरिक
జలాశయం,जलचर
సముపార్జన,संपादन
ఎకరాలు,एकर
ఎకరాల,एकर क्षेत्र
అక్రోసెంట్రిక్ క్రోమోజోమ్,अ‍ॅक्रोसेन्ट्रिक गुणसूत्र
అక్రోపెటల్,अ‍ॅक्रोपेटल
అక్రోసోమ్,अ‍ॅक्रोसोम
ఆక్టినోమైసెట్స్,अ‍ॅक्टिनोमाइसेट्स
యాక్టివ్ రూట్ జోన్,सक्रिय रूट झोन
తీవ్రమైన,तीव्र
అనుకూలత,अनुकूलता
అనుసరణ,रुपांतर
సంశ్లేషణ,आसंजन
కొవ్వు,Ip डिपोज
సర్దుబాటు సమీకరణం,समायोजन समीकरण
అడోబ్ నేల,अ‍ॅडोब माती
కల్తీ,व्यभिचारी
సాహసోపేతమైనది,साहसी
Aecidiospore,एसीडिओस्पोर
అయోలియన్ ప్రక్రియ,आयओलियन प्रक्रिया
అయోలియన్,आयओलियन
ఎఫరేట్,वायुवीजन
ఆకాశయాన,हवाई
ఏరోమీటర్,एरोमीटर
ఏరోసోల్,एरोसोल
ఎస్టివేషన్,एस्टिवेशन
పశ్చాత్తాప విజ్ఞానము,एटिओलॉजी (एटिओलॉजी)
అటవీ నిర్మూలన,वनीकरण
ఆందోళన,आंदोलन
అగ్మార్క్,अ‍ॅगमार्क
వ్యవసాయం,कृषी
వ్యవసాయ క్లినిక్,कृषी क्लिनिक
వ్యవసాయ శ్రమ,कृषी कामगार
వ్యవసాయ మార్కెటింగ్,कृषी विपणन
వ్యవసాయ సాంకేతిక పరిజ్ఞానం,कृषी तंत्रज्ञान
వ్యవసాయం,शेती
అగ్రిసిల్వికల్చర్,कृषी सांस्कृतिक
అగ్రోబియోడివైవర్సిటీ,अ‍ॅग्रोबायोडिव्हर्सिटी
అగ్రోబయోలాజికల్ లోపాలు,अ‍ॅग्रोबायोलॉजिकल दोष
అగ్రోబయాలజీ,कृषीशास्त्र
అగ్రోక్లిమాటిక్ వైవిధ్యం,अ‍ॅग्रोक्लिमॅटिक विविधता
అగ్రోక్లిమాటిక్ జోనింగ్,अ‍ॅग्रोक्लिमॅटिक झोनिंग
అగ్రోఫారెస్ట్రీ,अ‍ॅग्रोफोरेस्ट्री
వ్యవసాయ శాస్త్రం,कृषीशास्त्र
వ్యవసాయ శాస్త్రం,अ‍ॅग्रोनॉमी
అగ్రోపాస్టోరల్,अ‍ॅग्रोपास्टोरल
అగ్రోప్రాసెసింగ్,अ‍ॅग्रोप्रोसेसिंग
అగ్రోస్టాలజీ,अ‍ॅग्रोस्टोलॉजी
అగ్రోటైప్,अ‍ॅग्रोटाइप
ఎయిర్ ప్లాంట్,एअर प्लांट
అకియోచి నేల,अकिओची माती
అల్బినిజం,अल्बिनिझम
ఆల్ఫిసోల్స్,अल्फिसोल
ఆల్గే,एकपेशीय वनस्पती
ఆల్గల్ వ్యాధి,अल्गल रोग
క్షార నీరు,अल्कली पाणी
ఆల్కలీన్,अल्कधर्मी
యుగ్మ వికల్పం,अ‍ॅलेल
అల్లెలోకెమికల్స్,Lel लोकेमिकल्स
అల్లెలోమోర్ఫ్,Lel लोमॉर्फ
అల్లెలోపతి,Lel लेलोपॅथी
అల్లే క్రాపింగ్,गल्ली पीक
కేటాయింపు,वाटप
అయోగాగమి,अ‍ॅलोगॅमी
అలోమెట్రీ,अ‍ॅलोमेट्री
అల్లోపాలిప్లోయిడ్,Ol लोपोलिपॉइड
(అలోసిన్సిస్ఐలు,Os लोसिनॅप्सिस (os लोसिंडेसिस)
ప్రత్యామ్నాయ బేరింగ్,वैकल्पिक बेअरिंग
ప్రత్యామ్నాయ భూ వినియోగం,वैकल्पिक जमीन वापर
పరిసర,सभोवतालचे
అమేలియోరెంట్,Meliorant
అమిటోసిస్,अमिटोसिस
అమినైజేషన్,अमृत
అమ్మోనిఫికేషన్,अमोनिफिकेशन
అమ్మోనిఫైయర్,अमोनिफायर
AMORFH,अमॉर्फ
యాంఫిమిక్సిస్,अ‍ॅम्फिमिक्सिस
యాంఫోటెరిక్,अ‍ॅम्फोटेरिक
అనాబాలిజం,अ‍ॅनाबोलिझम
Anaerobe,अनरोब
అనూప్లోయిడ్,Eneuploid
యాంగిల్ నాటడం,कोन लागवड
పశుసంరక్షణ,पशुसंवर्धन
జంతు తిరస్కరణ,प्राणी नकार
శక్తిని యానిమేట్ చేయండి,एनिमेट एनर्जी
అనిసోప్లాయిడ్,एनिसोप्लॉइड
వార్షిక ప్లాంట్,वार्षिक वनस्पती
వార్షిక,वार्षिक
సంశ్లేషణ,अँथेसिस
ఆంత్రాక్స్,अँथ्रॅक्स
మానవ కారకం,मानववंशिक घटक
యాంటీబయోసిస్,प्रतिजैविक
యాంటీబయాటిక్,प्रतिजैविक
విరుగుడు,प्रतिजैविक
యాంటీఆక్సిడెంట్లు,अँटीऑक्सिडेंट्स
యాంటిటాక్సిన్,अँटीटॉक्सिन
యాన్యులస్,अ‍ॅनुलस
అఫిడ్,Ph फिड
ఎపికల్ బడ్,एपिकल अंकुर
ఎపికల్ ఆధిపత్యం,एपिकल वर्चस्व
పుష్పగుచ్ఛము,एपिकल्चर (मधमाशी पाळणे)
అపోమిక్సిస్,अपोमिक्सिस
అపోప్టోసిస్,अ‍ॅपॉप्टोसिस
అనుబంధం,परिशिष्ट
ఆకలి,भूक
అనువర్తిత,लागू
జల కలుపు,जलीय तण
అర్బోరియల్,आर्बोरियल
అర్బరైజేషన్,आर्बोरायझेशन
ఆర్కియో-బొటానికల్ రికార్డులు,आर्चीओ-बॉटॅनिकल रेकॉर्ड
ప్రాంత గణాంకాలు,क्षेत्र आकडेवारी
ప్రాంతం,क्षेत्र
శుష్క పర్యావరణ వ్యవస్థ,शुष्क इकोसिस्टम
అరిల్,एरिल
వాసన,सुगंध
సుగంధ మొక్క,सुगंधित वनस्पती
సుగంధ బియ్యం,सुगंधित तांदूळ
బాంజింగ్,बाण
అసేప్సిస్,Asepsis
అసెప్టిక్,Se सेप्टिक
అలైంగిక ప్రచారం,अलौकिक प्रसार
పరీక్ష,परख
ఆస్తులు,मालमत्ता
సమీకరణ,आत्मसात
అసోసియేషన్,असोसिएशन
రక్తస్రావం,तुरट
అసినప్సిస్,एसिनॅप्सिस
అటావిజం,अटाविझम
అటామైజర్,अ‍ॅटोमायझर
క్షీణత,अ‍ॅट्रोफी
ఆటోగామి,ऑटोगॅमी
ఆటోలిసిస్,ऑटोलिसिस
ఆటోక్సీడేషన్,ऑटोक्सिडेशन
ఆటోపోలిప్లోయిడ్,ऑटोपॉलिपॉइड
ఆక్సిన్లు,ऑक्सिन
దంపతులు,ओएन (ब्रिस्टल)
బాదం,बदाम
కలబంద,कोरफड
అమరాంథస్,अमरॅन्थस
Ammi,अम्मी
అంజన్ గడ్డి,अंजान गवत
ఆంథూరియం,अँथुरियम
"అయోన్లా, ఇండియన్ గూస్బెర్రీ","अणला, भारतीय हंसबेरी"
ఆపిల్,Apple पल
నేరేడు పండు,जर्दाळू
అర్బియన్ జాస్మిన్,अरबियन चमेली
అరేకా గింజ,अरेका नट
అర్జున్,अर्जुन
అస్ఫోటిడా,असफोएटिडा
యాష్ పొట్లకాయ,राख लबाडी
అశోక చెట్టు,अशोका वृक्ष
కవచము కలుపు,अश्थमा तण (युफोर्बिया)
ఆస్పరాగస్,शतावरी
అవోకాడో,एवोकॅडो
అంతా అల్నాఫ్న్నే,अल्फाल्फा (ल्युसर्न)
చీమలు,मुंग्या
అఫిడ్స్,Ph फिडस्
ఆర్మీ పురుగు,आर्मी जंत
వ్యవసాయ ఆర్థికవేత్త,कृषी अर्थशास्त्रज्ञ
వ్యవసాయ పొడిగింపు,कृषी विस्तारवादी
వ్యవసాయ శాస్త్రవేత్త,कृषी वैज्ञानिक
వ్యవసాయ ఇంజనీర్,कृषी अभियंता
అగ్రోబయాలజిస్ట్,अ‍ॅग्रोबायोलॉजिस्ट
వ్యవసాయ శాస్త్రవేత్త,कृषीशास्त्रज्ञ
అగ్రోఫిసిక్,अ‍ॅग्रोफिसिकस्ट
జంతువుల పెంపకందారుడు,प्राणी ब्रीडर
బాసిల్లస్ వైరస్,बॅसिलस विषाणू
బాసిల్లస్,बॅसिलस
బాక్టీరియా,जिवाणू
బాక్టీరియోటాక్సిన్,बॅक्टेरियोटॉक्सिन
బాగస్సే,बागसे
బ్యాలెన్స్ షీట్,शिल्लक पत्रक
