Marathi,English
अबेलियन गट,Abelian group
अबेलियन अर्धसमूह,abelian semigroup
abscissa,abscissa
निरपेक्ष,absolute
परिपूर्ण अभिसरण,absolute convergence
पूर्ण त्रुटी,absolute error
परिपूर्ण कमाल,absolute maximum
परिपूर्ण किमान,absolute minimum
परिपूर्ण मूल्य,absolute value
परिपूर्ण वेग,absolute velocity
अमूर्त बीजगणित,abstract algebra
अमूर्त गट सिद्धांत,abstract group theory
प्रवेग,acceleration
गुरुत्वाकर्षणामुळे प्रवेग,acceleration due to gravity
स्वीकार्य निवड संच,acceptable choice set
स्वीकार्य गुणवत्ता पातळी,acceptable quality level
स्वीकार्य श्रेणी,acceptable range
स्वीकार्य विश्वसनीयता पातळी,acceptable reliability level
स्वीकार्य नमुना,acceptable sampling
संचित त्रुटी,accumulated error
अचूकता,accuracy
अभिनय शक्ती,acting force
क्रिया,action
क्रिया आणि प्रतिक्रिया,action and reaction
वास्तविक विज्ञान,acturial science
तीव्र कोन त्रिकोण,acute angled triangle
अॅसायक्लिक,acyclic
जोडा,add
जोडणारा,adder
या व्यतिरिक्त,addition
जोड सूत्र,addition formula
जटिल संख्यांची बेरीज,addition of complex numbers
कार्ये जोडणे,addition of functions
मॅट्रिक्स जोडणे,addition of matrices
बहुपदी जोडणे,addition of polynomials
संभाव्यता जोडणे,addition of probabilities
वेक्टर जोडणे,addition of vectors
अतिरिक्त प्रमेय,addition theorem
मिश्रित गट,additive group
additive inverse,additive inverse
अतिरिक्त गुणधर्म,additive property
जोड,additivity
संलग्नता मॅट्रिक्स,adjacency matrix
समीप,adjacent
समीप कोन,adjacent angles
समीप शिरोबिंदू,adjacent vertex
संलग्न,adjoin
शेजारील,adjoining
संलग्न निर्धारक,adjoint determinant
संलग्न विभेदक समीकरण,adjoint differential equation
संलग्न समीकरण,adjoint equation
संलग्न मॅट्रिक्स,adjoint matrix
मॅट्रिक्सचा संलग्न,adjoint of matrix
मॅट्रिक्स समायोजित करा,adjugate matrix
स्वीकार्य निर्णय कार्य,admissible decision function
स्वीकार्य गृहीतक,admissible hypothesis
वायुगतिकीय शक्ती,aerodynamic force
वायुगतिकी,aerodynamics
affine भूमिती,affine geometry
affine मॅपिंग,affine mapping
affine परिवर्तन,affine transformation
एकत्रित व्हेरिएबल्स,aggregating variables
बीजगणित,algebra
बीजगणितानुसार बंद,algebraically closed
बीजगणितीय समीकरण,algebraic equation
बीजगणितीय अभिव्यक्ती,algebraic expression
बीजगणितीय फॉर्म,algebraic form
बीजगणितीय कार्य,algebraic function
बीजगणितीय भूमिती,algebraic geometry
बीजगणितीय गुणाकार,algebraic multiplicity
बीजगणित प्रणाली,algebraic system
सर्व-पूर्णांक समस्या,all-integer problem
वाटप समस्या,allocation problem
वर्णक्रमानुसार नोटेशन,alphabetical notation
वर्णमाला वर्ण,alphabetic character
पर्यायी कोन,alternate angle
पर्यायी फॉर्म,alternating form
पर्यायी गट,alternating group
पर्यायी मॅट्रिक्स,alternating matrix
पर्यायी मालिका,alternating series
पर्यायी गृहीतक,alternative hypothesis
पर्यायी ऑप्टिमा,alternative optima
पर्यायी परिणाम,alternative outcome
अॅनालॉग-टू-डिजिटल कनवर्टर,analog-to-digital converter
अॅनालॉग संगणक,analogue computer
विश्लेषण,analysis
सहप्रसरणाचे विश्लेषण,analysis of covariance
गणना डेटाचे विश्लेषण,analysis of enumeration data
भिन्नतेचे विश्लेषण,analysis of variance
विश्लेषणात्मक भूमिती,analytic geometry
विश्लेषणात्मक कार्य,analytic function
कोन,angle
संपर्क कोन,angle of contact
विक्षेपण कोन,angle of deflection
उदासीनता कोन,angle of depression
विचलन कोन,angle of deviation
विवर्तन कोन,angle of diffraction
उंचीचा कोन,angle of elevation
घटनेचा कोन,angle of incidence
प्रक्षेपण कोन,angle of projection
परावर्तन कोन,angle of reflection
अपवर्तन कोन,angle of refraction
रोटेशनचा कोन,angle of rotation
