Malayalam,Hindi
വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി,वैस्‍टम‍िन्‍स्‍टर मठ
ഒഴിഞ്ഞുമാറുക,मालखाना
അടിമത്തം നിർത്തലാക്കൽ,दासता का उन्मूलन
ആദിവാസികൾ,आदिवासी
അബ്രഹാം യുഗം,अब्राहम काल
ഹാജരാകാത്ത ഭൂവുടമകൾ,प्रवासी ज़मींदार
അക്കാദമി,अकादमी; विद्वत्परिषद
അക്ര സമ്മേളനം,अक्रा सम्मेलन
സമാഹരണങ്ങൾ,"प्रोद्भूत सामग्री, उपचित सामग्री"
സംസ്കരണം,"परसंस्कृति-ग्रहण, उत्संस्करण"
അസെൽഡാമ,एसेलडामा
അച്ചായൻ (=അച്ചിയൻ),एकियायी
അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്),एकीयायी लीग
അക്രോപോളിസ്,एक्रोपोलिस
ആക്റ്റ ദിയുർന,"शाही रोज़नामचा, दैनिक समाचार"
ആക്റ്റ സെനറ്റസ്,सीनेट का कार्यवृत्त
ആക്റ്റ് അഡീഷണൽ,"अपर प्रपत्र, एक्टे एडिशनेल"
സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്),सक्रिय रिकार्ड
നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം,अपकीर्त्ति अधिनियम
നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം,दंड विमुक्ति एवं विस्मरण अधिनियम
സെറ്റിൽമെന്റ് നിയമം,"राज्य-व्यवस्था अधिनियम, एक्ट ऑफ सेटिलमेंट"
പരസ്യ കരാർ മുദ്ര,संविदा मुद्रा
അഡുല്ലമൈറ്റുകൾ,आडुलम गुटवादी
എതിരാളി,विपक्षी
എതിരാളി,2. शत्रु
അയോൺ,युग
എയറേറിയം,इरेरियम
ആകാശ യുദ്ധം,"आकाशी युद्ध, हवाई लड़ाई"
എറ്റോലിയൻ ലീഗ്,"एटोलियन लीग, एटोलियायी संघ"
വയസ്സ്,"काल, युग"
വാർദ്ധക്യം (=വാർദ്ധക്യം),"काल-प्रभावन, जीर्णन"
പ്രായമാകൽ പ്രക്രിയ,जीर्णन-प्रक्रिया
അഗെലൈ,एजिलायी
ധീരതയുടെ പ്രായം,शौर्य युग
എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം,"प्रबोध युग, ज्ञानोदय युग"
പെരിക്കിൾസിന്റെ പ്രായം,पेरीक्लीज़ युग
യുക്തിയുടെ പ്രായം,तर्क प्रधान युग
കാർഷികവാദം,भूमि सुधारवाद
കാർഷിക പ്രസ്ഥാനം,भूमि सुधारवादी आंदोलन
ആൽബിയോൺ,एलबियन
ആൽബം,अलबम
ആൽഡർമാൻ,"पौर मुख्य, विशिष्ट पौर, आल्‍डर्मन"
വശീകരിക്കുന്ന ആയുധങ്ങൾ,कुलांकित आयुध
അമിറ്റി,मैत्री
ആംഫിക്റ്റോണിക് കൗൺസിൽ,एम्फिकटिआनी परिषद
ആംഫിക്റ്റോണിക് ലീഗ്,ऊपर देo : Amphictyonic Council
ആംഫി തിയേറ്റർ,"रंगवाट, रंगभूमि, अखाड़ा"
അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ),(मृद्भांडों का) अमरीनाल वर्ग
അനാക്രോണിസം,"काल-वैषम्य, काल-दोष"
അനാക്രോണിസ്റ്റിക്,काल-वैषम्ययुक्त
പൂർവ്വികൻ,पूर्वज
പൂർവിക ആരാധന,पितृ-पूजा
വംശപരമ്പര,कुल-परंपरा
