English,Gujarati
Abelian group,એબેલિયન જૂથ
abelian semigroup,અબેલીયન સેમીગ્રુપ
abscissa,એબ્સીસા
absolute,સંપૂર્ણ
absolute convergence,સંપૂર્ણ સંકલન
absolute error,સંપૂર્ણ ભૂલ
absolute maximum,સંપૂર્ણ મહત્તમ
absolute minimum,સંપૂર્ણ લઘુત્તમ
absolute value,સંપૂર્ણ મૂલ્ય
absolute velocity,સંપૂર્ણ વેગ
abstract algebra,અમૂર્ત બીજગણિત
abstract group theory,અમૂર્ત જૂથ સિદ્ધાંત
acceleration,પ્રવેગ
acceleration due to gravity,ગુરુત્વાકર્ષણને કારણે પ્રવેગક
acceptable choice set,સ્વીકાર્ય પસંદગી સમૂહ
acceptable quality level,સ્વીકાર્ય ગુણવત્તા સ્તર
acceptable range,સ્વીકાર્ય શ્રેણી
acceptable reliability level,સ્વીકાર્ય વિશ્વસનીયતા સ્તર
acceptable sampling,સ્વીકાર્ય નમૂના
accumulated error,સંચિત ભૂલ
accuracy,ચોકસાઈ
acting force,અભિનય બળ
action,ક્રિયા
action and reaction,ક્રિયા અને પ્રતિક્રિયા
acturial science,વાસ્તવિક વિજ્ઞાન
acute angled triangle,તીવ્ર કોણીય ત્રિકોણ
acyclic,એસાયક્લિક
add,ઉમેરો
adder,ઉમેરનાર
addition,વધુમાં
addition formula,વધારાનું સૂત્ર
addition of complex numbers,જટિલ સંખ્યાઓનો ઉમેરો
addition of functions,કાર્યોનો ઉમેરો
addition of matrices,મેટ્રિસિસનો ઉમેરો
addition of polynomials,બહુપદીનો ઉમેરો
addition of probabilities,સંભાવનાઓનો ઉમેરો
addition of vectors,વેક્ટરનો ઉમેરો
addition theorem,વધારાનું પ્રમેય
additive group,ઉમેરણ જૂથ
additive inverse,ઉમેરણ વ્યસ્ત
additive property,ઉમેરણ મિલકત
additivity,ઉમેરણ
adjacency matrix,સંલગ્નતા મેટ્રિક્સ
adjacent,અડીને
adjacent angles,અડીને આવેલા ખૂણા
adjacent vertex,અડીને શિરોબિંદુ
adjoin,સંલગ્ન
adjoining,સંલગ્ન
adjoint determinant,સંલગ્ન નિર્ણાયક
adjoint differential equation,સંલગ્ન વિભેદક સમીકરણ
adjoint equation,સંલગ્ન સમીકરણ
adjoint matrix,સંલગ્ન મેટ્રિક્સ
adjoint of matrix,મેટ્રિક્સનો સંલગ્ન ભાગ
adjugate matrix,એડજ્યુગેટ મેટ્રિક્સ
admissible decision function,સ્વીકાર્ય નિર્ણય કાર્ય
admissible hypothesis,સ્વીકાર્ય પૂર્વધારણા
aerodynamic force,એરોડાયનેમિક બળ
aerodynamics,એરોડાયનેમિક્સ
affine geometry,સંલગ્ન ભૂમિતિ
affine mapping,affine મેપિંગ
affine transformation,સંલગ્ન રૂપાંતર
aggregating variables,એકંદર ચલો
algebra,બીજગણિત
algebraically closed,બીજગણિતીય રીતે બંધ
algebraic equation,બીજગણિતીય સમીકરણ
algebraic expression,બીજગણિતીય અભિવ્યક્તિ
algebraic form,બીજગણિત સ્વરૂપ
algebraic function,બીજગણિત કાર્ય
algebraic geometry,બીજગણિત ભૂમિતિ
algebraic multiplicity,બીજગણિત ગુણાકાર
algebraic system,બીજગણિત સિસ્ટમ
all-integer problem,તમામ પૂર્ણાંક સમસ્યા
allocation problem,ફાળવણી સમસ્યા
alphabetical notation,આલ્ફાબેટીકલ નોટેશન
alphabetic character,આલ્ફાબેટીક અક્ષર
alternate angle,વૈકલ્પિક કોણ
alternating form,વૈકલ્પિક સ્વરૂપ
alternating group,વૈકલ્પિક જૂથ
alternating matrix,વૈકલ્પિક મેટ્રિક્સ
alternating series,વૈકલ્પિક શ્રેણી
alternative hypothesis,વૈકલ્પિક પૂર્વધારણા
alternative optima,વૈકલ્પિક ઓપ્ટિમા
alternative outcome,વૈકલ્પિક પરિણામ
analog-to-digital converter,એનાલોગ-ટુ-ડિજિટલ કન્વર્ટર
analogue computer,એનાલોગ કમ્પ્યુટર
analysis,વિશ્લેષણ
analysis of covariance,સહપ્રવૃત્તિનું વિશ્લેષણ
analysis of enumeration data,ગણતરી માહિતીનું વિશ્લેષણ
analysis of variance,વિચલનનું વિશ્લેષણ
analytic geometry,વિશ્લેષણાત્મક ભૂમિતિ
analytic function,વિશ્લેષણાત્મક કાર્ય
angle,કોણ
angle of contact,સંપર્ક કોણ
angle of deflection,વિચલન કોણ
angle of depression,હતાશાનો કોણ
angle of deviation,વિચલન કોણ
angle of diffraction,વિવર્તન કોણ
angle of elevation,એલિવેશન કોણ
angle of incidence,ઘટના કોણ
angle of projection,પ્રક્ષેપણ કોણ
angle of reflection,પ્રતિબિંબ કોણ
angle of refraction,રીફ્રેક્શન કોણ
angle of rotation,પરિભ્રમણ કોણ
angle of total reflection,કુલ પ્રતિબિંબ કોણ
angular acceleration,કોણીય પ્રવેગક
angular motion,કોણીય ગતિ
angular speed,કોણીય ઝડપ
angular velocity,કોણીય વેગ
