Punjabi,English
ਅਬੇਲੀਅਨ ਸਮੂਹ,Abelian group
ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ,abelian semigroup
abscissa,abscissa
ਅਸੀਮ,absolute
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,absolute convergence
ਪੂਰਨ ਗਲਤੀ,absolute error
ਪੂਰਨ ਅਧਿਕਤਮ,absolute maximum
ਪੂਰਨ ਘੱਟੋ-ਘੱਟ,absolute minimum
ਸਹੀ ਮੁੱਲ,absolute value
ਪੂਰਨ ਗਤੀ,absolute velocity
ਸਾਰ ਅਲਜਬਰਾ,abstract algebra
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,abstract group theory
ਪ੍ਰਵੇਗ,acceleration
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,acceleration due to gravity
ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ,acceptable choice set
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,acceptable quality level
ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ,acceptable range
ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ,acceptable reliability level
ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ,acceptable sampling
ਸੰਚਿਤ ਗਲਤੀ,accumulated error
ਸ਼ੁੱਧਤਾ,accuracy
ਐਕਟਿੰਗ ਫੋਰਸ,acting force
ਕਾਰਵਾਈ,action
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,action and reaction
ਅਸਲ ਵਿਗਿਆਨ,acturial science
ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ,acute angled triangle
acyclic,acyclic
ਸ਼ਾਮਲ ਕਰੋ,add
ਜੋੜਨ ਵਾਲਾ,adder
ਇਸ ਤੋਂ ਇਲਾਵਾ,addition
ਜੋੜ ਫਾਰਮੂਲਾ,addition formula
ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,addition of complex numbers
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,addition of functions
ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ,addition of matrices
ਬਹੁਪਦ ਦਾ ਜੋੜ,addition of polynomials
ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ,addition of probabilities
ਵੈਕਟਰ ਦਾ ਜੋੜ,addition of vectors
ਵਾਧੂ ਪ੍ਰਮੇਯ,addition theorem
additive ਗਰੁੱਪ,additive group
additive ਉਲਟ,additive inverse
additive ਸੰਪਤੀ,additive property
additivity,additivity
ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ,adjacency matrix
ਨੇੜੇ,adjacent
ਨੇੜੇ ਦੇ ਕੋਣ,adjacent angles
ਨੇੜੇ ਦਾ ਸਿਰਾ,adjacent vertex
ਨਾਲ ਜੁੜੋ,adjoin
ਨਾਲ ਲੱਗਦੇ,adjoining
ਸੰਜੋਗ ਨਿਰਧਾਰਕ,adjoint determinant
ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ,adjoint differential equation
ਸੰਜੋਗ ਸਮੀਕਰਨ,adjoint equation
ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ,adjoint matrix
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,adjoint of matrix
ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ,adjugate matrix
