Punjabi,Marathi
ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ,वेस्टमिन्स्टरचे मठाधीश
ਨਿਮਰਤਾ,निषिद्ध
ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ,गुलामगिरीचे उच्चाटन
ਆਦਿਵਾਸੀ,आदिवासी
ਅਬਰਾਹਮ ਯੁੱਗ,अब्राहम युग
ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ,अनुपस्थित जमीनदार
ਅਕੈਡਮੀ,अकादमी
ਅਕਰਾ ਕਾਨਫਰੰਸ,अक्रा परिषद
ਪ੍ਰਾਪਤੀ,जमा
ਐਕਲਚਰੇਸ਼ਨ,संवर्धन
ਐਸੇਲਡਾਮਾ,एसेलडामा
ਅਚੀਅਨ (=ਅਚੀਅਨ),आचियन (=अचियन)
ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ),आचियन लीग (=अचियन लीग)
ਐਕ੍ਰੋਪੋਲਿਸ,एक्रोपोलिस
ਐਕਟਾ ਦਿਉਰਨਾ,Acta Diurna
ਐਕਟਾ ਸੇਨੇਟਸ,Acta Senatus
ਐਕਟ ਐਡੀਸ਼ਨਲ,ऍक्ट अॅडिशनल
ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ),सक्रिय रेकॉर्ड (=वर्तमान रेकॉर्ड)
ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ,प्राप्तकर्त्याची कृती
ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ,नुकसानभरपाई आणि विस्मरणाचा कायदा
ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ,सेटलमेंटचा कायदा
ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ,जाहिरात करार सील
ਅਦੁਲਾਮਾਈਟਸ,अदुल्लामाइट्स
ਵਿਰੋਧੀ,विरोधक
ਵਿਰੋਧੀ,विरोधक
ਏਯੋਨ,एऑन
ਏਰੈਰੀਅਮ,एरेरियम
ਹਵਾਈ ਜੰਗ,हवाई युद्ध
ਏਟੋਲੀਅਨ ਲੀਗ,एटोलियन लीग
ਉਮਰ,वय
ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ),वृद्धत्व (=वृद्धत्व)
ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ,वृद्धत्व प्रक्रिया
ਅਗੇਲੈ,अगेलाय
ਬਹਾਦਰੀ ਦੀ ਉਮਰ,पराक्रमाचे वय
ਗਿਆਨ ਦੀ ਉਮਰ,ज्ञानाचे वय
ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ,पेरिकल्सचे वय
ਕਾਰਨ ਦੀ ਉਮਰ,कारण वय
ਖੇਤੀਵਾਦ,कृषीवाद
ਖੇਤੀ ਅੰਦੋਲਨ,कृषी चळवळ
ਐਲਬੀਅਨ,अल्बिओन
ਐਲਬਮ,अल्बम
ਐਲਡਰਮੈਨ,अल्डरमन
ਲੁਭਾਉਣੇ ਹਥਿਆਰ,मोहक हात
ਦੋਸਤੀ,मैत्री
Amphictyonic ਕੌਂਸਲ,एम्फेक्टियोनिक परिषद
ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ,एम्फेक्टियोनिक लीग
ਅਖਾੜਾ,अॅम्फिथिएटर
ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ),अमरी नल गट (मातीचा)
ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ,अनाक्रोनिझम
ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ,अनाक्रोनिस्टिक
ਪੂਰਵਜ,पूर्वज
ਪੂਰਵਜ ਦੀ ਪੂਜਾ,पूर्वजांची पूजा
ਵੰਸ਼,वंशपरंपरा
ਵੰਸ਼,वंशपरंपरा
ਵੰਸ਼,वंशपरंपरा
ਵੰਸ਼,वंशपरंपरा
ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ,प्राचीन राजवट
ਪ੍ਰਾਚੀਨ,प्राचीन
ਪ੍ਰਾਚੀਨ ਗੀਤ,प्राचीन बालगीत
ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ,प्राचीन श्रद्धा
