Tamil,Odiya
A B வகுப்பு பெருக்கி,ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
பிறழ்வு,ଘୃଣ୍ୟତା |
அசாதாரண பரிமாற்றம்,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
"இணைக்கப்படாத, பொதுவாக, குழி, துண்டிக்கப்பட்ட, எலும்பு முறிவு","ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |"
ஸ்பெக்ட்ரம் காணவில்லை,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"முழுமையான, முழுமையான, நிலையான, சரியான","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
முழுமையான ஈரப்பதம்,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
முழுமையான வேகம்,ସଂପୂର୍ଣ୍ଣ ଗତି
முழுமையான கவனிப்பு,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
முழுமையான வெப்பநிலை,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
முழுமையான பூஜ்ஜியம்,ସଂପୂର୍ଣ୍ଣ ଶୂନ
உறிஞ்சி,ଶୋଷଣ
"உறிஞ்சும், உறிஞ்சும்","ଶୋଷକ, ଶୋଷକ"
உறிஞ்சும் திறன்,ଅବଶୋଷଣ କ୍ଷମତା |
உறிஞ்சுதல்,ଅବସାଦ |
உறிஞ்சக்கூடியது,ଶୋଷକ
உறிஞ்சும் தன்மை,ଶୋଷଣ
பன்மடங்கு விகிதம்,ବହୁଗୁଣ ଅନୁପାତ |
முடுக்கி,ତ୍ୱରାନ୍ୱିତ କର |
விரைந்தார்,ଶୀଘ୍ର ଶୀଘ୍ର
முடுக்கம்,ତ୍ୱରଣ
ஈர்ப்பு முடுக்கம்,ମାଧ୍ୟାକର୍ଷଣର ତ୍ୱରଣ
முடுக்கி,ତ୍ୱରକ
முடுக்கி,ତ୍ୱରକ
முடுக்கமானி,ଆକ୍ସିଲେରୋମିଟର
முன் அழுத்தம் கொடுப்பவர்,ସମ୍ମାନ
ஏற்றுக்கொள்ளக்கூடிய சோதனை,ଗ୍ରହଣୀୟ ପରୀକ୍ଷା
ஏற்பவர்,ଗ୍ରହଣକାରୀ
நன்கொடையாளர் மூலக்கூறு,ଦାତା ଅଣୁ
"அணுகல், காத்திருப்பு, அணுகல்","ପ୍ରବେଶ, ଅପେକ୍ଷା, ଅଭିଗମ୍ୟତା |"
அணுகல்,ଅଭିଗମ୍ୟତା
