Punjabi,Tamil
ਅਸਧਾਰਨ,அசாதாரணமானது
ਅਧੂਰਾ ਛੱਡਣਾ,கருக்கலைப்பு
ਘ੍ਰਿਣਾ,சிராய்ப்பு
ਅਚਾਨਕ,திடீரென்று
ਪੂਰੀ ਫੀਲਡ ਤਾਕਤ,முழுமையான புல வலிமை
ਪੂਰਨ ਤਾਪਮਾਨ,முழுமையான வெப்பநிலை
ਸਹੀ ਮੁੱਲ,துல்லியமான மதிப்பு
ਸੋਖਣਾ,உறிஞ்சும்
ਸਮਾਈ ਸਹਿਕਾਰਤਾ,உறிஞ்சுதல் சக செயல்திறன்
ਸਮਾਈ ਨੁਕਸਾਨ,உறிஞ்சுதல் இழப்பு
ਸਾਰ,சுருக்கம்
ਐਕਸੀਲਾਮੀਟਰ,முடுக்கமானி
ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ,ஏற்பு சோதனை
ਪਹੁੰਚ,அணுகல்
ਐਕਸੈਸ ਕੰਟਰੋਲ,நுழைவு கட்டுப்பாடு
ਐਕਸੈਸ ਪੁਆਇੰਟ,அணுகல் புள்ளி
ਐਕਸੈਸ ਟਾਈਮ,அணுகல் நேரம்
ਪਹੁੰਚਯੋਗਤਾ,அணுகல்
ਇਕੱਤਰ ਕਰਨ ਵਾਲਾ ਸੈੱਲ,குவிப்பான் செல்
ਸ਼ੁੱਧਤਾ,துல்லியம்
ਸਹੀ,துல்லியமானது
ਅਕੀਰੋਮੈਟਿਕ ਲੈਂਜ਼,முடிச்சு லென்ஸ்
ਐਸਿਡ,அமிலம்
ਐਸਿਡ ਦਾ ਸਬੂਤ,அமில ஆதாரம்
ਐਸਿਡਿਟੀ,அமிலத்தன்மை
ਪ੍ਰਵਾਨਗੀ ਬਿੱਟ,ஒப்புதல் பிட்
ਧੁਨੀ,ஒலி
ਧੁਨੀ ਸੰਚਾਰ,ஒலி தொடர்பு
ਧੁਨੀ ਫੈਲਾਉਣ,ஒலி பரவல்
ਧੁਨੀ ਬਰਾਬਰੀ,ஒலி சமநிலைப்படுத்தி
ਧੁਨੀ ਫੀਡਬੈਕ,ஒலி கருத்து
ਧੁਨੀ ਫਿਲਟਰ,ஒலி வடிகட்டி
ਧੁਨੀ ਰੁਕਾਵਟ,ஒலி மின்மறுப்பு
ਧੁਨੀ ਮਾਸਕਿੰਗ,ஒலி முகமூடி
ਧੁਨੀ ਸ਼ਕਤੀ,ஒலி சக்தி
ਧੁਨੀ ਸੰਪਤੀ,சட்டவிரோத சொத்து
ਧੁਨੀ ਪ੍ਰਤੀਕਰਮ,ஒலி எதிர்வினை
ਧੁਨੀ ਪ੍ਰਤੀਬਿੰਬ,ஒலி ரிஃப்ளெக்ஸ்
ਧੁਨੀ ਟਾਈਲ,ஒலி ஓடு
ਧੁਨੀ ਲਹਿਰ,ஒலி அலை
ਧੁਨੀ ਸਮਾਈ,ஒலியியல் உறிஞ்சுதல்
ਧੂ-ਰਹਿਤ ਅਟੁੱਟ ਨਿਰੰਤਰ,ஒலியியல் விழிப்புணர்வு மாறிலி
ਧੁਨੀ ਗਿੱਲੀ,ஒலியியல் ஈரமாக்குதல்
ਧੁਨੀ ਦੇਰੀ ਦੀ ਲਾਈਨ,ஒலியியல் தாமத வரி
ਧੁਨੀ ਵਿਗਾੜ,ஒலியியல் விலகல்
ਧੁਨੀ ਨਲੀ,ஒலியியல் குழாய்
ਧੁਨੀ energy ਰਜਾ,ஒலியியல் ஆற்றல்
ਧੁਨੀ ਫੀਡਬੈਕ,ஒலியியல் கருத்து
ਧੁਨੀ ਫਿਲਟਰ,ஒலியியல் வடிகட்டி
ਧਾਰਨਾ,ஒலியியல் மின்மறுப்பு
ਧੁਨੀ ਪ੍ਰਸਾਰ ਨੂੰ ਸਥਿਰ,ஒலியியல் பரப்புதல் மாறிலி
ਧੁਨੀ ਪ੍ਰਤੀਰੋਧ,ஒலியியல் எதிர்ப்பு
ਧੁਨੀ,ஒலியியல் ரீதியாக காப்பிடப்பட்டது
ਧੁਨੀ,ஒலியியல்
ਗ੍ਰਹਿਣ,கையகப்படுத்தல்
ਐਕਰੋਨਾਈਮ,சுருக்கம்
ਕਾਰਵਾਈ ਖੇਤਰ,செயல் பகுதி
ਸਰਗਰਮ ਤੰਦ,செயல்படுத்தப்பட்ட இழை
ਕਿਰਿਆਸ਼ੀਲ,செயலில்
ਐਕਟਿਵ ਖੇਤਰ,செயலில் உள்ள பகுதி
ਐਕਟਿਵ ਵਿੰਡੋ,செயலில் சாளரம்
ਅਨੁਕੂਲਤਾ,தகவமைப்பு
ਅਡੈਪਟਰ (ਅਡੈਪਟਰ),அடாப்டர் (அடாப்டர்)
ਅਡੈਪਟਿਵ ਇਨਫਿਅਲ ਪਲਸ ਕੋਡ ਸੰਚਾਲਨ,தகவமைப்பு வேறுபாடு துடிப்பு குறியீடு பண்பேற்றம்
ਐਡਰੈੱਸ ਬੁੱਕ,முகவரி புத்தகம்
ਪਤਾ ਬੱਸ,முகவரி பஸ்
ਪਤਾ ਹੱਲ,முகவரி தீர்மானம்
ਨੇੜਲੇ ਚੈਨਲ ਦਖਲਅੰਦਾਜ਼ੀ,அருகிலுள்ள சேனல் குறுக்கீடு
ਨਾਲਤ ਚੈਨਲ ਚੋਣ,அருகிலுள்ள சேனல் தேர்வு
ਆਸ ਪਾਸ ਦੀ ਬਾਰੰਬਾਰਤਾ,அருகிலுள்ள அதிர்வெண்
ਨਾਲ ਲੱਗਦੇ ਫ੍ਰੀਕੁਐਂਸੀ ਚੈਨਲ,அருகிலுள்ள அதிர்வெண் சேனல்
ਨਾਲ ਲੱਗਦੀ ਤਸਵੀਰ ਕੈਰੀਅਰ,அருகிலுள்ள படம் கேரியர்
ਨਾਲ ਲੱਗਦੀ ਆਵਾਜ਼ ਕੈਰੀਅਰ,அருகிலுள்ள ஒலி கேரியர்
ਨਾਲ ਲੱਗਦੀ ਸਟੇਸ਼ਨ,அருகிலுள்ள நிலையம்
ਵਿਵਸਥਤ,சரிசெய்யக்கூடியது
ਵਿਵਸਥਤ ਕੰਡੈਂਸਰ,சரிசெய்யக்கூடிய மின்தேக்கி
ਦਬਾਅ ਵਿਵਸਥਿਤ ਕਰਨਾ,அழுத்தம் சரிசெய்தல்
ਰੈਂਚ ਨੂੰ ਵਿਵਸਥਿਤ ਕਰਨਾ,குறடு சரிசெய்தல்
ਵਿਵਸਥਾ,சரிசெய்தல்
ਪ੍ਰਬੰਧਕ,நிர்வாகி
ਤਕਨੀਕੀ ਤਕਨਾਲੋਜੀ,மேம்பட்ட தொழில்நுட்பம்
ਏਰੀਅਲ,வான்வழி
ਏਰੀਅਲ ਐਰੇ,வான்வழி வரிசை
ਏਰੀਅਲ ਬੂਸਟਰ,வான்வழி பூஸ்டர்
ਏਰੀਅਲ ਮੌਜੂਦਾ,வான்வழி மின்னோட்டம்
ਏਰੀਅਲ ਕਮਾ ਸਵਿੱਚ,வான்வழி பூமி சுவிட்ச்
ਏਰੀਅਲ ਕੁਸ਼ਲਤਾ,வான்வழி செயல்திறன்
ਏਰੀਅਲ ਰੁਕਾਵਟ,வான்வழி மின்மறுப்பு
ਏਰੀਅਲ ਇੰਡਕੈਕਟੈਂਸ,வான்வழி தூண்டல்
ਏਰੀਅਲ ਇਨਸੂਲੇਟਰ,வான்வழி இன்சுலேட்டர்
ਹਵਾਈ ਲੋਡਿੰਗ ਕੋਇਲ,வான்வழி ஏற்றுதல் சுருள்
ਹਵਾਈ ਫੋਟੋਗ੍ਰਾਫੀ,வான்வழி புகைப்படம்
ਏਰੀਅਲ ਪਾਵਰ,வான்வழி சக்தி
ਏਰੀਅਲ ਰੇਡੀਏਸ਼ਨ ਰੀਸੈਂਟਸ,வான்வழி கதிர்வீச்சு
ਏਰੀਅਲ ਪ੍ਰਤੀਕਰਮ,வான்வழி எதிர்வினை
ਐਰੋਡਾਇਨਾਮਿਕਸ,ஏரோடைனமிக்ஸ்
ਏਜੰਸੀ,ஏஜென்சி
ਏਅਰ ਕੰਪ੍ਰੈਸਰ,காற்று அழுத்தி
ਏਅਰ ਕੰਡੈਂਸਰ,ஏர் மின்தேக்கி
ਹਵਾ ਠੰ .ੀ,குளிா்ந்த காற்று
ਏਅਰ ਕੋਰਡ ਕੋਇਲ,காற்று கோர்ட் சுருள்
ਏਅਰ ਕੰਡੀਸ਼ਨਿੰਗ,ஏர் கண்டிஷனிங்
ਅਲਬਾਡੋ,ஆல்பெடோ
ਐਲਗੋਰਿਦਮ,வழிமுறை
ਅਲਾਇਸਿੰਗ,மாற்றுப்பெயர்ச்சி
ਐਲਿੰਗਿੰਗ,சீரமைத்தல்
ਅਲਾਈਨਮੈਂਟ,சீரமைப்பு
ਸਾਰੇ ਵੇਵ ਏਰੀਅਲ,அனைத்து அலை வான்வழி
ਅਲਾਟਮੈਂਟ,ஒதுக்கீடு
ਵਰਣਮਾਲਾ,அகரவரிசை
ਅਲਫਾਨੁਮਿਕ,எண்ணெழுத்து
ਅੱਖਰ ਅੱਖਰ,எண்ணெழுத்து எழுத்து
ਅਲਫਾਨੁਮਿਕ ਜਾਣਕਾਰੀ,எண்ணெழுத்து தகவல்
ਬਦਲਵੇਂ ਮੌਜੂਦਾ (ਏ.ਸੀ.),மாற்று மின்னோட்டம் (ஏ.சி.)
ਬਦਲਵਾਂ,மாற்று
ਅਲਟਰਨੇਟਰ,மின்மாற்றி
ਉਚਾਈ,உயரம்
ਅਗੇਬੀ ਦੀ ਉਚਾਈ,அப்போஜியின் உயரம்
ਚਰਿੱਜ ਦੀ ਉਚਾਈ,பெரிஜியின் உயரம்
ਸ਼ੁਕੀਨ ਰੇਡੀਓ ਸੰਚਾਰ,அமெச்சூர் வானொலி தொடர்பு
ਮਾਹੌਲ,சூழ்நிலை
ਮਾਹੌਲ ਮਾਈਕ੍ਰੋਫੋਨ,சுற்றுப்புற மைக்ரோஃபோன்
ਅੰਬੀਨਟ ਦੀ ਸਥਿਤੀ,சுற்றுப்புற நிலை
ਅੰਬੀਨਟ ਲਾਈਟਿੰਗ,சுற்றுப்புற விளக்குகள்
ਅੰਬੀਨਟ ਸ਼ੋਰ,சுற்றுப்புற சத்தம்
ਵਾਤਾਵਰਣ ਦਾ ਤਾਪਮਾਨ,சுற்றுப்புற வெப்பநிலை
ਅਮੈਰੀਕਨ ਸਟੈਂਡਰਡ ਕੋਡ,அமெரிக்கன் ஸ்டாண்டர்ட் கோட்
ਐਂਪੀਅਰ,ஆம்பியர்
ਐਂਪਰ ਮੀਟਰ,ஆம்பியர் மீட்டர்
ਸਹਾਇਕਤਾ,பெருக்கம்
ਐਪਲੀਫਿਕੇਸ਼ਨ ਫੈਕਟਰ,பெருக்க காரணி
ਐਂਪਲੀਫਾਇਰ,பெருக்கி
ਐਂਪਲੀਫਾਇਰ ਲਾਭ,பெருக்கி ஆதாயம்
ਐਂਪਲੀਫਾਇਰ ਸ਼ੋਰ,பெருக்கி சத்தம்
ਅਮਲੀਫਾਈਸਿੰਗ ਉਪਕਰਣ,உபகரணங்கள் பெருக்குதல்
ਸਰਪਲੱਸਿੰਗ ਕਲਸਟ੍ਰੋਨ,கிளிஸ்ட்ரான் பெருக்குதல்
ਅਮਲੀਫਾਈਸਿੰਗ ਯੂਨਿਟ,பெருக்குதல் அலகு
ਐਪਲੀਟਿ .ਡ,வீச்சு
ਐਪਲੀਟਿ itude ਡ ਭਟਕਣਾ,வீச்சு விலகல்
ਐਪਲੀਟਿ ord ਡ ਸੈਕਸੀਅਨ,வீச்சு உல்லாசப் பயணம்
ਐਪਲੀਟਿ let ਟ ਫੈਕਟਰ,வீச்சு காரணி
ਐਪਲੀਟਿ .ਡ ਸੀਮਾ,அலைவீச்சு வரம்பு
ਐਪਲੀਟਿ .ਡ,வீச்சு பண்பேற்றப்பட்டது
ਐਪਲੀਟਿ let ਟ ਮੇਲੂਲੇਸ਼ਨ,வீச்சு பண்பேற்றம்
ਐਨਾਲਾਗ (ਐਨਾਲਾਗ),ஒப்புமை (அனலாக்)
ਐਨਾਲਾਗ ਸਰਕਿਟ,அனலாக் சுற்று
ਐਨਾਲਾਗ ਕੰਪਿ .ਟਰ,அனலாக் கணினி
