Marathi,Gujarati
अॅबॅकस,અબેકસ
असामान्य समाप्ती,અસામાન્ય સમાપ્તિ
गर्भपात,ગર્ભપાત
निरपेक्ष,સંપૂર્ણ
परिपूर्ण पत्ता,સંપૂર્ણ સરનામું
निरपेक्ष संबोधन,સંપૂર્ણ સંબોધન
परिपूर्ण असेंबलर,સંપૂર્ણ એસેમ્બલર
परिपूर्ण कोड,સંપૂર્ણ કોડ
निरपेक्ष आज्ञा,સંપૂર્ણ આદેશ
परिपूर्ण डेटा,સંપૂર્ણ ડેટા
परिपूर्ण सूचना,સંપૂર્ણ સૂચના
परिपूर्ण मोड,સંપૂર્ણ મોડ
परिपूर्ण मार्ग,સંપૂર્ણ માર્ગ
परिपूर्ण प्रोग्रामिंग,સંપૂર્ણ પ્રોગ્રામિંગ
अमूर्त वर्ग,અમૂર્ત વર્ગ
अमूर्त डेटा प्रकार,અમૂર્ત ડેટા પ્રકાર
अमूर्त मशीन,અમૂર્ત મશીન
अमूर्त चिन्ह,અમૂર્ત પ્રતીક
अमूर्त वाक्यरचना,અમૂર્ત વાક્યરચના
स्वीकृती चाचणी,સ્વીકૃતિ પરીક્ષણ
प्रवेश प्रमाणीकरण,ઍક્સેસ પ્રમાણીકરણ
प्रवेश कोड,ઍક્સેસ કોડ
प्रवेश नियंत्रण,વપરાશ નિયંત્રણ
प्रवेश स्कॅन,એક્સેસ સ્કેન
ऍक्सेसरी,સહાયક
खाते,એકાઉન્ટ
खाते आयडी,એકાઉન્ટ ID
संचयक,સંચયક
अचूकता,ચોકસાઈ
प्रवेश,ઍક્સેસ
ऍक्सेस कंट्रोल बाइट,એક્સેસ કંટ્રોલ બાઈટ
प्रवेश निर्देशांक,એક્સેસ ઇન્ડેક્સ
प्रवेश की,ઍક્સેસ કી
ऍक्सेस मॅट्रिक्स,એક્સેસ મેટ્રિક્સ
प्रवेश मोड,ઍક્સેસ મોડ
प्रवेश विशेषाधिकार,એક્સેસ વિશેષાધિકાર
प्रवेश सुरक्षा,ઍક્સેસ સુરક્ષા
ऍक्सेस सर्व्हर,ઍક્સેસ સર્વર
प्रवेश वेळ,ઍક્સેસ સમય
पोचपावती,સ્વીકૃતિ
ध्वनीशास्त्र,ધ્વનિશાસ્ત્ર
परिवर्णी शब्द,ટૂંકાક્ષર
क्रिया संदेश,ક્રિયા સંદેશ
सक्रियकरण,સક્રિયકરણ
सक्रिय सर्व्हर पृष्ठ (एएसपी),સક્રિય સર્વર પૃષ્ઠ (ASP)
सक्रिय आवृत्ती,સક્રિય સંસ્કરણ
अॅसायक्लिक,એસાયક્લિક
अॅसायक्लिक आलेख,એસાયક્લિક ગ્રાફ
अडा भाषा,અદા ભાષા
अडॅप्टर,એડેપ્ટર
जोडा,ઉમેરો
फाइल जोडा,ફાઇલ ઉમેરો
ऑपरेशन जोडा,કામગીરી ઉમેરો
जोडणारा,ઉમેરનાર
पत्ता,સરનામું
पत्ता बस,સરનામું બસ
पत्ता फाइल,સરનામું ફાઇલ
पत्त्याचे स्वरूप,સરનામું ફોર્મેટ
पत्ता जनरेटर,સરનામું જનરેટર
पत्ता ओळ,એડ્રેસ લાઇન
पत्ता मॅपिंग,સરનામું મેપિંગ
पत्ता सूचक,સરનામું નિર્દેશક
पत्ता नोंदवही,સરનામું રજીસ્ટર
पत्ता ठराव,સરનામું રિઝોલ્યુશન
पत्ता अनुवाद,સરનામા અનુવાદ
संबोधित मेमरी,સંબોધિત મેમરી
संबोधित करणे,સંબોધન
पर्याप्तता निकष,પર્યાપ્તતા માપદંડ
संलग्न,સંલગ્ન
प्रशासन,વહીવટ
प्रशासक,સંચાલક
adobe acrobat,એડોબ એક્રોબેટ
अडोब फोटोशाॅप,એડોબ ફોટોશોપ
अॅडव्हान्स बिझनेस अॅप्लिकेशन प्रोग्रामिंग (ABAP),એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP)
प्रगत डेटा,અદ્યતન ડેટા
प्रगत माहिती प्रणाली,અદ્યતન માહિતી સિસ્ટમ
प्रगत तंत्रज्ञान (AT),અદ્યતન ટેકનોલોજી (AT)
एजंट,એજન્ટ
एकत्रीकरण,એકત્રીકરણ
एअरबोर्न संगणक प्रणाली,એરબોર્ન કમ્પ્યુટર સિસ્ટમ
aldus पृष्ठ निर्माता,aldus પૃષ્ઠ નિર્માતા
इशारा बॉक्स,ચેતવણી બોક્સ
अल्गोल,algol
अल्गोरिदम,અલ્ગોરિધમ
अल्गोरिदम विश्लेषण,અલ્ગોરિધમ વિશ્લેષણ
अल्गोरिदम कार्यक्षमता,અલ્ગોરિધમ કાર્યક્ષમતા
उर्फ,ઉપનામ
संरेखन,ગોઠવણી
वाटप,ફાળવણી
वर्णमाला,આલ્ફાબેટીક
अल्फान्यूमेरिक,આલ્ફાન્યૂમેરિક
अल्फान्यूमेरिक की बोर्ड,આલ્ફાન્યૂમેરિક કી બોર્ડ
अल्फा-चाचणी,આલ્ફા-પરીક્ષણ
अल्फा आवृत्ती,આલ્ફા-સંસ્કરણ
alt की,alt કી
altavista,અલ્ટાવિસ્ટા
अस्पष्टता,અસ્પષ્ટતા
अस्पष्ट व्याकरण,અસ્પષ્ટ વ્યાકરણ
अमेरिकन राष्ट्रीय मानक संस्था (ANSI),અમેરિકન નેશનલ સ્ટાન્ડર્ડ ઇન્સ્ટિટ્યૂટ (ANSI)
अमेरिकन स्टँडर्ड कोड फॉर इन्फॉर्मेशन इंटरचेंज (ASCII),અમેરિકન સ્ટાન્ડર્ડ કોડ ફોર ઇન્ફોર્મેશન ઇન્ટરચેન્જ (ASCII)
अॅनालॉग,એનાલોગ
अॅनालॉग संगणक,એનાલોગ કમ્પ્યુટર
अॅनालॉग डिव्हाइस,એનાલોગ ઉપકરણ
अॅनालॉग मॉडेम,એનાલોગ મોડેમ
