Tamil,Odiya
அபெலியன் குழு,ଆବେଲିଆନ୍ ଗୋଷ୍ଠୀ |
அபிலியன் அரைகுழு,ଆବେଲିଆନ୍ ସେମିଗ୍ରୁପ୍ |
abscissa,abscissa
அறுதி,ସଂପୂର୍ଣ୍ଣ
முழுமையான ஒருங்கிணைப்பு,ସଂପୂର୍ଣ୍ଣ ସମ୍ମିଶ୍ରଣ |
முழுமையான பிழை,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
முழுமையான அதிகபட்சம்,ସଂପୂର୍ଣ୍ଣ ସର୍ବାଧିକ
முழுமையான குறைந்தபட்சம்,ସଂପୂର୍ଣ୍ଣ ସର୍ବନିମ୍ନ |
துல்லியமான மதிப்பு,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
முழுமையான வேகம்,ସଂପୂର୍ଣ୍ଣ ବେଗ
சுருக்க இயற்கணிதம்,ବିସ୍ତୃତ ବୀଜ ବର୍ଣ୍ଣନା |
சுருக்க குழு கோட்பாடு,ବିସ୍ତୃତ ଗୋଷ୍ଠୀ ସିଦ୍ଧାନ୍ତ |
முடுக்கம்,ତ୍ୱରଣ
புவியீர்ப்பு காரணமாக முடுக்கம்,ମାଧ୍ୟାକର୍ଷଣ ହେତୁ ତ୍ୱରଣ |
ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு,ଗ୍ରହଣୀୟ ପସନ୍ଦ ସେଟ୍ |
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,ଗ୍ରହଣୀୟ ଗୁଣବତ୍ତା ସ୍ତର |
ஏற்றுக்கொள்ளக்கூடிய வரம்பு,ଗ୍ରହଣୀୟ ପରିସର |
ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை,ଗ୍ରହଣୀୟ ବିଶ୍ୱସନୀୟତା ସ୍ତର |
ஏற்றுக்கொள்ளக்கூடிய மாதிரி,ଗ୍ରହଣୀୟ ନମୁନା
திரட்டப்பட்ட பிழை,ସଂଗୃହିତ ତ୍ରୁଟି |
துல்லியம்,ସଠିକତା
செயல்படும் சக்தி,ଅଭିନୟ ଶକ୍ତି
நடவடிக்கை,କାର୍ଯ୍ୟ
செயல் மற்றும் எதிர்வினை,କାର୍ଯ୍ୟ ଏବଂ ପ୍ରତିକ୍ରିୟା
உண்மையான அறிவியல்,ଆକ୍ଟୁରିଆଲ୍ ସାଇନ୍ସ |
கடுமையான கோண முக்கோணம்,ତୀବ୍ର କୋଣିଆ ତ୍ରିରଙ୍ଗା |
அசைக்ளிக்,acyclic
கூட்டு,ଯୋଡନ୍ତୁ |
சேர்ப்பான்,ଆଡର୍
கூடுதலாக,ଯୋଗ
கூட்டல் சூத்திரம்,ଯୋଗ ସୂତ୍ର
சிக்கலான எண்களைச் சேர்த்தல்,ଜଟିଳ ସଂଖ୍ୟାଗୁଡ଼ିକର ଯୋଗ |
செயல்பாடுகளைச் சேர்த்தல்,କାର୍ଯ୍ୟଗୁଡ଼ିକର ଯୋଗ
மெட்ரிக்குகள் சேர்த்தல்,ମାଟ୍ରିକ୍ସର ଯୋଗ
பல்லுறுப்புக்கோவைகள் சேர்த்தல்,ବହୁଭାଷୀ ଯୋଗ |
நிகழ்தகவுகளைச் சேர்த்தல்,ସମ୍ଭାବ୍ୟତାର ଯୋଗ |
திசையன்கள் சேர்த்தல்,ଭେକ୍ଟର ଯୋଗ
கூட்டல் தேற்றம்,ଯୋଗ ତତ୍ତ୍ୱ
சேர்க்கை குழு,ଯୋଗୀ ଗୋଷ୍ଠୀ |
தலைகீழ் சேர்க்கை,ଯୋଗୀ ଓଲଟା |
சேர்க்கை சொத்து,ଯୋଗୀ ସମ୍ପତ୍ତି |
சேர்க்கை,ଯୋଗୀତା |
அருகாமை அணி,ସଂଲଗ୍ନ ମ୍ୟାଟ୍ରିକ୍ସ |
அருகில்,ସଂଲଗ୍ନ
அருகில் உள்ள கோணங்கள்,ସଂଲଗ୍ନ କୋଣ
அருகில் உள்ள உச்சி,ସଂଲଗ୍ନ ଭର୍ଟେକ୍ସ |
இணை,ସଂଲଗ୍ନ
அருகில்,ସଂଲଗ୍ନ
இணைந்த தீர்மானிப்பான்,ନିର୍ଣ୍ଣୟକାରୀ
இணை வேறுபாடு சமன்பாடு,ଭିନ୍ନ ଭିନ୍ନ ସମୀକରଣ
இணைந்த சமன்பாடு,ସମୀକରଣ
இணை அணி,ମ୍ୟାଟ୍ରିକ୍ସ ଯୋଡନ୍ତୁ |
மேட்ரிக்ஸின் இணைப்பு,ମାଟ୍ରିକ୍ସର ଯୋଗ
adjugate matrix,ମ୍ୟାଟ୍ରିକ୍ସ ଆଡୁଗେଟ୍ କରନ୍ତୁ |
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,ଗ୍ରହଣୀୟ ନିଷ୍ପତ୍ତି କାର୍ଯ୍ୟ
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,ଗ୍ରହଣୀୟ ଅନୁମାନ
காற்றியக்க விசை,ଏରୋଡାଇନାମିକ୍ ଫୋର୍ସ |
காற்றியக்கவியல்,ଏରୋଡାଇନାମିକ୍ସ |
இணைப்பு வடிவியல்,ଆଫାଇନ୍ ଜ୍ୟାମିତି |
இணைப்பு மேப்பிங்,ଆଫାଇନ୍ ମ୍ୟାପିଙ୍ଗ୍ |
இணைப்பு மாற்றம்,ଆଫାଇନ୍ ଟ୍ରାନ୍ସଫର୍ମେସନ୍ |
ஒருங்கிணைக்கும் மாறிகள்,ଏଗ୍ରିଗେଟ୍ ଭେରିଏବଲ୍ |
இயற்கணிதம்,ବୀଜ ବିବେଚନା
இயற்கணிதப்படி மூடப்பட்டது,ବୀଜ ବର୍ଣ୍ଣିତ ଭାବରେ ବନ୍ଦ |
இயற்கணித சமன்பாடு,ବୀଜ ବର୍ଣ୍ଣିତ ସମୀକରଣ |
இயற்கணித வெளிப்பாடு,ବୀଜ ବର୍ଣ୍ଣନା
