Telugu,Malayalam
అబ్బే ఆఫ్ వెస్ట్‌మినిస్టర్,വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി
పదవీ విరమణ,ഒഴിഞ്ഞുമാറുക
బానిసత్వ నిర్మూలన,അടിമത്തം നിർത്തലാക്കൽ
ఆదివాసి,ആദിവാസികൾ
అబ్రహం యుగం,അബ്രഹാം യുഗം
గైర్హాజరు భూస్వాములు,ഹാജരാകാത്ത ഭൂവുടമകൾ
అకాడమీ,അക്കാദമി
అక్ర సమావేశం,അക്ര സമ്മേളനം
సంపాదన,സമാഹരണങ്ങൾ
సంస్కారము,സംസ്കരണം
అసెల్డామా,അസെൽഡാമ
అచెయన్ (=అచియన్),അച്ചായൻ (=അച്ചിയൻ)
అచీయన్ లీగ్ (=అచియన్ లీగ్),അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്)
అక్రోపోలిస్,അക്രോപോളിസ്
ఆక్టా డియుర్నా,ആക്റ്റ ദിയുർന
ఆక్టా సెనాటస్,ആക്റ്റ സെനറ്റസ്
యాక్టే అడిషనల్,ആക്റ്റ് അഡീഷണൽ
యాక్టివ్ రికార్డ్ (=ప్రస్తుత రికార్డు),സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്)
సాధించేవారి చర్య,നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം
నష్టపరిహారం మరియు ఉపేక్ష చట్టం,നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം
సెటిల్మెంట్ చట్టం,സെറ്റിൽമെന്റ് നിയമം
ప్రకటన ఒప్పంద ముద్ర,പരസ്യ കരാർ മുദ്ര
అడుల్లామైట్స్,അഡുല്ലമൈറ്റുകൾ
విరోధి,എതിരാളി
విరోధి,എതിരാളി
అయాన్,അയോൺ
ఏరోరియం,എയറേറിയം
వైమానిక యుద్ధం,ആകാശ യുദ്ധം
ఏటోలియన్ లీగ్,എറ്റോലിയൻ ലീഗ്
వయస్సు,വയസ്സ്
వృద్ధాప్యం (=వృద్ధాప్యం),വാർദ്ധക്യം (=വാർദ്ധക്യം)
వృద్ధాప్య ప్రక్రియ,പ്രായമാകൽ പ്രക്രിയ
అగెలై,അഗെലൈ
శౌర్య యుగం,ധീരതയുടെ പ്രായം
జ్ఞానోదయం వయస్సు,എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം
పెరికిల్స్ వయస్సు,പെരിക്കിൾസിന്റെ പ്രായം
కారణం వయస్సు,യുക്തിയുടെ പ്രായം
వ్యవసాయం,കാർഷികവാദം
వ్యవసాయ ఉద్యమం,കാർഷിക പ്രസ്ഥാനം
అల్బియాన్,ആൽബിയോൺ
ఆల్బమ్,ആൽബം
ఆల్డర్మాన్,ആൽഡർമാൻ
అల్లుడు చేతులు,വശീകരിക്കുന്ന ആയുധങ്ങൾ
సఖ్యత,അമിറ്റി
యాంఫిక్యోనిక్ కౌన్సిల్,ആംഫിക്റ്റോണിക് കൗൺസിൽ
యాంఫిక్యోనిక్ లీగ్,ആംഫിക്റ്റോണിക് ലീഗ്
యాంఫీ థియేటర్,ആംഫി തിയേറ്റർ
అమ్రి నల్ గ్రూప్ (కుండల),അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ)
అనాక్రోనిజం,അനാക്രോണിസം
అనాక్రోనిస్టిక్,അനാക്രോണിസ്റ്റിക്
పూర్వీకుడు,പൂർവ്വികൻ
పూర్వీకుల ఆరాధన,പൂർവിക ആരാധന
పూర్వీకులు,വംശപരമ്പര
పూర్వీకులు,വംശപരമ്പര
పూర్వీకులు,വംശപരമ്പര
పూర్వీకులు,വംശപരമ്പര
ప్రాచీన పాలన,പുരാതന ഭരണം
ప్రాచీన,പുരാതന
పురాతన బల్లాడ్,പുരാതന ബാലഡ്
పురాతన నమ్మకం,പുരാതന വിശ്വാസം
ప్రాచీన ఆచారం,പുരാതന ആചാരം
పురాతన చరిత్ర,പുരാതനമായ ചരിത്രം
