Gujarati,Punjabi
અબેકસ,abacus
અસામાન્ય સમાપ્તિ,ਅਸਧਾਰਨ ਸਮਾਪਤੀ
ગર્ભપાત,ਅਧੂਰਾ ਛੱਡੋ
સંપૂર્ણ,ਅਸੀਮ
સંપૂર્ણ સરનામું,ਪੂਰਾ ਪਤਾ
સંપૂર્ણ સંબોધન,ਪੂਰਨ ਸੰਬੋਧਨ
સંપૂર્ણ એસેમ્બલર,ਪੂਰਨ ਅਸੈਂਬਲਰ
સંપૂર્ણ કોડ,ਪੂਰਨ ਕੋਡ
સંપૂર્ણ આદેશ,ਪੂਰਨ ਹੁਕਮ
સંપૂર્ણ ડેટા,ਪੂਰਨ ਡਾਟਾ
સંપૂર્ણ સૂચના,ਪੂਰਨ ਹਿਦਾਇਤ
સંપૂર્ણ મોડ,ਪੂਰਨ ਮੋਡ
સંપૂર્ણ માર્ગ,ਪੂਰਨ ਮਾਰਗ
સંપૂર્ણ પ્રોગ્રામિંગ,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
અમૂર્ત વર્ગ,ਐਬਸਟਰੈਕਟ ਕਲਾਸ
અમૂર્ત ડેટા પ્રકાર,ਸੰਖੇਪ ਡਾਟਾ ਕਿਸਮ
અમૂર્ત મશીન,ਐਬਸਟਰੈਕਟ ਮਸ਼ੀਨ
અમૂર્ત પ્રતીક,ਸੰਖੇਪ ਚਿੰਨ੍ਹ
અમૂર્ત વાક્યરચના,ਸੰਖੇਪ ਸੰਟੈਕਸ
સ્વીકૃતિ પરીક્ષણ,ਸਵੀਕ੍ਰਿਤੀ ਟੈਸਟਿੰਗ
ઍક્સેસ પ્રમાણીકરણ,ਪਹੁੰਚ ਪ੍ਰਮਾਣਿਕਤਾ
ઍક્સેસ કોડ,ਐਕਸੈਸ ਕੋਡ
વપરાશ નિયંત્રણ,ਪਹੁੰਚ ਕੰਟਰੋਲ
એક્સેસ સ્કેન,ਐਕਸੈਸ ਸਕੈਨ
સહાયક,ਸਹਾਇਕ
એકાઉન્ટ,ਖਾਤਾ
એકાઉન્ટ ID,ਖਾਤਾ ID
સંચયક,ਇਕੱਠਾ ਕਰਨ ਵਾਲਾ
ચોકસાઈ,ਸ਼ੁੱਧਤਾ
ઍક્સેસ,ਪਹੁੰਚ
એક્સેસ કંટ્રોલ બાઈટ,ਐਕਸੈਸ ਕੰਟਰੋਲ ਬਾਈਟ
એક્સેસ ઇન્ડેક્સ,ਐਕਸੈਸ ਇੰਡੈਕਸ
ઍક્સેસ કી,ਪਹੁੰਚ ਕੁੰਜੀ
એક્સેસ મેટ્રિક્સ,ਐਕਸੈਸ ਮੈਟ੍ਰਿਕਸ
ઍક્સેસ મોડ,ਪਹੁੰਚ ਮੋਡ
એક્સેસ વિશેષાધિકાર,ਪਹੁੰਚ ਵਿਸ਼ੇਸ਼ਤਾ
ઍક્સેસ સુરક્ષા,ਸੁਰੱਖਿਆ ਤੱਕ ਪਹੁੰਚ
ઍક્સેસ સર્વર,ਪਹੁੰਚ ਸਰਵਰ
ઍક્સેસ સમય,ਪਹੁੰਚ ਦਾ ਸਮਾਂ
સ્વીકૃતિ,ਮਾਨਤਾ
ધ્વનિશાસ્ત્ર,ਧੁਨੀ ਵਿਗਿਆਨ
ટૂંકાક્ષર,ਸੰਖੇਪ ਸ਼ਬਦ
ક્રિયા સંદેશ,ਕਾਰਵਾਈ ਸੁਨੇਹਾ
સક્રિયકરણ,ਸਰਗਰਮੀ
સક્રિય સર્વર પૃષ્ઠ (ASP),ਐਕਟਿਵ ਸਰਵਰ ਪੇਜ (ਏਐਸਪੀ)
સક્રિય સંસ્કરણ,ਕਿਰਿਆਸ਼ੀਲ ਸੰਸਕਰਣ
એસાયક્લિક,acyclic
એસાયક્લિક ગ્રાફ,acyclic ਗ੍ਰਾਫ਼
અદા ભાષા,ਅਦਾ ਭਾਸ਼ਾ
એડેપ્ટર,ਅਡਾਪਟਰ
ઉમેરો,ਸ਼ਾਮਲ ਕਰੋ
ફાઇલ ઉમેરો,ਫਾਇਲ ਸ਼ਾਮਿਲ ਕਰੋ
કામગીરી ઉમેરો,ਕਾਰਵਾਈ ਸ਼ਾਮਲ ਕਰੋ
ઉમેરનાર,ਜੋੜਨ ਵਾਲਾ
સરનામું,ਪਤਾ
સરનામું બસ,ਪਤਾ ਬੱਸ
સરનામું ફાઇલ,ਐਡਰੈੱਸ ਫਾਈਲ
સરનામું ફોર્મેટ,ਪਤਾ ਫਾਰਮੈਟ
સરનામું જનરેટર,ਪਤਾ ਜਨਰੇਟਰ
એડ્રેસ લાઇન,ਐਡਰੈੱਸ ਲਾਈਨ
સરનામું મેપિંગ,ਪਤਾ ਮੈਪਿੰਗ
સરનામું નિર્દેશક,ਪਤਾ ਸੰਕੇਤਕ
સરનામું રજીસ્ટર,ਪਤਾ ਰਜਿਸਟਰ
સરનામું રિઝોલ્યુશન,ਪਤਾ ਹੱਲ
સરનામા અનુવાદ,ਪਤਾ ਅਨੁਵਾਦ
સંબોધિત મેમરી,ਸੰਬੋਧਿਤ ਮੈਮੋਰੀ
સંબોધન,ਸੰਬੋਧਨ
પર્યાપ્તતા માપદંડ,ਅਨੁਕੂਲਤਾ ਦੇ ਮਾਪਦੰਡ
સંલગ્ન,adjoint
વહીવટ,ਪ੍ਰਸ਼ਾਸਨ
સંચાલક,ਪ੍ਰਬੰਧਕ
એડોબ એક્રોબેટ,ਅਡੋਬ ਐਕਰੋਬੈਟ
