Odiya,Tamil
ଏସିଡଏଡ୍ |,அமிலத்தன்மை
ଆଓଲିୟାନ୍ ମାଟି |,அயோலியன் மண்
ସମୁଦାୟ,மதிப்பீட்டு
ଏକୀକରଣ,திரட்டுதல்
ଏଗ୍ରୋଲୋଜି,வேளாண்மை
କୃଷି,வேளாண்மை
ଏକ ରାଶି,A- அடிவானம்
ଆଓ-ରାଶି,Ao- அடிவானம்
ଆଓ-ରାଶି |,Aoo- அடிவானம்
ମାଟିର ବାୟୁ କ୍ଷମତା |,மண்ணின் காற்று திறன்
ମାଟିର ବାୟୁ ସାମଗ୍ରୀ |,மண்ணின் காற்றின் உள்ளடக்கம்
ବାୟୁ ପିକନୋମିଟର |,காற்று பிக்னோமீட்டர்
ଆଲିଟିକ୍ ମାଟି |,அல்லிடிக் மண்
ଆଲୁଭିଆଲ୍ ମାଟି |,வண்டல் மண்
ଆମ୍ଫୋଲାଇଟଏଡ୍ |,ஆம்போலிடாய்டு
ଆନିଅନ୍ |,அயன்
"ସ୍ପଷ୍ଟ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ ପରିମାଣ ଓଜନ କିମ୍ବା ବହୁଳ ନିର୍ଦ୍ଦିଷ୍ଟ ମାଧ୍ୟାକର୍ଷଣ, &quot;","வெளிப்படையான குறிப்பிட்ட ஈர்ப்பு அளவு எடை அல்லது மொத்த குறிப்பிட்ட ஈர்ப்பு,&quot;"
ଆରିସ୍,அரிஸ்
ଆଶଲାର୍ ସୂକ୍ଷ୍ମ ଚୁକ୍ତି |,Ashlar நன்றாக கொத்து
ଆଶଲାର୍ ରାଜକନିକା |,ஆஷ்லர் கொத்து
ଆଜୋନାଲ ମାଟି |,அசோனல் மண்
ପଛ ଆକ୍ଟର୍ |,பின் நடிகர்
ପଛ ଆର୍କ,பின் வளைவு
ବ୍ୟାକ୍ ବ୍ୟାଣ୍ଡ |,பின் இசைக்குழு
ପଛ ବ୍ରଶ୍ |,பின் தூரிகை
ପଛକୁ ଯା check ୍ଚ କରନ୍ତୁ |,மீண்டும் சரிபார்க்கவும்
ପଛ କାଉଣ୍ଟର |,பின் கவுண்டர்
ପଛ କାଟିବା |,முதுகு வெட்டுதல்
ପଛ ଡ୍ରାଫ୍ଟ ଡ୍ୟାମ୍ପର୍ |,பின் வரைவு damper
ପଛ ଡ୍ରେନ୍ |,பின் வடிகால்
ବ୍ୟାକ୍ ଡ୍ରପ୍ |,பின் துளி
ପଛକୁ ପୁରଣ କରନ୍ତୁ |,பின் நிரப்பவும்
ପଛ ଫିଲେଟ୍ |,பின் ஃபில்லட்
ପଛ ଫ୍ଲାପ୍ ହିଙ୍ଗ୍ |,பின் மடல் கீல்
ପଛ ପ୍ରବାହ ସଂଯୋଗ |,பின் ஓட்ட இணைப்பு
ପଛ ପ୍ରବାହ ପ୍ରତିରୋଧକ |,பின் ஓட்டம் தடுப்பான்
ବ୍ୟାକ୍ ଗେଜ୍ |,பின் அளவுகோல்
ପଛ ଗୁଟର୍ |,பின்புற சாக்கடை
ପଛ ଚୁଲି,பின் அடுப்பு
ସମର୍ଥନ,ஆதரவு
ବ୍ୟାକିଂ ବୋର୍ଡ |,பேக்கிங் போர்டு
ପଛ ଚାପ |,பின் அழுத்தம்
ପଛ ପ୍ରପ,பின் முட்டு
ପଛ ଦୃଶ୍ୟ |,பின் பார்வை
ପଛ ପାଣି |,பின் நீர்
ବାଫଲ୍ |,குழப்பம்
ବ୍ୟାଗୱାର୍କ |,பை வேலை
ବାଲାଷ୍ଟ,பேலாஸ்ட்
ବଲ୍ ମାଟି |,பந்து களிமண்
ବଲ୍ କୋଣ କ୍ଲମ୍ପ୍ |,பந்து கூம்பு கவ்வி
କଣ୍ଟା ତାର,முள்வேலி
ବାର୍ କୁକୁର |,பார் நாய்
ବ୍ୟାରେଜ୍ ବୋର୍ଡ |,விசைப்படகு பலகை
ବାରିୟମ୍ ସଲଫେଟ୍ ପରୀକ୍ଷା |,பேரியம் சல்பேட் சோதனை
ବ୍ୟାରେଜ୍,சரமாரி
ବାରେଟ୍ |,பாரெட்
ଆଧାର,அடித்தளம்
ଆଧାର ବିନିମୟ |,அடிப்படை பரிமாற்றம்
ଆଧାର ରେଖା |,அடிப்படை வரி
ବେସମେଣ୍ଟ୍ |,அடித்தளம்
ବେସମେଣ୍ଟ କାନ୍ଥ |,அடித்தள சுவர்
ବେସ୍ ପ୍ଲେଟ୍ |,அடித்தட்டு
"ବେସ୍ ପ୍ଲେଟ୍, ନିୟନ୍ତ୍ରିତ |","அடிப்படை தட்டு, சரிசெய்யக்கூடியது"
ମୂଳ ପରିପୃଷ୍ଠା |,அடிப்படை செறிவு
ବାସୋଏଡ୍ |,பாசாய்டு
ବ୍ୟାଟ୍,வௌவால்
ସ୍ନାନ ଏବଂ WC,பாத் மற்றும் WC
ବାଟା ପେଗ୍ |,இடி ஆப்பு
ବାଟା ପାଇର୍ |,பேட்டர் பையர்
ବ୍ୟାଟର ନିୟମ |,பேட்டர் விதி
ବାଲ୍କ (ବାଲ୍କ),பால்க் (பால்க்)
ବାଇ,விரிகுடா
ଧାରକ,தாங்குபவர்
ବହନ କରିବାର କ୍ଷମତା |,தாங்கும் திறன்
ଗଦା ବହନ କରିବା |,தாங்கும் பைல்
ଷ୍ଟ୍ରାଟମ୍ ବହନ କରିବା |,தாங்கி அடுக்கு
ଶଯ୍ୟା,படுக்கை
ବିଛଣା ବିମାନ |,படுக்கை விமானம்
ଶଯ୍ୟା ଗଣ୍ଠି |,படுக்கை கூட்டு
ବେଡ୍ ପଥର |,படுக்கை பாறை
ବେଡ୍ ରୁମ୍ |,படுக்கை அறை
ମହୁମାଛି,தேன் மெழுகு
ବେଲ୍ ବାକ୍ସ |,மணி பெட்டி
ବାଲ୍ଟି ବାଲିଙ୍ଗ୍ |,பெல்லிங் வாளி
ବେଲୋଫ୍ରାମ୍ |,பெல்லோஃப்ராம்
ବେଞ୍ଚ ଭିତ୍ତିଭୂମି |,பெஞ்ச் அடித்தளம்
ବେଞ୍ଚିଂ,பெஞ்சிங்
ବେଞ୍ଚ ମାର୍କ |,பெஞ்ச் மார்க்
ଲାଭ ମୂଲ୍ୟ ବିଶ୍ଳେଷଣ |,நன்மை செலவு பகுப்பாய்வு
ବରମ,பெர்ம்
ବେଭେଲଡ୍ ବନ୍ଦ |,வளைந்த மூடல்
"ବି-ରାଶି, &quot;B-","பி-ஹரைசன்,&quot;பி-"
ବିଟ୍ |,பயாட்
ବାଇଣ୍ଡର୍ |,பைண்டர்
ବାନ୍ଧିବା ସାମଗ୍ରୀ |,பிணைப்பு பொருள்
ବାୟୋଟ ସିଦ୍ଧାନ୍ତ |,பயோட்டின் கோட்பாடு
ବିଟୁମେନ |,பிடுமின்
କଳା ସୂତା ମାଟି |,கருப்பு பருத்தி மண்
କଳା ପୃଥିବୀ |,கருப்பு பூமி
କଳା ଟର୍ଫ ମାଟି |,கருப்பு தரை மண்
ବ୍ଲେଡ୍ |,கத்தி
ବ୍ଲାଷ୍ଟ ଫର୍ଣ୍ଣେସ୍ ସ୍ଲାଗ୍ ସିମେଣ୍ଟ |,ஊது உலை கசடு சிமெண்ட்
ଅବରୋଧ ସଂରଚନା |,தடுப்பு அமைப்பு
ବଗି ପ୍ରତିରୋଧ |,போகி எதிர்ப்பு
ବଗ୍-ଲୁହାପଥର |,போக்-இரும்பு தாது
ବନ୍ଧ,பத்திரம்
ବନ୍ଧିତ ସଦସ୍ୟ |,பிணைக்கப்பட்ட உறுப்பினர்
ବନ୍ଧିତ ପୋଷ୍ଟ ଟେନସିଂ |,பிணைக்கப்பட்ட பிந்தைய பதற்றம்
ବନ୍ଧ ପଥର |,பத்திர கல்
ସୀମା ଜଳ |,கட்டுப்பட்ட நீர்
ବାକ୍ସ ଗୁଟର୍ |,பெட்டி சாக்கடை
ବନ୍ଧନୀ,பிரேஸ்
ଇଟା-ଧାର,விளிம்பில் செங்கல்
ବ୍ରିଡଲ୍ |,கடிவாளம்
ଉଜ୍ଜ୍ୱଳତା |,பிரகாசம்
ବାଦାମୀ ମାଟି |,பழுப்பு மண்
ବିଲଡିଂ,கட்டிடம்
ବିଲ୍ଡିଂ ସର୍ବେକ୍ଷଣକାରୀ |,கட்டிட சர்வேயர்
ବଫର୍ |,தாங்கல்
ବଫର୍ ବକ୍ର,தாங்கல் வளைவு
ବଫରିଂ |,தாங்கல்
ବଫରିଂ କ୍ଷମତା |,தாங்கல் திறன்
ବଣ୍ଡର୍ |,பண்டர்
ଦୁର୍ଗ,பட்டர்ஸ்
ସି-ରାଶି,சி-அடிவானம்
କେବୁଲ୍ |,கேபிள்
କେବୁଲ୍ ମୋଲିଡିଂ |,கேபிள் மோல்டிங்
କ୍ୟାବଲିଂ |,கேபிளிங்
କ୍ୟାବିନ,அறை
କ୍ୟାବିନ ହୁକ୍ |,கேபின் ஹூக்
କ୍ୟାବିନେଟ୍,மந்திரி சபை
କ୍ୟାବୋଲ୍ଟଙ୍କ ବିଦାୟ,கபோல்ட் வெளியேறினார்
କାଫେରିଆ |,சிற்றுண்டியகம்
କେଜ୍ |,கூண்டு
କେଜ୍ ନିର୍ମାଣ,கூண்டு கட்டுமானம்
କ ain ନଙ୍କ ସୂତ୍ର |,கெய்னின் சூத்திரம்
କେସନ୍ |,கெய்சன்
କେସନ୍ ରୋଗ |,கெய்சன் நோய்
କେସନ୍ ଫାଉଣ୍ଡେସନ୍ |,கெய்சன் அடித்தளம்
କେସନ୍ ଗଦା |,கெய்சன் குவியல்
କାଲ୍କେରିସ୍ ଇଟା |,சுண்ணாம்பு செங்கல்
କାଲକେୟାର ମାଟି |,சுண்ணாம்பு களிமண்
କାଲ୍କେରିସ୍ କ୍ରଷ୍ଟ୍ |,சுண்ணாம்பு மேலோடு
ଗଣନା,கால்சிஃபிகேஷன்
ଗଣନା,கால்சினேஷன்
କାଲସିନ୍,கால்சின்
କାଲସିଟ୍ |,கால்சைட்
କ୍ୟାଲସିୟମ୍-ଆଲୁମିନିଟ୍ ସିମେଣ୍ଟ |,கால்சியம்-அலுமினேட் சிமெண்ட்
କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ଇଟା |,கால்சியம்-சிலிகேட் செங்கல்
କ୍ୟାଲସିୟମ୍-ସିଲିକେଟ୍ ହାଇଡ୍ରେଟ୍ |,கால்சியம்-சிலிகேட் ஹைட்ரேட்
କାଲିଚେ |,கலிச்சே
କାଲିଫର୍ନିଆର ଅନୁପାତ ଅନୁପାତ |,கலிபோர்னியா தாங்கி விகிதம்
କାଲିପର୍ |,காலிபர்
କ୍ୟାଲୋରିମିଟର |,கலோரிமீட்டர்
କ୍ୟାମ୍ବର |,கேம்பர்
କେନାଲ |,கால்வாய்
କାନୋପି |,விதானம்
କ୍ୟାଣ୍ଟିଲାଇଭର ଫୁଟିଂ |,கான்டிலீவர் அடிவாரம்
କ୍ୟାପ୍,தொப்பி
ସାମର୍ଥ୍ୟ |,திறன்
ସମସ୍ତ ଟ୍ରାକର କ୍ଷମତା |,ஆயில் பாதையின் திறன்
କ୍ୟାପ୍ କେବୁଲ୍ |,தொப்பி கேபிள்
କ୍ଷମତା,கேபிலரிட்டி
କ୍ୟାପିଲାରୀ ବ୍ରେକ୍ |,தந்துகி முறிவு
କ୍ୟାପିଲାରୀ ପ୍ରବାହ |,தந்துகி ஓட்டம்
କ୍ୟାପିଲାରୀ ଆର୍ଦ୍ରତା କିମ୍ବା କ୍ୟାପିଲାରୀ ପାଣି |,தந்துகி ஈரப்பதம் அல்லது தந்துகி நீர்
କ୍ୟାପିଲାରୀ ପୋର ସ୍ପେସ୍ |,தந்துகி துளை இடம்
କ୍ୟାପିଲାରୀ ପୋରୋସିଟି |,கேபிலரி போரோசிட்டி
କ୍ୟାପିଲାରୀ ସ୍ପେସ୍ |,தந்துகி வெளி
ବେଗ କ୍ୟାପଚର କରନ୍ତୁ |,பிடிப்பு வேகம்
କାର୍ବନେସନ୍ |,கார்பனேற்றம்
କାର୍ବନ କଳା,கார்பன் கருப்பு
କାଷ୍ଟବଲ୍ ଚିତ୍ତାକର୍ଷକ |,காஸ்ட்பிள் பயனற்ற
କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ କିମ୍ବା କାଷ୍ଟ-ଇନ୍-ସିଟ୍ |,காஸ்ட்-இன்-பிளேஸ் அல்லது காஸ்ட்-இன்-சிட்டு
କାଷ୍ଟ-ଇନ୍-ପ୍ଲେସ୍ ଗଦା |,காஸ்ட்-இன்-பிளேஸ் பைல்
କାଷ୍ଟର |,ஆமணக்கு
ପଥର ପକାନ୍ତୁ |,வார்ப்பு கல்
ଅନୁକ୍ରମଣିକା,வினையூக்கி
କ୍ୟାଟେନା |,கேட்டனா
ବିଲେଇ ମୁହଁ |,பூனை முகம்
ବିଲେଇ ମୁଣ୍ଡ,பூனை தலை
କେସନ୍,கேஷன்
ବିଲେଇ ଚାଲିବା |,பூனை நடை
କ୍ୟାଭିଟେସନ୍ କ୍ଷତି |,குழிவுறுதல் சேதம்
ସେଲିଟ୍,செலைட்
ସେଲୁଲାର୍ କଂକ୍ରିଟ୍ |,செல்லுலார் கான்கிரீட்
ସେଲ୍ୟୁଲାର୍ ନିର୍ମାଣ,செல்லுலார் கட்டுமானம்
ସିମେଣ୍ଟ |,சிமெண்ட்
"ସିମେଣ୍ଟ, ବିଟୁମିନିୟସ୍ |","சிமெண்ட், பிட்மினஸ்"
"ସିମେଣ୍ଟ, ଉଚ୍ଚ ଶକ୍ତି |","சிமெண்ட், அதிக வலிமை"
