Bengali,Kannada
আবেলিয়ান গ্রুপ,ಅಬೆಲಿಯನ್ ಗುಂಪು
আবেলিয়ান সেমিগ্রুপ,ಅಬೆಲಿಯನ್ ಸೆಮಿಗ್ರೂಪ್
abscissa,ಅಬ್ಸಿಸ್ಸಾ
পরম,ಸಂಪೂರ್ಣ
পরম মিলন,ಸಂಪೂರ್ಣ ಒಮ್ಮುಖ
পরম ত্রুটি,ಸಂಪೂರ್ಣ ದೋಷ
পরম সর্বোচ্চ,ಸಂಪೂರ್ಣ ಗರಿಷ್ಠ
পরম সর্বনিম্ন,ಸಂಪೂರ್ಣ ಕನಿಷ್ಠ
পরম মান,ಸಂಪೂರ್ಣ ಮೌಲ್ಯ
পরম বেগ,ಸಂಪೂರ್ಣ ವೇಗ
বিমূর্ত বীজগণিত,ಅಮೂರ್ತ ಬೀಜಗಣಿತ
বিমূর্ত গ্রুপ তত্ত্ব,ಅಮೂರ್ತ ಗುಂಪು ಸಿದ್ಧಾಂತ
ত্বরণ,ವೇಗವರ್ಧನೆ
মাধ্যাকর্ষণ বলের প্রভাবে গতি বৃদ্ধি,ಗುರುತ್ವಾಕರ್ಷಣೆಯಿಂದಾಗಿ ವೇಗವರ್ಧನೆ
গ্রহণযোগ্য পছন্দ সেট,ಸ್ವೀಕಾರಾರ್ಹ ಆಯ್ಕೆ ಸೆಟ್
গ্রহণযোগ্য মানের স্তর,ಸ್ವೀಕಾರಾರ್ಹ ಗುಣಮಟ್ಟದ ಮಟ್ಟ
গ্রহণযোগ্য পরিসীমা,ಸ್ವೀಕಾರಾರ್ಹ ಶ್ರೇಣಿ
গ্রহণযোগ্য নির্ভরযোগ্যতা স্তর,ಸ್ವೀಕಾರಾರ್ಹ ವಿಶ್ವಾಸಾರ್ಹತೆಯ ಮಟ್ಟ
গ্রহণযোগ্য নমুনা,ಸ್ವೀಕಾರಾರ್ಹ ಮಾದರಿ
সঞ্চিত ত্রুটি,ಸಂಚಿತ ದೋಷ
সঠিকতা,ನಿಖರತೆ
অভিনয় শক্তি,ಕಾರ್ಯನಿರ್ವಹಿಸುವ ಶಕ್ತಿ
কর্ম,ಕ್ರಮ
কর্ম এবং প্রতিক্রিয়া,ಕ್ರಿಯೆ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆ
বাস্তব বিজ্ঞান,ವಾಸ್ತವಿಕ ವಿಜ್ಞಾನ
তীব্র কোণযুক্ত ত্রিভুজ,ತೀವ್ರ ಕೋನೀಯ ತ್ರಿಕೋನ
অ্যাসাইক্লিক,ಅಸೈಕ್ಲಿಕ್
যোগ করুন,ಸೇರಿಸಿ
যোগকারী,ಸೇರಿಸುವವನು
সংযোজন,ಜೊತೆಗೆ
সংযোজন সূত্র,ಸೇರ್ಪಡೆ ಸೂತ್ರ
জটিল সংখ্যার সংযোজন,ಸಂಕೀರ್ಣ ಸಂಖ್ಯೆಗಳ ಸೇರ್ಪಡೆ
ফাংশন সংযোজন,ಕಾರ್ಯಗಳ ಸೇರ್ಪಡೆ
ম্যাট্রিক্সের সংযোজন,ಮ್ಯಾಟ್ರಿಕ್ಸ್ ಸೇರ್ಪಡೆ
বহুপদ সংযোজন,ಬಹುಪದಗಳ ಸೇರ್ಪಡೆ
সম্ভাবনার সংযোজন,ಸಂಭವನೀಯತೆಗಳ ಸೇರ್ಪಡೆ
ভেক্টর সংযোজন,ವಾಹಕಗಳ ಸೇರ್ಪಡೆ
সংযোজন উপপাদ্য,ಸೇರ್ಪಡೆ ಪ್ರಮೇಯ
সংযোজনকারী গ্রুপ,ಸಂಯೋಜಕ ಗುಂಪು
সংযোজন বিপরীত,ಸಂಯೋಜಕ ವಿಲೋಮ
সংযোজক সম্পত্তি,ಸಂಯೋಜಕ ಆಸ್ತಿ
সংযোজন,ಸಂಕಲನ
অন্তিক ম্যাট্রিক্স,ಪಕ್ಕದ ಮ್ಯಾಟ್ರಿಕ್ಸ್
সংলগ্ন,ಪಕ್ಕದ
সন্নিহিত কোণ,ಪಕ್ಕದ ಕೋನಗಳು
সংলগ্ন শীর্ষবিন্দু,ಪಕ್ಕದ ಶೃಂಗ
সংলগ্ন,ಹೊಂದು
সংলগ্ন,ಪಕ್ಕದ
সংলগ্ন নির্ধারক,ಸಂಯೋಜಿತ ನಿರ್ಣಾಯಕ
সন্নিহিত ডিফারেনশিয়াল সমীকরণ,ಸಂಯೋಜಿತ ಭೇದಾತ್ಮಕ ಸಮೀಕರಣ
সংলগ্ন সমীকরণ,ಸಂಯೋಜಿತ ಸಮೀಕರಣ
সংলগ্ন ম্যাট্রিক্স,ಸಂಯೋಜಿತ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ম্যাট্রিক্সের সংলগ্ন,ಮ್ಯಾಟ್ರಿಕ್ಸ್ನ ಸಂಯೋಜಿತ
সামঞ্জস্যপূর্ণ ম্যাট্রিক্স,ಅಡ್ಜುಗೇಟ್ ಮ್ಯಾಟ್ರಿಕ್ಸ್
গ্রহণযোগ্য সিদ্ধান্ত ফাংশন,ಸ್ವೀಕಾರಾರ್ಹ ನಿರ್ಧಾರ ಕಾರ್ಯ
গ্রহণযোগ্য অনুমান,ಸ್ವೀಕಾರಾರ್ಹ ಕಲ್ಪನೆ
এরোডাইনামিক বল,ವಾಯುಬಲವೈಜ್ಞಾನಿಕ ಶಕ್ತಿ
বায়ুগতিবিদ্যা,ವಾಯುಬಲವಿಜ್ಞಾನ
affine জ্যামিতি,ಅಫೈನ್ ಜ್ಯಾಮಿತಿ
affine ম্যাপিং,ಅಫೈನ್ ಮ್ಯಾಪಿಂಗ್
affine রূপান্তর,ಅಫೈನ್ ರೂಪಾಂತರ
একত্রিত ভেরিয়েবল,ಒಟ್ಟುಗೂಡಿಸುವ ಅಸ್ಥಿರ
বীজগণিত,ಬೀಜಗಣಿತ
বীজগণিতভাবে বন্ধ,ಬೀಜಗಣಿತವಾಗಿ ಮುಚ್ಚಲಾಗಿದೆ
বীজগণিত সমীকরণ,ಬೀಜಗಣಿತದ ಸಮೀಕರಣ
বীজগাণিতিক এক্সপ্রেশন,ಬೀಜಗಣಿತದ ಅಭಿವ್ಯಕ್ತಿ
বীজগাণিতিক ফর্ম,ಬೀಜಗಣಿತ ರೂಪ
বীজগণিতীয় ফাংশন,ಬೀಜಗಣಿತದ ಕಾರ್ಯ
বীজগণিত জ্যামিতি,ಬೀಜಗಣಿತದ ರೇಖಾಗಣಿತ
বীজগণিতের বহুত্ব,ಬೀಜಗಣಿತದ ಬಹುಸಂಖ್ಯೆ
বীজগণিত ব্যবস্থা,ಬೀಜಗಣಿತ ವ್ಯವಸ್ಥೆ
