Tamil,Telugu
அபாக்ஸியல் மேற்பரப்பு,అబాక్సియల్ ఉపరితలం
அடிவயிறு,ఉదరం
வயிற்று பெருநாடி,ఉదర బృహద్ధమని
வயிற்று கேங்க்லியா,ఉదర గాంగ్లియా
அபெல்மோஷஸ் எஸ்குலெண்டஸ்,అబెల్మోస్చస్ ఎస్కులెంటస్
மாறுபாடு,అబెర్రేషన్
அபிஸ்,అబీస్
அபிங்டன் ஆமை,అబింగ్డన్ తాబేలు
அபியோஜெனெஸிஸ்,అబియోజెనిసిస్
அஜியோடிக்,అబియోటిక్
அஜியோடிக் காரணி,అబియోటిక్ కారకం
அசாதாரண சிறுநீர்,అసాధారణ మూత్రం
ABO இரத்தக் குழு,అబో బ్లడ్ గ్రూప్
அப்சிசிக் அமிலம்,అబ్సిసిక్ ఆమ్లం
கஷ்டம்,అబ్సిసిషన్
உறிஞ்சும்,గ్రహించండి
உறிஞ்சுதல் உச்சம்,శోషణ శిఖరం
உறிஞ்சுதல்,శోషణ
அகாசியா கேடெச்சு,అకాసియా కాటెచు
அகாரியா அரபிகா,అకారియా అరబికా
அகப்ரின்,అకాప్రిన్
ஏற்றுக்கொள்ளக்கூடிய பாலியல் நடத்தை,ఆమోదయోగ్యమైన లైంగిక ప్రవర్తన
துணை சுரப்பி,అనుబంధ గ్రంథి
துணை சுரப்பி,అనుబంధ గ్రంథి
துணை உறுப்பு,అనుబంధ అవయవం
பழக்கவழக்கமயமாக்கல்,అలవాటు
பழக்கப்படுத்துங்கள்,అలవాటు
தங்குமிடம் (கவனம் செலுத்துதல்),వసతి
கண் தங்குமிடம்,కంటి వసతి
திரட்டல் வளர்ச்சி,అక్రెషన్ పెరుగుదల
குவிப்பு,చేరడం
கரிமப் பொருட்களின் குவிப்பு,సేంద్రీయ పదార్థాలు చేరడం
மண்ணின் குவிப்பு,నేల చేరడం
அசெல்லுலர்,ఎసిల్యులర్
அசெல்லுலர் உயிரினம்,ఎసెల్యులర్ జీవి
அசிடபூலம்,ఎసిటాబులం
அசிடால்டிஹைட்,ఎసిటాల్డిహైడ్
அசிடைல் கோஎன்சைம்,ఎసిటైల్ కోఎంజైమ్
அச்சாடினா,అచతినా
அச்சீன் வகை,అచెనే రకం
அச்சீன்,అచెన్
அச்ச்சைடோஸ்போரே,అచ్లామిడోస్పోరే
அமில மழை,ఆమ్ల వర్షము
அமிலத்தன்மை,ఆమ్ల
அமில வாயு,ఆమ్ల వాయువు
அமிலத்தன்மை,ఆమ్లత్వం
அசிநார் செல்,అసినార్ సెల్
அகோலோமேட்,Acoelomate
அகோனிட்டம்,అకోనిటమ్
ஏகோர்ன் புழு,ఎకార్న్ పురుగు
ஒலி மண்டலம்,ఎకౌస్టిక్ జోనింగ్
வாங்கிய எழுத்து,సంపాదించిన పాత్ర
நோய் எதிர்ப்பு சக்தி,రోగనిరోధక శక్తిని సంపాదించింది
வாங்கிய இம்யூனோ குறைபாடு நோய்க்குறி (எய்ட்ஸ்),ఇమ్యునో లోపం (AIDS)
அக்னியா,అక్రినియా
அக்ரிடைன் சாயம்,యాక్రిడిన్ డై
அக்ரோஷென்ட்ரிக்,అక్రోసెంట్రిక్
அக்ரோமியன்,అక్రోమియన్
அக்ரோபெட்டல் வரிசை,అక్రోపెటల్ సీక్వెన్స్
அக்ரோபெட்டல் ஆர்டர்,అక్రోపెటల్ ఆర్డర్
அக்ரோசின்,అక్రోసిన్
ஆக்டின்,ఆక్టిన్
ஆக்டின் போன்ற புரதம்,ఆక్టిన్ లాంటి ప్రోటీన్
ஆக்டினோமார்பிக்,ఆక్టినోమోర్ఫిక్
ஆக்டினோமைசீட்கள்,ఆక్టినోమైసెట్స్
செயல்பாட்டு திறன்,చర్య సామర్థ్యం
செயல்படுத்தப்பட்ட கசடு,సక్రియం చేయబడిన బురద
செயல்படுத்தப்பட்ட கசடு மிதவை,సక్రియం చేయబడిన బురద ఫ్లోక్
செயல்படுத்தும் ஆற்றல்,యాక్టివేషన్ ఎనర్జీ
செயலில் உறிஞ்சுதல்,క్రియాశీల శోషణ
செயலில் நோய் எதிர்ப்பு சக்தி,క్రియాశీల రోగనిరోధక శక్తి
செயலில் கதிர்வீச்சு,క్రియాశీల రేడియేషన్
செயலில் உள்ள தளம்,క్రియాశీల సైట్
ஆக்டிவின்,యాక్టివిన్
அக்யூமினேட்,అక్యూమినేట్
ஆடம்ஸியா,ఆడమియా
தகவமைப்பு,అనుకూలత
தழுவல்,అనుసరణ
ஒளி ஆட்சிக்கு தழுவல்,కాంతి పాలనకు అనుసరణ
நீர் பற்றாக்குறைக்கு தழுவல்,నీటి కొరతకు అనుసరణ
தகவமைப்பு பண்புகள்,అనుకూల లక్షణాలు
தகவமைப்பு நோய் எதிர்ப்பு சக்தி,అనుకూల రోగనిరోధక శక్తి
தகவமைப்பு கதிர்வீச்சு,అడాప్టివ్ రేడియేషన్
தகவமைப்பு பண்பு,అనుకూల లక్షణం
அடாக்ஸியல் மேற்பரப்பு,అడాక్సియల్ ఉపరితలం
போதை கோளாறு,వ్యసనపరుడైన రుగ్మత
அடினின்,అడెనిన్
