Marathi,Bengali
एसी समतुल्य सर्किट,এসি সমতুল্য সার্কিট
एनालॉग ते अंकीय कनवर्टर,এনালগ থেকে সাংখ্যিক রূপান্তরকারী
पूर्ण शून्य,পরম শূন্য
शोषण गुणांक,শোষণ গুণাঙ্ক
शोषण स्पेक्ट्रम,শোষণ বর্ণালী
रिसेप्टर अणू,রিসেপ্টর পরমাণু
पर्यायी वर्तमान जोडणी,বিকল্প বর্তমান যুগল
इलेक्ट्रॉन कापणी,ইলেক্ট্রন সংগ্রহ
भोक संचयन,গর্ত স্টোরেজ
सक्रियता ऊर्जा,অ্যাক্টিভেশন শক্তি
सक्रिय अॅम्प्लीफायर,সক্রিয় পরিবর্ধক
सक्रिय डायोड सर्किट,সক্রিয় ডায়োড সার্কিট
सक्रिय फिल्टर,সক্রিয় ফিল্টার
सक्रिय उच्च वारंवारता पर्केट फिल्टर,সক্রিয় উচ্চ ফ্রিকোয়েন্সি Parquet ফিল্টার
सक्रिय भार,সক্রিয় লোড
सक्रिय कमी वारंवारता पार्स फिल्टर,সক্রিয় নিম্ন ফ্রিকোয়েন্সি পার্স ফিল্টার
सक्रिय क्षेत्र,সক্রিয় এলাকা
अनुकूली इलेक्ट्रॉनिक्स,অভিযোজিত ইলেকট্রনিক্স
जोडणारा,যোগকারী
समायोज्य बँड विस्तार,সামঞ্জস্যযোগ্য ব্যান্ড এক্সটেনশন
प्रवेश,অনুপ্রবেশ
एरियल,এরিয়েল
pep वारंवारता,পিপ ফ্রিকোয়েন্সি
एअर कंडिशनर,এয়ার কন্ডিশনার
संरेखन,প্রান্তিককরণ
अल्गोरिदम,অ্যালগরিদম
सर्व पास फिल्टर,সমস্ত পাস ফিল্টার
मिश्र धातु जंक्शन,খাদ জংশন
क्षीणन,ক্ষয়
पर्यायी प्रवाह,বিবর্তিত বিদ্যুৎ
वातावरणीय तापमान,পরিবেষ্টিত তাপমাত্রা
द्विध्रुवीय,বাইপোলার
प्रवर्धन,পরিবর্ধন
अॅम्प्लिफायर,পরিবর্ধক
एम्पलीफायर कार्यक्षमता,পরিবর্ধক দক্ষতা
परिमाण,মাত্রা
मोठेपणा क्षीणन,প্রশস্ততা ক্ষয়
अॅम्प्लिट्यूड मॉड्युलेटेड एएम ऑसिलेटर,প্রশস্ততা মডুলেটেড এএম অসিলেটর
मोठेपणा मॉड्यूलेशन,প্রশস্ততা মড্যুলেশন
मोठेपणा मॉड्युलेटर,প্রশস্ততা মডুলেটর
अँग्स्ट्रोम युनिट,অ্যাংস্ট্রম ইউনিট
अॅनालॉग सर्किट,এনালগ সার্কিট
अॅनालॉग संगणक,এনালগ কম্পিউটার
अॅनालॉग फिल्टर,এনালগ ফিল্টার
अॅनालॉग मल्टीमीटर,এনালগ মাল্টিমিটার
अॅनालॉग स्विच,এনালগ সুইচ
आणि गेट,এবং গেট
कोनीय वारंवारता,কৌণিক কম্পাংক
"anion, anion","anion, anion"
एनीलिंग तापमान,অ্যানিলিং তাপমাত্রা
एनोड,অ্যানোড
एनोड अॅम्प्लिफायर,অ্যানোড পরিবর্ধক
anodyne,anodyne
अँटेना,অ্যান্টেনা
अँटेना घटक,অ্যান্টেনা উপাদান
विरोधी परावर्तक कोटिंग,বিরোধী প্রতিফলিত আবরণ
अँटिलॉगिन अॅम्प्लिफायर,অ্যান্টিলগইন পরিবর্ধক
अँटीरेझोनंट सर्किट,অ্যান্টিরেজোন্যান্ট সার্কিট
द्वारक काळ,দ্বারক যুগ
आभासी शक्ती,ভার্চুয়াল শক্তি
वायर कनेक्शन,তারের সংযোগ
अंदाजे व्होल्टेज वाढ,আনুমানিক ভোল্টেজ লাভ
आर्मस्ट्राँग मॉड्युलेटर,আর্মস্ট্রং মডুলেটর
अँटेना अॅरे,অ্যান্টেনা অ্যারে
"आकार गुणोत्तर, गुणोत्तर","সাইজ রেশিও, অ্যাসপেক্ট রেশিও"
फ्लोटिंग सर्किट (फ्री ऑपरेटिंग सर्किट),ভাসমান সার্কিট (ফ্রি অপারেটিং সার্কিট)
स्वयंचलित मल्टीव्हायब्रेटर,স্বয়ংক্রিয় মাল্টিভাইব্রেটর
फ्लोटिंग मल्टीव्हायब्रेटर,ভাসমান মাল্টিভাইব্রেটর
असममित जंक्शन,অপ্রতিসম জংশন
असिंक्रोनस कॅल्क्युलेटर,অ্যাসিঙ্ক্রোনাস ক্যালকুলেটর
आण्विक,পারমাণবিক
अणुक्रमांक,পারমাণবিক সংখ্যা
अणु रचना,পারমাণবিক গঠন
ऑडिओ अॅम्प्लीफायर,অডিও পরিবর্ধক
ऑडिओ अॅम्प्लीफायर,অডিও পরিবর্ধক
ऑडिओ कॅसेट,অডিও ক্যাসেট
ऑडिओ सर्किट,অডিও সার্কিট
ऐकण्यायोग्य वारंवारता,শ্রবণযোগ্য ফ্রিকোয়েন্সি
स्वयंचलित व्होल्टेज नियंत्रण,স্বয়ংক্রিয় ভোল্টেজ নিয়ন্ত্রণ
हिमस्खलन,তুষারপাত
सरासरी डिटेक्टर,গড় আবিষ্কারক
अक्षीय मोड,অক্ষীয় মোড
अक्षीय प्रमाण,অক্ষীয় অনুপাত
अँटेना,অ্যান্টেনা
बॅक इलेक्ट्रोमोटिव्ह फोर्स,ব্যাক ইলেক্ট্রোমোটিভ ফোর্স
मागील क्षेत्र,পিছনের এলাকা
परत स्कॅटर,ব্যাক স্ক্যাটার
पार्श्वभूमी शुल्क,ব্যাকগ্রাউন্ড চার্জ
बाजूचा आवाज,পার্শ্ব গোলমাল
प्रतिगामी,পশ্চাদপসরণ
पोस्टरियर इरॅडिएशन,পোস্টেরিয়র বিকিরণ
बॅकवर्ड डायोड / बॅकवर्ड डायोड,ব্যাকওয়ার্ড ডায়োড / ব্যাকওয়ার্ড ডায়োড
बॅकवर्ड वेव्ह ऑसिलेटर,ব্যাকওয়ার্ড ওয়েভ অসিলেটর
"अडथळा, अडथळा","বাধা, বাধা"
अडथळा,বাধা
संतुलित पूल,সুষম সেতু
संतुलित मॉड्युलेटर,সুষম মডুলেটর
संतुलित मॉड्युलेटर,সুষম মডুলেটর
संतुलित सर्किट,সুষম সার্কিট
संतुलित ग्रेडियंट डिटेक्टर,সুষম গ্রেডিয়েন্ট ডিটেক্টর
वर्तमान स्टॅबिलायझर प्रतिरोध,বর্তমান স্টেবিলাইজার প্রতিরোধের
बोलोमीटर,বোলোমিটার
बोलोमीटर पूल,বোলোমিটার সেতু
फुगा,বেলুন
केळी जॅक,কলা জ্যাক
केळी प्लग,কলা প্লাগ
"पट्टी, पट्टी","ব্যান্ড, ব্যান্ডেজ"
बँड चालक,ব্যান্ড ড্রাইভার
बँड ऊर्जा,ব্যান্ড শক্তি
बँड अंतर,ব্যান্ড ফাঁক
बॅडपार्क अॅम्प्लीफायर,ব্যাডপার্ক পরিবর্ধক
बँड पास फिल्टर,ব্যান্ড পাস ফিল্টার
बॉड रेट जनरेटर,বড রেট জেনারেটর
banddispersion,banddispersion
बँड रेझिस्टर,ব্যান্ড প্রতিরোধক
बँड ब्रेकर फिल्टर,ব্যান্ড ব্রেকার ফিল্টার
बँड विस्तार,ব্যান্ড সম্প্রসারণ
बँड रिमूव्हर फिल्टर,ব্যান্ড রিমুভার ফিল্টার
बँड विस्तार विक्षेप गुणक,ব্যান্ড এক্সপেনশন ডিফ্লেকশন মাল্টিপ্লায়ার
बँड विस्तार अंतर गुणक,ব্যান্ড এক্সটেনশন দূরত্ব গুণক
"बीम कॅपेसिटर, बँक कॅपेसिटर","বিম ক্যাপাসিটর, ব্যাংক ক্যাপাসিটর"
"बार्कर कोड, बार्कर कोड","বার্কার কোড, বার্কার কোড"
barravaugen निकष,barravaugen মানদণ্ড
बॅरेटर,বাধাদানকারী
अडथळा,বাধা
इन्सुलेट कॅपेसिटर,অন্তরক ক্যাপাসিটর
अडथळा ऊर्जा,বাধা শক্তি
रेझिस्टर व्होल्टेज,প্রতিরোধক ভোল্টেজ
बार्टलेट विंडो,বার্টলেট উইন্ডো
"आधार, आधार","ভিত্তি, ভিত্তি"
बेस बँड,বেস ব্যান্ড
बेस बँड ट्रान्समिशन,বেস ব্যান্ড ট্রান্সমিশন
बेस चार्ज,বেস চার্জ
बेस करंट,ভিত্তি বর্তমান
मूळ वर्तमान स्रोत,ভিত্তি বর্তমান উৎস
