Bengali,Kannada
অ্যাবাকাস,ಅಬ್ಯಾಕಸ್
অস্বাভাবিক সমাপ্তি,ಅಸಹಜ ಮುಕ್ತಾಯ
গর্ভপাত,ಸ್ಥಗಿತಗೊಳಿಸು
পরম,ಸಂಪೂರ್ಣ
পরম ঠিকানা,ಸಂಪೂರ್ಣ ವಿಳಾಸ
পরম ঠিকানা,ಸಂಪೂರ್ಣ ವಿಳಾಸ
পরম সংযোজনকারী,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
পরম কোড,ಸಂಪೂರ್ಣ ಕೋಡ್
পরম আদেশ,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
পরম তথ্য,ಸಂಪೂರ್ಣ ಡೇಟಾ
পরম নির্দেশ,ಸಂಪೂರ್ಣ ಸೂಚನೆ
পরম মোড,ಸಂಪೂರ್ಣ ಮೋಡ್
পরম পথ,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
পরম প্রোগ্রামিং,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
বিমূর্ত ক্লাস,ಅಮೂರ್ತ ವರ್ಗ
বিমূর্ত তথ্য প্রকার,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
বিমূর্ত মেশিন,ಅಮೂರ್ತ ಯಂತ್ರ
বিমূর্ত প্রতীক,ಅಮೂರ್ತ ಚಿಹ್ನೆ
বিমূর্ত বাক্য গঠন,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
স্বীকৃতি যাচাইকরণ,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
অ্যাক্সেস প্রমাণীকরণ,ಪ್ರವೇಶ ದೃಢೀಕರಣ
প্রবেশাধিকার কোড,ಪ್ರವೇಶ ಕೋಡ್
প্রবেশাধিকার নিয়ন্ত্রণ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
অ্যাক্সেস স্ক্যান,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
আনুষঙ্গিক,ಪರಿಕರ
অ্যাকাউন্ট,ಖಾತೆ
অ্যাকাউন্ট আইডি,ಖಾತೆ ID
সঞ্চয়কারী,ಸಂಚಯಕ
সঠিকতা,ನಿಖರತೆ
অ্যাক্সেস,ಪ್ರವೇಶ
অ্যাক্সেস নিয়ন্ত্রণ বাইট,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್
অ্যাক্সেস সূচক,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
অ্যাক্সেস কী,ಪ್ರವೇಶ ಕೀ
অ্যাক্সেস ম্যাট্রিক্স,ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್
অ্যাক্সেস মোড,ಪ್ರವೇಶ ಮೋಡ್
