Gujarati,Marathi
A B વર્ગ એમ્પ્લીફાયર,A B वर्ग अॅम्प्लीफायर
વિકૃતિ,विकृती
અસામાન્ય ટ્રાન્સમિશન,असामान्य प्रसार
"જોડાણ વિનાનું, સામાન્ય રીતે, ખાડો, અંગવિચ્છેદન, અસ્થિભંગ","जोडलेले, सहसा, खड्डे पडलेले, विच्छेदन केलेले, फ्रॅक्चर केलेले"
ગુમ થયેલ સ્પેક્ટ્રમ,गहाळ स्पेक्ट्रम
"નિરપેક્ષ, નિરપેક્ષ, અચળ, સંપૂર્ણ","निरपेक्ष, निरपेक्ष, स्थिर, परिपूर्ण"
સંપૂર્ણ ભેજ,परिपूर्ण आर्द्रता
સંપૂર્ણ ગતિ,परिपूर्ण गती
સંપૂર્ણ અવલોકન,परिपूर्ण निरीक्षण
સંપૂર્ણ તાપમાન,परिपूर्ण तापमान
સંપૂર્ણ શૂન્ય,पूर्ण शून्य
શોષી લેવું,शोषून घेणे
"શોષક, શોષક","शोषक, शोषक"
શોષણ ક્ષમતા,शोषण क्षमता
શોષણ,शोषण
શોષક,शोषक
શોષકતા,शोषकता
ગુણાકાર ગુણોત્તર,गुणोत्तर गुणोत्तर
વેગ આપો,गती वाढवणे
ઉતાવળ કરી,घाई केली
પ્રવેગ,प्रवेग
ગુરુત્વાકર્ષણ પ્રવેગક,गुरुत्वाकर्षणाचा प्रवेग
પ્રવેગક,प्रवेगक
પ્રવેગક,प्रवेगक
એક્સેલરોમીટર,प्रवेगमापक
prestresser,prestresser
સ્વીકાર્ય પરીક્ષણ,स्वीकार्य चाचणी
સ્વીકારનાર,स्वीकारणारा
દાતા પરમાણુ,दाता रेणू
"પ્રવેશ, રાહ, સુલભતા","प्रवेश, प्रतीक्षा, प्रवेशयोग्यता"
ઉપલ્બધતા,प्रवेशयोग्यता
"ફાજલ, સહાયક, સહાયક (v.), ઉપસાધનો (ed.)","सुटे, ऍक्सेसरी, ऍक्सेसरी (v.), ऍक्सेसरी (सं.)"
ઍક્સેસ સમય,प्रवेश वेळ
મુલાકાતી ભૂલ,अभ्यागत त्रुटी
ગોઠવણ,समायोजन
સંચિત,जमा
"સંચય, સંચય","जमा करणे, जमा करणे"
સંચયક,संचयक
ચોકસાઈ,अचूकता
વાસ્તવિકતા,वास्तव
વર્ણહીન લેન્સ,अॅक्रोमॅटिक लेन्स
વર્ણહીન,अक्रोमॅटिक
વર્ણહીનતા,अक्रोमॅटिकता
એકોસ્ટિક,ध्वनिक
સાઉન્ડપ્રૂફ,ध्वनीरोधक
એકોસ્ટિક ફોનોન,ध्वनिक फोनन
ધ્વનિ એકમ,ध्वनी युनिट
એકોસ્ટિક,ध्वनिक
અવાજ જનરેટર,ध्वनी जनरेटर
ક્રિયા અને પ્રતિક્રિયા,क्रिया आणि प्रतिक्रिया
સક્રિયકરણ,सक्रियकरण
સક્રિયકરણ ઊર્જા,सक्रियता ऊर्जा
"એક્ટિવેટર, એક્ટિવેટર","सक्रिय करणारा, सक्रिय करणारा"
સક્રિય,सक्रिय
સક્રિયતા,सक्रियता
વાસ્તવિક તણાવ,वास्तविक ताण
બબડાટ,कुजबुजणे
સારાંશ માટે,बेरीज करणे
"સરવાળો, ઉમેરો, એકંદર (સં.), ઉમેરણ (વિ.)","बेरीज, बेरीज, एकत्रित (सं.), बेरीज (v.)"
"સંયોજક સ્વર, વધારાનો સ્વર (સ્વર)","संयुक्त स्वर, अतिरिक्त स्वर (स्वर)"
ઉમેરણ,additive
સંલગ્નતા,आसंजन
એડહેસિવ ઊર્જા,चिकट ऊर्जा
adiabat,adiabat
એડિબેટિક,adiabatic
હીટ ઇન્સ્યુલેટીંગ,उष्णता इन्सुलेट
જોડાણ,संलग्नक
એડજસ્ટેબલ,बदलानुकारी
પ્રવેશ,प्रवेश
શોષણ,शोषण
આગળ,पुढे
પ્રગતિશીલ,प्रगतीशील
"આકાશી, હવા (વિ.), હવાઈ (સં.)","आकाशी, वायु (वि.), हवाई (सं.)"
એન્ટેના સ્ટ્રીમ,अँटेना प्रवाह
હવાઈ સર્વેક્ષણ,हवाई सर्वेक्षण
હવાનો વેગ,हवेचा वेग
એરોડાયનેમિક ગુણાંક,वायुगतिकीय गुणांक
એરોડાયનેમિક,वायुगतिकीय
એરોડાયનેમિક્સ,वायुगतिकी
એરોનોટિકલ,वैमानिक
એરોનોટિક્સ,वैमानिक
હવા નાડી,हवेची नाडी
"વાતાવરણ, ગેસોસ્ફિયર","वातावरण, वायूमंडल"
ફોકસ સિસ્ટમ,फोकस सिस्टम
પાછળની ઇગ્નીશન,परत प्रज्वलन
પાછળનો પ્રકાશ,परत प्रकाश
ઉશ્કેરાટ,आघात
"ઉંમર, ઉંમર, ઉંમર, યુગ (ed.), સમયને અસર કરવા માટે (ver.), સમય, સમય દ્વારા પ્રભાવિત થવો","वय, वय, वय, युग (सं.), वेळेवर परिणाम करणे (व्हेर.), वेळ, काळाने प्रभावित होणे"
અસરગ્રસ્ત સમય,वेळ प्रभावित
"વૃદ્ધાવસ્થા, વૃદ્ધત્વ","वृद्धत्व, वृद्धत्व"
સમયની અસર,वेळेचा प्रभाव
સમય અસર પરીક્ષણ,वेळ प्रभाव चाचणी
ગુરુત્વાકર્ષણ રહિત,गुरुत्वाकर्षणरहित
સમાધાન,समेट
"એરબોર્ન રડાર, એરિયલ રડાર","हवाई रडार, हवाई रडार"
"હવાઈ લક્ષ્ય, હવાઈ લક્ષ્ય","हवाई लक्ष्य, हवाई लक्ष्य"
હવા શ્વસન કરનાર,हवा श्वसन यंत्र
એર કન્ડીશનીંગ,वातानुकुलीत
એરક્રુ ટ્રાન્સફોર્મર,विंडप्रूफ ट्रान्सफॉर्मर
વિમાન,विमान
ગોઠવણી,संरेखन
સંરેખણ ભૂલ,संरेखन त्रुटी
જીવંત સર્કિટ,थेट सर्किट
સંપૂર્ણ કાચની નળી,पूर्ण काचेची ट्यूब
આખી મેટલ ટ્યુબ,संपूर्ण धातूची नळी
ઠીક,निराकरण
"મિશ્રાતુ (સં.), મિશ્રત્વન (cr.)","मिश्रातु (सं.), मिश्रत्व (क्र.)"
મિશ્રત્વ,मिश्रत्व
સર્વવ્યાપક માધ્યમ,सर्वव्यापी माध्यम
ઓમ્ની એન્ટેના,सर्व अँटेना
પંચાંગ,पंचांग
આલ્ફા,अल्फा
આલ્ફા-પ્રવૃત્તિ,अल्फा क्रियाकलाप
આલ્ફાન્યૂમેરિક,अल्फान्यूमेरिक
આલ્ફા કિરણ,अल्फा किरण
બદલો,बदला
"વૈકલ્પિક, વૈકલ્પિક","पर्यायी, पर्यायी"
વૈકલ્પિક,अल्टरनेटर
અલ્ટિમીટર,अल्टिमीटर
અલ્ટિમીટર,अल्टिमीटर
અલ્ટાઇમટ્રી,altimetry
"ઊંચાઈ, ઊંચાઈ, ઊંચાઈ, ઊંચાઈ","उंची, उंची, उंची, उंची"
અંકગણિત તર્ક એકમ (ALU),अंकगणित तर्क युनिट (ALU)
amaget નિયમ,amaget नियम
પર્યાવરણ,वातावरण
એમીક્રોન,amicron
એમીટર,ammeter
એમ્પીયર,अँपिअर
એમ્પીયર કાયદો,अँपिअर-लॉ
ઉભયજીવી આયન,उभयचर आयन
એમ્પ્લીફિકેશન,प्रवर्धन
એમ્પ્લીફાયર,अॅम्प्लीफायर
"કોણ, પરિમાણ","कोन, परिमाण"
a એમ. યુ. (અણુ સમૂહ એકમ),a एम. यू. (अणु वस्तुमान एकक)
સુસંગત,सुसंगत
સામ્યતા,साधर्म्य
વિશ્લેષક,विश्लेषक
વિશ્લેષણ,विश्लेषण
વિશ્લેષણાત્મક,विश्लेषणात्मक
બિન-બિંદુ,नॉन पॉइंट
વિસંગત,विसंगत
અને દરવાજો,आणि दरवाजा
બિન-એકોસ્ટિક,गैर-ध्वनी
વિસંગત સ્થિતિસ્થાપકતા,विसंगत लवचिकता
નિર્જળ,निर्जल
કોણ,कोन
એંગસ્ટ્રોમ એકમ,अँग्स्ट्रोम युनिट
કોણીય,टोकदार
પ્રોટ્રેક્ટર વેર્નિયર,protractor vernier
વિવાદાસ્પદ,विवादास्पद
આદરહીન,अनादर
વર્ણહીન ચુંબકીયકરણ,अक्रोमॅटिक चुंबकीकरण
ઢીલું,सुस्त
anion,anion
અસમપ્રમાણ,असममित
આઇસોટ્રોપિક,समस्थानिक
આઇસોટ્રોપિઝમ,isotropism
કાઢી નાખવું,हटवणे
કાવતરાખોરો,कटकारस्थान
એનોડ,एनोड
એનોડાઇઝેશન,anodization
અસંગત,विसंगत
ઓપ્ટિકલ સિસ્ટમ,ऑप्टिकल प्रणाली
એન્ટેના,अँटेना
એન્ટિબેરિયન,अँटीबेरियन
વિરોધી બંધન ગુણધર્મો,अँटी-बॉन्डिंग गुणधर्म
કાઉન્ટર બોન્ડ,काउंटर बाँड
વિપરીત શક્તિ,उलट शक्ती
ડાયમેગ્નેટિક,डायमॅग्नेटिक
ડાયમેગ્નેટિક સામગ્રી,डायमॅग्नेटिक सामग्री
બળતરા વિરોધી,विरोधी दाहक
એન્ટિગ્રેવિટી,गुरुत्वाकर्षण
એન્ટિલામડા કણ,antilamda कण
એલેપ્ટન,ऍलेलेप्टन
ડાયમેગ્નેટિક,डायमॅग्नेटिक
એન્ટિમેટર,प्रतिपदार्थ
વિરોધી મિસાઇલ,क्षेपणास्त्र विरोधी
એન્ટિન્યુટ્રોન,अँटीन्यूट्रॉन
ધબકતું,pulsating
એન્ટિન્યુક્લિયોન,अँटीन्यूक्लिओन
એન્ટિપાર્ટિકલ,प्रतिकण
એન્ટિપ્રોટોન,अँटीप्रोटॉन
પ્રતિબિંબ વિરોધી,परावर्तक
અસમપ્રમાણ,विषमताविरोधी
નોન રિકરિંગ,आवर्ती नाही
અનાક્રોનિઝમ,अनाक्रोनिझम
છિદ્રિત સ્કેનિંગ ડિસ્ક,छिद्रित स्कॅनिंग डिस्क
દ્વારક,द्वारक
"ટોચ, ટોચ, આગળ","वर, वर, समोर"
"સૂર્ય ઉચ્ચ, સૂર્ય ઉચ્ચ, અપ્સૂર","उच्च सूर्य, उच्च सूर्य"
ઉદાસીન ફીત,उदासीन लेस
બિન-દયનીય,गैर-दयनीय
બિન-વિકલાંગતા,अपंगत्व नसणे
ખૂબ વર્ણહીન,अतिशय वर्णवर्धक
"જમીન-ઊંચી, apogee","जमीन-उंच, apogee"
"બિનધ્રુવીય, ગોળાકાર","nonpolar, circumpolar"
પેરાપોલરીટી,parapolarity
ઉપકરણ,साधन
"વર્ચ્યુઅલ, વિઝ્યુઅલ","आभासी, दृश्य"
દૃશ્યમાન સૂર્ય,दृश्यमान सूर्य
દ્રશ્ય સમય,दृश्य वेळ
ઉભરતો દેખાવ,उदयोन्मुख देखावा
અરજી,अर्ज
લાગુ પડવાની ક્ષમતા,लागू
લાગુ,लागू
અવલોકનક્ષમ,निरीक्षण करण्यायोग्य
અભિગમ,दृष्टीकोन
"નજીક, આશરે","जवळ, अंदाजे"
અંદાજ,अंदाजे
બાષ્પ દબાણ,बाष्प दाब
સ્વૈચ્છિક,ऐच्छिक
"આર્ક ફર્નેસ, આર્ક ફર્નેસ","चाप भट्टी, चाप भट्टी"
આર્કિમિડીઝનો કાયદો,आर्किमिडीजचा कायदा
આર્કિટેક્ચરલ ધ્વનિશાસ્ત્ર,आर्किटेक्चरल ध्वनीशास्त्र
ચાપ દીવો,चाप दिवा
આર્ક-સ્પેક્ટ્રમ,आर्क-स्पेक्ट्रम
"વિસ્તાર, વિસ્તાર","क्षेत्र, क्षेत्र"
"પ્રાદેશિક, પ્રાદેશિક","प्रादेशिक, प्रादेशिक"
"હાથ, હાથ, શાખા","हात, हात, शाखा"
કલાપ્રેમી,हौशी
"એરે, એરે","अॅरे, अॅरे"
રીસીવર,प्राप्तकर्ता
ઉચ્ચાર સ્પષ્ટતા,उच्चार स्पष्टता
કૃત્રિમ,सिंथेटिक
કૃત્રિમ ટ્રાન્સમ્યુટેશન,कृत्रिम संक्रमण
ચડતા,चढत्या
ચઢાણ,आरोहण
ચડવું,चढणे
અગોલી,अगोली
એકત્રીકરણ,एकत्रीकरण
નો સમૂહ,संच
"એસેમ્બલીંગ, એસેમ્બલીંગ","एकत्र करणे, एकत्र करणे"
"એસેમ્બલીંગ, એસેમ્બલીંગ, એસેમ્બલીંગ","एकत्र करणे, एकत्र करणे, एकत्र करणे"
ચોકસાઇ અંદાજ,अचूक अंदाज
ઉલ્લેખિત (ક્વોન્ટમ નંબરોની) વિશિષ્ટતાઓ,निर्दिष्ट (क्वांटम संख्यांची) वैशिष्ट्ये
"સંબંધિત, સહયોગી, જોડાણ","संबंधित, सहयोगी, संयुग्मित"
સ્વર અવાજ,स्वराचा उच्चार
સ્વચાલિત મલ્ટિવાઇબ્રેટર,स्वयंचलित मल्टीव्हायब्रेटर
અસ્થેનિક,अस्थेनिक
"ત્યાગ, અસ્પષ્ટતા","संयम, दृष्टिवैषम्य"
અવકાશ યાત્રા ઇલેક્ટ્રોનિક્સ,अंतराळ प्रवास इलेक्ट्रॉनिक्स
એસ્ટ્રોફિઝિક્સ,खगोल भौतिकशास्त्र
અવકાશયાત્રી,अंतराळवीर
ખગોળશાસ્ત્રી,खगोलशास्त्रज्ञ
આકાશી,आकाशीय
ખગોળશાસ્ત્ર,खगोलशास्त्र
એસ્ટ્રોફિઝિક્સ,खगोल भौतिकशास्त्र
અસમપ્રમાણ,असममित
એસિમ્પટોટિક,लक्षणे नसलेला
ઉત્તેજક,त्रासदायक
અસુમેળ,असिंक्रोनस
"વાતાવરણ, વાતાવરણ","वातावरण, वातावरण"
વાતાવરણીય,वातावरणीय
પવનની અશાંતિ,वारा अशांतता
પરમાણુ,आण्विक
અણુ,अणू
પરમાણુ,आण्विकता
પરમાણુ સમૂહ,आण्विक वस्तुमान
અણુ સંખ્યા,अणुक्रमांक
"પરમાણુ રિએક્ટર, પરમાણુ ખૂંટો","आण्विक अणुभट्टी, आण्विक ढीग"
અણુ,अणू
કણ,कण
કણ,कण
એટેન્યુએશન,"क्षीणता, क्षीणता"
"હળવું કરવું, હળવું કરવું","कमी करणे, कमी करणे"
વશીકરણ,मोहिनी
આકર્ષણનું બળ,आकर्षण शक्ती
શ્રાવ્યતા,ऐकण्याची क्षमता
ઓડિયો ફ્રીક્વન્સી એમ્પ્લીફાયર,ऑडिओ वारंवारता अॅम्प्लिफायर
સાંભળી શકાય તેવું,ऐकण्यायोग्य
ઓડિયો જનરેટર,ऑडिओ जनरेटर
શ્રાવ્ય ગ્રાફ,श्रवणक्षमता आलेख
સુનાવણી વિજ્ઞાન,श्रवण विज्ञान
ઓડિયોમીટર,ऑडिओमीटर
શ્રાવ્ય આવર્તન ઓસિલેટર,ऐकण्यायोग्य वारंवारता ऑसिलेटर
ધ્વનિ સંકેત,ध्वनी सिग्नल
દ્રશ્ય-શ્રાવ્ય,दृकश्राव्य
"ઓડિટોરિયમ, ઓડિટોરિયમ","सभागृह, सभागृह"
ઓઝેડ અસર,ओझेड प्रभाव
પ્રમોશન,जाहिरात
વધારનાર,वर्धक
ધ્રુવીય જ્યોત,ध्रुवीय ज्योत
દક્ષિણ ધ્રુવીય જ્યોત,दक्षिण ध्रुवीय ज्वाला
ઉત્તર ધ્રુવીય જ્યોત,उत्तर ध्रुवीय ज्योत
આપોઆપ ચેતવણી,स्वयंचलित सूचना
ઓટો પેરેલલાઈઝર,स्वयं समांतर
"આપોઆપ, આપોઆપ, આપોઆપ","स्वयंचलित, स्वयंचलित, स्वयंचलित"
"ઓટોમેશન, ઓટોમેશન","ऑटोमेशन, ऑटोमेशन"
"સહાયક, સહકારી, વધારાનું","सहाय्यक, सहकारी, अतिरिक्त"
"અવડાવ, હિમપ્રપાત","आडवा, हिमस्खलन"
"સરેરાશ, સરેરાશ","अर्थ, क्षुद्र"
પરિવાર,परिवार
અક્ષીય,अक्षीय
ધરી,अक्ष
અઝીમથ,दिगंश
અઝીમથ,दिगंश
પાછા,परत
"પૃષ્ઠભૂમિ, પૃષ્ઠભૂમિ","पार्श्वभूमी, पार्श्वभूमी"
"પછાત, પછાત","मागासलेला, मागासलेला"
ટર્નઅરાઉન્ડ,टर्नअराउंड
બેક વોલ્ટેજ પલ્સર,बॅक व्होल्टेज पल्सर
સંબંધ પછી,पोस्ट-रिलेशनशिप
વળતર,प्रतिपूर्ती
વિરોધી વોલ્ટેજ,अँटी व्होल्टेज
પશ્ચાદવર્તી સ્કેટરિંગ,पोस्टरियर स्कॅटरिंग
ઇન્ટર્સ્ટિશલ તરંગ,इंटरस्टिशियल लाट
ઇન્સ્યુલેટર,इन्सुलेटर
પેરાશૂટ જમ્પ,हवाई छत्री वापरून घेतलेली उडी
ગરમી,गरम करणे
"સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન, સંતુલન","शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक, शिल्लक"
બેલેન્સર,बॅलन्सर
સંતુલન,शिल्लक
ગ્લોબ્યુલ,गोलाकार
"બેલિસ્ટિક, બેલિસ્ટિક","बॅलिस्टिक, बॅलिस्टिक"
"પ્રોજેક્શન ગેલ્વેનોમીટર, પ્રોજેક્શન ગેલ્વેનોમીટર","प्रोजेक्शन गॅल्व्हानोमीटर, प्रोजेक्शन गॅल्व्हानोमीटर"
મિસાઇલ,क्षेपणास्त्र
"બેલિસ્ટિક્સ, હથિયાર","बॅलिस्टिक्स, शस्त्रे"
પ્રક્ષેપણ,प्रक्षेपण
મફત માર્ગ,मुक्त मार्ग
"બલૂન, બલૂન","फुगा, फुगा"
બાલ્મર બંધ,balmer खंडितता
"બેન્ડ, બેન્ડ, બેન્ડ","बँड, बँड, बँड"
વિસ્ફોટ,स्फोट
"એરે, બીમ, કિનારો, બેંક, કિનારો","अॅरे, बीम, किनारा, किनारा, किनारा"
"કૉલમ, બાર, કોબ, બ્લોક, બાર, સળિયા, બાર, 8. દિવાલ, 9. રેખા, 10. ધાર, 1 બ્લોક, 1, બાર, 1, રેખા, 1, પરીક્ષણ રેખા","स्तंभ, बार, कोब, ब्लॉक, बार, रॉड, बार, 8. भिंत, 9. रेखा, 10. किनारा, 1 ब्लॉक, 1, बार, 1, रेखा, 1, चाचणी रेखा"
બાર્ડીન સિદ્ધાંત,bardeen तत्त्व
barkhausen અસર,barkhausen प्रभाव
બાર્લો ચક્ર,बारलो सायकल
બાર ચુંબક,बार चुंबक
કોઠાર,धान्याचे कोठार
હવાનું દબાણ ગ્રાફ,हवेचा दाब आलेख
"બેરોગ્રાફ, બેરોગ્રાફ","बॅरोग्राफ, बॅरोग्राफ"
બેરોમીટર,बॅरोमीटर
વાતાવરણ નુ દબાણ,वातावरणाचा दाब
"કોસ્મોસ, બેરોમોસ્ફિયર","कॉसमॉस, बॅरोमोस्फियर"
લોલક લોલક,पेंडुलम पेंडुलम
