Marathi,Gujarati
ऍसिडॉइड,એસિડોઇડ
एओलियन माती,એઓલિયન માટી
एकूण,એકંદર
एकत्रीकरण,એકત્રીકરણ
कृषीशास्त्र,કૃષિશાસ્ત્ર
कृषीशास्त्र,કૃષિવિજ્ઞાન
A-क्षितिज,A-ક્ષિતિજ
Ao-क्षितिज,Ao-ક્ષિતિજ
Aoo-क्षितिज,Aoo-ક્ષિતિજ
मातीची हवेची क्षमता,માટીની હવા ક્ષમતા
मातीतील हवेचे प्रमाण,જમીનની હવાની સામગ્રી
एअर पिकनोमीटर,એર પિકનોમીટર
ऍलिटिक माती,એલિટિક માટી
गाळाची माती,કાંપવાળી માટી
अॅम्फोलायटॉइड,એમ્ફોલિટોઇડ
आयन,આયન
"स्पष्ट विशिष्ट गुरुत्व खंड वजन किंवा मोठ्या प्रमाणात विशिष्ट गुरुत्व,&quot;","દેખીતી ચોક્કસ ગુરુત્વાકર્ષણ વોલ્યુમ વજન અથવા બલ્ક ચોક્કસ ગુરુત્વાકર્ષણ,&quot;"
ऍरिस,એરિસ
Ashlar दंड दगडी बांधकाम,Ashlar દંડ ચણતર
Ashlar दगडी बांधकाम,Ashlar ચણતર
अझोनल माती,એઝોનલ માટી
मागचा अभिनेता,પાછળનો અભિનેતા
मागची कमान,પાછળની કમાન
बॅक बँड,બેક બેન્ડ
मागे ब्रश,પાછળ બ્રશ
परत तपासणी,બેક ચેક
मागे काउंटर,બેક કાઉન્ટર
परत कटिंग,પાછળ કટીંગ
बॅक ड्राफ्ट डँपर,બેક ડ્રાફ્ટ ડેમ્પર
मागे निचरा,બેક ડ્રેઇન
बॅक ड्रॉप,બેક ડ્રોપ
परत भरा,પાછળ ભરો
बॅक फिलेट,બેક ફીલેટ
बॅक फ्लॅप बिजागर,બેક ફ્લૅપ મિજાગરું
परत प्रवाह कनेक्शन,બેક ફ્લો કનેક્શન
परत प्रवाह प्रतिबंधक,બેક ફ્લો નિવારક
बॅक गेज,બેક ગેજ
मागे गटार,પાછળ ગટર
मागे चूल,બેક હર્થ
पाठीराखा,બેકિંગ
बॅकिंग बोर्ड,બેકિંગ બોર્ડ
पाठीचा दाब,પાછળ ધકેલાતું દબાણ
बॅक प्रोप,બેક પ્રોપ
मागची दृष्टी,પાછળની દૃષ્ટિ
परत पाणी,પાછું પાણી
गोंधळ,બેફલ
बॅगवर्क,બેગવર્ક
गिट्टी,બેલાસ્ટ
बॉल क्ले,બોલ માટી
बॉल कोन क्लॅम्प,બોલ શંકુ ક્લેમ્બ
काटेरी तार,કાંટાળો તાર
बार कुत्रा,બાર કૂતરો
बार्ज बोर्ड,બાર્જ બોર્ડ
बेरियम सल्फेट चाचणी,બેરિયમ સલ્ફેટ ટેસ્ટ
बॅरेज,બેરેજ
बॅरेट,બેરેટ
पाया,પાયો
बेस एक्सचेंज,આધાર વિનિમય
बेस लाइन,બેઝ લાઇન
तळघर,ભોંયરું
तळघर भिंत,ભોંયરું દિવાલ
तळपट्टी,બેઝ પ્લેટ
"बेस प्लेट, समायोज्य","બેઝ પ્લેટ, એડજસ્ટેબલ"
बेस संपृक्तता,આધાર સંતૃપ્તિ
बेसॉइड,બેસોઇડ
वटवाघूळ,બેટ
बाथ आणि WC,સ્નાન અને WC
पिठात पेग,સખત મારપીટ
पिठात घाट,સખત મારપીટ પિયર
पिठात नियम,સખત મારપીટનો નિયમ
बल्क (बाल्क),બૉલ્ક (બાલ્ક)
खाडी,ખાડી
वाहक,ધારક
सहन करण्याची क्षमता,બેરિંગ ક્ષમતા
पत्करणे ब्लॉकला,બેરિંગ ખૂંટો
बेअरिंग स्ट्रॅटम,બેરિંગ સ્ટ્રેટમ
पलंग,પથારી
बेडिंग विमान,પથારીનું વિમાન
बेड संयुक्त,બેડ સંયુક્ત
बेड रॉक,બેડ રોક
बेड रूम,બેડ રૂમ
मेण,મીણ
बेल बॉक्स,બેલ બોક્સ
बेलिंग बादली,બેલિંગ ડોલ
बेलोफ्राम,બેલોફ્રેમ
बेंच केलेला पाया,બેન્ચ્ડ ફાઉન્ડેશન
बेंचिंग,બેન્ચિંગ
बेंच मार्क,બેન્ચ માર્ક
लाभ खर्चाचे विश्लेषण,લાભ ખર્ચ વિશ્લેષણ
बर्म,બેર્મ
Bevelled बंद,બેવેલ્ડ બંધ
"B-क्षितिज,&quot;B-","B-ક્ષિતિજ,&quot;B-"
बायट,બાયટ
बाईंडर,બાઈન્ડર
बंधनकारक साहित्य,બંધનકર્તા સામગ્રી
बायोटचा सिद्धांत,બાયોટનો સિદ્ધાંત
बिटुमेन,બીટુમેન
काळी कापूस माती,કાળી કપાસની માટી
काळी पृथ्वी,કાળી પૃથ્વી
काळी हरळीची माती,કાળી જડિયાંવાળી જમીન
ब्लेड,બ્લેડ
ब्लास्ट फर्नेस स्लॅग सिमेंट,બ્લાસ્ટ ફર્નેસ સ્લેગ સિમેન્ટ
ब्लॉक रचना,બ્લોકી માળખું
बोगी प्रतिकार,બોગી પ્રતિકાર
बोग-लोह धातू,બોગ-આયર્ન ઓર
बाँड,બોન્ડ
बंधपत्रित सदस्य,બંધાયેલા સભ્ય
बंध पोस्ट टेंशनिंग,બોન્ડેડ પોસ્ટ ટેન્શનિંગ
बोंड दगड,બોન્ડ પથ્થર
बांधलेले पाणी,બંધાયેલ પાણી
पेटी गटर,બોક્સ ગટર
ब्रेस,તાણવું
वीट-ऑन-एज,ઈંટ પર ધાર
लगाम,બ્રિડલ
तेज,તેજ
तपकिरी माती,બ્રાઉન માટી
इमारत,બિલ્ડીંગ
इमारत सर्वेक्षक,બિલ્ડીંગ સર્વેયર
बफर,બફર
बफर वक्र,બફર વળાંક
बफरिंग,બફરિંગ
बफरिंग क्षमता,બફરિંગ ક્ષમતા
बंदर,બંદર
बट्रेस,બટ્રેસ
सी-क्षितिज,સી-ક્ષિતિજ
केबल,કેબલ
केबल मोल्डिंग,કેબલ મોલ્ડિંગ
केबल टाकणे,કેબલિંગ
केबिन,કેબિન
केबिन हुक,કેબિન હૂક
कपाट,કેબિનેટ
कॅबोल्ट सोडला,કેબોલ્ટે છોડી દીધું
कॅफेटेरिया,કાફેટેરિયા
पिंजरा,કેજ
पिंजरा बांधकाम,પાંજરાનું બાંધકામ
काईनचे सूत्र,કાઈનનું સૂત્ર
कैसन,કેસોન
कॅसन रोग,કેસોન રોગ
Caisson पाया,કેસોન ફાઉન્ડેશન
Caisson ढीग,Caisson ખૂંટો
चुनखडीची वीट,કેલ્કેરિયસ ઈંટ
चुनखडीयुक्त चिकणमाती,કેલ્કેરિયસ માટી
चुनखडीयुक्त कवच,કેલ્કેરિયસ પોપડો
कॅल्सिफिकेशन,કેલ્સિફિકેશન
कॅल्सीनेशन,કેલ્સિનેશન
कॅल्सीन,કેલ્સિન
कॅल्साइट,કેલ્સાઇટ
