Gujarati,Kannada
અબેકસ,ಅಬ್ಯಾಕಸ್
અસામાન્ય સમાપ્તિ,ಅಸಹಜ ಮುಕ್ತಾಯ
ગર્ભપાત,ಸ್ಥಗಿತಗೊಳಿಸು
સંપૂર્ણ,ಸಂಪೂರ್ಣ
સંપૂર્ણ સરનામું,ಸಂಪೂರ್ಣ ವಿಳಾಸ
સંપૂર્ણ સંબોધન,ಸಂಪೂರ್ಣ ವಿಳಾಸ
સંપૂર્ણ એસેમ્બલર,ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್
સંપૂર્ણ કોડ,ಸಂಪೂರ್ಣ ಕೋಡ್
સંપૂર્ણ આદેશ,ಸಂಪೂರ್ಣ ಆಜ್ಞೆ
સંપૂર્ણ ડેટા,ಸಂಪೂರ್ಣ ಡೇಟಾ
સંપૂર્ણ સૂચના,ಸಂಪೂರ್ಣ ಸೂಚನೆ
સંપૂર્ણ મોડ,ಸಂಪೂರ್ಣ ಮೋಡ್
સંપૂર્ણ માર્ગ,ಸಂಪೂರ್ಣ ಮಾರ್ಗ
સંપૂર્ણ પ્રોગ્રામિંગ,ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್
અમૂર્ત વર્ગ,ಅಮೂರ್ತ ವರ್ಗ
અમૂર્ત ડેટા પ્રકાર,ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ
અમૂર્ત મશીન,ಅಮೂರ್ತ ಯಂತ್ರ
અમૂર્ત પ્રતીક,ಅಮೂರ್ತ ಚಿಹ್ನೆ
અમૂર્ત વાક્યરચના,ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್
સ્વીકૃતિ પરીક્ષણ,ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ
ઍક્સેસ પ્રમાણીકરણ,ಪ್ರವೇಶ ದೃಢೀಕರಣ
ઍક્સેસ કોડ,ಪ್ರವೇಶ ಕೋಡ್
વપરાશ નિયંત્રણ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ
એક્સેસ સ્કેન,ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್
સહાયક,ಪರಿಕರ
એકાઉન્ટ,ಖಾತೆ
એકાઉન્ટ ID,ಖಾತೆ ID
સંચયક,ಸಂಚಯಕ
ચોકસાઈ,ನಿಖರತೆ
ઍક્સેસ,ಪ್ರವೇಶ
એક્સેસ કંટ્રોલ બાઈટ,ಪ್ರವೇಶ ನಿಯಂತ್ರಣ ಬೈಟ್
એક્સેસ ઇન્ડેક્સ,ಪ್ರವೇಶ ಸೂಚ್ಯಂಕ
ઍક્સેસ કી,ಪ್ರವೇಶ ಕೀ
એક્સેસ મેટ્રિક્સ,ಪ್ರವೇಶ ಮ್ಯಾಟ್ರಿಕ್ಸ್
ઍક્સેસ મોડ,ಪ್ರವೇಶ ಮೋಡ್
એક્સેસ વિશેષાધિકાર,ಪ್ರವೇಶ ಸವಲತ್ತು
ઍક્સેસ સુરક્ષા,ಪ್ರವೇಶ ಭದ್ರತೆ
ઍક્સેસ સર્વર,ಪ್ರವೇಶ ಸರ್ವರ್
ઍક્સેસ સમય,ಪ್ರವೇಶ ಸಮಯ
સ્વીકૃતિ,ಸ್ವೀಕೃತಿ
ધ્વનિશાસ્ત્ર,ಅಕೌಸ್ಟಿಕ್ಸ್
ટૂંકાક્ષર,ಸಂಕ್ಷಿಪ್ತ ರೂಪ
ક્રિયા સંદેશ,ಕ್ರಿಯೆಯ ಸಂದೇಶ
સક્રિયકરણ,ಸಕ್ರಿಯಗೊಳಿಸುವಿಕೆ
સક્રિય સર્વર પૃષ્ઠ (ASP),ಸಕ್ರಿಯ ಸರ್ವರ್ ಪುಟ (ASP)
સક્રિય સંસ્કરણ,ಸಕ್ರಿಯ ಆವೃತ್ತಿ
એસાયક્લિક,ಅಸೈಕ್ಲಿಕ್
એસાયક્લિક ગ્રાફ,ಅಸಿಕ್ಲಿಕ್ ಗ್ರಾಫ್
અદા ભાષા,ಅದಾ ಭಾಷೆ
એડેપ્ટર,ಅಡಾಪ್ಟರ್
ઉમેરો,ಸೇರಿಸಿ
ફાઇલ ઉમેરો,ಕಡತವನ್ನು ಸೇರಿಸು
કામગીરી ઉમેરો,ಕಾರ್ಯಾಚರಣೆಯನ್ನು ಸೇರಿಸಿ
ઉમેરનાર,ಸೇರಿಸುವವನು
સરનામું,ವಿಳಾಸ
સરનામું બસ,ವಿಳಾಸ ಬಸ್
સરનામું ફાઇલ,ವಿಳಾಸ ಫೈಲ್
સરનામું ફોર્મેટ,ವಿಳಾಸ ಸ್ವರೂಪ
સરનામું જનરેટર,ವಿಳಾಸ ಜನರೇಟರ್
એડ્રેસ લાઇન,ವಿಳಾಸ ಸಾಲು
સરનામું મેપિંગ,ವಿಳಾಸ ಮ್ಯಾಪಿಂಗ್
સરનામું નિર્દેશક,ವಿಳಾಸ ಪಾಯಿಂಟರ್
સરનામું રજીસ્ટર,ವಿಳಾಸ ನೋಂದಣಿ
સરનામું રિઝોલ્યુશન,ವಿಳಾಸ ನಿರ್ಣಯ
સરનામા અનુવાદ,ವಿಳಾಸ ಅನುವಾದ
સંબોધિત મેમરી,ಸ್ಮರಣೆಯನ್ನು ಉದ್ದೇಶಿಸಿ
સંબોધન,ಉದ್ದೇಶಿಸಿ
પર્યાપ્તતા માપદંડ,ಸಮರ್ಪಕತೆಯ ಮಾನದಂಡಗಳು
સંલગ્ન,ಪಕ್ಕದ
વહીવટ,ಆಡಳಿತ
સંચાલક,ನಿರ್ವಾಹಕ
એડોબ એક્રોબેટ,ಅಡೋಬ್ ಅಕ್ರೋಬ್ಯಾಟ್
એડોબ ફોટોશોપ,ಅಡೋಬ್ ಫೋಟೋಶಾಪ್
એડવાન્સ બિઝનેસ એપ્લિકેશન પ્રોગ્રામિંગ (ABAP),ಅಡ್ವಾನ್ಸ್ ಬಿಸಿನೆಸ್ ಅಪ್ಲಿಕೇಶನ್ ಪ್ರೋಗ್ರಾಮಿಂಗ್ (ABAP)
અદ્યતન ડેટા,ಸುಧಾರಿತ ಡೇಟಾ
અદ્યતન માહિતી સિસ્ટમ,ಸುಧಾರಿತ ಮಾಹಿತಿ ವ್ಯವಸ್ಥೆ
અદ્યતન ટેકનોલોજી (AT),ಸುಧಾರಿತ ತಂತ್ರಜ್ಞಾನ (AT)
એજન્ટ,ಏಜೆಂಟ್
એકત્રીકરણ,ಒಟ್ಟುಗೂಡಿಸುವಿಕೆ
એરબોર્ન કમ્પ્યુટર સિસ્ટમ,ವಾಯುಗಾಮಿ ಕಂಪ್ಯೂಟರ್ ವ್ಯವಸ್ಥೆ
aldus પૃષ્ઠ નિર્માતા,ಅಲ್ಡಸ್ ಪೇಜ್ ಮೇಕರ್
ચેતવણી બોક્સ,ಎಚ್ಚರಿಕೆ ಪೆಟ್ಟಿಗೆ
algol,ಆಲ್ಗೋಲ್
અલ્ગોરિધમ,ಅಲ್ಗಾರಿದಮ್
અલ્ગોરિધમ વિશ્લેષણ,ಅಲ್ಗಾರಿದಮ್ ವಿಶ್ಲೇಷಣೆ
