English,Gujarati
Abbey of Westminster,વેસ્ટમિન્સ્ટરના એબી
Abditory,ત્યાગી
Abolition of slavery,ગુલામી નાબૂદી
Aboriginal,એબોરિજિનલ
Abraham Era,અબ્રાહમ યુગ
Absentee landlords,ગેરહાજર મકાનમાલિકો
Academy,એકેડમી
Accra conference,અકરા કોન્ફરન્સ
Accruals,સંસાધનો
Acculturation,સંવર્ધન
Aceldama,એસેલડામા
Achaean (=Achian),અચેઅન (=અચિયન)
Achaean League (=Achian League),આચિયન લીગ (=એચિયન લીગ)
Acropolis,એક્રોપોલિસ
Acta Diurna,એક્ટા દીર્ના
Acta Senatus,એક્ટા સેનાટસ
Acte Additionel,એક્ટ એડિશનલ
Active record (=current record),સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ)
Act of attainder,પ્રાપ્ત કરનારનું કાર્ય
Act of Indemnity and oblivion,ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય
Act of Settlement,સમાધાનનો અધિનિયમ
Ad contractus seal,જાહેરાત કરાર સીલ
Adullamites,અદુલ્લામાઈટસ
Adversary,વિરોધી
Adversary,વિરોધી
Aeon,એઓન
Aerarium,એરેરિયમ
Aerial warfare,હવાઈ યુદ્ધ
Aetolian League,એટોલિયન લીગ
Age,ઉંમર
Ageing (=aging),વૃદ્ધત્વ (=વૃદ્ધત્વ)
Ageing process,વૃદ્ધત્વ પ્રક્રિયા
Agelai,અગેલાઈ
Age of chivalry,શૌર્યની ઉંમર
Age of Englightment,જ્ઞાનની ઉંમર
Age of Pericles,પેરિકલ્સની ઉંમર
Age of reason,કારણની ઉંમર
Agrarianism,કૃષિવાદ
Agrarian movement,કૃષિ આંદોલન
Albion,એલ્બિયન
Album,આલ્બમ
Alderman,એલ્ડરમેન
Allusive arms,મોહક શસ્ત્રો
Amity,સૌમ્યતા
Amphictyonic Council,એમ્ફિક્ટિઓનિક કાઉન્સિલ
Amphictyonic League,એમ્ફિક્ટિઓનિક લીગ
Amphitheatre,એમ્ફીથિયેટર
Amri Nal group (of pottery),અમરી નલ જૂથ (માટીના વાસણો)
Anachronism,અનાક્રોનિઝમ
Anachronistic,એનાક્રોનિસ્ટિક
Ancestor,પૂર્વજ
Ancestor Worship,પૂર્વજની પૂજા
Ancestry,વંશ
Ancestry,વંશ
Ancestry,વંશ
Ancestry,વંશ
Ancien regime,પ્રાચીન શાસન
Ancient,પ્રાચીન
Ancient ballad,પ્રાચીન લોકગીત
Ancient belief,પ્રાચીન માન્યતા
Ancient custom,પ્રાચીન રિવાજ
Ancient history,પ્રાચીન ઇતિહાસ
Ancient monuments,પ્રાચીન સ્મારકો
Anecdote,ટુચકો
Angelot,એન્જેલોટ
Angelus,એન્જલસ
Angevin (=anjevin),એન્જેવિન (=એન્જેવિન)
Angles,ખૂણો
Anglican,એંગ્લિકન
Anglican Communion,એંગ્લિકન કોમ્યુનિયન
Anglicanism,અંગ્રેજવાદ
Anglo-phobe,એંગ્લો-ફોબ
Anglo-phobia,એંગ્લો-ફોબિયા
Anglo-Saxon,એંગ્લો-સેક્સન
Anglo-Saxonism,એંગ્લો-સેક્સોનિઝમ
Annalist,એનાલિસ્ટ
Annals,ઇતિહાસ
Annexation,જોડાણ
Ante-bellum,એન્ટિ-બેલમ
Ante date,તારીખ પહેલાં
Anti-clericalism,ક્લેરિકલિઝમ વિરોધી
Anti-clerical legislation,કારકુની વિરોધી કાયદો
Antiquity,પ્રાચીનકાળ
Anti-rent,વિરોધી ભાડા
Anti-rent,વિરોધી ભાડા
Anti Semitism,વિરોધી સેમિટિઝમ
Anzac,એન્ઝેક
Apella,અપેલા
Aralu,અરાલુ
Arch bishop,આર્ક બિશપ
Arch duchy,કમાન ડચી
Arch duke,આર્ક ડ્યુક
Archief (=archival collection),આર્કાઇફ (=આર્કાઇવલ સંગ્રહ)
Archiepiscopate,આર્કિપીસ્કોપેટ
Aristocracy,કુલીન વર્ગ
Aristocrat,કુલીન
Aristocratic snobbery,કુલીન સ્નોબરી
Aristotelian,એરિસ્ટોટેલિયન
Armada,આર્માડા
Armada (=The Spanish Armada),આર્મડા (=ધ સ્પેનિશ આર્મડા)
Armorist (=armourist),આર્મોરિસ્ટ (=આર્મરિસ્ટ)
Armour (=armor),બખ્તર (=બખ્તર)
Armourist,આર્મરિસ્ટ
Aryan,આર્યન
Aryan,આર્યન
Askari,અસ્કરી
Assignat,સોંપણી
Assize,સહાય કરો
Assize,સહાય કરો
Assize,સહાય કરો
Assize of Arms Act,આર્મ્સ એક્ટની સહાય
Assize of Darrein Presentment,ડેરેન પ્રેઝન્ટમેન્ટની સહાય
Assize of Mort 'D' Ancestor,મોર્ટ &#39;ડી&#39; પૂર્વજની સહાય
