Punjabi,English
ਐਸਿਡੌਇਡ,Acidoid
ਏਓਲੀਅਨ ਮਿੱਟੀ,Aeolian soil
ਕੁੱਲ,Aggregate
ਐਗਰੀਗੇਸ਼ਨ,Aggregation
ਖੇਤੀ ਵਿਗਿਆਨ,Agrology
ਖੇਤੀ ਵਿਗਿਆਨ,Agronomy
ਏ-ਹੋਰੀਜ਼ਨ,A-horizon
ਆਉ-ਦਿਮਾਗ,Ao-horizon 
ਆਉ—ਅੰਦਾਜ਼,Aoo-horizon
ਮਿੱਟੀ ਦੀ ਹਵਾ ਦੀ ਸਮਰੱਥਾ,Air capacity of soil
ਮਿੱਟੀ ਦੀ ਹਵਾ ਸਮੱਗਰੀ,Air content of soil
ਏਅਰ ਪਿਕਨੋਮੀਟਰ,Air picnometer
ਐਲੀਟਿਕ ਮਿੱਟੀ,Allitic soil
ਐਲਵੀਅਲ ਮਿੱਟੀ,Alluvial soil
ਐਮਫੋਲੀਟੋਇਡ,Ampholytoid
ਐਨੀਅਨ,Anion
"ਸਪੱਸ਼ਟ ਖਾਸ ਗਰੈਵਿਟੀ ਵਾਲੀਅਮ ਭਾਰ ਜਾਂ ਬਲਕ ਖਾਸ ਗਰੈਵਿਟੀ,&quot;","Apparent specific gravity volume weight or bulk specific gravity,"""
ਅਰਿਸ,Arris
ਐਸ਼ਲਰ ਵਧੀਆ ਚਿਣਾਈ,Ashlar fine masonry
ਐਸ਼ਲਰ ਚਿਣਾਈ,Ashlar masonry
ਅਜੋਨਲ ਮਿੱਟੀ,Azonal soil
ਪਿਛਲਾ ਅਦਾਕਾਰ,Back acter 
ਪਿਛਲਾ arch,Back arch
ਬੈਕ ਬੈਂਡ,Back band
ਪਿੱਛੇ ਬੁਰਸ਼,Back brush
ਵਾਪਸ ਜਾਂਚ,Back check
ਪਿੱਛੇ ਕਾਊਂਟਰ,Back counter
ਵਾਪਸ ਕੱਟਣਾ,Back cutting
ਬੈਕ ਡਰਾਫਟ ਡੈਂਪਰ,Back draft damper
ਬੈਕ ਡਰੇਨ,Back drain
ਬੈਕ ਡਰਾਪ,Back drop
ਵਾਪਸ ਭਰੋ,Back fill
ਬੈਕ ਫਿਲਲੇਟ,Back fillet
ਬੈਕ ਫਲੈਪ ਹਿੰਗ,Back flap hinge
ਵਾਪਸ ਵਹਾਅ ਕੁਨੈਕਸ਼ਨ,Back flow connection
ਬੈਕ ਵਹਾਅ ਰੋਕਣ ਵਾਲਾ,Back flow preventer
ਬੈਕ ਗੇਜ,Back gauge 
ਪਿਛਲਾ ਗਟਰ,Back gutter 
ਪਿਛਲਾ ਚੁੱਲ੍ਹਾ,Back hearth
ਬੈਕਿੰਗ,Backing
ਬੈਕਿੰਗ ਬੋਰਡ,Backing board
ਪਿੱਠ ਦਾ ਦਬਾਅ,Back pressure
ਬੈਕ ਪ੍ਰੋਪ,Back prop
ਪਿੱਛੇ ਦੀ ਨਜ਼ਰ,Back sight 
ਵਾਪਸ ਪਾਣੀ,Back water
ਘਬਰਾਹਟ,Baffle
ਬੈਗਵਰਕ,Bagwork 
ਬੈਲਸਟ,Ballast
ਬਾਲ ਮਿੱਟੀ,Ball clay
ਬਾਲ ਕੋਨ ਕਲੈਂਪ,Ball cone clamp
ਕੰਡਿਆਲੀ ਤਾਰ,Barbed wire
ਬਾਰ ਕੁੱਤਾ,Bar dog
ਬਾਰਜ ਬੋਰਡ,Barge board
ਬੇਰੀਅਮ ਸਲਫੇਟ ਟੈਸਟ,Barium sulphate test
ਬੈਰਾਜ,Barrage
ਬੈਰੇਟ,Barrett
ਅਧਾਰ,Base
ਬੇਸ ਐਕਸਚੇਂਜ,Base exchange
ਬੇਸ ਲਾਈਨ,Base line 
ਬੇਸਮੈਂਟ,Basement
ਬੇਸਮੈਂਟ ਦੀ ਕੰਧ,Basement wall
ਬੇਸ ਪਲੇਟ,Base plate
"ਬੇਸ ਪਲੇਟ, ਅਨੁਕੂਲ","Base plate, adjustable"
ਬੇਸ ਸੰਤ੍ਰਿਪਤਾ,Base saturation
ਬੇਸੌਇਡ,Basoid
ਬੱਲਾ,Bat
ਇਸ਼ਨਾਨ ਅਤੇ ਡਬਲਯੂ.ਸੀ,Bath and W.C.
ਬੈਟਰ ਪੈਗ,Batter peg
ਬੈਟਰ ਪੀਅਰ,Batter pier
ਬੈਟਰ ਨਿਯਮ,Batter rule
ਬਾਲਕ (ਬਾਲਕ),Baulk (balk)
ਬੇ,Bay
ਧਾਰਕ,Bearer
ਬੇਅਰਿੰਗ ਸਮਰੱਥਾ,Bearing capacity
ਬੇਅਰਿੰਗ ਪਾਇਲ,Bearing pile
ਬੇਅਰਿੰਗ ਸਟ੍ਰੈਟਮ,Bearing stratum
ਬਿਸਤਰਾ,Bed
ਬਿਸਤਰੇ ਦਾ ਜਹਾਜ਼,Bedding plane
ਬਿਸਤਰਾ ਜੋੜ,Bed joint
ਬੈੱਡ ਰੌਕ,Bed rock
ਬੈੱਡ ਰੂਮ,Bed room
ਮੋਮ,Beeswax
ਘੰਟੀ ਬਾਕਸ,Bell box
ਘੰਟੀ ਵਾਲੀ ਬਾਲਟੀ,Belling bucket
ਬੇਲੋਫ੍ਰਾਮ,Bellofram
ਬੈਂਚਡ ਫਾਊਂਡੇਸ਼ਨ,Benched foundation
ਬੈਂਚਿੰਗ,Benching
ਬੇਂਚਮਾਰਕ,Bench mark
ਲਾਭ ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ,Benefit cost analysis
ਬਰਮ,Berm
Bevelled ਬੰਦ,Bevelled closure
"ਬੀ-ਹੋਰੀਜ਼ਨ,&quot;ਬੀ-","B-horizon,""B-"
ਬਾਇਟ,Biat
ਬਿੰਦਰ,Binder
ਬਾਈਡਿੰਗ ਸਮੱਗਰੀ,Binding material
ਬਾਇਓਟ ਦਾ ਸਿਧਾਂਤ,Biot's theory
ਬਿਟੂਮਨ,Bitumen
ਕਾਲੀ ਕਪਾਹ ਦੀ ਮਿੱਟੀ,Black cotton soil
ਕਾਲੀ ਧਰਤੀ,Black earth 
ਕਾਲੀ ਮੈਦਾਨ ਵਾਲੀ ਮਿੱਟੀ,Black turf soil
ਬਲੇਡ,Blade
ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ ਸੀਮਿੰਟ,Blast furnace slag cement
ਬਲਾਕੀ ਬਣਤਰ,Blocky structure
ਬੋਗੀ ਪ੍ਰਤੀਰੋਧ,Bogie resistance
ਬੋਗ-ਲੋਹੇ ਦਾ ਧਾਤ,Bog-iron ore
ਬਾਂਡ,Bond
ਬੰਧੂਆ ਮੈਂਬਰ,Bonded member
ਬੰਧੂਆ ਪੋਸਟ ਤਣਾਅ,Bonded post tensioning
ਬੰਧਨ ਪੱਥਰ,Bond stone
ਬੰਨ੍ਹ ਪਾਣੀ,Bound water
ਬਾਕਸ ਗਟਰ,Box gutter
ਬ੍ਰੇਸ,Brace
ਇੱਟ-ਤੇ-ਕਿਨਾਰੇ,Brick-on-edge
ਲਗਾਮ,Bridle
ਚਮਕ,Brightness
ਭੂਰੀ ਮਿੱਟੀ,Brown soil
ਬਿਲਡਿੰਗ,Building
ਬਿਲਡਿੰਗ ਸਰਵੇਅਰ,Building surveyor
ਬਫਰ,Buffer
ਬਫਰ ਕਰਵ,Buffer curve
ਬਫਰਿੰਗ,Buffering
ਬਫਰਿੰਗ ਸਮਰੱਥਾ,Buffering capacity
ਬੰਦਰ,Bunder
ਬਟਰਸ,Buttress
ਸੀ-ਹੋਰੀਜ਼ਨ,C-horizon
ਕੇਬਲ,Cable
ਕੇਬਲ ਮੋਲਡਿੰਗ,Cable moulding
ਕੇਬਲਿੰਗ,Cabling
ਕੈਬਿਨ,Cabin
ਕੈਬਿਨ ਹੁੱਕ,Cabin hook
ਕੈਬਨਿਟ,Cabinet
ਕੈਬੋਲਟ ਨੇ ਛੱਡ ਦਿੱਤਾ,Cabolt's quit
ਕੈਫੇਟੇਰੀਆ,Cafeteria
ਪਿੰਜਰਾ,Cage
ਪਿੰਜਰੇ ਦੀ ਉਸਾਰੀ,Cage construction
ਕੈਨ ਦਾ ਫਾਰਮੂਲਾ,Cain's formula
ਕੈਸਨ,Caisson
ਕੈਸਨ ਦੀ ਬਿਮਾਰੀ,Caisson disease
ਕੈਸਨ ਫਾਊਂਡੇਸ਼ਨ,Caisson foundation
ਕੈਸਨ ਢੇਰ,Caisson pile
ਕੈਲੇਰੀਅਸ ਇੱਟ,Calcareous brick
ਚੂਨੇ ਵਾਲੀ ਮਿੱਟੀ,Calcareous clay
ਛਾਲੇਦਾਰ ਛਾਲੇ,Calcareous crust
ਕੈਲਸੀਫਿਕੇਸ਼ਨ,Calcification
ਕੈਲਸੀਨੇਸ਼ਨ,Calcination
ਕੈਲਸੀਨ,Calcine 
ਕੈਲਸਾਈਟ,Calcite
ਕੈਲਸ਼ੀਅਮ-ਐਲੂਮੀਨੇਟ ਸੀਮਿੰਟ,Calcium-aluminate cement
ਕੈਲਸ਼ੀਅਮ-ਸਿਲੀਕੇਟ ਇੱਟ,Calcium-silicate brick
ਕੈਲਸ਼ੀਅਮ-ਸਿਲੀਕੇਟ ਹਾਈਡਰੇਟ,Calcium-silicate hydrate
ਕੈਲੀਚੇ,Caliche
ਕੈਲੀਫੋਰਨੀਆ ਬੇਅਰਿੰਗ ਅਨੁਪਾਤ,California bearing ratio
ਕੈਲੀਪਰ,Caliper
ਕੈਲੋਰੀਮੀਟਰ,Calorimeter
ਕੈਮਬਰ,Camber
ਨਹਿਰ,Canal
ਕੈਨੋਪੀ,Canopy
Cantilever ਪੈਰ,Cantilever footing
ਕੈਪ,Cap
ਸਮਰੱਥਾ,Capacity
ਏਲ ਟ੍ਰੈਕ ਦੀ ਸਮਰੱਥਾ,Capacity of ail track
ਕੈਪ ਕੇਬਲ,Cap cable
ਕੈਪੀਲੇਰਿਟੀ,Capillarity
ਕੇਸ਼ਿਕਾ ਬਰੇਕ,Capillary break
ਕੇਸ਼ੀਲ ਪ੍ਰਵਾਹ,Capillary flow
ਕੇਸ਼ਿਕਾ ਨਮੀ ਜਾਂ ਕੇਸ਼ੀਲ ਪਾਣੀ,Capillary moisture or capillary water
ਕੇਸ਼ਿਕਾ ਪੋਰ ਸਪੇਸ,Capillary pore space
ਕੇਸ਼ਿਕਾ ਪੋਰੋਸਿਟੀ,Capillary porosity
ਕੇਸ਼ੀਲ ਸਪੇਸ,Capillary space
ਵੇਗ ਕੈਪਚਰ ਕਰੋ,Capture velocity
ਕਾਰਬਨੇਸ਼ਨ,Carbonation
ਕਾਰਬਨ ਕਾਲਾ,Carbon black
ਕਾਸਟਬਲ ਰਿਫ੍ਰੈਕਟਰੀ,Castble refractory
ਕਾਸਟ-ਇਨ-ਪਲੇਸ ਜਾਂ ਕਾਸਟ-ਇਨ-ਸੀਟੂ,Cast-in-place or cast-in-situ
ਕਾਸਟ-ਇਨ-ਪਲੇਸ ਢੇਰ,Cast-in-place pile
ਕੈਸਟਰ,Castor
ਪੱਥਰ ਸੁੱਟੋ,Cast stone
ਉਤਪ੍ਰੇਰਕ,Catalyst
ਕੈਟੇਨਾ,Catena
ਬਿੱਲੀ ਦਾ ਚਿਹਰਾ,Cat face
ਬਿੱਲੀ ਦਾ ਸਿਰ,Cat head
ਕੈਸ਼ਨ,Cation
ਬਿੱਲੀ ਵਾਕ,Cat walk
Cavitation ਨੁਕਸਾਨ,Cavitation damage
ਸੇਲੀਟ,Celite
ਸੈਲੂਲਰ ਕੰਕਰੀਟ,Cellular concrete
ਸੈਲੂਲਰ ਉਸਾਰੀ,Cellular construction
ਸੀਮਿੰਟ,Cement
"ਸੀਮਿੰਟ, ਬਿਟੂਮਿਨਸ","Cement, bituminous"
"ਸੀਮਿੰਟ, ਉੱਚ ਤਾਕਤ","Cement, high strength"
"ਸੀਮਿੰਟ, ਹਾਈਡ੍ਰੌਲਿਕ","Cement, hydraulic"
"ਸੀਮਿੰਟ, ਘੱਟ ਗਰਮੀ","Cement, low heat"
"ਸੀਮਿੰਟ, ਚਿਣਾਈ","Cement, masonary"
"ਸੀਮਿੰਟ, ਕੁਦਰਤੀ","Cement, natural"
"ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ","Cement, portland"
"ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ ਬਲਾਸਟ ਫਰਨੇਸ ਸਲੈਗ","Cement, portland blast furnace slag"
"ਸੀਮਿੰਟ, ਪੋਰਟਲੈਂਡ ਪੋਜ਼ੋਲਨ","Cement, portland pozzolan"
"ਸੀਮਿੰਟ, ਸਲੈਗ","Cement, slag"
"ਸੀਮਿੰਟ, ਸਲਫੇਟ ਰੋਧਕ","Cement, sulphate resistant"
"ਸੀਮਿੰਟ, ਸੁਪਰ ਸਲਫੇਟਿਡ","Cement, super sulphated"
"ਸੀਮਿੰਟ, ਚਿੱਟਾ","Cement, white"
ਸੀਮਿੰਟ-ਐਗਰੀਗੇਟ ਅਨੁਪਾਤ,Cement-aggregate ratio
ਸੀਮਿੰਟ ਸਮੱਗਰੀ,Cement content
ਸੀਮਿੰਟ ਜੈੱਲ,Cement gel
ਸੀਮਿੰਟ ਬੰਦੂਕ,Cement gun
ਸੀਮਿੰਟ ਭੱਠਾ,Cement kiln
ਸੀਮਿੰਟ ਪੇਂਟ,Cement paint
ਸੀਮਿੰਟ ਪਲਾਸਟਰ,Cement plaster
ਸੀਮਿੰਟ ਚੱਟਾਨ,Cement rock
ਸੀਮਿੰਟ ਸਲਰੀ,Cement slurry
ਸੀਮਿੰਟ ਸਟੋਰੇਜ਼,Cement storage
ਸੀਮੈਂਟੇਸ਼ਨ ਪ੍ਰਕਿਰਿਆ,Cementation process
ਸੈਂਟਰਿੰਗ,Centering
ਸੈਂਟਰਿੰਗ ਅਤੇ ਸ਼ਟਰਿੰਗ,Centering and shuttering
ਕੇਂਦਰੀ ਮਿਸ਼ਰਤ ਕੰਕਰੀਟ,Central mixed concrete
ਕੇਂਦਰੀ ਮਿਕਸਰ,Central mixer
ਸੈਂਟਰਿਫਿਊਗਲ ਪੱਖਾ,Centrifugal fan
ਚਾਕ,Chalk
ਚੈਂਫਰ,Chamfer
ਚੈਂਫਰ ਪੱਟੀ,Chamfer strip
ਚੈਨਲ ਬੀਮ,Channel beam
ਵਿਸ਼ੇਸ਼ਤਾ ਲੋਡ,Characteristic load
ਗੁਣ ਸ਼ਕਤੀ,Characteristic strength
ਚਾਰਜ ਬੰਦ,Charge off
ਚਾਰਜ ਹੋ ਰਿਹਾ ਹੈ,Charging
ਜਾਂਚ ਕਰ ਰਿਹਾ ਹੈ,Checking
ਰਸਾਇਣਕ ਬੰਧਨ,Chemical bond
ਚੇਰਨੋਜ਼ਮ,Chernozem
ਚੈਸਟਨਟ ਮਿੱਟੀ,Chestnut soil
ਚਿਮਨੀ ਗਟਰ,Chimney gutter
ਚਿੱਪ ਬੋਰਡ,Chip board
ਚਿੱਪਿੰਗ,Chipping
ਚਿਪਸ,Chips
ਚੂਤ,Chute
ਕਲਾਸ (ਕੰਕਰੀਟ ਦੀ),Class (of concrete)
ਮਿੱਟੀ,Clay
ਮਿੱਟੀ ਦੀ ਸਮੱਗਰੀ,Clay content
ਮਿੱਟੀ ਦਾ ਪੈਨ,Clay pan
ਸਫਾਈ,Cleanout
ਸਾਫ਼ ਕਰੋ,Clean up
ਕਲੀਟ,Cleat
ਕਲਿੰਕਰ,Clinker
ਕਲਿਪ,Clip
ਜੰਮਣਾ,Coagulation
ਮੋਟਾ ਕੁੱਲ,Coarse aggregate
ਮੋਟੇ ਦਾਣੇ ਵਾਲੀ ਮਿੱਟੀ,Coarse grained soil
ਕੋਟ,Coat
ਕੋਫਰ ਡੈਮ,Coffer dam
ਤਾਲਮੇਲ,Cohesion
ਕੋਲਾਇਡ,Colloid
ਕੋਲੋਇਡਲ ਨਮੀ ਦੇ ਬਰਾਬਰ ਅਨੁਪਾਤ,Colloidal moisture equivalent ratio
ਕੋਲੋਇਡਲ ਸਿਸਟਮ,Colloidal system
ਕੋਲੋਵੀਅਲ ਮਿੱਟੀ,Colluvial soil
ਕਾਲਮ,Column
ਕੰਬਡ ਮੁਕੰਮਲ,Combed finish
ਸੰਯੁਕਤ ਪੈਰ,Combined footing
ਸੰਯੁਕਤ ਪਾਣੀ,Combined water
ਸਾਂਝਾ ਕਮਰਾ,Common room
ਮੁਕੰਮਲਤਾ ਸਰਟੀਫਿਕੇਟ,Completion certificate
ਕੰਪੋਨੈਂਟ ਵਰਗ,Component square
ਕੰਕਰੀਟ,Concrete
ਕੰਕਰੀਸ਼ਨ,Concretion
ਏਕੀਕ੍ਰਿਤ ਦਰ/ਫਲੈਟ ਦਰ,Consolidated rate/flat rate
ਗੰਦਗੀ,Contaminants
ਐਲਕੋਵ ਪਕਾਉਣਾ,Cooking alcove
ਮੁਕਾਬਲਾ ਕਰਨਾ,Coping
ਕੋਰਬੇਲ,Corbel
ਕਾਰਨੀਸ,Cornice
ਕਪਲਰ,Coupler
"ਕਪਲਰ, ਡਬਲ","Coupler, double"
"ਕਪਲਰ, ਪੁਟਲੌਗ","Coupler, putlog"
"ਕਪਲਰ, ਘੁਮਾਣ ਵਾਲਾ","Coupler, swivel"
ਕੋਰਸ,Course
ਕੋਰਸ ਕੀਤਾ ਬੇਤਰਤੀਬ ਮਲਬੇ ਦੀ ਚਿਣਾਈ,Coursed random rubble masonry
ਕਵਰ ਕੀਤਾ ਖੇਤਰ,Covered area
ਕ੍ਰੀਪ,Creep
ਕ੍ਰੀਪ ਗੁਣਾਂਕ,Creep coefficient
ਕਰੋਟੋਵਾਈਨ,Crotovine
ਕਾਂ ਦੇ ਪੈਰ,Crow foot
ਟੁਕੜਾ ਬਣਤਰ,Crumb structure
ਕਰਬ,Curb
ਵਰਤਮਾਨ,Current
ਕਰਵ ਪ੍ਰਤੀਰੋਧ,Curve resistance
