Punjabi,Gujarati
ਐਂਪੀਅਰ (ਯੂਨਿਟ),એમ્પીયર (એકમ)
angstrum,એંગસ્ટ્રમ
ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,એ-ક્લાસ એમ્પ્લીફાયર
ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ,એએન રેડિયો સહાય
ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ,a-સ્કેનીંગ પ્રસ્તુતિ
a-ਦਰਸ਼,a-દર્શ
ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ,A-સ્કોપ કામગીરી
A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ,A-T વક્ર ક્રિસ્ટલ
"AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ","એસી ડીસી લાભો, એ. સીડી. સી.લાભી, એ. સીડી. c. એમ્પ્લીફિકેશન"
am,છું
ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ),AMU (અણુ સમૂહ એકમ)
ਆਰਡ-ਵਰਕ*,આર્ડ-વાર્ક*
ਐਬ-ਐਂਪੀਅਰ,એબ-એમ્પીયર
ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ,A-B વર્ગ એમ્પ્લીફાયર
adah,અદાહ
ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ,A-B શક્તિ પિટક
abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ,abc = ગોઠવણી ચાર્ટ = નોમોગ્રાફ
ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ),અબે નંબર (અબે સતત)
abe refractometer,અબે રીફ્રેક્ટોમીટર
ਅਬੇ ਸਾਈਨ ਸਟੇਟ,અબે સાઈન સ્ટેટ
ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ,આપોઆપ પૂર્વગ્રહ વળતર
abcoulom,abcoulom
ਵਿਗਾੜ,વિકૃતિ
ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ,વિકૃતિ સુધારક લેન્સ
ਅਸਮਾਨ ਵਿਕਾਰ,આકાશ વિકૃતિ
abfarad,અફરદ
ਈਬੇਨਰੀ,એબેનરી
ਈਬੋਨੀ ਪ੍ਰਭਾਵ,ઇબોની અસર
ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ,અસામાન્ય ધ્રુવીકરણ
ਅਸਧਾਰਨ ਸੰਚਾਰ,અસામાન્ય ટ્રાન્સમિશન
ਅਲੌਕਿਕ ਪ੍ਰਤੀਬਿੰਬ,પેરાનોર્મલ પ્રતિબિંબ
