Telugu,Hindi
గర్భస్రావం చేసిన అవయవం,रुद्ध-वृद्धि अंग
గర్భస్రావం చేసిన విత్తనం,रुद्ध वृद्धि बीज
గర్భస్రావం,"गर्भपात, गर्भस्राव, वृद्धि विरोध"
సంపూర్ణ కలుపు,"अवांछित अपतृण, पूर्ण खरपतवार"
గ్రహించిన కేషన్,अवशोषित धनायन
శోషణ,अवशोषण
అబిస్సినియన్ ఆవాలు,ऐबिसिनी सरसों
అకారిసైడ్,"एकेरेसनाशी, चिचड़ीनाशी"
యాక్సెంట్రిక్,अकेंद्री
ఉచ్ఛారణ (సెల్),प्रवर्धन (कोशिका)
అంగీకరించబడిన సహనం,स्वीकृत सहायता
అనుబంధ,"अतिरिक्त, सहायक, गौण"
అలవాటు,पर्यनुकूलन
చేరడం,संचय
ఖచ్చితత్వం,"यथार्थता, परिशुद्धता"
అసర్వులస్,"एसर्वुलस, बीजाणुपात्र"
ఎసిటిఫికేషన్,"ऐसीटीकरण, सिरका बनाना"
ఆమ్లీకరణ,"अम्लीकरण, अम्लन"
అసిడిమీటర్,"अम्लतामापी, एसिडीमीटर"
ఆమ్లత్వం,अम्लता
అసిడోఫిలిక్,अम्लरागी
ఆమ్లీకృత రాక్ ఫాస్ఫేట్,अम्लीकृत रॉक फॉस्फेट
యాసిడ్యూరిక్,अम्लसह
జలాశయం,जलभृत
సముపార్జన,अधिग्रहण
ఎకరాలు,एकड़
ఎకరాల,"क्षेत्रफल, रकबा"
అక్రోసెంట్రిక్ క్రోమోజోమ్,उपांत बिंदु क्रोमोसोम
అక్రోపెటల్,अग्राभिसारी
అక్రోసోమ్,ऐक्रोसोम
ఆక్టినోమైసెట్స్,एक्टिनोमाइसिटीज
యాక్టివ్ రూట్ జోన్,सक्रिय मूलक्षेत्र
తీవ్రమైన,"उग्र, तीव्र"
అనుకూలత,अनुकूलनशीलता
అనుసరణ,अनुकूलन
సంశ్లేషణ,"आसंजन, अभिलाग, बन्ध"
కొవ్వు,वसामय
సర్దుబాటు సమీకరణం,समायोजन समीकरण
అడోబ్ నేల,ऐडोब मृदा
కల్తీ,अपमिश्रक
సాహసోపేతమైనది,अपस्थानिक
Aecidiospore,"एसीडियोस्पोर, एसीडियम बीजाणु"
అయోలియన్ ప్రక్రియ,वातोढ़ प्रक्रिया
అయోలియన్,वातोढ़
ఎఫరేట్,वातन करना
ఆకాశయాన,"वायव, आकाशी"
ఏరోమీటర్,"ऐरोमीटर, वायुमापी, वायुघनत्वमाप"
ఏరోసోల్,ऐरोसॉल
ఎస్టివేషన్,"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता"
పశ్చాత్తాప విజ్ఞానము,"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान"
అటవీ నిర్మూలన,वनरोपण
ఆందోళన,"विलोडन, प्रक्षोभन"
అగ్మార్క్,"ऐगमार्क, कृष्यंक"
వ్యవసాయం,"भूमी संबंधी, कृषि संबंधी"
వ్యవసాయ క్లినిక్,कृषि निदानालय
వ్యవసాయ శ్రమ,"कृषि श्रम, खेतिहर मजदूर"
వ్యవసాయ మార్కెటింగ్,कृषि विपणन
వ్యవసాయ సాంకేతిక పరిజ్ఞానం,कृषि प्रद्योगिकी
వ్యవసాయం,"कृषि, खेतीबारी, कृषि विज्ञान"
అగ్రిసిల్వికల్చర్,कृषि वनवर्धन
అగ్రోబియోడివైవర్సిటీ,कृषि जैविक विविधता
అగ్రోబయోలాజికల్ లోపాలు,कृषि जैविक दोष
అగ్రోబయాలజీ,कृषि जैविकी
అగ్రోక్లిమాటిక్ వైవిధ్యం,कृषि जलवायुवीय विविधता
అగ్రోక్లిమాటిక్ జోనింగ్,कृषि जलवायुवीय क्षेत्रीकरण
అగ్రోఫారెస్ట్రీ,कृषि वानिकी
వ్యవసాయ శాస్త్రం,सस्य मृदा विज्ञान
వ్యవసాయ శాస్త్రం,सस्य विज्ञान
అగ్రోపాస్టోరల్,कृषि पशुचारणिक
అగ్రోప్రాసెసింగ్,फसल प्रसंस्करण
అగ్రోస్టాలజీ,घास विज्ञान
అగ్రోటైప్,सस्य प्ररूप
ఎయిర్ ప్లాంట్,अधिपादप
అకియోచి నేల,ऐकिओची मृदा
అల్బినిజం,"वर्णकहीनता, अवर्णता"
ఆల్ఫిసోల్స్,एल्फिसॉल
ఆల్గే,"शैवाल, काई"
ఆల్గల్ వ్యాధి,शैवाल रोग
క్షార నీరు,क्षार जल
ఆల్కలీన్,क्षारीय
యుగ్మ వికల్పం,विकल्पी
అల్లెలోకెమికల్స్,एलीलो रसायन
అల్లెలోమోర్ఫ్,युग्मविकल्पी
అల్లెలోపతి,एलीलोपैथी
అల్లే క్రాపింగ్,वीथी सस्यन
కేటాయింపు,परनिषेक-फलता
అయోగాగమి,परनिषेचन
అలోమెట్రీ,"सापेक्षमिति, ऐलोमैट्री"
అల్లోపాలిప్లోయిడ్,परबहुगुणित
(అలోసిన్సిస్ఐలు,"परयुग्मन, अपायुग्लन"
ప్రత్యామ్నాయ బేరింగ్,"एकातंर वर्ष फलन, एकांतरित फलन"
ప్రత్యామ్నాయ భూ వినియోగం,वैकल्पिक भूमि उपयोग
పరిసర,परिवेश
అమేలియోరెంట్,सुधारक
అమిటోసిస్,असूत्रीविभाजन
అమినైజేషన్,ऐमीनन
అమ్మోనిఫికేషన్,अमोनियन
అమ్మోనిఫైయర్,अमोनीकारक
AMORFH,"अप्रभावी रूप, अरूपी"
యాంఫిమిక్సిస్,उभय मिश्रण
యాంఫోటెరిక్,उभयधर्मी
అనాబాలిజం,उपचय
Anaerobe,"अवायुजीव, अनॉक्सी जीव"
అనూప్లోయిడ్,असुगुणित
యాంగిల్ నాటడం,कोणीय रोपण
పశుసంరక్షణ,पशुपालन
జంతు తిరస్కరణ,पशु उच्छिष्ट
శక్తిని యానిమేట్ చేయండి,सजीव ऊर्जा
అనిసోప్లాయిడ్,असमगुणित
వార్షిక ప్లాంట్,एकवर्षीय पादप
వార్షిక,वार्षिक
సంశ్లేషణ,"परागोद्भव, प्रफुल्लन"
ఆంత్రాక్స్,ऐन्थ्रेक्स
మానవ కారకం,मानवजनिक कारक
యాంటీబయోసిస్,प्रतिजीविता
యాంటీబయాటిక్,"प्रतिजैविक, ऐन्टीबायोटिक"
విరుగుడు,प्रतिकारक
యాంటీఆక్సిడెంట్లు,प्रतिऑक्सीकारक
యాంటిటాక్సిన్,प्रतिआविष
యాన్యులస్,वलयिका
అఫిడ్,"ऐफिड, माहू, चेपा"
ఎపికల్ బడ్,शीर्ष कलिका
ఎపికల్ ఆధిపత్యం,शिखाग्र प्रभाविता
పుష్పగుచ్ఛము,मधुमक्खी पालन
అపోమిక్సిస్,असंगजनन
అపోప్టోసిస్,एपोप्टोसिस
అనుబంధం,उपांग
ఆకలి,क्षुधावर्धक
అనువర్తిత,अनुप्रयुक्त
జల కలుపు,जलीय खरपतवार
అర్బోరియల్,"वृक्षीय, वृक्षवासी"
అర్బరైజేషన్,प्रशाखायन
ఆర్కియో-బొటానికల్ రికార్డులు,आद्य वानस्पतिक अभिलेख
ప్రాంత గణాంకాలు,क्षेत्रांकड़
ప్రాంతం,"क्षेत्र, क्षेत्रफल"
శుష్క పర్యావరణ వ్యవస్థ,शुष्क पारितंत्र
అరిల్,"बीजचोल, बीजोपांग"
వాసన,"सौरभ, सुवास"
సుగంధ మొక్క,सुगंधी पादप
సుగంధ బియ్యం,सुगंधित चावल
బాంజింగ్,इक्षु पुष्पन
అసేప్సిస్,अपूति
అసెప్టిక్,"अपूतित, अज़र्म"
అలైంగిక ప్రచారం,अलैंगिक प्रवर्धन
పరీక్ష,"आमाप, परख"
ఆస్తులు,परिसंपत्ति
సమీకరణ,"स्वांगीकरण, आत्मसात्करण"
అసోసియేషన్,"साहचर्य, संघ"
రక్తస్రావం,"स्तंभक, कषाय"
అసినప్సిస్,असूत्रयुग्मन
అటావిజం,"पूर्वजता, ऐटाविज्म"
అటామైజర్,कणित्र
క్షీణత,"अपुष्टि, क्षीणता"
ఆటోగామి,स्वयुग्मन
ఆటోలిసిస్,स्वलयन
ఆటోక్సీడేషన్,"स्वतः उपचयन, स्वतः ऑक्सीकरण"
ఆటోపోలిప్లోయిడ్,स्वबहुगुणित
ఆక్సిన్లు,ऑक्सिन
దంపతులు,"शूक, तूड़"
బాదం,बादाम
కలబంద,धीकुवार
అమరాంథస్,"चौलाई, रामदाना"
Ammi,अजवाइन
అంజన్ గడ్డి,"अंजन घास, धामन घास"
ఆంథూరియం,एंथूरियम
"అయోన్లా, ఇండియన్ గూస్బెర్రీ",आंवला
ఆపిల్,सेब
నేరేడు పండు,खुबानी
అర్బియన్ జాస్మిన్,"मोगरा, बेला"
అరేకా గింజ,सुपारी
అర్జున్,अर्जुन
అస్ఫోటిడా,हींग
యాష్ పొట్లకాయ,पेठा
అశోక చెట్టు,अशोक
కవచము కలుపు,दूधी
ఆస్పరాగస్,सतावर
అవోకాడో,अवोकाडो
అంతా అల్నాఫ్న్నే,"रिजक्रा, लूसर्न"
చీమలు,चींटी
అఫిడ్స్,"तेला, माहू"
ఆర్మీ పురుగు,सैनिक कीट
వ్యవసాయ ఆర్థికవేత్త,कृषि अर्थशास्त्री
వ్యవసాయ పొడిగింపు,कृषि प्रसार विज्ञानी
వ్యవసాయ శాస్త్రవేత్త,कृषि वैज्ञानिक
వ్యవసాయ ఇంజనీర్,कृषि अभियंता
అగ్రోబయాలజిస్ట్,कृषि जीवविज्ञानी
వ్యవసాయ శాస్త్రవేత్త,सस्य विज्ञानी
అగ్రోఫిసిక్,कृषि भौतिकीविद्
జంతువుల పెంపకందారుడు,"प्राणि प्रजनक, पशु प्रजनक"
బాసిల్లస్ వైరస్,दंड विषाणु
బాసిల్లస్,"दंडाणु, बैसिलस"
బాక్టీరియా,"जीवाणु, बैक्टीरिया"
బాక్టీరియోటాక్సిన్,जीवविष
బాగస్సే,खोई
బ్యాలెన్స్ షీట్,"तुलन-पत्र, चिट्ठा"
సమతుల్య ఫలదీకరణం,संतुलित निषेचन
బార్ రేఖాచిత్రం,दंड आरेख
బెరడు,छाल
బేరోమీటర్,"वायुदाबमापी, बैरोमीटर"
బంజరు,"बजर, अकृष्य, बांझ"
బేస్,"आधार, बेस, कपांग"
బేసిన్,"थाला, द्रोणी"
బాసిపెటల్,तलाभिसारी
బేసిథెర్నమ్,"बेसिस्टर्नम, मूलाधारक"
బే రుతుపవనాలు,खाड़ी मानसून
బేరింగ్ ప్లాంట్,फलदायी पौधा
మం చం,क्यारी
బెడర్,क्यारी - पौधा
పరుపు,क्यारी बनाना
దుంప మొలాసిస్,चुंकदर शीरा
బెలోస్,धौंकनी
బెల్ట్,"पट्टी, इलाका"
బెనిఫిట్-కాస్ట్ అనాలిసిస్,लाभ-लागत विश्लेषण
పక్షపాతం,अभिनत (प्रतिचयन)
ద్వైవార్షిక,द्विवर्षीय पादप
ద్విపద,द्विपद
బయోజెంట్,जैवकारक
బయోక్లైమేట్,जीव जलवायु
బయోఎనర్జీ,जैव ऊर्जा
బయోనోమిక్స్,जीव पारिस्थितिकी
బయోఇయాక్టర్,"जैव-प्रक्रियापात्र, बायो रिएक्टर"
బయోస్పియర్,जीव-मंडल
బయోటిక్,जैविक
బయోటైప్,जीव प्रारूप
ద్విలింగ,द्विलिंगी
బ్లాంచింగ్,धवलन
పేలుడు,"प्रध्वसं (रोग), झोंका रोग"
కలపండి,सम्मिश्रण
ముడత,"अंगमारी (रोग), ब्लाइट (रोग)"
పొక్కు,"छाला, फफोला, उद्वर्त, ब्लिस्टर"
నీలం విప్లవం,नीली क्रांति
దిగువ వేడి గది,तलीय ताप चैंबर
దిగువ ఉష్ణ సాంకేతికత,तलीय ताप तकनीक
బ్రాన్,चोकर
శాఖ,शाखन
బ్రాంచ్లెట్,"टहनी, उपशाखा"
జాతి,नस्ल
పెంపకం,"प्रजनन, अभिजनन"
బ్రిమ్మింగ్,शीघ्र अंकुरण उपचार
సంతానం,"शाव, अंड, भ्रूण"
బడ్డింగ్,कलिकायन
బడ్జెట్,बजट
బఫర్,"उभयप्रतिरोधी, बफर"
బల్బ్,शल्ककंद
బంట్,"बंट (रोग), चोट"
ఉప-ఉత్పత్తి,"उपजात, उपोत्पाद"
బాబుల్ అకాసియా,"बबूल, कीकर"
బేబీ మొక్కజొన్న,बेबी कॉर्न
బేల్,बेल
బైల్,लाजालु
బాల్సం,गुलमेंहदी
వెదురు,बांस
అరటి,केला
మర్రి చెట్టు,बरगद
బార్లీ,जौ
బార్నియార్డ్ మిల్లెట్,सावां
తులసి,तुलसी
బాస్టర్డ్ సెడార్,रुद्राक्ष
బాస్టర్డ్ మైరోబాలన్,बहेड़ा
బౌహినియా,कचनार
బే బెర్రీ,कैफल
బీన్,सेम
దుంప,चुकंदर
బెల్లడోన్నా,बेलाडोना
బెర్,बेर
బెర్సీమ్,बरसीम
బెటెల్,पान
బిలింబి,बिलिंबी
కాకరకాయ,करेला
బ్లాక్ గ్రామ్,उड़द
బ్లాక్ నైట్ షేడ్,मकोय
బౌగెన్విలియా,बोगेनविलिया
బాటిల్ బ్రష్,बोटल ब्रश
బాటిల్ పొట్లకాయ,लौकी
బాక్స్ ట్రీ,"चीकदी, पापरी"
బ్రెడ్ ఫ్రూట్,ब्रेड फ्रूट
పెళ్లి లత,डेला
బ్రింజల్,बैंगन
