Tamil,Odiya
கருக்கலைப்பு,ପରିତ୍ୟାଗ
டைமரை நிறுத்துங்கள்,ଟାଇମର୍ ପରିତ୍ୟାଗ କରନ୍ତୁ |
முழுமையான முகவரி,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
முழுமையான முகவரி,ସଂପୂର୍ଣ୍ଣ ଠିକଣା
முழுமையான அசெம்பிளர்,ସଂପୂର୍ଣ୍ଣ ଏକତ୍ରିତ ବ୍ୟକ୍ତି |
முழுமையான குறியீடு,ସଂପୂର୍ଣ୍ଣ କୋଡ୍
முழுமையான குறியீட்டு முறை,ସଂପୂର୍ଣ୍ଣ କୋଡିଂ |
முழுமையான கட்டளை,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶ
முழுமையான ஒருங்கிணைப்பு,ସଂପୂର୍ଣ୍ଣ ସଂଯୋଜନା |
முழுமையான தரவு,ସଂପୂର୍ଣ୍ଣ ତଥ୍ୟ |
முழுமையான பிழை,ସଂପୂର୍ଣ୍ଣ ତ୍ରୁଟି |
முழுமையான வெளிப்பாடு,ସଂପୂର୍ଣ୍ଣ ଅଭିବ୍ୟକ୍ତି |
முழுமையான அறிவுறுத்தல்,ସଂପୂର୍ଣ୍ଣ ନିର୍ଦ୍ଦେଶନାମା
முழுமையான ஏற்றி,ସଂପୂର୍ଣ୍ଣ ଲୋଡର୍ |
முழுமையான வரிசை,ସଂପୂର୍ଣ୍ଣ କ୍ରମ
முழுமையான நிரலாக்க,ସଂପୂର୍ଣ୍ଣ ପ୍ରୋଗ୍ରାମିଂ |
முழுமையான சொல்,ସଂପୂର୍ଣ୍ଣ ଶବ୍ଦ
துல்லியமான மதிப்பு,ସଂପୂର୍ଣ୍ଣ ମୂଲ୍ୟ
முழுமையான திசையன்,ସଂପୂର୍ଣ୍ଣ ଭେକ୍ଟର |
சுருக்கம்,ବିସ୍ତୃତ
சுருக்கம்,ବିସ୍ତୃତ
சுருக்க சின்னம்,ବିସ୍ତୃତ ପ୍ରତୀକ |
முடுக்கம் காலம்,ତ୍ୱରଣ ସମୟ
முடுக்கம் நேரம்,ତ୍ୱରାନପୂର୍ଣ୍ଣ ସମୟ |
உச்சரிப்பு,ଉଚ୍ଚାରଣ
ஏற்பு சோதனை,ଗ୍ରହଣ ପରୀକ୍ଷା
அணுகல்,ପ୍ରବେଶ
அணுகல் கை,ଆକ୍ସେସ୍ ବାହୁ
அணுகல் ஏற்பாடு,ପ୍ରବେଶ ବ୍ୟବସ୍ଥା
அணுகல் அதிகாரம்,ପ୍ରବେଶ କର ପ୍ରାଧିକରଣ
அணுகல் கட்டணம்,ପ୍ରବେଶ ଚାର୍ଜ
அணுகல் வகுப்பு,ଶ୍ରେଣୀ ଶ୍ରେଣୀ
தரவு அடிப்படை நிர்வாகத்தை அணுகவும்,ଡାଟା ବେସ୍ ମ୍ୟାନେଜମେଣ୍ଟକୁ ପ୍ରବେଶ କରନ୍ତୁ |
