Marathi,Malayalam
गर्भपात,ഉപേക്ഷിക്കുക
गर्भपात टाइमर,ടൈമർ നിർത്തുക
परिपूर्ण पत्ता,കേവല വിലാസം
परिपूर्ण पत्ता,കേവല വിലാസം
परिपूर्ण असेंबलर,കേവല അസംബന്ധം
परिपूर्ण कोड,കേവല കോഡ്
परिपूर्ण कोडिंग,കേവല കോഡിംഗ്
परिपूर्ण आज्ञा,കേവല കമാൻഡ്
परिपूर्ण समन्वय,കേവല കോർഡിനേറ്റ്
परिपूर्ण डेटा,കേവല ഡാറ്റ
परिपूर्ण त्रुटी,കേവല പിശക്
परिपूर्ण अभिव्यक्ती,കേവല പദപ്രയോഗം
परिपूर्ण सूचना,കേവല പ്രബോധനം
परिपूर्ण लोडर,കേവല ലോഡർ
परिपूर्ण ऑर्डर,കേവല ക്രമം
परिपूर्ण प्रोग्रामिंग,കേവല പ്രോഗ്രാമിംഗ്
परिपूर्ण संज्ञा,കേവല പദം
परिपूर्ण मूल्य,യഥാർത്ഥ മൂല്യം
परिपूर्ण वेक्टर,കേവല വെക്റ്റർ
गोषवारा,വേര്പെട്ടുനില്ക്കുന്ന
अमूर्त,അമൃതിയുള്ള
अमूर्त प्रतीक,അമൂർത്ത ചിഹ്നം
प्रवेग कालावधी,ത്വരിതപ്പെടുത്തൽ കാലയളവ്
प्रवेग वेळ,ത്വരണം സമയം
उच्चारण,സരഭാരം
स्वीकृती चाचणी,സ്വീകാര്യത പരിശോധന
प्रवेश,പ്രവേശനം
प्रवेश आर्म,കൈ
प्रवेश व्यवस्था,ആക്സസ് ക്രമീകരണം
प्रवेश प्राधिकरण,അതോറിറ്റി ആക്സസ് ചെയ്യുക
प्रवेश शुल्क,ആക്സസ് ചാർജ്
प्रवेश वर्ग,ആക്സസ് ക്ലാസ്
प्रवेश डेटा बेस व्यवस्थापन,ഡാറ്റ ബേസ് മാനേജുമെന്റ് ആക്സസ് ചെയ്യുക
प्रवेश वातावरण,പ്രവേശന അന്തരീക്ഷം
