Hindi,Telugu
रुद्ध-वृद्धि अंग,గర్భస్రావం చేసిన అవయవం
रुद्ध वृद्धि बीज,గర్భస్రావం చేసిన విత్తనం
"गर्भपात, गर्भस्राव, वृद्धि विरोध",గర్భస్రావం
"अवांछित अपतृण, पूर्ण खरपतवार",సంపూర్ణ కలుపు
अवशोषित धनायन,గ్రహించిన కేషన్
अवशोषण,శోషణ
ऐबिसिनी सरसों,అబిస్సినియన్ ఆవాలు
"एकेरेसनाशी, चिचड़ीनाशी",అకారిసైడ్
अकेंद्री,యాక్సెంట్రిక్
प्रवर्धन (कोशिका),ఉచ్ఛారణ (సెల్)
स्वीकृत सहायता,అంగీకరించబడిన సహనం
"अतिरिक्त, सहायक, गौण",అనుబంధ
पर्यनुकूलन,అలవాటు
संचय,చేరడం
"यथार्थता, परिशुद्धता",ఖచ్చితత్వం
"एसर्वुलस, बीजाणुपात्र",అసర్వులస్
"ऐसीटीकरण, सिरका बनाना",ఎసిటిఫికేషన్
"अम्लीकरण, अम्लन",ఆమ్లీకరణ
"अम्लतामापी, एसिडीमीटर",అసిడిమీటర్
अम्लता,ఆమ్లత్వం
अम्लरागी,అసిడోఫిలిక్
अम्लीकृत रॉक फॉस्फेट,ఆమ్లీకృత రాక్ ఫాస్ఫేట్
अम्लसह,యాసిడ్యూరిక్
जलभृत,జలాశయం
अधिग्रहण,సముపార్జన
एकड़,ఎకరాలు
"क्षेत्रफल, रकबा",ఎకరాల
उपांत बिंदु क्रोमोसोम,అక్రోసెంట్రిక్ క్రోమోజోమ్
अग्राभिसारी,అక్రోపెటల్
ऐक्रोसोम,అక్రోసోమ్
एक्टिनोमाइसिटीज,ఆక్టినోమైసెట్స్
सक्रिय मूलक्षेत्र,యాక్టివ్ రూట్ జోన్
"उग्र, तीव्र",తీవ్రమైన
अनुकूलनशीलता,అనుకూలత
अनुकूलन,అనుసరణ
"आसंजन, अभिलाग, बन्ध",సంశ్లేషణ
वसामय,కొవ్వు
समायोजन समीकरण,సర్దుబాటు సమీకరణం
ऐडोब मृदा,అడోబ్ నేల
अपमिश्रक,కల్తీ
अपस्थानिक,సాహసోపేతమైనది
"एसीडियोस्पोर, एसीडियम बीजाणु",Aecidiospore
वातोढ़ प्रक्रिया,అయోలియన్ ప్రక్రియ
वातोढ़,అయోలియన్
वातन करना,ఎఫరేట్
"वायव, आकाशी",ఆకాశయాన
"ऐरोमीटर, वायुमापी, वायुघनत्वमाप",ఏరోమీటర్
ऐरोसॉल,ఏరోసోల్
"पुष्पदलविन्यास, ग्रीष्मनिष्क्रियता",ఎస్టివేషన్
"रोग हेतु विज्ञान, व्याधिनिदान विज्ञान",పశ్చాత్తాప విజ్ఞానము
वनरोपण,అటవీ నిర్మూలన
"विलोडन, प्रक्षोभन",ఆందోళన
"ऐगमार्क, कृष्यंक",అగ్మార్క్
"भूमी संबंधी, कृषि संबंधी",వ్యవసాయం
कृषि निदानालय,వ్యవసాయ క్లినిక్
"कृषि श्रम, खेतिहर मजदूर",వ్యవసాయ శ్రమ
कृषि विपणन,వ్యవసాయ మార్కెటింగ్
कृषि प्रद्योगिकी,వ్యవసాయ సాంకేతిక పరిజ్ఞానం
"कृषि, खेतीबारी, कृषि विज्ञान",వ్యవసాయం
कृषि वनवर्धन,అగ్రిసిల్వికల్చర్
कृषि जैविक विविधता,అగ్రోబియోడివైవర్సిటీ
कृषि जैविक दोष,అగ్రోబయోలాజికల్ లోపాలు
कृषि जैविकी,అగ్రోబయాలజీ
कृषि जलवायुवीय विविधता,అగ్రోక్లిమాటిక్ వైవిధ్యం
कृषि जलवायुवीय क्षेत्रीकरण,అగ్రోక్లిమాటిక్ జోనింగ్
कृषि वानिकी,అగ్రోఫారెస్ట్రీ
सस्य मृदा विज्ञान,వ్యవసాయ శాస్త్రం
सस्य विज्ञान,వ్యవసాయ శాస్త్రం
कृषि पशुचारणिक,అగ్రోపాస్టోరల్
फसल प्रसंस्करण,అగ్రోప్రాసెసింగ్
घास विज्ञान,అగ్రోస్టాలజీ
सस्य प्ररूप,అగ్రోటైప్
अधिपादप,ఎయిర్ ప్లాంట్
