Bengali,Hindi
অ্যাম্পিয়ার (একক),ऐम्पियर (मात्रक)
অ্যাংস্ট্রাম,ऐंगस्ट्रम
A-শ্রেণীর পরিবর্ধক,ए-वर्ग प्रवर्धक
এএন রেডিও সহায়,ए.एन रेडियो सहाय
একটি-স্ক্যানিং উপস্থাপনা,ए-क्रमवीक्षण प्रस्तुति
a-দর্শ,ए-दर्श
A-স্কোপ কর্মক্ষমতা,ए-स्कोप प्रदर्शन
A-T বাঁকা স্ফটিক,ए-टी कर्तित क्रिस्टल
"এসি ডিসি উপকারিতা, ক. সিডি। সি.লাভী, এ. সিডি। গ. পরিবর্ধন","ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन"
am,पूर्वाह्न
এএমইউ (পারমাণবিক ভর একক),ए.एम.यू. (परमाणु संहति मात्रक)
আর্ড-ওয়ার্ক*,आर्ड-वार्क*
ab-ampere,ऐब-ऐम्पियर
A-B শ্রেণীর পরিবর্ধক,ए-बी वर्ग प्रवर्धक
adah,आदितः
A-B শক্তি পিটক,ए-बी शक्ति पिटक
abc = প্রান্তিককরণ চার্ট = নোমোগ্রাফ,एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़
আবে নম্বর (আবে ধ্রুবক),ऐबे संख्या (ऐबे नियतांक)
abe রিফ্র্যাক্টোমিটার,ऐबे अपवर्तनमापी
অ্যাবে সাইন স্টেট,ऐबे ज्या अवस्था
স্বয়ংক্রিয় পক্ষপাত ক্ষতিপূরণ,स्वचालित बायस प्रतिकार
abcoulom,ऐबकूलॉम
"aberration, aberration","विपथन, अपेरण"
বিকৃতি সংশোধনকারী লেন্স,विपथन संशोधक लेन्स
আকাশ বিকৃতি,आकाश-विपथन
আবফারদ,एबफैराड
ইবেনরি,एबहेनरी
আবলুস প্রভাব,ऐबनी प्रभाव (ऐबनी नियम)
অস্বাভাবিক মেরুকরণ,अपसामान्य ध्रुवण
অস্বাভাবিক সংক্রমণ,अपसामान्य संचरण
অলৌকিক প্রতিফলন,अपसामान्य परावर्तन
অস্বাভাবিক প্রতিসরণ*,अपसामान्य अपवर्तन*
অস্বাভাবিক প্রতিরোধ,अपसामान्य प्रतिरोध
ab-om,ऐब-ओम
"preponderance, ব্যর্থতা","पूर्वपात, विफलन"
"সংযুক্ত, সাধারণত, দাঁড়ানো, বিচ্ছিন্ন, খণ্ডিত","असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित"
প্রায়ই লাফ দেয়,सहसा जंप
হাত*,भुज*
হারিয়ে যাওয়া প্রতিফলন,लुप्त परावर्तन
অনুপস্থিত বর্ণালী,लुप्त स्पैक्ट्रम
"পরম, পরম, ধ্রুবক, নিখুঁত","निरपेक्ष, परम, अचर, परिशुद्ध"
পরম ত্বরণ,निरपेक्ष त्वरण
পরম বাস্তবতা,निरपेक्ष यथार्थता
পরম ঠিকানা,निरपेक्ष पता
ভূ-আপেক্ষিক উচ্চতা মিটার,भूसापेक्ष तुंगतामापी
ভূতাত্ত্বিক উচ্চতা,भूसापेक्ष तुंगता
পরম অ্যাম্পিয়ার,निरपेक्ष ऐम्पियर
পরম ফুটন্ত বিন্দু,परम क्वथनांक
পরম আলোকসজ্জা,निरपेक्ष तेजमापीय दीप्ति
পরম ক্ষমতা,निरपेक्ष धारिता
পরম উচ্চতা,निरपेक्ष ऊँचाई
পরম রঙ্গক,निरपेक्ष वर्णाक
"পরম কনফিগারেশন, দ্ব্যর্থহীন কনফিগারেশন","निरपेक्ष विन्यास, असंदिग्ध विन्यास"
পরম কুলম্ব,निरपेक्ष कूलॉम
সম্পূর্ণ অন্ধকার,पूर्ण अंधकार
পরম সময়সূচী,निरपेक्ष कालनिर्धारण
পরম ঘনত্ব*,निरपेक्ष घनत्व*
পরম নিষ্কাশন,निरपेक्ष अपवहन
পরম ইএমইউ (ইলেক্ট্রোম্যাগনেটিক ইউনিট),निरपेक्ष इ.एम.यू. (विद्युत् चुबंकीय मात्रक)
পরম ESU (স্থির শক্তি ইউনিট),निरपेक्ष इ.एस.यू. (स्थिर विद्युत् मात्रक)
পরম দক্ষতা,निरपेक्ष दक्षता
পরম ইলেক্ট্রোমিটার,निरपेक्ष विद्युतमापी
পরম ফ্রিকোয়েন্সি পরম ফ্রিকোয়েন্সি,"निरपेक्ष बारंबारता, निरपेक्ष आवृत्ति"
পরম আর্দ্রতা,निरपेक्ष आर्द्रता
পরম ঘটনা,निरपेक्ष आपतन
পরম প্রতিসরাঙ্ক সূচক,निरपेक्ष अपवर्तनांक
পরম অস্থিরতা,निरपेक्ष अस्‍थायित्व
পরম অস্থিরতা,निरपेक्ष अस्‍थायित्व
"পরম তীব্রতা, পরম তীব্রতা","निरपेक्ष तीव्रता, निरपेक्ष उग्रता"
অ্যাথেনিয়ার পরম সীমা,शैथिल्य की निरपेक्ष सीमा
পরম আলোকসজ্জা সিল,निरपेक्ष ज्योतिर्मयता देहली
পরম হালকা বক্ররেখা,निरपेक्ष ज्योति वक्र
পরম মাত্রা,निरपेक्ष कांतिमान
পরম ব্যারোমিটার,निरपेक्ष दाबांतरमापी
সর্বোচ্চ সর্বোচ্চ,परम उच्चिष्ठ
পরম চরম,निरपेक्ष चरम सीमांक
পরম সর্বনিম্ন,परम निम्निष्ठ
পরম গতিবেগ,निरपेक्ष संवेग
পরম গতি,निरपेक्ष गति
পরম সঙ্গীত,निरपेक्ष संगीत
পরম পর্যবেক্ষণ,निरपेक्ष प्रेक्षण
পরম ওম,निरपेक्ष ओम
পরম অভিযোজন,निरपेक्ष दिगविन्यास
পরম বৈদ্যুতিক ঋণাত্মকতা,निरपेक्ष विद्युत्-शीलता
পরম মাধ্যাকর্ষণ,निरपेक्ष तारत्व
পরম চাপ,निरपेक्ष दाब
পরম সম্পত্তি,निरपेक्ष गुणधर्म
পরম স্কেলার,निरपेक्ष अदिश
তাপমাত্রার পরম স্কেল*,ताप का परम मापक्रम*
"পরম সমলয়, পরম সমলয়","निरपेक्ष युगपत्ता, निरपेक्ष समकालिकता"
পরম চাপ,निरपेक्ष प्रतिबल
পরম প্রতিসাম্য,निरपेक्ष सममिति
পরম গতি শরীর,निरपेक्ष गति-निकाय
পরম ইউনিট সিস্টেম,निरपेक्ष मात्रक पद्धति
পরম তাপমাত্রা,परम ताप
পরম সময়,निरपेक्ष काल
পরম একক,निरपेक्ष मात्रक
পরম মান,निरपेक्ष मान
পূর্ণসংখ্যা ক্যালকুলেটর,पूर्णाक अभिकलित्र
পরম বেগ,निरपेक्ष वेग
পরম সান্দ্রতা,निरपेक्ष श्यानता
পরম ওজন,निरपेक्ष भार
পরম শূন্য*,परम शून्य*
শূন্যের পরম ভাজক,शून्य का निरपेक्ष भाजक
শোষণ করা,अवशोषण करना
শোষণ সূচক*,अवशोषणांक*
শোষিত শক্তি,अवशोषित ऊर्जा
"শোষক, শোষক","अवशोषक, अवशोषी"
শোষক মাধ্যম*,अवशोषी माध्यम*
শোষণ ক্ষমতা,अवशोषण सामर्थ्य
শোষণ,अवशोषणांश
শোষণ যন্ত্র*,अवशोषणमापी*
শোষণমিতি*,अवशोषणामिति*
শোষণ,अवशोषण
শোষণ - ব্যান্ড*,अवशोषण - बैन्ड*
শোষণ সার্কিট,अवशोषण परिपथ
শোষণ গুণাঙ্ক,अवशोषण-गुणांक
শোষণ কলাম,अवशोषण-स्तम्भ
শোষণ ধ্রুবক,अवशोषण-स्थिरांक
শোষণ ধারাবাহিকতা,अवशोषण सांतत्यक
শোষণ অঞ্চল,अवशोषण-परिक्षेत्र
শোষণ বর্তমান,अवशोषण-धारा
শোষণ বক্ররেখা*,अवशोषण वक्र*
শোষণ ফ্র্যাকচার,अवशोषण भंग
শোষণ কোর,अवशोषण कोर
শোষণ ফ্যাক্টর,अवशोषण गुणक
শোষণ ফিল্টার,अवशोषण फिल्टर
শোষণ শিখা ফটোমেট্রি*,अवशोषण ज्वाला प्रकाशमिति*
শোষণ হাইগ্রোমিটার,अवशोषण आर्द्रतामापी
শোষণ সূচক,अवशोषण घातांक
শোষণ প্রান্তিক,अवशोषण सीमांत
শোষণ লাইন,अवशोषण रेखा
শোষণ ক্ষতি,अवशोषणजन्य हानि
শোষণ মড্যুলেশন,अवशोषण माडुलन
আলো শোষণ,प्रकाश अवशोषण
বিকিরণ শক্তি শোষণ,विकिरण ऊर्जा का अवशोषण
শোষণ শিখর,अवशोषण शिखर
শোষণ ফটোমেট্রি,अवशोषण प्रकाशमिति
শোষণ অনুপাত,अवशोषण अनुपात
শোষণ পরিসীমা*,अवशोषण श्रेणी*
শোষণ স্পেকট্রাম ফটোমেট্রি*,अवशोषण स्पेक्ट्रम प्रकाशमिति*
শোষণ বর্ণালী*,अवशोषण स्पेक्ट्रम*
"শোষণ নল, শোষণ নল","अवशोषण नली, अवशोषण नाल"
শোষণ হাইগ্রোমিটার,अवशोषण तरगमापी
শোষক*,अवशोषी*
