Malayalam,Bengali
വെസ്റ്റ്മിൻസ്റ്ററിലെ ആബി,ওয়েস্টমিনস্টারের অ্যাবে
ഒഴിഞ്ഞുമാറുക,বর্জনীয়
അടിമത്തം നിർത്തലാക്കൽ,দাসত্বের সমাপ্তি
ആദിവാസികൾ,আদিবাসী
അബ്രഹാം യുഗം,আব্রাহাম যুগ
ഹാജരാകാത്ത ഭൂവുടമകൾ,অনুপস্থিত জমির মালিক
അക്കാദമി,একাডেমী
അക്ര സമ്മേളനം,আকরা সম্মেলন
സമാഹരണങ്ങൾ,সঞ্চয়
സംസ്കരണം,সংগ্রহ
അസെൽഡാമ,অ্যাসেলডামা
അച്ചായൻ (=അച്ചിയൻ),আচিয়ান (=আচিয়ান)
അച്ചിയൻ ലീഗ് (=അച്ചിയൻ ലീഗ്),আচিয়ান লীগ (=আচিয়ান লীগ)
അക്രോപോളിസ്,অ্যাক্রোপলিস
ആക്റ്റ ദിയുർന,Acta Diurna
ആക്റ്റ സെനറ്റസ്,Acta Senatus
ആക്റ്റ് അഡീഷണൽ,অ্যাক্ট অ্যাডিশনেল
സജീവ റെക്കോർഡ് (=നിലവിലെ റെക്കോർഡ്),সক্রিয় রেকর্ড (=বর্তমান রেকর্ড)
നേടിയെടുക്കുന്നവരുടെ പ്രവർത്തനം,প্রাপ্তির কাজ
നഷ്ടപരിഹാരത്തിന്റെയും മറവിയുടെയും പ്രവർത്തനം,ক্ষতিপূরণ এবং বিস্মৃতির আইন
സെറ്റിൽമെന്റ് നിയമം,নিষ্পত্তির আইন
പരസ്യ കരാർ മുദ്ര,বিজ্ঞাপন চুক্তি সীল
അഡുല്ലമൈറ്റുകൾ,আদুল্লামাইটস
എതിരാളി,প্রতিপক্ষ
എതിരാളി,প্রতিপক্ষ
അയോൺ,Aeon
എയറേറിയം,এরারিয়াম
ആകാശ യുദ്ധം,বায়বীয় যুদ্ধ
എറ്റോലിയൻ ലീഗ്,এটোলিয়ান লীগ
വയസ്സ്,বয়স
വാർദ്ധക്യം (=വാർദ്ധക്യം),বার্ধক্য (=বার্ধক্য)
പ്രായമാകൽ പ്രക്രിയ,বার্ধক্য প্রক্রিয়া
അഗെലൈ,এগেলাই
ധീരതയുടെ പ്രായം,বীরত্বের বয়স
എൻഗ്ലൈറ്റ്മെന്റ് പ്രായം,এনলাইটমেন্টের বয়স
പെരിക്കിൾസിന്റെ പ്രായം,পেরিক্লেসের বয়স
യുക്തിയുടെ പ്രായം,কারণ বয়স
കാർഷികവാദം,কৃষিবাদ
കാർഷിക പ്രസ്ഥാനം,কৃষি আন্দোলন
ആൽബിയോൺ,অ্যালবিয়ন
ആൽബം,অ্যালবাম
ആൽഡർമാൻ,অল্ডারম্যান
വശീകരിക്കുന്ന ആയുധങ്ങൾ,লোভনীয় অস্ত্র
അമിറ്റി,বন্ধুত্ব
ആംഫിക്റ്റോണിക് കൗൺസിൽ,অ্যাম্ফিক্টোনিক কাউন্সিল
ആംഫിക്റ്റോണിക് ലീഗ്,Amphictyonic লীগ
ആംഫി തിയേറ്റർ,অ্যাম্ফিথিয়েটার
അമ്രി നാൽ ഗ്രൂപ്പ് (മൺപാത്രങ്ങൾ),আমরি নল দল (মৃৎপাত্রের)
അനാക്രോണിസം,অ্যানাক্রোনিজম
അനാക്രോണിസ്റ്റിക്,অ্যানাক্রোনিস্টিক
പൂർവ്വികൻ,পূর্বপুরুষ
പൂർവിക ആരാധന,পূর্ব পুরুষের পুজা
വംശപരമ്പര,বংশ
വംശപരമ്പര,বংশ
വംശപരമ്പര,বংশ
വംശപരമ്പര,বংশ
പുരാതന ഭരണം,প্রাচীন শাসন
പുരാതന,প্রাচীন
പുരാതന ബാലഡ്,প্রাচীন গীতিনাট্য
പുരാതന വിശ്വാസം,প্রাচীন বিশ্বাস
പുരാതന ആചാരം,প্রাচীন রীতি
പുരാതനമായ ചരിത്രം,প্রাচীন ইতিহাস
പുരാതന സ്മാരകങ്ങൾ,প্রাচীন স্মৃতিস্তম্ভ
ഉപകഥ,উপাখ্যান
ആഞ്ചലോട്ട്,অ্যাঞ্জেলট
ആഞ്ചലസ്,এঞ্জেলাস
ആഞ്ജെവിൻ (=ആഞ്ജെവിൻ),অ্যাঞ্জেভিন (=এনজেভিন)
കോണുകൾ,কোণ
ആംഗ്ലിക്കൻ,অ্যাংলিকান
ആംഗ്ലിക്കൻ കൂട്ടായ്മ,অ্যাংলিকান কমিউনিয়ন
