English,Tamil
abiogenesis,உயிரற்ற இனப்பெருக்கம்
abnormal,அமானுஷ்ய
abomasum,1. நான்காவது வயிறு 2. எவோமாசோம்
aborted organ,வயிற்று வளர்ச்சி உறுப்பு
aborted seed,வளர்ச்சி குன்றிய விதை
abortion,1. கருக்கலைப்பு 2. கருச்சிதைவு 3. வளர்ச்சி எதிர்ப்பு
absolute weed,1. தேவையற்ற களைகள் 2. முழுமையான களைகள்
absorbed cation,உறிஞ்சப்பட்ட கேஷன்
absorption,உறிஞ்சுதல்
abyssinian mustard,அபிசீனிய கடுகு
acaricide,1. காரக்கொல்லி
accentric,மையவிலக்கு
accentuate (cell),பெருக்கம் (செல்)
accepted tolerance,அனுமதிக்கப்பட்ட சகிப்புத்தன்மை
accessory,1.கூடுதல் 2.துணை 3.துணை
acclimatization,தழுவல்
accumulation,திரட்சி
accuracy,1.vacuracy 2. துல்லியம்
acervulus,1. அசெர்வலஸ் 2. ஸ்போரோஃபைட்
acetification,1. அசிடைசேஷன் 2. வினிகர் தயாரித்தல் 3. அசிட்டிலின்
acidification,1. அமிலமயமாக்கல் 2. அமிலமயமாக்கல்
acidimeter,1. அமிலமானி 2. அமிலமானி
acidity,அமிலத்தன்மை
acidophilic,அமிலத்தன்மை
acidulated rock phosphate,அமிலமாக்கப்பட்ட ராக் பாஸ்பேட்
aciduric,அமிலமாக்கப்பட்ட
acquifer,நீர்நிலை
acquisition,கையகப்படுத்தல்
acre,ஏக்கர்
acreage,1. பகுதி 2. பகுதி
acrocentric chromosome,இறுதி புள்ளி குரோமோசோம்
acropetal,முன்னோக்கு
acrosome,குரோசோம்
actinomycetes,ஆக்டினோமைசீட்ஸ்
active root zone,செயலில் உள்ள மைய
acute,1. சீற்றம் 2. தீவிரம்
adaptability,தழுவல்
adaptation,தனிப்பயனாக்கம்
adhesion,1. ஒட்டுதல் 2. ஒட்டுதல்
adipose,செபாசியஸ்
adjustment equation,சரிசெய்தல் சமன்பாடு
adobe soil,அடோப் மண்
adulterant,கலப்படம்
adventitious,எக்டோபிக்
aecidiospore,இசிடியோஸ்போர் இசிடியம் ஸ்போர்
aeolian process,ஏரோடைனமிக் செயல்முறை
aeolian,வென்ட்ரல்
aerate,காற்றோட்டம் செய்ய
aerial,1. காற்று 2. ஆகாஷி
aerometer,1. ஏரோமீட்டர் 2. ஏரோமீட்டர் 3. ஏரோமீட்டர்
aerosol,ஏரோசல்
aestivation,1. மஞ்சரி 2. கோடை உறக்கம்
aetiology (etiology),நோய் அறிவியல்
afforestation,காடு வளர்ப்பு
agitation,1. கிளர்ச்சி 2. கொந்தளிப்பு
agmark,அக்மார்க்
agrarian,1. நிலம் தொடர்பான 2. விவசாயம்
agricultural clinic,விவசாய மருத்துவமனை
agricultural labour,1. விவசாயத் தொழிலாளர்கள் 2. விவசாயத் தொழிலாளர்கள்
agricultural marketing,விவசாய சந்தைப்படுத்தல்
agricultural technology,விவசாய தொழில்நுட்பம்
agriculture,1. விவசாயம் 2. விவசாயம் 3. விவசாய அறிவியல்
agrisilviculture,விவசாய காடுகள்
agrobiodiversity,விவசாய பல்லுயிர்
agrobiological defects,விவசாய கரிம குறைபாடுகள்
agrobiology,விவசாய உயிரியல்
