Hindi,English
अपाक्ष पृष्ठ,Abaxial surface
उदर,Abdomen
उदर महाधमनी,Abdominal aorta
उदर गुच्छिका,Abdominal ganglia
अबेलमॉस्कस एस्कुलेन्टस,Abelmoschus esculentus
विपथन,Aberration
ऐबीज (बलूत),Abies
ऐबिंग्डन कछुआ,Abingdon tortoise
अजीवात्जनन,Abiogenesis
अजीवीय,Abiotic
"अजीवीय कारक, अजैव कारक",Abiotic factor
अपसामानय मूत्र,Abnormal urine
ए.बी.ओ. रुधिर वर्ग,ABO blood group
एब्सिसिक अम्ल,Abscisic acid
विलगन,Abscission
अवशोषण करना,Absorb
अवशोषण शिखर,Absorption peak
अवशोषण,Absorption
अकेशिया कैटेच्यू,Acacia catechu
अकेशिया अरेबिका (बबूल),Acaria arabica
ऐकैप्रिन,Acaprin
स्वीकार्य लैंगिक व्यवहार,Acceptable sexual behaviour
सहायक ग्रंथि,Accessory gland
अतिरिक्त ग्रंथि,Accessory gland
सहायक अंग,Accessory organ
"पर्यनुकूलन, दशानुकूलन",Acclimatization
"पर्यनुकूलित करना, दशानुकूलित करना",Acclimatize
समंजन (फोकसन),Accommodation (focusing)
नेत्र की समंजन क्षमता,Accommodation of eye
अभिवर्धी वृद्धि,Accretionary growth
"संचय, संचयन",Accumulation
कार्बनिक पदार्थों का एकत्रीकरण,Accumulation of organic matter
मृदा संचयन,Accumulation of soil
अकोशिकीय,Acellular
अकोशिकीय जीव,Acellular organism
"श्रोणिउलूखल, ऐसीटैबुलम",Acetabulum
ऐसीटेल्डिहाइड,Acetaldehyde
ऐसीटिल सह-ऐंजाइम,Acetyl coenzyme
ऐकेटाइना,Achatina
ऐकीन प्रकार,Achene type
ऐकीन,Achene
ऐक्लेमाइडोस्पोरी,Achlamydosporeae
अम्ल वर्षा,Acid rain
अम्लीय,Acidic
अम्लीय गैस,Acidic gas
अम्लता,Acidity
गुच्छकोष्ठक कोशिका,Acinar cell
अगुहिक,Acoelomate
ऐकोनिटम,Aconitum
"एकॉर्न कृमि, बंजुक कृमि",Acorn worm
"ध्वानिक मंडलन, ध्वानिक जोननिर्माण",Acoustic zoning
उपार्जित लक्षण,Acquired character
उपार्जित प्रतिरक्षा,Acquired immunity
उपार्जित प्रतिरक्षा न्यूनता संलक्षण (एड्स),Acquired immuno deficiency syndrome (AIDS)
ऐक्रैनिया,Acrania
एक्रिडीन रंजक,Acridine dye
अग्रकेंद्री,Acrocentric
अंसकूट,Acromion
अग्राभिसारी अनुक्रम,Acropetal sequence
अग्राभिसारी क्रम,Acropetal order
एक्रोसिन,Acrosin
ऐक्टिन,Actin
ऐक्टिन-सम प्रोटीन,Actin-like protein
त्रिज्यासममित,Actinomorphic
एक्टिनोमाइसिटीज,Actinomycetes
क्रिया विभव,Action potential
सक्रियित आपंक,Activated sludge
सक्रियित आपंक फ्लॉक,Activated sludge floc
सक्रियण ऊर्जा,Activation energy
सक्रिय अवशोषण,Active absorption
सक्रिय प्रतिरक्षा,Active immunity
सक्रिय विकिरण,Active radiation
सक्रिय स्थल,Active site
ऐक्टिविन,Activin
लंबाग्र,Acuminate
ऐडैम्सिया,Adamsia
अनुकूलनशीलता,Adaptability
अनुकूलन,Adaptation
प्रकाश प्रवृत्ति के प्रति अनुकूलन,Adaptation to light regime
जलाभाव के प्रति अनुकूलन,Adaptation to water scarcity
अनुकूली (अभि) लक्षण,Adaptive characteristics
अनुकूली प्रतिरक्षा,Adaptive immunity
अनुकूली विकिरण,Adaptive radiation
अनुकूली विशेषक,Adaptive trait
अभ्यक्ष पृष्ठ,Adaxial surface
व्यसनी विकार,Addictive disorder
ऐडेनीन,Adenine
ऐडिनोकॉर्टिकोट्रॉपिन,Adenocorticotropin
ऐडेनोहाइपोफाइसिस,Adenohypophysis
ऐडेनोसिन डाइफास्फेट,Adenosin diphosphate
ऐडेनोसिन डीएमीनेज,Adenosine deaminase
ऐडेनोसिन मोनोफॉस्फेट,Adenosine monophosphate
ऐडेनोसिन ट्राइफॉस्फेट,Adenosine triphosphate (ATP)
एडेनिलेट साइक्लेज,Adenylate cyclase
आसंजी बल,Adhesive force
ऐडिपेट,Adipate
वसाणु (वसा कोशिका),Adipocyte (fat cell)
वसा ऊतक,Adipose tissue
संलग्न,Adnate
संलग्न समुदाय,Adjoining community
अधिवृक्क,Adrenal
अधिवृक्क ग्रंथि,Adrenal gland
