Assamese,Bengali
abacus,অ্যাবাকাস
অস্বাভাৱিক সমাপ্তি,অস্বাভাবিক সমাপ্তি
abort,গর্ভপাত
নিৰপেক্ষ,পরম
নিৰপেক্ষ ঠিকনা,পরম ঠিকানা
নিৰপেক্ষ সম্বোধন,পরম ঠিকানা
নিৰপেক্ষ এছেম্বলাৰ,পরম সংযোজনকারী
নিৰপেক্ষ ক&#39;ড,পরম কোড
নিৰপেক্ষ আদেশ,পরম আদেশ
নিৰপেক্ষ তথ্য,পরম তথ্য
নিৰপেক্ষ নিৰ্দেশনা,পরম নির্দেশ
নিৰপেক্ষ ধৰণ,পরম মোড
নিৰপেক্ষ পথ,পরম পথ
নিৰপেক্ষ প্ৰগ্ৰেমিং,পরম প্রোগ্রামিং
বিমূৰ্ত শ্ৰেণী,বিমূর্ত ক্লাস
বিমূৰ্ত তথ্যৰ ধৰণ,বিমূর্ত তথ্য প্রকার
বিমূৰ্ত মেচিন,বিমূর্ত মেশিন
বিমূৰ্ত চিহ্ন,বিমূর্ত প্রতীক
বিমূৰ্ত বাক্যবিন্যাস,বিমূর্ত বাক্য গঠন
গ্ৰহণযোগ্যতা পৰীক্ষা,স্বীকৃতি যাচাইকরণ
প্ৰৱেশ প্ৰমাণীকৰণ,অ্যাক্সেস প্রমাণীকরণ
প্ৰৱেশ ক&#39;ড,প্রবেশাধিকার কোড
প্ৰৱেশ নিয়ন্ত্ৰণ,প্রবেশাধিকার নিয়ন্ত্রণ
এক্সেছ স্কেন,অ্যাক্সেস স্ক্যান
আনুষংগিক বস্তু,আনুষঙ্গিক
একাউণ্ট,অ্যাকাউন্ট
একাউণ্ট আইডি,অ্যাকাউন্ট আইডি
এক্যুলেটৰ,সঞ্চয়কারী
শুদ্ধতা,সঠিকতা
acess,অ্যাক্সেস
প্ৰৱেশ নিয়ন্ত্ৰণ বাইট,অ্যাক্সেস নিয়ন্ত্রণ বাইট
acess index,অ্যাক্সেস সূচক
acess key,অ্যাক্সেস কী
acess মেট্ৰিক্স,অ্যাক্সেস ম্যাট্রিক্স
প্ৰৱেশ ধৰণ,অ্যাক্সেস মোড
acess বিশেষাধিকাৰ,প্রবেশাধিকার
acess security,অ্যাক্সেস নিরাপত্তা
এচেছ চাৰ্ভাৰ,অ্যাক্সেস সার্ভার
acess সময়,অ্যাক্সেস সময়
স্বীকৃতি,স্বীকৃতি
শব্দবিজ্ঞান,ধ্বনিবিদ্যা
সংক্ষিপ্ত ৰূপ,সংক্ষিপ্ত রূপ
কাৰ্য্য বাৰ্তা,কর্ম বার্তা
সক্ৰিয়কৰণ,সক্রিয়করণ
সক্ৰিয় চাৰ্ভাৰ পৃষ্ঠা (ASP),সক্রিয় সার্ভার পৃষ্ঠা (এএসপি)
সক্ৰিয় সংস্কৰণ,সক্রিয় সংস্করণ
অচক্ৰীয়,অ্যাসাইক্লিক
অচক্ৰীয় গ্ৰাফ,অ্যাসাইক্লিক গ্রাফ
আদা ভাষা,অ্যাডা ভাষা
এডাপ্টাৰ,অ্যাডাপ্টার
যোগ কৰা,যোগ করুন
ফাইল যোগ কৰক,ফাইল যুক্ত কর
অপাৰেচন যোগ কৰক,অপারেশন যোগ করুন
adder,যোগকারী
ঠিকনা,ঠিকানা
ঠিকনা বাছ,ঠিকানা বাস
ঠিকনা নথিপত্ৰ,ঠিকানা ফাইল
ঠিকনা বিন্যাস,ঠিকানা বিন্যাস
ঠিকনা উৎপাদক,ঠিকানা জেনারেটর
ঠিকনা ৰেখা,ঠিকানা লাইন
