English,Hindi
Abelian group,आबेली समूह
Abel’s theorem,आबेल प्रमेय
aberration,अपेरण
aberrational constant,अपेरण-रिथरांक
ab-initio differentiation,आदितः अवकलन
abscissa,भुज
absolute convergence,निरपेक्ष अभिसरण
absolute deviation,निरपेक्ष विचलन
absolute error,निरपेक्ष त्रुटि
absolutemagnitude,निरपेक्ष कांतिमान (खगोलिकी)
absolutemaximum,परम उच्चिष्ठ
absolute minimum,परम निम्निष्ठ
absolute number,निरपेक्ष संख्या
absolute value,निरपेक्ष मान
abstract algebra,अमूर्त बीजगणित
abstract space,अमूर्त समष्टि
acceleration,त्वरण
acceleration vector,त्वरण-सदिश
accumulation point,पुंज-बिंदु
accuracy,"1.यथार्थता, 2. शुद्धता"
acute angle,न्यून कोण
addition,योग
additive function,योज्य फलन
additive group,योज्य समूह
address,पता
addressograph,"1.ऐड्रसोग्राफ, 2.पता लेखी"
adhesion,आसंजन
chi-square distribution,
adfected quadratic equation,मिश्र द्विघात समीकरण
aerostatics,1. वायु स्थैतिकी 2. अवमानिकी
adjoint differential equation,संलग्न अकलन समीकरण
adjoint matrix,सहखंडज आव्यूह
adjoint space,संलग्न समष्टि
aerodynamics,वायुगतिकी
aerofoil,एरोफोयल
affine transformation,सजातीय रूपांतरण
aggregate,पुंज
algebra,1. बीजगतिणत 2. बीजक्रिया 3. बीजावली
"algebra, abelian algebra","1.बीजावली, 2.आबेली बीजावली"
algebraic element,बीजीय अवयव
algebraic expression,बीजीय व्यंजक
algebraic extension,बीजीय विस्तार
algebraic function,बीजीय फलन
algebraic number,बीजीय संख्या
algorithm,"1.कलन-विधि, 2. ऐल्गोरिथ्म"
aliquot part,"अशेषभाजक खंड, संखंड"
allocation problem,"1.आबंटन समस्या, 2. नियतन समस्या"
allometry,सापेक्षमिति
almanac,पंचांग
almost everywhere,सर्वत्रप्राय
almucantar circle,उन्नतांश वृत्त
alternant,एकांतरक
alternate angle,एकांतर कोण
alternating group,एकांतर समूह
alternating series,एकांतर श्रेणी
altitude,1. उन्नतांश 2. शीर्षलंब
alternate,एकांतर
alternating  multilinear function,एकांतर बहुरैखिक फलन
ambiguity,संदिग्धता/अस्पष्टता
amplitude,"1. आयाम, 2. कोणांक"
analogue computer,"1.अनुरूप अभिकलित्र, 2.अनुरूप कंप्यूटर"
analysis,विश्लेषण
analytic continuation,वैश्लेषिक संतति
analytic function,वैश्लेषिक फलन
ancillary statistics,सहायक आंकड़े
angular distance,कोणीय दूरी
angular velocity,कोणीय वेग
angle,कोण
angular momentum,कोणीय संवेग
anharmonic ratio,वजानुपात
annihilator,शून्यकारी
annual equation,वार्षिक समीकार
annual parallax,वार्षिक लंबन
annular eclipse,वलयाकार ग्रहण
anomalistic month,परिमास
anomalistic year,परिवर्ष
antapex,प्रत्यभिसरण बिंदु
antecedent,पूर्वपद
anticlastic surface,असदृश-वक्रित पृष्ठ
antiderivative,प्रति-अवकलज
apastron,तारोच्च
aperiodic motion,अनावर्ती गति
apex of solar motion,सौर अभिबिंदु
aphelion,"1.सूर्योच्च, 2. रवि-उच्च, 3. अपसौर"
apogee,भूमि-उच्च
apparent solar time,आभासी सौर समय
Applied Mathematics,अनुप्रयुक्त गणित
approach,उपगमन
apsos,स्तदब्धिका
arc,चाप
Archimedes principle,आर्किमिडीज सिद्धांत
area,"1. क्षेत्र, 2 क्षेत्रफल"
areal accleration,क्षेत्रीय त्वरण
Argand diagram,आरगां आरेख
argument of a complex number,संमिश्र संख्या का कोणांक
argument principle,कोणांक नियम
arithemetic,अंकगणित
arithmetical progression,समांतर श्रेढ़ी
arithmetic mean,समांतर माध्य
arithmetic space,अंकगणितीय समष्टि
array,सरणी
ascending node,आरोही पात
association,साहचर्य
associative law,साहचर्य-नियम
asteroid,"क्षुद्र ग्रह, ग्रहिका"
astronomical latitude,खगोलीय अक्षांश
astronomical refraction,खगोलीय अपवर्तन
astronomical triangle,खगोलीय त्रिभुज
astronomy,खगोलविज्ञान
asymptote,अनंतस्पर्शी
attribute,गुण
autocode,"1.स्वकूट, 2.स्वयंकूट"
automorphism,स्वाकारिता
autumnal equinox,"1.शरद विषुव, 2. जल विषुव"
average,"1.माध्य, 2. औसत"
axes of coordinates,निर्देशांक-अक्ष
axion,1. स्वयंसिद्ध 2. अभिगृहीत
axiom of choice,वरण-अभिगृहीत
axion of continuity,सातत्य-अभिगृहीत
axis,अक्ष
azimuth,दिगंश
backward difference,पश्चांतर
backward difference operator,पश्चांतर संकारक
balance,"शेष, बाकी"
ballistic missile,प्रक्षेपास्त्र
Banach algebra,बानाख बीजावली
Banach space,बानाख समष्टि
bar chart,पट्ट संचित्र
banker's discount,बैंकर मितीकाटा
Barnard's star,बर्नार्ड तारा
barter,वस्तु-विनिमय
barycentre,केन्द्रक
barycentric coordinates,केंद्रकीय निर्देशांक
base,आधार
base angle,आधार कोण
basis,आधार
Bayes' theorem,बेज-प्रमेय
bearing,"दिक्मान, दिक्कोण"
beaufort scale,बोफ़ार्ट-मापक्रम
bell shaped curve,घंटाकार वक्र
bending moment,बंकन-आघूर्ण
Bernoulli distribution,बर्नूली बंटन
Bernoulli's numbers,बर्नूली-संख्या
Bessel function,येसल-फलन
best estimator,श्रेष्ठतमं आकलक
beta function,बीटा फलन
bias,अभिनति
bijection,एकैकी आच्छादन
bilinear concomitant,द्विरैखिक सहगामी
bilinear form,द्वि-एकघाती समघात
billion,"1. दशखर्व, 2.दस खरब, 3. अरब, 4.अर्बुद"
bimodal distribution,द्विबहुलक बंटन
binary,1. द्विआधारीः 2. युग्मतारा
binary digit,द्वि-आधारी अंक
binary point,द्वि-आधारी बिंदु
binary star,युग्मतारा
binomial,द्विपद
binomial coefficient,द्विपद गुणांक
binomial distribution,द्विपद बंटन
binomial theorem,द्विपद प्रमेय
binormal,उपाभिलंब
biquadratic equation,चतुर्घात समीकरण
bisector,"1.अर्धक, 2. द्विभाजक"
bit,द्वयंक (द्वि-आधारी अंक)
bivariate,द्विचर
bivariate distribution,द्विचर बंटन
bivariate normal distribution,द्विचर प्रसामान्य बंटन
Bode's law,बोडे-नियम
bolometer,"1.बोलोमीटर, 2. तेजमापी"
bound,परिबंध
boundary layer,परिसीमा परत
boundary value,परिसीमा मान समस्या
bounded function,परिबद्ध फलन
brokerage,दलाली
buoyancy,उत्प्लावकता
calculus,"1.कलन, 2.कैलकुलस"
calculus of variations,विचरण-कलन
Cantor discontinum,कैन्टर-विसांतत्यक
Cantor set,कैन्टर-समुच्चय
card code,पत्रक-कूट
cardinal number,गणन-संख्या
cardinal point,प्रधान-दिग्बिंदु
Cartesian axis,कार्तीय अक्ष
Cartesian coordinates,कार्तीय निर्देशांक
Cartesian product  of sets,समुच्चयों का कार्तीय गुणन
category,संवर्ग
catenry,कैटिनरी
celestial altitude,खगोलीय उन्नतांश
celestial body,"1. खगोलीय पिंड, 2. खपिंड"
celestial coordinates,खगोलीय निर्देशांक
celestial equator,खगोलीय विषुववृत्त
celestial horizon,खगोलीय क्षितिज
celestial circle,खगोलीय वृत्त
celestial latitude,"1.शर, 2. खगोलीय अक्षांश"
celestial longitude,"1. भोगांश, 2. खगोलीय देशांतर"
celestial mechanics,खगोलीय यांत्रिकी
lestial meridian,खगोलीय याम्योत्तर
celestial sphere,खगोल
census,1. गणना 2. जनगणना
centesimal system (of angles),शतिक पद्धति
centile,शततमक
central conic,सकेंद्र शांकव
central difference,केंद्रीय अंतर
central difference operator,केंद्रीय अंतर संकारक
central force,केंद्रीय
central limit theorem,केंद्रीय सीमा
central tendency,केंद्रीय प्रवृत्ति
centre,केंद्र
centre of buoyancy,उत्प्लावकता-केंद्र
cenntre of curvature,वक्रता-केंद्र
centre of gravity,गुरुत्व केंद्र
centre of oscillation,दोलन केंद्र
centre of percussion,आघात केंद्र
centre of pressure,दाब-केंद्र
centrifugal force,अपकेंद्र बल
centripetal force,अभिकेंद्र बल
centrode,"1.सेन्ट्रोड, 2.घूर्णन-केंद्र-पथ"
centroid,केंद्रक
C.G.S. system,C.G.S. पद्धति
chance,संयोग
change of axes,अक्ष-परिवर्तन
character,संप्रतीक
characteristic,1. अभिलक्षणिकः 2. पूर्णांश :
characteristic curve,अभिलक्षणिक वक्र
characteristic equation,अभिलक्षणिक समीकरण
characteristic function,अभिलक्षण फलन
characteristic of logarithm,लघुगणक का पूर्णांश
characteristic root,अभिलक्षणिक मूल
characteristic vector,अभिलक्षणिक सदिश
Chi-square statistic,काई-वर्ग प्रतिदर्शज
chi-square test,काई-वर्ग परीक्षण
chord,जीवा
Christoffel symbols,क्रिस्टोफेल प्रतीक
chronograph,"1.समयलेखी, 2. क्रोनोग्राफ, 3.काल लेखी"
chunk sampling,खंड-प्रतिचयन
cipher,"1.शून्य, 2. सिफर"
circle,वृत्त
circle of convergence,अभिसरण वृत्त
circle of curvature,वक्रता-वृत्त
circulant,चक्रक
circular function,वृत्तीय फलन
circular permutation,वृत्तीय क्रमचय
circular point,वृत्तीय बिंदु
circular test,श्रृंखलिक परीक्षण
circumcentre,परिकेंद्र
circumcircle,परिवृत्त
circumpolar star,"1.परिधुवी तारा, 2.सदोदित तारा"
class,वर्ग
class interval,वर्ग अंतराल
closed interval,बंद अंतराल
closed set,संवृत समुच्चय
closure,संवरक
cluster of stars,तारा-गुच्छ
cluster sampling,गुच्छ प्रतिचयन
cluster variable star,गुच्छ चरकांति तारा
coaxial circles,समाक्ष वृत्त
Cochran's test,कॉकरन-परीक्षण
code,1. संकेत : 2. कूट :
coding,कूटलेखन
coefficient,गुणांक
coefficient of association,साहचर्य गुणांक
coefficient of correlation,सहसंबंध गुणांक
coefficient of regression,समाश्रयण-गुणांक
coefficient of  restitution,प्रत्यवस्थान-गुणांक
coelostat,"1.तारास्थापी, 2. सीलोस्टैट"
co-factor,सहखंड
