Kannada,Tamil
ವೆಸ್ಟ್‌ಮಿನಿಸ್ಟರ್‌ನ ಅಬ್ಬೆ,வெஸ்ட்மின்ஸ்டர் அபே
ವ್ಯಭಿಚಾರ,துறவு
ಗುಲಾಮಗಿರಿಯ ನಿರ್ಮೂಲನೆ,அடிமைத்தனத்தை ஒழித்தல்
ಮೂಲನಿವಾಸಿಗಳು,பழங்குடியினர்
ಅಬ್ರಹಾಂ ಯುಗ,ஆபிரகாம் சகாப்தம்
ಗೈರುಹಾಜರಾದ ಭೂಮಾಲೀಕರು,இல்லாத நில உரிமையாளர்கள்
ಅಕಾಡೆಮಿ,கலைக்கூடம்
ಅಕ್ರಾ ಸಮ್ಮೇಳನ,அக்ரா மாநாடு
ಸಂಚಯಗಳು,திரட்டல்கள்
ಸಂಸ್ಕಾರ,வளர்ப்பு
ಅಸೆಲ್ಡಾಮಾ,அசெல்டாமா
ಅಚೆಯನ್ (=ಅಚಿಯನ್),அச்சேயன் (=ஆச்சியன்)
ಅಚೆಯನ್ ಲೀಗ್ (=ಅಚಿಯನ್ ಲೀಗ್),அச்சேயன் லீக் (=ஆச்சியன் லீக்)
ಆಕ್ರೊಪೊಲಿಸ್,அக்ரோபோலிஸ்
ಆಕ್ಟಾ ಡೈರ್ನಾ,ஆக்டா டைர்னா
ಆಕ್ಟಾ ಸೆನಾಟಸ್,ஆக்டா செனடஸ்
ಆಕ್ಟೆ ಹೆಚ್ಚುವರಿ,Acte Additionel
ಸಕ್ರಿಯ ದಾಖಲೆ (=ಪ್ರಸ್ತುತ ದಾಖಲೆ),செயலில் உள்ள பதிவு (=தற்போதைய பதிவு)
ಸಾಧಿಸುವವರ ಕ್ರಿಯೆ,அடையும் செயல்
ನಷ್ಟ ಪರಿಹಾರ ಮತ್ತು ಮರೆವಿನ ಕಾಯಿದೆ,இழப்பீடு மற்றும் மறதியின் செயல்
ವಸಾಹತು ಕಾಯಿದೆ,தீர்வு சட்டம்
ಜಾಹೀರಾತು ಒಪ್ಪಂದದ ಮುದ್ರೆ,விளம்பர ஒப்பந்த முத்திரை
ಅಡುಲಮೈಟ್ಸ್,அதுலமைட்டுகள்
ಎದುರಾಳಿ,எதிரி
ಎದುರಾಳಿ,எதிரி
ಏಯಾನ್,ஏயோன்
ಏರೋರಿಯಮ್,ஏரேரியம்
ವೈಮಾನಿಕ ಯುದ್ಧ,வான்வழிப் போர்
ಏಟೋಲಿಯನ್ ಲೀಗ್,ஏட்டோலியன் லீக்
ವಯಸ್ಸು,வயது
ವಯಸ್ಸಾಗುವಿಕೆ (=ವಯಸ್ಸಾದ),முதுமை (=வயதான)
ವಯಸ್ಸಾದ ಪ್ರಕ್ರಿಯೆ,வயதான செயல்முறை
ಅಗೆಲೈ,அகெலாய்
ಅಶ್ವದಳದ ವಯಸ್ಸು,வீரத்தின் வயது
ಜ್ಞಾನೋದಯದ ವಯಸ್ಸು,அறிவாற்றல் வயது
ಪೆರಿಕಲ್ಸ್ ವಯಸ್ಸು,பெரிக்கிள்ஸ் வயது
ಕಾರಣದ ವಯಸ್ಸು,பகுத்தறிவு வயது
ಕೃಷಿಧರ್ಮ,விவசாயம்
ಕೃಷಿ ಚಳುವಳಿ,விவசாய இயக்கம்
ಅಲ್ಬಿಯಾನ್,அல்பியன்
ಆಲ್ಬಮ್,ஆல்பம்
ಆಲ್ಡರ್ಮನ್,ஆல்டர்மேன்
ಸೂಚಿಸುವ ತೋಳುಗಳು,கவர்ச்சியான ஆயுதங்கள்
ಸೌಹಾರ್ದತೆ,அமிட்டி
ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಕೌನ್ಸಿಲ್,ஆம்ஃபிக்டியோனிக் கவுன்சில்
ಆಂಫಿಕ್ಟಿಯೋನಿಕ್ ಲೀಗ್,ஆம்ஃபிக்டியோனிக் லீக்
ಆಂಫಿಥಿಯೇಟರ್,ஆம்பிதியேட்டர்
ಅಮ್ರಿ ನಲ್ ಗುಂಪು (ಕುಂಬಾರಿಕೆ),அம்ரி நல் குழு (மட்பாண்டங்கள்)
ಅನಾಕ್ರೊನಿಸಂ,அனாக்ரோனிசம்
ಅನಾಕ್ರೊನಿಸ್ಟಿಕ್,காலமற்ற
ಪೂರ್ವಜ,மூதாதையர்
ಪೂರ್ವಜರ ಆರಾಧನೆ,முன்னோர் வழிபாடு
