Kannada,Odiya
ಅಜೀವಕ ಸಂತಾನೋತ್ಪತ್ತಿ,ଆବିୟୋଟିକ୍ ପ୍ରଜନନ |
ಅಧಿಸಾಮಾನ್ಯ,ପରମାନନ୍ଦ
1. ನಾಲ್ಕನೇ ಹೊಟ್ಟೆ 2. ಎವೋಮಾಸೋಮ್,1. ଚତୁର୍ଥ ପେଟ 2. ଇଭୋମାସୋମ୍ |
ಸ್ಟೊಮಾಟಲ್ ಬೆಳವಣಿಗೆಯ ಅಂಗ,ଷ୍ଟୋମାଟାଲ୍ ବୃଦ୍ଧି ଅଙ୍ଗ |
ಕುಂಠಿತ ಬೆಳವಣಿಗೆ ಬೀಜ,ଷ୍ଟଣ୍ଟେଡ୍ ଅଭିବୃଦ୍ଧି ମଞ୍ଜି |
1. ಗರ್ಭಪಾತ 2. ಗರ್ಭಪಾತ 3. ಬೆಳವಣಿಗೆಯ ಪ್ರತಿರೋಧ,1. ଗର୍ଭପାତ 2. ଗର୍ଭଧାରଣ 3. ଅଭିବୃଦ୍ଧି ପ୍ରତିରୋଧ |
1. ಅನಗತ್ಯ ಕಳೆಗಳು 2. ಸಂಪೂರ್ಣ ಕಳೆಗಳು,1. ଅବାଞ୍ଛିତ ତୃଣକ 2. ସଂପୂର୍ଣ୍ଣ ତୃଣକ |
ಹೀರಿಕೊಳ್ಳಲ್ಪಟ್ಟ ಕ್ಯಾಷನ್,ଅବଶୋଷିତ କ୍ୟାସନ୍ |
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ଅବଶୋଷଣ
ಅಬಿಸ್ಸಿನಿಯನ್ ಸಾಸಿವೆ,ଅବିଶ୍ୱାସୀ ସୋରିଷ |
1. ಅಕಾರಿಸೈಡ್,1. ଆକାରିସାଇଡ୍ |
ಕೇಂದ್ರಾಭಿಮುಖ,ସେଣ୍ଟ୍ରିପେଟାଲ୍ |
ವರ್ಧನೆ (ಕೋಶ),ବୃଦ୍ଧି (କକ୍ଷ)
ಸಹಿಷ್ಣುತೆಯನ್ನು ಅನುಮೋದಿಸಲಾಗಿದೆ,ଅନୁମୋଦିତ ସହନଶୀଳତା |
