Assamese,Malayalam
এটা B শ্ৰেণীৰ এম্প্লিফায়াৰ,എ ബി ക്ലാസ് ആംപ്ലിഫയർ
বিচ্যুতি,അപഭ്രംശം
অস্বাভাৱিক সংক্ৰমণ,അസാധാരണമായ സംക്രമണം
"অসংলগ্ন, সাধাৰণতে, গাঁতযুক্ত, কাটি পেলোৱা, ভাঙি যোৱা","ഘടിപ്പിക്കാത്ത, സാധാരണയായി, കുഴികളുള്ള, ഛേദിക്കപ്പെട്ട, ഒടിഞ്ഞ"
অনুপস্থিত বৰ্ণালী,സ്പെക്ട്രം കാണുന്നില്ല
"নিৰপেক্ষ, নিৰপেক্ষ, ধ্ৰুৱক, নিখুঁত","കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ"
নিৰপেক্ষ আৰ্দ্ৰতা,കേവല ഈർപ്പം
নিৰপেক্ষ গতি,കേവല വേഗത
নিৰপেক্ষ পৰ্যবেক্ষণ,സമ്പൂർണ നിരീക്ഷണം
নিৰপেক্ষ উষ্ণতা,കേവല താപനില
নিৰপেক্ষ শূন্য,കേവല പൂജ്യം
শুহি লোৱা,ആഗിരണം ചെയ്യുക
"শোষক, শোষক","ആഗിരണം, ആഗിരണം"
শোষণ ক্ষমতা,ആഗിരണം ശേഷി
শোষণ ক্ষমতা,ആഗിരണം
শোষক,ആഗിരണം ചെയ്യാവുന്ന
শোষণ ক্ষমতা,ആഗിരണം
বহুগুণতা অনুপাত,ഗുണിത അനുപാതം
ত্বৰান্বিত কৰক,ത്വരിതപ്പെടുത്തുക
খৰধৰকৈ উঠিল,തിടുക്കപ്പെട്ടു
বেগ বৃদ্ধি,ത്വരണം
মাধ্যাকৰ্ষণৰ ত্বৰণ,ഗുരുത്വാകർഷണ ത്വരണം
ত্বৰণকাৰী,ആക്സിലറേറ്റർ
ত্বৰণকাৰী,ആക്സിലറേറ്റർ
এক্সিলেৰমিটাৰ,ആക്സിലറോമീറ്റർ
প্ৰিষ্ট্ৰেছাৰ,പ്രിസ്ട്രെസർ
গ্ৰহণযোগ্য পৰীক্ষা,സ്വീകാര്യമായ പരിശോധന
গ্ৰহণকাৰী,സ്വീകർത്താവ്
দাতা অণু,ദാതാവിന്റെ തന്മാത്ര
"প্ৰৱেশ, অপেক্ষা, অভিগম্যতা","പ്രവേശനം, കാത്തിരിപ്പ്, പ്രവേശനക്ഷമത"
অভিগম্যতা,പ്രവേശനക്ഷമത
"অতিৰিক্ত, আনুষংগিক, আনুষংগিক (v.), আনুষংগিক (ed.)","സ്പെയർ, ആക്സസറി, ആക്സസറി (വി.), ആക്സസറികൾ (എഡി.)"
প্ৰৱেশ সময়,പ്രവേശന സമയം
দৰ্শকৰ ভুল,സന്ദർശക പിശക്
সমন্বয়,ക്രമീകരിക്കൽ
সঞ্চিত কৰা হৈছে,കുമിഞ്ഞുകൂടി
"সঞ্চয়, সঞ্চয়","ശേഖരണം, ശേഖരണം"
এক্যুলেটৰ,ശേഖരണം
শুদ্ধতা,കൃത്യത
বাস্তৱতা,റിയാലിറ്റി
ৰঙীন লেন্স,അക്രോമാറ്റിക് ലെൻസ്
achromatic,അക്രോമാറ്റിക്
achromaticity,അക്രോമാറ്റിറ്റി
একাউষ্টিক,അക്കോസ്റ്റിക്
শব্দ নিবাৰণ,ശബ്ദപ്രതിരോധം
একাউষ্টিক ফ&#39;নন,അക്കോസ്റ്റിക് ഫോണോൺ
শব্দ একক,ശബ്ദ യൂണിറ്റ്
একাউষ্টিক,അക്കോസ്റ്റിക്
শব্দ উৎপাদক,ശബ്ദ ജനറേറ്റർ
ক্ৰিয়া আৰু প্ৰতিক্ৰিয়া,പ്രവർത്തനവും പ്രതികരണവും
সক্ৰিয়কৰণ,സജീവമാക്കൽ
সক্ৰিয়কৰণ শক্তি,സജീവമാക്കൽ ഊർജ്ജം
"সক্ৰিয়কৰ্তা, সক্ৰিয়কৰ্তা","ആക്റ്റിവേറ്റർ, ആക്റ്റിവേറ്റർ"
সক্ৰিয়,സജീവമാണ്
সক্ৰিয়তা,ആക്ടിവിസം
প্ৰকৃত মানসিক চাপ,യഥാർത്ഥ സമ്മർദ്ദം
ফুচফুচাই কোৱা,മന്ത്രിക്കുന്നു
সামৰণিত,സംഗ്രഹിക്കാനായി
"যোগ, যোগ, সমষ্টি (ed.), যোগ (v.)","തുക, കൂട്ടിച്ചേർക്കൽ, മൊത്തം (എഡി.), സങ്കലനം (വി.)"
"সংযোগী সুৰ, অতিৰিক্ত সুৰ (স্বৰ)","സംയോജിത സ്വരം, അധിക സ്വരം (സ്വരാക്ഷരങ്ങൾ)"
যোগকৰণ,സങ്കലനം
আঠাযুক্ততা,അഡീഷൻ
আঠাযুক্ত শক্তি,പശ ഊർജ്ജം
আদিয়াবাট,അടിയാബാറ്റ്
adiabatic,adiabatic
তাপ নিৰোধক,ചൂട് ഇൻസുലേറ്റിംഗ്
সংলগ্ন কৰা হৈছে,ബന്ധം
নিয়ন্ত্ৰণযোগ্য,ക്രമീകരിക്കാവുന്ന
ভেদ,നുഴഞ്ഞുകയറ്റം
শোষণ,ആഗിരണം
আগলৈ,മുന്നോട്ട്
প্ৰগতিশীল,പുരോഗമനപരമായ
"আকাশী, বায়ু (v.), আকাশী (ed.)","ആകാശി, വായു (വി.), ഏരിയൽ (എഡി.)"
এন্টেনা ষ্ট্ৰিম,ആന്റിന സ്ട്രീം
আকাশী জৰীপ,ഏരിയൽ സർവേ
বায়ুৰ বেগ,വായു വേഗത
বায়ুগতিশীল সহগ,എയറോഡൈനാമിക് കോഫിഫിഷ്യന്റ്
বায়ুগতিবিদ্যা,എയറോഡൈനാമിക്
বায়ুগতিবিদ্যা,എയറോഡൈനാമിക്സ്
এৰোনটিকেল,എയറോനോട്ടിക്കൽ
এৰোনটিক্স,എയറോനോട്ടിക്സ്
বায়ুৰ স্পন্দন,എയർ പൾസ്
