Malayalam,English
ആമ്പിയർ (യൂണിറ്റ്),A (Ampere unit of current)
ആംഗ്സ്ട്രം,A (angstrom)
എ-ക്ലാസ് ആംപ്ലിഫയർ,A amplifier
എഎൻ റേഡിയോ സഹായ്,A-N radio range
a-സ്കാനിംഗ് അവതരണം,A-scan presentation
ഒരു-ദർശ്,A-scope
എ-സ്കോപ്പ് പ്രകടനം,A-scope display
എ-ടി വളഞ്ഞ ക്രിസ്റ്റൽ,A-T Cut crystal
"എസി-ഡിസി ആനുകൂല്യങ്ങൾ, എ. സി.ഡി. സി.ലാബി, എ. സി.ഡി. c. ആംപ്ലിഫിക്കേഷൻ",A.c-d.c. gain
രാവിലെ,A.M. (ante meridiem)
എഎംയു (ആറ്റോമിക് മാസ് യൂണിറ്റ്),A.m.u. (atomic mass unit)
aard-vark*,Aard-vark
എബി-ആമ്പിയർ,Ab ampere
എ-ബി ക്ലാസ് ആംപ്ലിഫയർ,AB amplifier
അദാ,Ab initio
എ-ബി ശക്തി പിടക,AB power pack
abc = വിന്യാസ ചാർട്ട് = നോമോഗ്രാഫ്,Abac=alignment chart=nomograph
അബെ നമ്പർ (അബെ സ്ഥിരാങ്കം),Abbe number (=Abbe constant)
അബെ റിഫ്രാക്റ്റോമീറ്റർ,ABBE refractometer
അബെ സൈൻ സംസ്ഥാനം,Abbe sine condition
ഓട്ടോമാറ്റിക് ബയസ് നഷ്ടപരിഹാരം,Abc (automatic bias compensation)
abcoulom,Abcoulomb
"അപഭ്രംശം, അപഭ്രംശം",Aberration
വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്,Aberration corrector lens
ആകാശ വ്യതിയാനം,Aberration of light
abfarad,Abfarad
എബൻറി,Abhenry
എബോണി പ്രഭാവം,Abney effect (=Abney law)
അസാധാരണ ധ്രുവീകരണം,Abnormal polarisation
അസാധാരണമായ സംക്രമണം,Abnormal propagation
അസാധാരണമായ പ്രതിഫലനം,Abnormal reflection
അസാധാരണ അപവർത്തനം*,Abnormal refraction
അസാധാരണമായ പ്രതിരോധം,Abnormal resistance
ab-om,Abohm
"മുൻതൂക്കം, പരാജയം",Abortion
"ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച",Abrupt
പലപ്പോഴും ചാടുന്നു,Abrupt jump
കൈ*,Abscissa
പ്രതിഫലനം നഷ്ടപ്പെട്ടു,Absent reflection
സ്പെക്ട്രം കാണുന്നില്ല,Absent spectrum
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ",Absolute
സമ്പൂർണ്ണ ത്വരണം,Absolute acceleration
കേവല യാഥാർത്ഥ്യം,Absolute accuracy
സമ്പൂർണ്ണ വിലാസം,Absolute address-specific address
ജിയോ റിലേറ്റീവ് ആൾട്ടിമീറ്റർ,Absolute altimeter
ഭൂമിശാസ്ത്രപരമായ ഉയരം,Absolute altitude
കേവല ആമ്പിയർ,Absolute ampere
സമ്പൂർണ്ണ തിളനില,Absolute boilling point
കേവല പ്രകാശം,Absolute bolometric luminosity
കേവല കപ്പാസിറ്റൻസ്,Absolute capacity
കേവല ഉയരം,Absolute ceiling
കേവല പിഗ്മെന്റ്,Absolute colour index
"സമ്പൂർണ്ണ കോൺഫിഗറേഷൻ, അവ്യക്തമായ കോൺഫിഗറേഷൻ",Absolute configuration
കേവല കൂലം,Absolute coulomb
പൂർണ്ണമായ ഇരുട്ട്,Absolute darkness
സമ്പൂർണ്ണ ഷെഡ്യൂളിംഗ്,Absolute dating
കേവല സാന്ദ്രത*,Absolute density
സമ്പൂർണ്ണ ഡ്രെയിനേജ്,Absolute drift
സമ്പൂർണ്ണ ഇഎംയു (വൈദ്യുതകാന്തിക യൂണിറ്റ്),Absolute e.m.u.
സമ്പൂർണ്ണ ESU (സ്റ്റാറ്റിക് യൂണിറ്റ്),Absolute e.s.u.
സമ്പൂർണ്ണ കാര്യക്ഷമത,Absolute efficiency
കേവല ഇലക്ട്രോമീറ്റർ,Absolute electrometer
കേവല ആവൃത്തി കേവല ആവൃത്തി,Absolute frequency
കേവല ഈർപ്പം,Absolute humidity
കേവല സംഭവങ്ങൾ,Absolute incidence
കേവല അപവർത്തന സൂചിക,Absolute index of refraction
സമ്പൂർണ്ണ അസ്ഥിരത,Absolute instability
സമ്പൂർണ്ണ അസ്ഥിരത,Absolute intensity
"കേവല തീവ്രത, കേവല തീവ്രത",Absolute length
അസ്തീനിയയുടെ സമ്പൂർണ്ണ പരിധി,Absolute limit of hysteresis
കേവല പ്രകാശം സിൽ,Absolute luminance threshold
കേവല പ്രകാശ വക്രം,Absolute luminosity curve
കേവലമായ അളവ്,Absolute magnitude
കേവല ബാരോമീറ്റർ,Absolute manometer
പരമോന്നത പരമോന്നത,Absolute maximum
സമ്പൂർണ്ണ പരിധി,Absolute maximum rating
ഏറ്റവും താഴ്ന്നത്,Absolute minimum
കേവല ആക്കം,Absolute momentum
കേവല വേഗത,Absolute motion
കേവല സംഗീതം,Absolute music=pure music
സമ്പൂർണ നിരീക്ഷണം,Absolute observation
കേവല ഓം,Absolute ohm
കേവല ഓറിയന്റേഷൻ,Absolute orientation
കേവല ഇലക്ട്രോനെഗറ്റിവിറ്റി,Absolute permittivity
കേവല ഗുരുത്വാകർഷണം,Absolute pitch
കേവല മർദ്ദം,Absolute pressure = true pressure
സമ്പൂർണ്ണ സ്വത്ത്,Absolute property
കേവല സ്കെയിലർ,Absolute scalar
താപനിലയുടെ കേവല സ്കെയിൽ*,Absolute scale of temperature
"കേവല സമന്വയം, സമ്പൂർണ്ണ സമന്വയം",Absolute simultancity
സമ്പൂർണ്ണ സമ്മർദ്ദം,Absolute stress
കേവല സമമിതി,Absolute symmetry
കേവല ചലന ശരീരം,Absolute system of motion
കേവല യൂണിറ്റ് സിസ്റ്റം,Absolute system of units
കേവല താപനില,Absolute temperature
കേവല സമയം,Absolute time
കേവല യൂണിറ്റുകൾ,Absolute unit
യഥാർത്ഥ മൂല്യം,Absolute value
പൂർണ്ണസംഖ്യ കാൽക്കുലേറ്റർ,Absolute value computer
കേവല വേഗത,Absolute velocity
കേവല വിസ്കോസിറ്റി,Absolute viscosity
കേവല ഭാരം,Absolute weight
കേവല പൂജ്യം*,Absolute zero
പൂജ്യത്തിന്റെ കേവല വിഭജനം,Absolute zero devisor
ആഗിരണം ചെയ്യുക,Absorb
ആഗിരണ സൂചിക*,Absorbance
ആഗിരണം ചെയ്ത ഊർജ്ജം,Absorbed energy
"ആഗിരണം, ആഗിരണം",Absorber
ആഗിരണം ചെയ്യാവുന്ന മാധ്യമം*,Absorbing medium
ആഗിരണം ശേഷി,Absorbing power
ആഗിരണം,Absorptance
അബ്സോർപ്റ്റിയോമീറ്റർ*,Absorptiometer
അബ്സോർപ്റ്റിയോമെട്രി*,Absorptiometry
ആഗിരണം,Absorption
ആഗിരണം - ബാൻഡ്*,Absorption band
ആഗിരണം സർക്യൂട്ട്,Absorption circuit
ആഗിരണം ഗുണകം,Absorption coeffieient
ആഗിരണം കോളം,Absorption column
ആഗിരണ സ്ഥിരത,Absorption constant
ആഗിരണ തുടർച്ച,Absorption continua
ആഗിരണം മേഖല,Absorption cross section
ആഗിരണം കറന്റ്,Absorption current
ആഗിരണം വക്രം*,Absorption curve (=transmission curve)
ആഗിരണം ഒടിവ്,Absorption discontinuity
ആഗിരണം കോർ,Absorption edge
ആഗിരണം ഘടകം,Absorption factor
ആഗിരണം ഫിൽട്ടർ,Absorption filter
അബ്സോർപ്ഷൻ ഫ്ലേം ഫോട്ടോമെട്രി*,Absorption flame photometry
ആഗിരണം ഹൈഗ്രോമീറ്റർ,Absorption hygrometer
ആഗിരണ ഘാതം,Absorption index
ആഗിരണം നാമമാത്രമാണ്,Absorption limit
ആഗിരണം ലൈൻ,Absorption line
ആഗിരണം നഷ്ടം,Absorption loss
ആഗിരണം മോഡുലേഷൻ,Absorption modulation=loss modulation
പ്രകാശം ആഗിരണം,Absorption of light
റേഡിയേഷൻ ഊർജ്ജത്തിന്റെ ആഗിരണം,Absorption of radiant energy
ആഗിരണം കൊടുമുടി,Absorption peak
ആഗിരണം ഫോട്ടോമെട്രി,Absorption photometry
ആഗിരണം അനുപാതം,Absorption ratio
ആഗിരണം പരിധി*,Absorption series
ആഗിരണം സ്പെക്ട്രം ഫോട്ടോമെട്രി*,Absorption spectro photometry
ആഗിരണം സ്പെക്ട്രം*,Absorption spectrum
"ആഗിരണം ട്യൂബ്, ആഗിരണം ട്യൂബ്",Absorption tube
ആഗിരണം ഹൈഗ്രോമീറ്റർ,Absorption vavemeter
ആഗിരണം ചെയ്യാവുന്ന*,Absorptive
ആഗിരണം ചെയ്യാവുന്ന ബാഷ്പീകരണം,Absorptive attenuator
ആഗിരണം നിയമം*,Absorptive law
ആഗിരണം മീഡിയം,Absorptive medium
"ആഗിരണം ചെയ്യാനുള്ള ശേഷി, ആഗിരണം*",Absorptive power
ആഗിരണം*,Absorptivity
സ്റ്റുഡിയോ അലങ്കാരം,Abstract set=studio decoration
ഗുണിത അനുപാതം,Abundance ratio
അബോൾട്ട്,Abvolt
കുറിച്ച്,Abwatt
ത്വരിതപ്പെടുത്തുക,Accelerate
ആക്സിലറേഷൻ-സ്റ്റോപ്പ് ദൂരം,Accelerate-stop distance
തിടുക്കപ്പെട്ടു,Accelerated
ദ്രുത സമയ ഫല പരിശോധന,Accelerated ageing test
പെട്ടെന്നുള്ള ഒഴുക്ക്,Accelerated flow
