Tamil,Gujarati
அபெலியன் குழு,એબેલિયન જૂથ
அபிலியன் அரைகுழு,અબેલીયન સેમીગ્રુપ
abscissa,એબ્સીસા
அறுதி,સંપૂર્ણ
முழுமையான ஒருங்கிணைப்பு,સંપૂર્ણ સંકલન
முழுமையான பிழை,સંપૂર્ણ ભૂલ
முழுமையான அதிகபட்சம்,સંપૂર્ણ મહત્તમ
முழுமையான குறைந்தபட்சம்,સંપૂર્ણ લઘુત્તમ
துல்லியமான மதிப்பு,સંપૂર્ણ મૂલ્ય
முழுமையான வேகம்,સંપૂર્ણ વેગ
சுருக்க இயற்கணிதம்,અમૂર્ત બીજગણિત
சுருக்க குழு கோட்பாடு,અમૂર્ત જૂથ સિદ્ધાંત
முடுக்கம்,પ્રવેગ
புவியீர்ப்பு காரணமாக முடுக்கம்,ગુરુત્વાકર્ષણને કારણે પ્રવેગક
ஏற்றுக்கொள்ளக்கூடிய தேர்வு தொகுப்பு,સ્વીકાર્ય પસંદગી સમૂહ
ஏற்றுக்கொள்ளக்கூடிய தர நிலை,સ્વીકાર્ય ગુણવત્તા સ્તર
ஏற்றுக்கொள்ளக்கூடிய வரம்பு,સ્વીકાર્ય શ્રેણી
ஏற்றுக்கொள்ளக்கூடிய நம்பகத்தன்மை நிலை,સ્વીકાર્ય વિશ્વસનીયતા સ્તર
ஏற்றுக்கொள்ளக்கூடிய மாதிரி,સ્વીકાર્ય નમૂના
திரட்டப்பட்ட பிழை,સંચિત ભૂલ
துல்லியம்,ચોકસાઈ
செயல்படும் சக்தி,અભિનય બળ
நடவடிக்கை,ક્રિયા
செயல் மற்றும் எதிர்வினை,ક્રિયા અને પ્રતિક્રિયા
உண்மையான அறிவியல்,વાસ્તવિક વિજ્ઞાન
கடுமையான கோண முக்கோணம்,તીવ્ર કોણીય ત્રિકોણ
அசைக்ளிக்,એસાયક્લિક
கூட்டு,ઉમેરો
சேர்ப்பான்,ઉમેરનાર
கூடுதலாக,વધુમાં
கூட்டல் சூத்திரம்,વધારાનું સૂત્ર
சிக்கலான எண்களைச் சேர்த்தல்,જટિલ સંખ્યાઓનો ઉમેરો
செயல்பாடுகளைச் சேர்த்தல்,કાર્યોનો ઉમેરો
மெட்ரிக்குகள் சேர்த்தல்,મેટ્રિસિસનો ઉમેરો
பல்லுறுப்புக்கோவைகள் சேர்த்தல்,બહુપદીનો ઉમેરો
நிகழ்தகவுகளைச் சேர்த்தல்,સંભાવનાઓનો ઉમેરો
திசையன்கள் சேர்த்தல்,વેક્ટરનો ઉમેરો
கூட்டல் தேற்றம்,વધારાનું પ્રમેય
சேர்க்கை குழு,ઉમેરણ જૂથ
தலைகீழ் சேர்க்கை,ઉમેરણ વ્યસ્ત
சேர்க்கை சொத்து,ઉમેરણ મિલકત
சேர்க்கை,ઉમેરણ
அருகாமை அணி,સંલગ્નતા મેટ્રિક્સ
அருகில்,અડીને
அருகில் உள்ள கோணங்கள்,અડીને આવેલા ખૂણા
அருகில் உள்ள உச்சி,અડીને શિરોબિંદુ
இணை,સંલગ્ન
அருகில்,સંલગ્ન
இணைந்த தீர்மானிப்பான்,સંલગ્ન નિર્ણાયક
இணை வேறுபாடு சமன்பாடு,સંલગ્ન વિભેદક સમીકરણ
இணைந்த சமன்பாடு,સંલગ્ન સમીકરણ
இணை அணி,સંલગ્ન મેટ્રિક્સ
மேட்ரிக்ஸின் இணைப்பு,મેટ્રિક્સનો સંલગ્ન ભાગ
adjugate matrix,એડજ્યુગેટ મેટ્રિક્સ
ஏற்றுக்கொள்ளக்கூடிய முடிவு செயல்பாடு,સ્વીકાર્ય નિર્ણય કાર્ય
ஏற்றுக்கொள்ளக்கூடிய கருதுகோள்,સ્વીકાર્ય પૂર્વધારણા
காற்றியக்க விசை,એરોડાયનેમિક બળ
காற்றியக்கவியல்,એરોડાયનેમિક્સ
இணைப்பு வடிவியல்,સંલગ્ન ભૂમિતિ
இணைப்பு மேப்பிங்,affine મેપિંગ
இணைப்பு மாற்றம்,સંલગ્ન રૂપાંતર
ஒருங்கிணைக்கும் மாறிகள்,એકંદર ચલો
இயற்கணிதம்,બીજગણિત
இயற்கணிதப்படி மூடப்பட்டது,બીજગણિતીય રીતે બંધ
இயற்கணித சமன்பாடு,બીજગણિતીય સમીકરણ
இயற்கணித வெளிப்பாடு,બીજગણિતીય અભિવ્યક્તિ
இயற்கணித வடிவம்,બીજગણિત સ્વરૂપ
இயற்கணித செயல்பாடு,બીજગણિત કાર્ય
இயற்கணித வடிவியல்,બીજગણિત ભૂમિતિ
இயற்கணிதப் பெருக்கம்,બીજગણિત ગુણાકાર
இயற்கணித அமைப்பு,બીજગણિત સિસ્ટમ
அனைத்து முழு எண் பிரச்சனை,તમામ પૂર્ણાંક સમસ્યા
ஒதுக்கீடு பிரச்சனை,ફાળવણી સમસ્યા
