English,Malayalam
Abel tester,ആബേൽ ടെസ്റ്റർ
Abrasive,ഉരച്ചിലുകൾ
Absolute,സമ്പൂർണ്ണ
Absolute alchol,സമ്പൂർണ്ണ ആൽക്കഹോൾ
Absolute humidity,സമ്പൂർണ്ണ ഈർപ്പം
Absolute pressure,സമ്പൂർണ്ണ സമ്മർദ്ദം
Absolute temperature,കേവല താപനില
Absolute viscosity,സമ്പൂർണ്ണ വിസ്കോസിറ്റി
Absorb process,ആഗിരണം പ്രക്രിയ
Absorption,ആഗിരണം
Absorption column,ആഗിരണം കോളം
Absorption gasoline,ആഗിരണം ഗ്യാസോലിൻ
Absorption of gas,വാതകത്തിന്റെ ആഗിരണം
Absorption oil,ആഗിരണം എണ്ണ
Absorption plant,ആഗിരണം പ്ലാന്റ്
Absorption refrigeration,ആഗിരണ ശീതീകരണം
Absorption spectrometer,ആഗിരണം സ്പെക്ട്രോമീറ്റർ
Absorption system,ആഗിരണം സംവിധാനം
Absorptivity,ആഗിരണം
Accelaration criterion,ത്വരിതപ്പെടുത്തൽ മാനദണ്ഡം
Accelerated ageing test,ത്വരിതപ്പെടുത്തിയ പ്രായമാകൽ പരിശോധന
Accelerated flow,ത്വരിതപ്പെടുത്തിയ ഒഴുക്ക്
Accelerated step,ത്വരിതപ്പെടുത്തിയ ഘട്ടം
Acceleration,ത്വരണം
Acceleration due to gravity,ഗുരുത്വാകർഷണം മൂലം ത്വരണം
Acceleration factor,ത്വരിതപ്പെടുത്തൽ ഘടകം
Acceleration in direction,ദിശയിൽ ത്വരണം
Acceleration in distance,ദൂരത്തിൽ ത്വരണം
Accelerator,ആക്സിലറേറ്റർ
Accelerometer,ആക്സിലറോമീറ്റർ
Acceptable quality level,സ്വീകാര്യമായ നിലവാരം
Acceptance of hypothesis,സിദ്ധാന്തത്തിന്റെ സ്വീകാര്യത
Acceptance region,സ്വീകാര്യത പ്രദേശം
Acceptor,സ്വീകരിക്കുന്നവൻ
Accessible stationary point,ആക്സസ് ചെയ്യാവുന്ന സ്റ്റേഷണറി പോയിന്റ്
Accomodation coefficient,താമസ ഗുണകം
Accumulation,സഞ്ചയനം
Accumulator,അക്യുമുലേറ്റർ
Accuracy,കൃത്യത
Accuracy of control,നിയന്ത്രണത്തിന്റെ കൃത്യത
Accuracy of measurement,അളവെടുപ്പിന്റെ കൃത്യത
Acetal decomposition,അസറ്റൽ വിഘടനം
Acetaldehyde,അസറ്റാൽഡിഹൈഡ്
Acetaldehyde pyrolysis,അസറ്റാൽഡിഹൈഡ് പൈറോളിസിസ്
Acetal formation mechanism,അസറ്റൽ രൂപീകരണ സംവിധാനം
Acetal solvolysis,അസറ്റൽ സോൾവോളിസിസ്
Acetaminophen,അസറ്റാമിനോഫെൻ
Acetate fiber,അസറ്റേറ്റ് ഫൈബർ
Acetate film,അസറ്റേറ്റ് ഫിലിം
Acetic acid,അസറ്റിക് ആസിഡ്
Acetic anhydride,അസറ്റിക് അൻഹൈഡ്രൈഡ്
Acetobacter,അസറ്റോബാക്റ്റർ
Acetone,അസെറ്റോൺ
Acetone-benzol process,അസെറ്റോൺ-ബെൻസോൾ പ്രക്രിയ
Acetophenone,അസെറ്റോഫെനോൺ
Acetophenone enolisation,അസെറ്റോഫെനോൺ ഇനോലൈസേഷൻ
Acetyl,അസറ്റൈൽ
Acetylation,അസറ്റിലേഷൻ
Acetyl cellulose,അസറ്റൈൽ സെല്ലുലോസ്
Acetylene,അസറ്റലീൻ
Acetylene black,അസറ്റലീൻ കറുപ്പ്
Acetylsalicylic acid,അസറ്റൈൽസാലിസിലിക് ആസിഡ്
Acid alizarin blue,ആസിഡ് അലിസറിൻ നീല
Acid base catalysis,ആസിഡ് ബേസ് കാറ്റാലിസിസ്
Acid black,ആസിഡ് കറുപ്പ്
Acid blow case,ആസിഡ് ബ്ലോ കേസ്
Acid corrosion,ആസിഡ് നാശം
Acid dew point,ആസിഡ് ഡ്യൂ പോയിന്റ്
Acid dye,ആസിഡ് ഡൈ
Acid egg,ആസിഡ് മുട്ട
Acid exchange,ആസിഡ് കൈമാറ്റം
Acid fortification tower,ആസിഡ് ഫോർട്ടിഫിക്കേഷൻ ടവർ
Acid heat test,ആസിഡ് ചൂട് പരിശോധന
Acidification,അസിഡിഫിക്കേഷൻ
Acidity,അസിഡിറ്റി
Acidity function,അസിഡിറ്റി പ്രവർത്തനം
Acidizing,അമ്ലമാക്കുന്നു
Acid mist recovery,ആസിഡ് മിസ്റ്റ് വീണ്ടെടുക്കൽ
Acid recovery plant,ആസിഡ് വീണ്ടെടുക്കൽ പ്ലാന്റ്
Acid reduction,ആസിഡ് കുറയ്ക്കൽ
Acid sludge,ആസിഡ് സ്ലഡ്ജ്
Acid storage plant,ആസിഡ് സംഭരണ പ്ലാന്റ്
Acid treating,ആസിഡ് ചികിത്സ
Acid treatment,ആസിഡ് ചികിത്സ
Acid treatment of oil well,എണ്ണ നന്നായി ആസിഡ് ചികിത്സ
Acidulation,ആസിഡുലേഷൻ
Acid value,ആസിഡ് മൂല്യം
Acoustic emission,അക്കോസ്റ്റിക് എമിഷൻ
Acoustic noise,അക്കോസ്റ്റിക് ശബ്ദം
Acoustic velocity,അക്കോസ്റ്റിക് വേഗത
Acrolein,അക്രോലിൻ
Acrylamide,അക്രിലമൈഡ്
Acrylan,അക്രിലാൻ
Acrylate,അക്രിലേറ്റ്
Acrylate adhesive,അക്രിലേറ്റ് പശ
