Marathi,Bengali
असामान्य,অস্বাভাবিক
गर्भपात,গর্ভপাত
घर्षण,ঘর্ষণ
अचानक,আকস্মিক
परिपूर्ण फील्ड सामर्थ्य,পরম ক্ষেত্র শক্তি
परिपूर्ण तापमान,পরম তাপমাত্রা
परिपूर्ण मूल्य,পরম মান
शोषून घ्या,শোষণ
शोषण सह-कार्यक्षम,শোষণ গুণাঙ্ক
शोषण तोटा,শোষণ ক্ষতি
गोषवारा,বিমূর্ত
एक्सेलरोमीटर,অ্যাক্সিলোমিটার
स्वीकृती चाचणी,স্বীকৃতি পরীক্ষা
प्रवेश,অ্যাক্সেস
प्रवेश नियंत्रण,প্রবেশাধিকার নিয়ন্ত্রণ
प्रवेश बिंदू,এক্সেস পয়েন্ট
प्रवेश वेळ,প্রবেশাধিকার সময়
प्रवेशयोग्यता,অ্যাক্সেসযোগ্যতা
संचयक सेल,একুমুলেটর সেল
अचूकता,সঠিকতা
अचूक,নির্ভুল
अ‍ॅक्रोमॅटिक लेन्स,অ্যাক্রোমেটিক লেন্স
आम्ल,অ্যাসিড
आम्ल पुरावा,অ্যাসিড প্রুফ
आंबटपणा,অম্লতা
पावती बिट,স্বীকৃতি বিট
ध्वनिक,অ্যাকোস্টিক
ध्वनिक संप्रेषण,অ্যাকোস্টিক যোগাযোগ
ध्वनिक प्रसार,অ্যাকোস্টিক প্রসারণ
ध्वनिक समतुल्य,অ্যাকোস্টিক ইকুয়ালাইজার
ध्वनिक अभिप्राय,অ্যাকোস্টিক প্রতিক্রিয়া
ध्वनिक फिल्टर,অ্যাকোস্টিক ফিল্টার
ध्वनिक प्रतिबाधा,শব্দের সংরোধ
ध्वनिक मास्किंग,অ্যাকোস্টিক মাস্কিং
ध्वनिक शक्ती,অ্যাকোস্টিক শক্তি
ध्वनिक मालमत्ता,অ্যাকোস্টিক সম্পত্তি
ध्वनिक प्रतिक्रिया,অ্যাকোস্টিক রিঅ্যাক্ট্যান্স
ध्वनिक प्रतिक्षेप,অ্যাকোস্টিক রিফ্লেক্স
ध्वनिक टाइल,অ্যাকোস্টিক টাইল
ध्वनिक लाट,অ্যাকোস্টিক তরঙ্গ
ध्वनिक शोषण,শাব্দিক শোষণ
ध्वनीविषयक क्षीणन स्थिर,শাব্দিক মনোযোগ ধ্রুবক
ध्वनिकी ओलसर,শাব্দিক স্যাঁতসেঁতে
ध्वनिक विलंब रेखा,শাব্দিক বিলম্ব লাইন
ध्वनिक विकृती,শাব্দিক বিকৃতি
ध्वनिक नलिका,শাব্দিক নালী
ध्वनिक ऊर्जा,শাব্দিক শক্তি
ध्वनिक अभिप्राय,শাব্দিক প্রতিক্রিয়া
ध्वनिक फिल्टर,শাব্দিক ফিল্টার
ध्वनीविषयक प्रतिबाधा,শাব্দিক প্রতিবন্ধকতা
ध्वनीविषयक प्रसार स्थिर,শাব্দিক প্রচার ধ্রুবক
ध्वनिक प्रतिकार,শাব্দিক প্রতিরোধের
ध्वनिकरित्या इन्सुलेटेड,শাব্দিকভাবে অন্তরক
ध्वनिकी,অ্যাকোস্টিকস
