Hindi,Punjabi
ए.सी. समतुल्य परिपथ,ਏ.ਸੀ ਬਰਾਬਰ ਸਰਕਟ
अनुरूप से अंकीय परिवर्तक,ਐਨਾਲਾਗ ਤੋਂ ਸੰਖਿਆਤਮਕ ਕਨਵਰਟਰ
परम शून्य,ਪੂਰਨ ਜ਼ੀਰੋ
अवशोषण गुणांक,ਸਮਾਈ ਗੁਣਾਂਕ
अवशोषण स्पेक्ट्रम,ਸਮਾਈ ਸਪੈਕਟ੍ਰਮ
ग्राही परमाणु,ਰੀਸੈਪਟਰ ਐਟਮ
प्रत्यावर्ती धारा युग्मन,ਬਦਲਵੀਂ ਮੌਜੂਦਾ ਜੋੜੀ
इलेक्ट्रॉन संचयन,ਇਲੈਕਟ੍ਰੋਨ ਵਾਢੀ
होल संचयन,ਮੋਰੀ ਸਟੋਰੇਜ਼
सक्रियण ऊर्जा,ਸਰਗਰਮੀ ਊਰਜਾ
सक्रिय प्रवर्धक,ਸਰਗਰਮ ਐਂਪਲੀਫਾਇਰ
सक्रिय डायोड परिपथ,ਸਰਗਰਮ diode ਸਰਕਟ
सक्रिय फिल्टर,ਸਰਗਰਮ ਫਿਲਟਰ
सक्रिय उच्च आवृत्ति पारक फिल्टर,ਐਕਟਿਵ ਹਾਈ ਫ੍ਰੀਕੁਐਂਸੀ ਪਾਰਕਵੇਟ ਫਿਲਟਰ
सक्रिय लोड,ਸਰਗਰਮ ਲੋਡ
सक्रिय निमन आवृत्ति पारक फिल्टर,ਕਿਰਿਆਸ਼ੀਲ ਘੱਟ ਬਾਰੰਬਾਰਤਾ ਪਾਰਸ ਫਿਲਟਰ
सक्रिय क्षेत्र,ਸਰਗਰਮ ਖੇਤਰ
अनुकूली इलेक्ट्रॉनिकी,ਅਨੁਕੂਲ ਇਲੈਕਟ੍ਰੋਨਿਕਸ
योजक,ਜੋੜਨ ਵਾਲਾ
समायोजी बैंड विस्तार,ਵਿਵਸਥਿਤ ਬੈਂਡ ਐਕਸਟੈਂਸ਼ਨ
प्रवेश्यता,ਪ੍ਰਵੇਸ਼
एरियल,ਏਰੀਅਲ
स्फूर्ति आवृत्ति,pep ਬਾਰੰਬਾਰਤਾ
वातानुकूलक,ੲੇ. ਸੀ
संरेखन,ਅਲਾਈਨਮੈਂਟ
आल्गोरिदम,ਐਲਗੋਰਿਦਮ
समस्त पारक फिल्टर,ਸਾਰੇ ਪਾਸ ਫਿਲਟਰ
मिश्रधातु संधि,ਮਿਸ਼ਰਤ ਜੰਕਸ਼ਨ
क्षीणन,ਧਿਆਨ
प्रत्यावर्ती धारा,ਬਦਲਵੇਂ ਮੌਜੂਦਾ
परिवेश ताप,ਅੰਬੀਨਟ ਤਾਪਮਾਨ
