Kannada,Malayalam
ಅಸಹಜ,വിലക്ഷണമായ
ಸ್ಥಗಿತಗೊಳಿಸು,ഉപേക്ഷിക്കുക
ಸವೆದುಹೋಗುವಿಕೆ,വധനം
ಹಠಾತ್ತಾಗಿ,ആകസ്മികമായ
ಸಂಪೂರ್ಣ ಕ್ಷೇತ್ರ ಶಕ್ತಿ,കേവല ഫീൽഡ് ശക്തി
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,കേവല താപനില
ಸಂಪೂರ್ಣ ಮೌಲ್ಯ,യഥാർത്ഥ മൂല്യം
ಹೀರಿಕೊಳ್ಳಿ,ഉള്ക്കൊള്ളുക
ಹೀರಿಕೊಳ್ಳುವ ಸಹ-ಸಮರ್ಥ,ആഗിരണം കോ-കാര്യക്ഷമമാണ്
ಹೀರಿಕೊಳ್ಳುವ ನಷ್ಟ,ആഗിരണം നഷ്ടം
ಅಮೂರ್ತ,വേര്പെട്ടുനില്ക്കുന്ന
ವೇಗವರ್ಧಕ ಮಾಪಕ,ആക്സിലറോമീറ്റർ
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,സ്വീകാര്യത പരിശോധന
ಪ್ರವೇಶ,പ്രവേശനം
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,പ്രവേശന നിയന്ത്രണം
ಪ್ರವೇಶ,പ്രവേശന പോയിന്റ്
ಪ್ರವೇಶ ಸಮಯ,ആക്സസ് സമയം
ಪ್ರವೇಶಿಸುವಿಕೆ,പ്രവേശനക്ഷമത
ಸಂಚಯಕ ಕೋಶ,സഞ്ചിത സെൽ
ನಿಖರತೆ,കൃതത
ನಿಖರವಾದ,സൂക്ഷ്മമായ
ವರ್ಣರಂಜಿತ ಮಸೂರದ,അച്രോമാറ്റിക് ലെൻസ്
ಆಮ್ಲ,പുളിപ്പുള്ള
ಆಮ್ಲ ಪುರಾವೆ,ആസിഡ് തെളിവ്
ಅಚ್ಚುಕಟ್ಟಾಗಿತ್ವ,അസിഡിറ്റി
ಸ್ವೀಕೃತ ಬಿಟ್,അംഗീകാര ബിറ്റ്
Acೇಳ್ಳರದ,അക്കോസ്റ്റിക്
ಅಕೌಸ್ಟಿಕ್ ಸಂವಹನ,അക്കോസ്റ്റിക് ആശയവിനിമയം
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ,അക്കോസ്റ്റിക് ഡിഫ്യൂഷൻ
ಅಕೌಸ್ಟಿಕ್ ಸಮೀಕರಣ,അക്കോസ്റ്റിക് ഇക്വൈസർ
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,അക്കോസ്റ്റിക് ഫീഡ്ബാക്ക്
ಕೊಳೆತ ಫಿಲ್ಟರ್,അക്ക ou സ്റ്റിക് ഫിൽട്ടർ
ಸಕಲಿಯ ಪ್ರತಿರೋಧ,അക്കോസ്റ്റിക് ഇംപാസ്
ಅಕೌಸ್ಟಿಕ್ ಮರೆಮಾಚುವ,അക്കോസ്റ്റിക് മാസ്കിംഗ്
ಅಕೌಸ್ಟಿಕ್ ಶಕ್ತಿ,അക്കോസ്റ്റിക് പവർ
ಅಕೌಸ್ಟಿಕ್ ಆಸ್ತಿ,അക്കോസ്റ്റിക് പ്രോപ്പർട്ടി
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,അക്കോട്ടിക് റിയാൻസ്
ಅಕೌಸ್ಟಿಕ್ ರಿಫ್ಲೆಕ್ಸ್,അക്ക ou സ്റ്റിക് റിഫ്ലെക്സ്
ಅಕೌಸ್ಟಿಕ್ ಟೈಲ್,അക്കോസ്റ്റിക് ടൈൽ
ಸ ೦ ವರ ತರಂಗ,അക്ക ou സ്റ്റിക് തരംഗം
ಅಕೌಸ್ಟಿಕ್ ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ശബ്ദ ആഗിരണം
ಅಕೌಸ್ಟಿಕ್ ಅಟೆನ್ಯೂಯೇಷನ್ ​​ಸ್ಥಿರ,അക്കോസ്റ്റിക്കൽ അറ്റൻയൂട്ടിന്റെ സ്ഥിരാങ്കം
ಕೊಳೆತ ಡ್ಯಾಂಪಿಂಗ್,അക്കോസ്റ്റിക്കൽ നനവ്
ಅಕೌಸ್ಟಿಕ್ ವಿಳಂಬ ರೇಖೆ,അക്കോസ്റ്റിക്കൽ കാലതാമസം
ಅಕೌಸ್ಟಿಕ್ ಅಸ್ಪಷ್ಟತೆ,അക്കോസ്റ്റിക്കൽ വക്രമാനം
ಅಕೌಟಿಕಲ್ ನಾಳ,അക്കോസ്റ്റിക്കൽ നാളം
ಅಕೌಟಿಕಲ್ ಶಕ್ತಿ,അക്കോസ്റ്റിക്കൽ എനർജി
ಅಕೌಸ್ಟಿಕ್ ಪ್ರತಿಕ್ರಿಯೆ,അക്കോസ്റ്റിക്കൽ ഫീഡ്ബാക്ക്
ಕೊಳೆತ ಫಿಲ್ಟರ್,അക്കോസ്റ്റിക്കൽ ഫിൽട്ടർ
ಕೊಳೆತ ಪ್ರತಿರೋಧ,അക്കോസ്റ്റിക്കൽ ഇംപെഡൻസ്
ಅಕೌಸ್ಟಿಕ್ ಪ್ರಸರಣ ಸ್ಥಿರ,അക്കോസ്റ്റിക്കൽ പ്രചരണം സ്ഥിരാങ്കം
ಅಕೌಟಿಕಲ್ ಪ್ರತಿರೋಧ,അക്കോസ്റ്റിക്കൽ റെസിസ്റ്റൻസ്
ಅಕೌಸ್ಟಿಕ್ ವಿಂಗಡಣೆಯ,ശബ്ദപരമായി ഇൻസുലേറ്റ്
ಸ್ರವಿಸುವ,അക്കോസ്റ്റിക്സ്
ಸ್ವಾಧೀನಪಡಿಸಿಕೊಳ್ಳುವುದು,കൈവശപ്പെടുത്തൽ
ಸಂಕ್ಷಿಪ್ತ ರೂಪ,സംക്ഷേപം
ಕಾರ್ಯ ಪ್ರದೇಶ,പ്രവർത്തന മേഖല
ಸಕ್ರಿಯ ತಂತು,സജീവമാക്കിയ ഫിലമെന്റ്
ಸಕ್ರಿಯ,സജീവമായ
ಸಕ್ರಿಯ ಪ್ರದೇಶ,സജീവ ഏരിയ
ಸಕ್ರಿಯ ಕಿಟಕಿ,സജീവ വിൻഡോ
ಹೊಂದಿಕೊಳ್ಳುವಿಕೆ,പൊരുത്തപ്പെടലി
