Kannada,Odiya
ಎ ಬಿ ವರ್ಗದ ಆಂಪ್ಲಿಫಯರ್,ଏକ ବି ଶ୍ରେଣୀ ଏମ୍ପ୍ଲିଫାୟର୍ |
ವಿಪಥನ,ଘୃଣ୍ୟତା |
ಅಸಹಜ ಪ್ರಸರಣ,ଅସ୍ୱାଭାବିକ ସଂକ୍ରମଣ
"ಜೋಡಿಸದ, ಸಾಮಾನ್ಯವಾಗಿ, ಹೊಂಡ, ಕತ್ತರಿಸಿದ, ಮುರಿತ","ସଂଲଗ୍ନ ହୋଇନଥିବା, ସାଧାରଣତ, ପିଟ୍, ଆମ୍ପ୍ୟୁଟେଡ୍, ଭଙ୍ଗା |"
ಸ್ಪೆಕ್ಟ್ರಮ್ ಕಾಣೆಯಾಗಿದೆ,ସ୍ପେକ୍ଟ୍ରମ୍ ଅନୁପସ୍ଥିତ |
"ಸಂಪೂರ್ಣ, ಸಂಪೂರ್ಣ, ನಿರಂತರ, ಪರಿಪೂರ್ಣ","ସଂପୂର୍ଣ୍ଣ, ସଂପୂର୍ଣ୍ଣ, ସ୍ଥିର, ସିଦ୍ଧ |"
ಸಂಪೂರ್ಣ ಆರ್ದ್ರತೆ,ସଂପୂର୍ଣ୍ଣ ଆର୍ଦ୍ରତା |
ಸಂಪೂರ್ಣ ವೇಗ,ସଂପୂର୍ଣ୍ଣ ଗତି
ಸಂಪೂರ್ಣ ವೀಕ್ಷಣೆ,ସଂପୂର୍ଣ୍ଣ ନିରୀକ୍ଷଣ |
ಸಂಪೂರ್ಣ ತಾಪಮಾನ,ସଂପୂର୍ଣ୍ଣ ତାପମାତ୍ରା |
ಸಂಪೂರ್ಣ ಶೂನ್ಯ,ସଂପୂର୍ଣ୍ଣ ଶୂନ
ಹೀರಿಕೊಳ್ಳುತ್ತವೆ,ଶୋଷଣ
"ಹೀರಿಕೊಳ್ಳುವ, ಹೀರಿಕೊಳ್ಳುವ","ଶୋଷକ, ଶୋଷକ"
ಹೀರಿಕೊಳ್ಳುವ ಸಾಮರ್ಥ್ಯ,ଅବଶୋଷଣ କ୍ଷମତା |
ಹೀರಿಕೊಳ್ಳುವಿಕೆ,ଅବସାଦ |
ಹೀರಿಕೊಳ್ಳುವ,ଶୋଷକ
