Gujarati,Punjabi
વેસ્ટમિન્સ્ટરના એબી,ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ
ત્યાગી,ਨਿਮਰਤਾ
ગુલામી નાબૂદી,ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ
એબોરિજિનલ,ਆਦਿਵਾਸੀ
અબ્રાહમ યુગ,ਅਬਰਾਹਮ ਯੁੱਗ
ગેરહાજર મકાનમાલિકો,ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ
એકેડમી,ਅਕੈਡਮੀ
અકરા કોન્ફરન્સ,ਅਕਰਾ ਕਾਨਫਰੰਸ
સંસાધનો,ਪ੍ਰਾਪਤੀ
સંવર્ધન,ਐਕਲਚਰੇਸ਼ਨ
એસેલડામા,ਐਸੇਲਡਾਮਾ
અચેઅન (=અચિયન),ਅਚੀਅਨ (=ਅਚੀਅਨ)
આચિયન લીગ (=એચિયન લીગ),ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ)
એક્રોપોલિસ,ਐਕ੍ਰੋਪੋਲਿਸ
એક્ટા દીર્ના,ਐਕਟਾ ਦਿਉਰਨਾ
એક્ટા સેનાટસ,ਐਕਟਾ ਸੇਨੇਟਸ
એક્ટ એડિશનલ,ਐਕਟ ਐਡੀਸ਼ਨਲ
સક્રિય રેકોર્ડ (=વર્તમાન રેકોર્ડ),ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ)
પ્રાપ્ત કરનારનું કાર્ય,ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ
ક્ષતિપૂર્તિ અને વિસ્મૃતિનું કાર્ય,ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ
સમાધાનનો અધિનિયમ,ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ
જાહેરાત કરાર સીલ,ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ
અદુલ્લામાઈટસ,ਅਦੁਲਾਮਾਈਟਸ
વિરોધી,ਵਿਰੋਧੀ
વિરોધી,ਵਿਰੋਧੀ
એઓન,ਏਯੋਨ
એરેરિયમ,ਏਰੈਰੀਅਮ
હવાઈ યુદ્ધ,ਹਵਾਈ ਜੰਗ
એટોલિયન લીગ,ਏਟੋਲੀਅਨ ਲੀਗ
ઉંમર,ਉਮਰ
વૃદ્ધત્વ (=વૃદ્ધત્વ),ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ)
વૃદ્ધત્વ પ્રક્રિયા,ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ
અગેલાઈ,ਅਗੇਲੈ
શૌર્યની ઉંમર,ਬਹਾਦਰੀ ਦੀ ਉਮਰ
જ્ઞાનની ઉંમર,ਗਿਆਨ ਦੀ ਉਮਰ
પેરિકલ્સની ઉંમર,ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ
કારણની ઉંમર,ਕਾਰਨ ਦੀ ਉਮਰ
કૃષિવાદ,ਖੇਤੀਵਾਦ
કૃષિ આંદોલન,ਖੇਤੀ ਅੰਦੋਲਨ
એલ્બિયન,ਐਲਬੀਅਨ
આલ્બમ,ਐਲਬਮ
એલ્ડરમેન,ਐਲਡਰਮੈਨ
મોહક શસ્ત્રો,ਲੁਭਾਉਣੇ ਹਥਿਆਰ
સૌમ્યતા,ਦੋਸਤੀ
એમ્ફિક્ટિઓનિક કાઉન્સિલ,Amphictyonic ਕੌਂਸਲ
એમ્ફિક્ટિઓનિક લીગ,ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ
એમ્ફીથિયેટર,ਅਖਾੜਾ
