Malayalam,Hindi
ആമ്പിയർ (യൂണിറ്റ്),ऐम्पियर (मात्रक)
ആംഗ്സ്ട്രം,ऐंगस्ट्रम
എ-ക്ലാസ് ആംപ്ലിഫയർ,ए-वर्ग प्रवर्धक
എഎൻ റേഡിയോ സഹായ്,ए.एन रेडियो सहाय
a-സ്കാനിംഗ് അവതരണം,ए-क्रमवीक्षण प्रस्तुति
ഒരു-ദർശ്,ए-दर्श
എ-സ്കോപ്പ് പ്രകടനം,ए-स्कोप प्रदर्शन
എ-ടി വളഞ്ഞ ക്രിസ്റ്റൽ,ए-टी कर्तित क्रिस्टल
"എസി-ഡിസി ആനുകൂല്യങ്ങൾ, എ. സി.ഡി. സി.ലാബി, എ. സി.ഡി. c. ആംപ്ലിഫിക്കേഷൻ","ए.सी-डी.सी. लाभ, ए. सी-डी. सी लब्धि, ए. सी-डी. सी. प्रवर्धन"
രാവിലെ,पूर्वाह्न
എഎംയു (ആറ്റോമിക് മാസ് യൂണിറ്റ്),ए.एम.यू. (परमाणु संहति मात्रक)
aard-vark*,आर्ड-वार्क*
എബി-ആമ്പിയർ,ऐब-ऐम्पियर
എ-ബി ക്ലാസ് ആംപ്ലിഫയർ,ए-बी वर्ग प्रवर्धक
അദാ,आदितः
എ-ബി ശക്തി പിടക,ए-बी शक्ति पिटक
abc = വിന്യാസ ചാർട്ട് = നോമോഗ്രാഫ്,एबीएसी =एलाइनमेंट चार्ट=नोमोग्राफ़
അബെ നമ്പർ (അബെ സ്ഥിരാങ്കം),ऐबे संख्या (ऐबे नियतांक)
അബെ റിഫ്രാക്റ്റോമീറ്റർ,ऐबे अपवर्तनमापी
അബെ സൈൻ സംസ്ഥാനം,ऐबे ज्या अवस्था
ഓട്ടോമാറ്റിക് ബയസ് നഷ്ടപരിഹാരം,स्वचालित बायस प्रतिकार
abcoulom,ऐबकूलॉम
"അപഭ്രംശം, അപഭ്രംശം","विपथन, अपेरण"
വ്യതിയാനം തിരുത്തുന്ന ലെൻസ്,विपथन संशोधक लेन्स
ആകാശ വ്യതിയാനം,आकाश-विपथन
abfarad,एबफैराड
എബൻറി,एबहेनरी
എബോണി പ്രഭാവം,ऐबनी प्रभाव (ऐबनी नियम)
അസാധാരണ ധ്രുവീകരണം,अपसामान्य ध्रुवण
അസാധാരണമായ സംക്രമണം,अपसामान्य संचरण
അസാധാരണമായ പ്രതിഫലനം,अपसामान्य परावर्तन
അസാധാരണ അപവർത്തനം*,अपसामान्य अपवर्तन*
അസാധാരണമായ പ്രതിരോധം,अपसामान्य प्रतिरोध
ab-om,ऐब-ओम
"മുൻതൂക്കം, പരാജയം","पूर्वपात, विफलन"
"ഘടിപ്പിച്ച, സാധാരണയായി, നിൽക്കുന്ന, വിച്ഛേദിക്കപ്പെട്ട, വിഘടിച്ച","असंलग्न, सहसा, खड़ा, विच्छिन्न, खंडित"
പലപ്പോഴും ചാടുന്നു,सहसा जंप
കൈ*,भुज*
പ്രതിഫലനം നഷ്ടപ്പെട്ടു,लुप्त परावर्तन
സ്പെക്ട്രം കാണുന്നില്ല,लुप्त स्पैक्ट्रम
"കേവല, കേവല, സ്ഥിരം, തികഞ്ഞ","निरपेक्ष, परम, अचर, परिशुद्ध"
സമ്പൂർണ്ണ ത്വരണം,निरपेक्ष त्वरण
കേവല യാഥാർത്ഥ്യം,निरपेक्ष यथार्थता
സമ്പൂർണ്ണ വിലാസം,निरपेक्ष पता
