Telugu,Punjabi
గర్భస్రావం చేసిన అవయవం,ਅਧੂਰਾ ਹਿੱਸਾ ਅਧੂਰਾ ਛੱਡ ਦਿੱਤਾ
గర్భస్రావం చేసిన విత్తనం,ਅਧੂਰਾ
గర్భస్రావం,ਗਰਭਪਾਤ
సంపూర్ణ కలుపు,ਸੰਪੂਰਨ ਬੂਟੀ
గ్రహించిన కేషన్,ਸਮਾਈ
శోషణ,ਸਮਾਈ
అబిస్సినియన్ ఆవాలు,ਅਬੀਸਨੀਅਨ ਰਾਈ
అకారిసైడ్,ਅਚੰਭੇ
యాక్సెంట్రిక్,ਰਾਜਕੁਮਾਰੀ
ఉచ్ఛారణ (సెల్),ਲਹਿਜ਼ਾ (ਸੈੱਲ)
అంగీకరించబడిన సహనం,ਸਹਿਣਸ਼ੀਲਤਾ ਸਵੀਕਾਰ ਕੀਤੀ
అనుబంధ,ਸਹਾਇਕ
అలవాటు,ਅਨੁਕੂਲਤਾ
చేరడం,ਇਕੱਠਾ
ఖచ్చితత్వం,ਸ਼ੁੱਧਤਾ
అసర్వులస్,ਏਸਰਵੂਲਸ
ఎసిటిఫికేషన్,ਐਸੀਟਿਫਿਕੇਸ਼ਨ
ఆమ్లీకరణ,ਐਸਿਡਿਫਿਕੇਸ਼ਨ
అసిడిమీటర్,ਐਸਿਡਮੀਟਰ
ఆమ్లత్వం,ਐਸਿਡਿਟੀ
అసిడోఫిలిక్,ਐਸਿਡੋਫਿਲਿਕ
ఆమ్లీకృత రాక్ ఫాస్ఫేట్,ਤੇਜ਼ਾਬ ਵਾਲੀ ਰਾਜ਼ ਫਾਸਫੇਟ
యాసిడ్యూరిక్,ਐਸਿਡੁਰਿਕ
జలాశయం,ਐਕੁਇਫਰ
సముపార్జన,ਗ੍ਰਹਿਣ
ఎకరాలు,ਏਕੜ
ఎకరాల,ਰਕਬੇ
అక్రోసెంట్రిక్ క్రోమోజోమ్,ਐਕਰੋਸੀਐਸਟ੍ਰਿਕ ਕ੍ਰੋਮੋਸੋਮ
అక్రోపెటల్,ਐਕਰੋਪੇਟਲ
అక్రోసోమ్,ਐਸ਼੍ਰੋਸੋਮ
ఆక్టినోమైసెట్స్,ਐਕਟਿਨੋਮਾਈਸਾਈਟਸ
యాక్టివ్ రూట్ జోన్,ਐਕਟਿਵ ਰੂਟ ਜ਼ੋਨ
తీవ్రమైన,ਗੰਭੀਰ
అనుకూలత,ਅਨੁਕੂਲਤਾ
అనుసరణ,ਅਨੁਕੂਲਤਾ
సంశ్లేషణ,ਚਿਪਕਿਆ
కొవ్వు,ADPIPOSE
సర్దుబాటు సమీకరణం,ਵਿਵਸਥ ਸਮੀਕਰਨ
అడోబ్ నేల,ਅਡੋਬ ਮਿੱਟੀ
కల్తీ,ਮਨਜ਼ੂਰ
సాహసోపేతమైనది,ਸਾਹਸੀ
Aecidiospore,ਏਸੀਡਿਓਸਪੋਰ
అయోలియన్ ప్రక్రియ,ਏਓਲੀਅਨ ਪ੍ਰਕਿਰਿਆ
అయోలియన్,ਏਓਲੀਅਨ
ఎఫరేట్,Aeate
ఆకాశయాన,ਏਰੀਅਲ
ఏరోమీటర్,ਐਰੋਮੀਟਰ
ఏరోసోల్,ਐਰੋਸੋਲ
ఎస్టివేషన్,ਖਰਾਸ਼
పశ్చాత్తాప విజ్ఞానము,ਏਟੀਓਲੋਜੀ (ਐਟਾਇਜੀੋਲੋਜੀ)
అటవీ నిర్మూలన,ਕਥਾ
ఆందోళన,ਅੰਦੋਲਨ
అగ్మార్క్,ਆਕਮਾਰਕ
వ్యవసాయం,ਅਗਰਾਰੀਅਨ
వ్యవసాయ క్లినిక్,ਖੇਤੀਬਾੜੀ ਕਲੀਨਿਕ
వ్యవసాయ శ్రమ,ਖੇਤੀਬਾੜੀ ਕਿਰਤ
వ్యవసాయ మార్కెటింగ్,ਖੇਤੀਬਾੜੀ ਮਾਰਕੀਟਿੰਗ
వ్యవసాయ సాంకేతిక పరిజ్ఞానం,ਖੇਤੀਬਾੜੀ ਤਕਨਾਲੋਜੀ
వ్యవసాయం,ਖੇਤੀ ਬਾੜੀ
అగ్రిసిల్వికల్చర్,ਐਗਰੀਸਿਲਵੀਕਲਚਰ
అగ్రోబియోడివైవర్సిటీ,ਖੇਰਤ
అగ్రోబయోలాజికల్ లోపాలు,ਖੇਤੀਬਾਜੀਕਲ ਨੁਕਸ
అగ్రోబయాలజీ,ਅਗਾਹੀਵੋਲੋਜੀ
అగ్రోక్లిమాటిక్ వైవిధ్యం,ਐਗ੍ਰੋਕਲਮੈਟਿਕ ਵਿਭਿੰਨਤਾ
అగ్రోక్లిమాటిక్ జోనింగ్,ਅਗਰੋਕਲਮੈਟਿਕ ਜ਼ੋਨਿੰਗ
అగ్రోఫారెస్ట్రీ,ਐਗਰੋਫੋਰੈਸਟਰੀ
వ్యవసాయ శాస్త్రం,ਖੇਤੀਬਾਜੀ
వ్యవసాయ శాస్త్రం,ਖੇਤੀਬਾੜੀ
అగ్రోపాస్టోరల్,ਐਗ੍ਰੋਪਾਸਟਰਲ
అగ్రోప్రాసెసింగ్,ਸ਼ਿਕਾਰ
అగ్రోస్టాలజీ,ਐਗਰੋਸਟੋਲੋਜੀ
అగ్రోటైప్,ਐਗਰੋਟਾਈਪ
ఎయిర్ ప్లాంట్,ਏਅਰ ਪੌਦਾ
అకియోచి నేల,ਅਕੀਓਚੀ ਮਿੱਟੀ
అల్బినిజం,ਅਲਮੀਨੀਜ਼ਮ
ఆల్ఫిసోల్స్,ਐਲਫਿਸੋਲਸ
ఆల్గే,ਐਲਗੀ
ఆల్గల్ వ్యాధి,ਐਲਗਲ ਰੋਗ
క్షార నీరు,ਅਲਕਾਲੀ ਪਾਣੀ
ఆల్కలీన్,ਐਲਕਲੀਨ
యుగ్మ వికల్పం,ਐਲੀਲੇ
అల్లెలోకెమికల్స్,ਐਲਲੋਕਲਿਕਸ
అల్లెలోమోర్ఫ్,ਅਲੇਲੋਮੋਰਫ
అల్లెలోపతి,ਅਲੇਲੋਪੈਥੀ
అల్లే క్రాపింగ్,ਐਲੀ ਫਸਲ
కేటాయింపు,ਅਲੋਕਰੇਪੀ
అయోగాగమి,ਆਲੋਗਮ
అలోమెట్రీ,ਐਲੋਮੈਟਰੀ
అల్లోపాలిప్లోయిడ్,ਐਲੋਪੋਲਾਈਵਲਾਈਡ
(అలోసిన్సిస్ఐలు,ਐਲੋਸਮੈਨੈਪਸਿਸ (ਐਲੋਸਿਨੈਂਡਸਿਸ)
ప్రత్యామ్నాయ బేరింగ్,ਵਿਕਲਪਿਕ ਬੇਅਰਿੰਗ
ప్రత్యామ్నాయ భూ వినియోగం,ਵਿਕਲਪੀ ਜ਼ਮੀਨ ਦੀ ਵਰਤੋਂ
పరిసర,ਅੰਬੀਨਟ
అమేలియోరెంట్,ਅਮਜੀਗਤ
అమిటోసిస్,ਅਮਿਤੋਸਿਸ
అమినైజేషన్,ਅਮਿਨਾਜਾਈਜ਼
అమ్మోనిఫికేషన్,ਅਨੁਮੋਧ
అమ్మోనిఫైయర్,ਅਮੋਨੀਫਾਇਰ
AMORFH,ਅਮੋਰਫ
యాంఫిమిక్సిస్,ਐਮਫੀਮਿਕਸਿਸ
యాంఫోటెరిక్,ਐਮਫੋਟੇਰਿਕ
అనాబాలిజం,ਐਨਾਬੋਲਿਜ਼ਮ
Anaerobe,ਅਨੀਰੋਬ
అనూప్లోయిడ్,ਅਨੀਉਟਲੋਇਡ
యాంగిల్ నాటడం,ਕੋਣ ਲਾਉਣਾ
పశుసంరక్షణ,ਪਸ਼ੂ ਪਾਲਣ
జంతు తిరస్కరణ,ਪਸ਼ੂਆਂ ਤੋਂ ਇਨਕਾਰ ਕਰੋ
శక్తిని యానిమేట్ చేయండి,Energy ਰਜਾ ਐਨੀਮੇਟ ਕਰੋ
అనిసోప్లాయిడ్,ਅਨੀਸੋਪਲੋਇਡ
వార్షిక ప్లాంట్,ਸਾਲਾਨਾ ਪੌਦਾ
వార్షిక,ਸਾਲਾਨਾ
సంశ్లేషణ,ਐਥੇਸਮਿਸ
ఆంత్రాక్స్,ਐਂਥ੍ਰੈਕਸ
మానవ కారకం,ਐਂਥ੍ਰੋਪੋਜਾਈਜਿਕ ਫੈਕਟਰ
యాంటీబయోసిస్,ਐਂਟੀਬਾਇਸਿਸ
యాంటీబయాటిక్,ਐਂਟੀਬਾਇਓਟਿਕ
విరుగుడు,ਐਂਟੀਡੋਟਾ
యాంటీఆక్సిడెంట్లు,ਐਂਟੀਆਕਸੀਡੈਂਟਸ
యాంటిటాక్సిన్,Antitoxin
యాన్యులస్,ਐਨਾਬੁਲਸ
అఫిడ్,Aphid
ఎపికల్ బడ్,Apical ਮੁਕੁਲ
ఎపికల్ ఆధిపత్యం,ਏਪਿਕਲ ਦਬਦਬਾ
పుష్పగుచ్ఛము,Apsiculturuet (ਮਧੂ ਮੱਖੀ ਰੱਖਣ)
అపోమిక్సిస్,ਅਪੋਮਿਕਸ
అపోప్టోసిస్,ਅਪੋਪੋਟੋਸਿਸ
అనుబంధం,ਅੰਤਿਕਾ
ఆకలి,ਭੁੱਖ
అనువర్తిత,ਲਾਗੂ ਕੀਤਾ
జల కలుపు,ਐਕੁਆਟਿਕ ਬੂਟੀ
అర్బోరియల్,ਅਰਬੋਰੀਅਲ
అర్బరైజేషన్,ਅਰਬਰਾਈਜ਼ੇਸ਼ਨ
ఆర్కియో-బొటానికల్ రికార్డులు,ਏ ਆਰਚਿਓ-ਬੋਟੈਨੀਕਲ ਰਿਕਾਰਡ
ప్రాంత గణాంకాలు,ਖੇਤਰ ਦੇ ਅੰਕੜੇ
ప్రాంతం,ਖੇਤਰ
శుష్క పర్యావరణ వ్యవస్థ,ਐੱਫ.ਡੀ.ਆਈ.
అరిల్,ਅਰਿਲ
వాసన,ਖੁਸ਼ਬੂ
సుగంధ మొక్క,ਖੁਸ਼ਬੂਦਾਰ ਪੌਦਾ
సుగంధ బియ్యం,ਖੁਸ਼ਬੂਦਾਰ ਚਾਵਲ
బాంజింగ్,ਐਰੋਇੰਗ
అసేప్సిస్,Espesisis
అసెప్టిక్,Sseptic
అలైంగిక ప్రచారం,ਅਸਪਸ਼ਟ ਪ੍ਰਸਾਰ
పరీక్ష,ਅਨੀ
ఆస్తులు,ਸੰਪਤੀ
సమీకరణ,ਸਹਿਯੋਗ
అసోసియేషన్,ਐਸੋਸੀਏਸ਼ਨ
రక్తస్రావం,ਤੂਫਾਨੀ
అసినప్సిస్,ਅਸਟੀਪਿਸਿਸ
అటావిజం,ਅਟਵੀਵਾਦ
అటామైజర్,ਐਟੋਮਾਈਜ਼ਰ
క్షీణత,ਸ਼ੋਸ਼ਣ
ఆటోగామి,ਆਟੋਗ੍ਰਾਮ
ఆటోలిసిస్,ਆਟੋਲਿਸਸਿਸ
ఆటోక్సీడేషన్,ਆਟੋਮਿਡੇਸ਼ਨ
ఆటోపోలిప్లోయిడ్,ਆਟੋਪਲਿਪਲਾਈਡ
ఆక్సిన్లు,Auxins
దంపతులు,ਅੱਲ (ਬ੍ਰਿਸਟਲ)
బాదం,ਬਦਾਮ
కలబంద,ਐਲੋ
అమరాంథస్,ਅਮੈਸ਼ਨਥਸ
Ammi,ਅਮਮੀ
అంజన్ గడ్డి,ਅੰਜਨ ਘਾਹ
ఆంథూరియం,ਐਂਥਿਰੀਅਮ
"అయోన్లా, ఇండియన్ గూస్బెర్రీ","ਅੋਂਲਾ, ਇੰਡੀਅਨ ਕਰੌਦਾ"
ఆపిల్,ਸੇਬ
నేరేడు పండు,ਖੜਮਾਨੀ
అర్బియన్ జాస్మిన్,ਅਰਬੀਅਨ ਜੈਸਮੀਨ
అరేకా గింజ,ਅਰੇਕਾ ਗਿਰੀਦਾਰ
అర్జున్,ਅਰਜੁਨ
అస్ఫోటిడా,ਓਡੋਏਟਿਡਾ
యాష్ పొట్లకాయ,ਸੁਆਹ
అశోక చెట్టు,ਅਸ਼ੋਕ ਦਾ ਰੁੱਖ
కవచము కలుపు,ਅਸ਼ਥਮਾ ਬੂਟੀ (ਯੂਫੋਰਬੀਆ)
ఆస్పరాగస్,ਐਸਪੈਰਾਗਸ
అవోకాడో,ਆਵਾਕੈਡੋ
అంతా అల్నాఫ్న్నే,ਅਲਫਾਲਫਾ (LUSEREN)
చీమలు,ਕੀੜੀਆਂ
అఫిడ్స్,ਐਫੀਡਜ਼
ఆర్మీ పురుగు,ਆਰਮੀ ਕੀੜੀ
వ్యవసాయ ఆర్థికవేత్త,ਖੇਤੀਬਾੜੀ ਅਰਥਵਾਦੀ
వ్యవసాయ పొడిగింపు,ਖੇਤੀਬਾੜੀ ਵਿਸਤ੍ਰਿਤ
వ్యవసాయ శాస్త్రవేత్త,ਖੇਤੀਬਾੜੀ ਵਿਗਿਆਨੀ
వ్యవసాయ ఇంజనీర్,ਖੇਤੀਬਾੜੀ ਇੰਜੀਨੀਅਰ
అగ్రోబయాలజిస్ట్,ਅਗਾਹੀਵੌਇਲੋਜਿਸਟ
వ్యవసాయ శాస్త్రవేత్త,ਖੇਤੀਬਾਮੀ
అగ్రోఫిసిక్,ਅਸ਼ੋਲੀ
జంతువుల పెంపకందారుడు,ਜਾਨਵਰ ਬ੍ਰੀਡਰ
బాసిల్లస్ వైరస్,ਬੇਸਿਲਸ ਵਾਇਰਸ
బాసిల్లస్,ਬੈਸੀਲਸ
బాక్టీరియా,ਬੈਕਟੀਰੀਆ
బాక్టీరియోటాక్సిన్,ਬੈਕਟੀਰੋਅਟੌਕਸਿਨ
బాగస్సే,ਬੈਗਸ
బ్యాలెన్స్ షీట్,ਸੰਤੁਲਨ ਸ਼ੀਟ
సమతుల్య ఫలదీకరణం,ਸੰਤੁਲਿਤ ਖਾਦ
బార్ రేఖాచిత్రం,ਬਾਰ ਡਾਇਗਰਾਮ
బెరడు,ਸੱਕ
బేరోమీటర్,ਬੈਰੋਮੀਟਰ
బంజరు,ਬੰਜਰ
బేస్,ਅਧਾਰ
బేసిన్,ਬੇਸਿਨ
బాసిపెటల్,ਬਾਸਿਪਟਲ
బేసిథెర్నమ్,ਬਾਸੈਸਟਰਨੀਮ
బే రుతుపవనాలు,ਬੇ ਮਾਨਸੂਨ
బేరింగ్ ప్లాంట్,ਬੇਅਰਿੰਗ ਪੌਦਾ
మం చం,ਬਿਸਤਰੇ
బెడర్,ਬੇਡਰ
పరుపు,ਬਿਸਤਰੇ
దుంప మొలాసిస్,ਬੀਟ ਗੁੜ
బెలోస్,ਝੁਕੋ
బెల్ట్,ਬੈਲਟ
బెనిఫిట్-కాస్ట్ అనాలిసిస్,ਲਾਭ-ਲਾਗਤ ਵਿਸ਼ਲੇਸ਼ਣ
పక్షపాతం,ਪੱਖਪਾਤੀ (ਸੈਂਲਿੰਗ)
ద్వైవార్షిక,ਬਨੀਅਲ
ద్విపద,ਬਿਨੀਮਾਇਲ
బయోజెంట్,ਬਾਇਓਜੈਂਟ
బయోక్లైమేట్,ਬਾਇਓਸੈਲਮੇਟ
