Punjabi,Odiya
ਵੈਸਟਮਿੰਸਟਰ ਦੇ ਅਬੇ,ୱେଷ୍ଟମିନିଷ୍ଟରର ଆବି |
ਨਿਮਰਤਾ,ଅବକ୍ଷୟ
ਗੁਲਾਮੀ ਦਾ ਖਾਤਮਾ,ଦାସତ୍ୱ ରଦ୍ଦ
ਆਦਿਵਾਸੀ,ଆଦିବାସୀ
ਅਬਰਾਹਮ ਯੁੱਗ,ଅବ୍ରହାମ ଏରା
ਗੈਰਹਾਜ਼ਰ ਮਕਾਨ ਮਾਲਕ,ଅନୁପସ୍ଥିତ ଜମିଦାରମାନେ |
ਅਕੈਡਮੀ,ଏକାଡେମୀ |
ਅਕਰਾ ਕਾਨਫਰੰਸ,ଆକ୍ରା ସମ୍ମିଳନୀ |
ਪ੍ਰਾਪਤੀ,ଆକ୍ରୁଏଲ୍ |
ਐਕਲਚਰੇਸ਼ਨ,ଆକଲଚ୍ୟୁଚର୍
ਐਸੇਲਡਾਮਾ,ଆକେଲଡାମା |
ਅਚੀਅਨ (=ਅਚੀਅਨ),ଆଖିଆନ୍ (= ଆଚିଆନ୍)
ਅਚੀਅਨ ਲੀਗ (=ਅਚੀਅਨ ਲੀਗ),ଆଚିଆନ୍ ଲିଗ୍ (= ଆଚିଆନ୍ ଲିଗ୍)
ਐਕ੍ਰੋਪੋਲਿਸ,ଆକ୍ରୋପଲିସ୍ |
ਐਕਟਾ ਦਿਉਰਨਾ,ଆକ୍ଟା ଡିଆର୍ନା |
ਐਕਟਾ ਸੇਨੇਟਸ,ଆକ୍ଟା ସେନାଟସ୍ |
ਐਕਟ ਐਡੀਸ਼ਨਲ,ଆକ୍ଟ ଆଡେଲ୍ |
ਕਿਰਿਆਸ਼ੀਲ ਰਿਕਾਰਡ (=ਮੌਜੂਦਾ ਰਿਕਾਰਡ),ସକ୍ରିୟ ରେକର୍ଡ (= ସାମ୍ପ୍ରତିକ ରେକର୍ଡ)
ਪ੍ਰਾਪਤ ਕਰਨ ਵਾਲੇ ਦਾ ਕੰਮ,ଆଟେଣ୍ଡର୍ ଆକ୍ଟ |
ਮੁਆਵਜ਼ੇ ਅਤੇ ਭੁੱਲ ਦਾ ਕੰਮ,କ୍ଷତିପୂରଣ ଏବଂ ବିସ୍ମୟର ନିୟମ |
ਸੈਟਲਮੈਂਟ ਦਾ ਐਕਟ,ସମାଧାନ ନିୟମ
ਵਿਗਿਆਪਨ ਇਕਰਾਰਨਾਮੇ ਦੀ ਮੋਹਰ,ବିଜ୍ଞାପନ ଚୁକ୍ତି ସିଲ୍ |
ਅਦੁਲਾਮਾਈਟਸ,ଆଡୁଲାମାଇଟ୍ସ |
ਵਿਰੋਧੀ,ଶତ୍ରୁ
ਵਿਰੋਧੀ,ଶତ୍ରୁ
ਏਯੋਨ,ଆଓନ୍
ਏਰੈਰੀਅਮ,ଏରାରିୟମ୍ |
ਹਵਾਈ ਜੰਗ,ବାୟୁ ଯୁଦ୍ଧ |
ਏਟੋਲੀਅਨ ਲੀਗ,ଆଟୋଲିଆନ୍ ଲିଗ୍ |
ਉਮਰ,ବୟସ
ਬੁਢਾਪਾ (=ਬੁਢਾਪਾ),ବାର୍ଦ୍ଧକ୍ୟ (= ବାର୍ଦ୍ଧକ୍ୟ)
ਬੁਢਾਪੇ ਦੀ ਪ੍ਰਕਿਰਿਆ,ବାର୍ଦ୍ଧକ୍ୟ ପ୍ରକ୍ରିୟା |
ਅਗੇਲੈ,ଆଗେଲାଇ |
ਬਹਾਦਰੀ ਦੀ ਉਮਰ,Ival ିଭାଲିର ବୟସ |
ਗਿਆਨ ਦੀ ਉਮਰ,ଜ୍ଞାନର ବୟସ |
ਪੇਰੀਕਲਸ ਦੀ ਉਮਰ,ପେରିକଲ୍ସର ବୟସ |
ਕਾਰਨ ਦੀ ਉਮਰ,କାରଣର ବୟସ |
ਖੇਤੀਵਾਦ,କୃଷିବାଦ
ਖੇਤੀ ਅੰਦੋਲਨ,କୃଷି ଆନ୍ଦୋଳନ |
ਐਲਬੀਅਨ,ଆଲବିଅନ୍ |
ਐਲਬਮ,ଆଲବମ୍
ਐਲਡਰਮੈਨ,ଆଲଡରମ୍ୟାନ୍ |
ਲੁਭਾਉਣੇ ਹਥਿਆਰ,ଭ୍ରାନ୍ତ ବାହୁ |
ਦੋਸਤੀ,ବନ୍ଧୁତା
Amphictyonic ਕੌਂਸਲ,ଆମ୍ଫିକ୍ଟୋନିକ୍ ପରିଷଦ |
ਐਮਫਿਕਟੋਨਿਕ ਲੀਗ,ଆମ୍ଫିକ୍ଟୋନିକ୍ ଲିଗ୍ |
ਅਖਾੜਾ,ଆମ୍ଫିଥେଟର
ਅਮਰੀ ਨਲ ਸਮੂਹ (ਮਿੱਟੀ ਦੇ ਭਾਂਡਿਆਂ ਦਾ),ଅମ୍ରି ନାଲ୍ ଗୋଷ୍ଠୀ (କୁମ୍ଭାରର)
ਐਨਾਕ੍ਰੋਨਿਜ਼ਮ,ଆନାକ୍ରୋନିଜିମ୍ |
ਐਨਾਕ੍ਰੋਨਿਸਟਿਕ,ଆନାକ୍ରୋନିଷ୍ଟିକ୍ |
ਪੂਰਵਜ,ପୂର୍ବପୁରୁଷ
ਪੂਰਵਜ ਦੀ ਪੂਜਾ,ପୂର୍ବପୁରୁଷ ପୂଜା |
ਵੰਸ਼,ପିତୃପୁରୁଷ
ਵੰਸ਼,ପିତୃପୁରୁଷ
ਵੰਸ਼,ପିତୃପୁରୁଷ
ਵੰਸ਼,ପିତୃପୁରୁଷ
ਪ੍ਰਾਚੀਨ ਸ਼ਾਸਨ,ପ୍ରାଚୀନ ଶାସନ
ਪ੍ਰਾਚੀਨ,ପ୍ରାଚୀନ
ਪ੍ਰਾਚੀਨ ਗੀਤ,ପ୍ରାଚୀନ ବାଲାଡ୍ |
ਪ੍ਰਾਚੀਨ ਵਿਸ਼ਵਾਸ,ପ୍ରାଚୀନ ବିଶ୍ୱାସ
ਪ੍ਰਾਚੀਨ ਰਿਵਾਜ,ପ୍ରାଚୀନ ପ୍ରଥା
ਪ੍ਰਾਚੀਨ ਇਤਿਹਾਸ,ପ୍ରାଚୀନ ଇତିହାସ
ਪ੍ਰਾਚੀਨ ਸਮਾਰਕ,ପ୍ରାଚୀନ ସ୍ମାରକୀ
ਕਿੱਸਾ,ଉପନ୍ୟାସ
ਐਂਜਲੋਟ,ଆଞ୍ଜେଲଟ୍ |
ਐਂਜਲਸ,ଆଞ୍ଜେଲସ୍ |
ਐਂਜੇਵਿਨ (=ਅੰਜੇਵਿਨ),ଆଞ୍ଜେଭିନ୍ (= ଆଞ୍ଜେଭିନ୍)
ਕੋਣ,କୋଣ
ਐਂਗਲੀਕਨ,ଅଙ୍ଗଲିକାନ୍ |
ਐਂਗਲੀਕਨ ਕਮਿਊਨੀਅਨ,ଅଙ୍ଗଲିକାନ୍ ଯୋଗାଯୋଗ |
ਐਂਗਲੀਕਨਵਾਦ,ଅଙ୍ଗଲିକାନିଜିମ୍ |
ਐਂਗਲੋ-ਫੋਬ,ଆଙ୍ଗ୍ଲୋ-ଫୋବେ |
ਐਂਗਲੋ-ਫੋਬੀਆ,ଆଙ୍ଗ୍ଲୋ-ଫୋବିୟା |
ਐਂਗਲੋ-ਸੈਕਸਨ,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସନ୍ |
ਐਂਗਲੋ-ਸੈਕਸੋਨਿਜ਼ਮ,ଆଙ୍ଗ୍ଲୋ-ସାକ୍ସୋନିଜିମ୍ |
ਐਨਾਲਿਸਟ,ଆନ୍ନାଲିଷ୍ଟ |
ਇਤਿਹਾਸ,ବାର୍ଷିକ
ਅਨੇਕਸ਼ਨ,ସଂଲଗ୍ନ
ਐਂਟੀ-ਬੇਲਮ,ଆଣ୍ଟେ-ବେଲମ୍ |
ਪਿਛਲੀ ਤਾਰੀਖ,ଆଣ୍ଟେ ତାରିଖ |
ਵਿਰੋਧੀ ਮੌਲਵੀਵਾਦ,ଧର୍ମ-ବିରୋଧୀ
ਕਲੈਰੀਕਲ ਵਿਰੋਧੀ ਕਾਨੂੰਨ,ଧର୍ମ-ବିରୋଧୀ ନିୟମ
ਪੁਰਾਤਨਤਾ,ପ୍ରାଚୀନତା
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,ଆଣ୍ଟି-ଭଡା
ਵਿਰੋਧੀ ਕਿਰਾਇਆ,ଆଣ୍ଟି-ଭଡା
ਵਿਰੋਧੀ ਸਾਮੀਵਾਦ,ବିରୋଧୀ ଦଳ
ਐਨਜ਼ੈਕ,ଅଞ୍ଜାକ |
ਅਪੇਲਾ,ଆପେଲା |
ਅਰਲੂ,ଅରୁଲୁ |
ਆਰਕ ਬਿਸ਼ਪ,ଆର୍ ବିଶପ୍ |
ਆਰਕ ਡਚੀ,ଆର୍ ଡୁଚି |
ਆਰਕ ਡਿਊਕ,ଆର୍ ଡ୍ୟୁକ୍ |
ਪੁਰਾਲੇਖ (=ਪੁਰਾਲੇਖ ਸੰਗ੍ਰਹਿ),ଆର୍କିଫ୍ (= ଅଭିଲେଖାଗାର ସଂଗ୍ରହ)
ਆਰਚੀਪੀਸਕੋਪੇਟ,ଆର୍କିପିସ୍କୋପେଟ୍ |
ਕੁਲੀਨ,ଆଭିମୁଖ୍ୟ
ਰਈਸ,ଆରିଷ୍ଟୋକ୍ରାଟ୍ |
ਕੁਲੀਨ ਸਨੋਬਰੀ,ଆରିଷ୍ଟୋକ୍ରାଟ୍ ସ୍ନୋବେରୀ |
ਅਰਿਸਟੋਟਲੀਅਨ,ଆରିଷ୍ଟୋଟେଲିଆନ୍ |
ਆਰਮਾਡਾ,ଆର୍ମଡା |
ਆਰਮਾਡਾ (= ਸਪੇਨੀ ਆਰਮਾਡਾ),ଆର୍ମଡା (= ସ୍ପାନିସ୍ ଆର୍ମଡା)
ਸ਼ਸਤਰਧਾਰਕ (=ਸ਼ਸਤਰਧਾਰਕ),ବାହୁବଳୀ (= ବାହୁବଳୀ)
ਸ਼ਸਤ੍ਰ (= ਸ਼ਸਤ੍ਰ),ବାହୁବଳୀ (= ବାହୁବଳୀ)
ਸ਼ਸਤਰਧਾਰਕ,ବାହୁବଳୀ |
ਆਰੀਅਨ,ଆର୍ଯ୍ୟନ୍
ਆਰੀਅਨ,ଆର୍ଯ୍ୟନ୍
ਅਸਕਰੀ,ଆସ୍କାରି |
ਅਸਾਈਨੈਟ,ନ୍ୟସ୍ତ କରନ୍ତୁ |
ਅਸਾਈਜ਼,Assize
ਅਸਾਈਜ਼,Assize
ਅਸਾਈਜ਼,Assize
