Marathi,English
गर्भपात केलेला अवयव,Aborted organ
गर्भपात बियाणे,Aborted seed
गर्भपात,Abortion
परिपूर्ण तण,Absolute weed
शोषून घेतलेले केशन,Absorbed cation
शोषण,Absorption
अ‍ॅबिसिनियन मोहरी,Abyssinian mustard
एकरिसाइड,Acaricide
उच्चारण,Accentric
उच्चारण (सेल),Accentuate (cell)
स्वीकारलेले सहिष्णुता,Accepted tolerance
Ory क्सेसरी,Accessory
सहनशीलता,Acclimatization
संचय,Accumulation
अचूकता,Accuracy
अ‍ॅसर्व्हुलस,Acervulus
एसीटिफिकेशन,Acetification
आम्लता,Acidification
अ‍ॅसिडिमीटर,Acidimeter
आंबटपणा,Acidity
अ‍ॅसिडोफिलिक,Acidophilic
अ‍ॅसिड्युलेटेड रॉक फॉस्फेट,Acidulated rock phosphate
अ‍ॅसिड्यूरिक,Aciduric
जलचर,Aquifer
संपादन,Acquisition
एकर,Acre
एकर क्षेत्र,Acreage
अ‍ॅक्रोसेन्ट्रिक गुणसूत्र,Acrocentric chromosome
अ‍ॅक्रोपेटल,Acropetal
अ‍ॅक्रोसोम,Acrosome
अ‍ॅक्टिनोमाइसेट्स,Actinomycetes
सक्रिय रूट झोन,Active root zone
तीव्र,Acute
अनुकूलता,Adaptability
रुपांतर,Adaptation
आसंजन,Adhesion
Ip डिपोज,Adipose
समायोजन समीकरण,Adjustment equation
अ‍ॅडोब माती,Adobe soil
व्यभिचारी,Adulterant
साहसी,Adventitious
एसीडिओस्पोर,Aecidiospore
आयओलियन प्रक्रिया,Aeolian process
आयओलियन,Aeolian
वायुवीजन,Aerate
हवाई,Aerial
एरोमीटर,Aerometer
एरोसोल,Aerosol
एस्टिवेशन,Aestivation
एटिओलॉजी (एटिओलॉजी),Aetiology (etiology)
वनीकरण,Afforestation
आंदोलन,Agitation
अ‍ॅगमार्क,Agmark
कृषी,Agrarian
कृषी क्लिनिक,Agricultural clinic
कृषी कामगार,Agricultural labour
कृषी विपणन,Agricultural marketing
कृषी तंत्रज्ञान,Agricultural technology
शेती,Agriculture
कृषी सांस्कृतिक,Agrisilviculture
अ‍ॅग्रोबायोडिव्हर्सिटी,Agrobiodiversity
अ‍ॅग्रोबायोलॉजिकल दोष,Agrobiological defects
कृषीशास्त्र,Agrobiology
अ‍ॅग्रोक्लिमॅटिक विविधता,Agroclimatic diversity
अ‍ॅग्रोक्लिमॅटिक झोनिंग,Agroclimatic zoning
अ‍ॅग्रोफोरेस्ट्री,Agroforestry
कृषीशास्त्र,Agrology
अ‍ॅग्रोनॉमी,Agronomy
अ‍ॅग्रोपास्टोरल,Agropastoral
अ‍ॅग्रोप्रोसेसिंग,Agroprocessing
अ‍ॅग्रोस्टोलॉजी,Agrostology
अ‍ॅग्रोटाइप,Agrotype
एअर प्लांट,Air plant
अकिओची माती,Akiochi soil
अल्बिनिझम,Albinism
अल्फिसोल,Alfisols
एकपेशीय वनस्पती,Algae
अल्गल रोग,Algal disease
अल्कली पाणी,Alkali water
अल्कधर्मी,Alkaline
अ‍ॅलेल,Allele
Lel लोकेमिकल्स,Allelochemicals
Lel लोमॉर्फ,Allelomorph
Lel लेलोपॅथी,Allelopathy
गल्ली पीक,Alley cropping
वाटप,Allocarpy
अ‍ॅलोगॅमी,Allogamy
अ‍ॅलोमेट्री,Allometry
Ol लोपोलिपॉइड,Allopolyploid
Os लोसिनॅप्सिस (os लोसिंडेसिस),Allosynapsis (allosyndesis)
वैकल्पिक बेअरिंग,Alternate bearing
वैकल्पिक जमीन वापर,Alternate land use
सभोवतालचे,Ambient
Meliorant,Ameliorant
अमिटोसिस,Amitosis
अमृत,Amminization
अमोनिफिकेशन,Ammonification
अमोनिफायर,Ammonifier
अमॉर्फ,Amorph
अ‍ॅम्फिमिक्सिस,Amphimixis
अ‍ॅम्फोटेरिक,Amphoteric
अ‍ॅनाबोलिझम,Anabolism
अनरोब,Anaerobe
Eneuploid,Aneuploid
कोन लागवड,Angle planting
पशुसंवर्धन,Animal husbandry
प्राणी नकार,Animal refuse
एनिमेट एनर्जी,Animate energy
एनिसोप्लॉइड,Anisoploid
वार्षिक वनस्पती,Annual plant
वार्षिक,Annual
अँथेसिस,Anthesis
अँथ्रॅक्स,Anthrax
मानववंशिक घटक,Anthropogenic factor
प्रतिजैविक,Antibiosis
प्रतिजैविक,Antibiotic
प्रतिजैविक,Antidote
अँटीऑक्सिडेंट्स,Antioxidants
अँटीटॉक्सिन,Antitoxin
अ‍ॅनुलस,Annulus
Ph फिड,Aphid
एपिकल अंकुर,Apical bud
एपिकल वर्चस्व,Apical dominance
एपिकल्चर (मधमाशी पाळणे),Apiculture (bee keeping)
अपोमिक्सिस,Apomixis
अ‍ॅपॉप्टोसिस,Apoptosis
परिशिष्ट,Appendage
भूक,Appetizer
लागू,Applied
जलीय तण,Aquatic weed
आर्बोरियल,Arboreal
आर्बोरायझेशन,Arborization
आर्चीओ-बॉटॅनिकल रेकॉर्ड,Archaeo-botanical records
क्षेत्र आकडेवारी,Area statistics
क्षेत्र,Area
शुष्क इकोसिस्टम,Arid ecosystem
एरिल,Aril
सुगंध,Aroma
सुगंधित वनस्पती,Aromatic plant
सुगंधित तांदूळ,Aromatic rice
बाण,Arrowing
Asepsis,Asepsis
Se सेप्टिक,Aseptic
अलौकिक प्रसार,Asexual propagation
परख,Assay
मालमत्ता,Assets
आत्मसात,Assimilation
असोसिएशन,Association
तुरट,Astringent
एसिनॅप्सिस,Asynapsis
अटाविझम,Atavism
अ‍ॅटोमायझर,Atomizer
अ‍ॅट्रोफी,Atrophy
ऑटोगॅमी,Autogamy
ऑटोलिसिस,Autolysis
ऑटोक्सिडेशन,Autoxidation
ऑटोपॉलिपॉइड,Autopolyploid
ऑक्सिन,Auxins
ओएन (ब्रिस्टल),Awn (bristle)
बदाम,Almond
कोरफड,Aloe
अमरॅन्थस,Amaranthus
अम्मी,Ammi
अंजान गवत,Anjan grass
अँथुरियम,Anthurium
"अणला, भारतीय हंसबेरी","Aonla, Indian gooseberry"
Apple पल,Apple
जर्दाळू,Apricot
अरबियन चमेली,Arbian jasmine
अरेका नट,Areca nut
अर्जुन,Arjun
असफोएटिडा,Asfoetida
राख लबाडी,Ash gourd
अशोका वृक्ष,Ashoka tree
अश्थमा तण (युफोर्बिया),Ashthma weed (euphorbia)
शतावरी,Asparagus
एवोकॅडो,Avocado
अल्फाल्फा (ल्युसर्न),Alfalfa (lucerne)
मुंग्या,Ants
