Punjabi,Gujarati
ਅਬੇਲੀਅਨ ਸਮੂਹ,એબેલિયન જૂથ
ਅਬੇਲੀਅਨ ਸੈਮੀਗਰੁੱਪ,અબેલીયન સેમીગ્રુપ
abscissa,એબ્સીસા
ਅਸੀਮ,સંપૂર્ણ
ਪੂਰਨ ਕਨਵਰਜੈਂਸ,સંપૂર્ણ સંકલન
ਪੂਰਨ ਗਲਤੀ,સંપૂર્ણ ભૂલ
ਪੂਰਨ ਅਧਿਕਤਮ,સંપૂર્ણ મહત્તમ
ਪੂਰਨ ਘੱਟੋ-ਘੱਟ,સંપૂર્ણ લઘુત્તમ
ਸਹੀ ਮੁੱਲ,સંપૂર્ણ મૂલ્ય
ਪੂਰਨ ਗਤੀ,સંપૂર્ણ વેગ
ਸਾਰ ਅਲਜਬਰਾ,અમૂર્ત બીજગણિત
ਐਬਸਟਰੈਕਟ ਗਰੁੱਪ ਥਿਊਰੀ,અમૂર્ત જૂથ સિદ્ધાંત
ਪ੍ਰਵੇਗ,પ્રવેગ
ਗੰਭੀਰਤਾ ਦੇ ਕਾਰਨ ਪ੍ਰਵੇਗ,ગુરુત્વાકર્ષણને કારણે પ્રવેગક
ਸਵੀਕਾਰਯੋਗ ਚੋਣ ਸੈੱਟ,સ્વીકાર્ય પસંદગી સમૂહ
ਸਵੀਕਾਰਯੋਗ ਗੁਣਵੱਤਾ ਪੱਧਰ,સ્વીકાર્ય ગુણવત્તા સ્તર
ਸਵੀਕਾਰਯੋਗ ਸੀਮਾ,સ્વીકાર્ય શ્રેણી
ਸਵੀਕਾਰਯੋਗ ਭਰੋਸੇਯੋਗਤਾ ਦਾ ਪੱਧਰ,સ્વીકાર્ય વિશ્વસનીયતા સ્તર
ਸਵੀਕਾਰਯੋਗ ਨਮੂਨਾ,સ્વીકાર્ય નમૂના
ਸੰਚਿਤ ਗਲਤੀ,સંચિત ભૂલ
ਸ਼ੁੱਧਤਾ,ચોકસાઈ
ਐਕਟਿੰਗ ਫੋਰਸ,અભિનય બળ
ਕਾਰਵਾਈ,ક્રિયા
ਕਾਰਵਾਈ ਅਤੇ ਪ੍ਰਤੀਕਰਮ,ક્રિયા અને પ્રતિક્રિયા
ਅਸਲ ਵਿਗਿਆਨ,વાસ્તવિક વિજ્ઞાન
ਤੀਬਰ ਕੋਣ ਵਾਲਾ ਤਿਕੋਣ,તીવ્ર કોણીય ત્રિકોણ
acyclic,એસાયક્લિક
ਸ਼ਾਮਲ ਕਰੋ,ઉમેરો
ਜੋੜਨ ਵਾਲਾ,ઉમેરનાર
ਇਸ ਤੋਂ ਇਲਾਵਾ,વધુમાં
ਜੋੜ ਫਾਰਮੂਲਾ,વધારાનું સૂત્ર
ਗੁੰਝਲਦਾਰ ਸੰਖਿਆਵਾਂ ਦਾ ਜੋੜ,જટિલ સંખ્યાઓનો ઉમેરો
ਫੰਕਸ਼ਨਾਂ ਦਾ ਜੋੜ,કાર્યોનો ઉમેરો
ਮੈਟ੍ਰਿਕਸ ਦੇ ਜੋੜ,મેટ્રિસિસનો ઉમેરો
ਬਹੁਪਦ ਦਾ ਜੋੜ,બહુપદીનો ઉમેરો
ਸੰਭਾਵਨਾਵਾਂ ਦਾ ਜੋੜ,સંભાવનાઓનો ઉમેરો
ਵੈਕਟਰ ਦਾ ਜੋੜ,વેક્ટરનો ઉમેરો
ਵਾਧੂ ਪ੍ਰਮੇਯ,વધારાનું પ્રમેય
additive ਗਰੁੱਪ,ઉમેરણ જૂથ
additive ਉਲਟ,ઉમેરણ વ્યસ્ત
additive ਸੰਪਤੀ,ઉમેરણ મિલકત
additivity,ઉમેરણ
ਆਸਪਾਸ ਮੈਟ੍ਰਿਕਸ,સંલગ્નતા મેટ્રિક્સ
ਨੇੜੇ,અડીને
ਨੇੜੇ ਦੇ ਕੋਣ,અડીને આવેલા ખૂણા
ਨੇੜੇ ਦਾ ਸਿਰਾ,અડીને શિરોબિંદુ
ਨਾਲ ਜੁੜੋ,સંલગ્ન
ਨਾਲ ਲੱਗਦੇ,સંલગ્ન
ਸੰਜੋਗ ਨਿਰਧਾਰਕ,સંલગ્ન નિર્ણાયક
ਸੰਜੋਗ ਵਿਭਿੰਨ ਸਮੀਕਰਨ,સંલગ્ન વિભેદક સમીકરણ
ਸੰਜੋਗ ਸਮੀਕਰਨ,સંલગ્ન સમીકરણ
ਸੰਜੋਗ ਮੈਟ੍ਰਿਕਸ,સંલગ્ન મેટ્રિક્સ
ਮੈਟ੍ਰਿਕਸ ਦਾ ਜੋੜ,મેટ્રિક્સનો સંલગ્ન ભાગ
ਨਿਰਣਾਇਕ ਮੈਟ੍ਰਿਕਸ,એડજ્યુગેટ મેટ્રિક્સ
ਸਵੀਕਾਰਯੋਗ ਫੈਸਲੇ ਫੰਕਸ਼ਨ,સ્વીકાર્ય નિર્ણય કાર્ય
ਮੰਨਣਯੋਗ ਪਰਿਕਲਪਨਾ,સ્વીકાર્ય પૂર્વધારણા
ਐਰੋਡਾਇਨਾਮਿਕ ਫੋਰਸ,એરોડાયનેમિક બળ
ਐਰੋਡਾਇਨਾਮਿਕਸ,એરોડાયનેમિક્સ
affine ਜਿਓਮੈਟਰੀ,સંલગ્ન ભૂમિતિ
affine ਮੈਪਿੰਗ,affine મેપિંગ
affine ਪਰਿਵਰਤਨ,સંલગ્ન રૂપાંતર
ਵੇਰੀਏਬਲ ਇਕੱਠੇ ਕਰਨਾ,એકંદર ચલો
ਅਲਜਬਰਾ,બીજગણિત
