English,Marathi
Aborted organ,गर्भपात केलेला अवयव
Aborted seed,गर्भपात बियाणे
Abortion,गर्भपात
Absolute weed,परिपूर्ण तण
Absorbed cation,शोषून घेतलेले केशन
Absorption,शोषण
Abyssinian mustard,अ‍ॅबिसिनियन मोहरी
Acaricide,एकरिसाइड
Accentric,उच्चारण
Accentuate (cell),उच्चारण (सेल)
Accepted tolerance,स्वीकारलेले सहिष्णुता
Accessory,Ory क्सेसरी
Acclimatization,सहनशीलता
Accumulation,संचय
Accuracy,अचूकता
Acervulus,अ‍ॅसर्व्हुलस
Acetification,एसीटिफिकेशन
Acidification,आम्लता
Acidimeter,अ‍ॅसिडिमीटर
Acidity,आंबटपणा
Acidophilic,अ‍ॅसिडोफिलिक
Acidulated rock phosphate,अ‍ॅसिड्युलेटेड रॉक फॉस्फेट
Aciduric,अ‍ॅसिड्यूरिक
Aquifer,जलचर
Acquisition,संपादन
Acre,एकर
Acreage,एकर क्षेत्र
Acrocentric chromosome,अ‍ॅक्रोसेन्ट्रिक गुणसूत्र
Acropetal,अ‍ॅक्रोपेटल
Acrosome,अ‍ॅक्रोसोम
Actinomycetes,अ‍ॅक्टिनोमाइसेट्स
Active root zone,सक्रिय रूट झोन
Acute,तीव्र
Adaptability,अनुकूलता
Adaptation,रुपांतर
Adhesion,आसंजन
Adipose,Ip डिपोज
Adjustment equation,समायोजन समीकरण
Adobe soil,अ‍ॅडोब माती
Adulterant,व्यभिचारी
Adventitious,साहसी
Aecidiospore,एसीडिओस्पोर
Aeolian process,आयओलियन प्रक्रिया
Aeolian,आयओलियन
Aerate,वायुवीजन
Aerial,हवाई
Aerometer,एरोमीटर
Aerosol,एरोसोल
Aestivation,एस्टिवेशन
Aetiology (etiology),एटिओलॉजी (एटिओलॉजी)
Afforestation,वनीकरण
Agitation,आंदोलन
Agmark,अ‍ॅगमार्क
Agrarian,कृषी
Agricultural clinic,कृषी क्लिनिक
Agricultural labour,कृषी कामगार
Agricultural marketing,कृषी विपणन
Agricultural technology,कृषी तंत्रज्ञान
Agriculture,शेती
Agrisilviculture,कृषी सांस्कृतिक
Agrobiodiversity,अ‍ॅग्रोबायोडिव्हर्सिटी
Agrobiological defects,अ‍ॅग्रोबायोलॉजिकल दोष
Agrobiology,कृषीशास्त्र
Agroclimatic diversity,अ‍ॅग्रोक्लिमॅटिक विविधता
Agroclimatic zoning,अ‍ॅग्रोक्लिमॅटिक झोनिंग
Agroforestry,अ‍ॅग्रोफोरेस्ट्री
Agrology,कृषीशास्त्र
Agronomy,अ‍ॅग्रोनॉमी
Agropastoral,अ‍ॅग्रोपास्टोरल
Agroprocessing,अ‍ॅग्रोप्रोसेसिंग
Agrostology,अ‍ॅग्रोस्टोलॉजी
Agrotype,अ‍ॅग्रोटाइप
Air plant,एअर प्लांट
Akiochi soil,अकिओची माती
Albinism,अल्बिनिझम
Alfisols,अल्फिसोल
Algae,एकपेशीय वनस्पती
Algal disease,अल्गल रोग
Alkali water,अल्कली पाणी
Alkaline,अल्कधर्मी
Allele,अ‍ॅलेल
Allelochemicals,Lel लोकेमिकल्स
Allelomorph,Lel लोमॉर्फ
Allelopathy,Lel लेलोपॅथी
Alley cropping,गल्ली पीक
Allocarpy,वाटप
Allogamy,अ‍ॅलोगॅमी
Allometry,अ‍ॅलोमेट्री
Allopolyploid,Ol लोपोलिपॉइड
Allosynapsis (allosyndesis),Os लोसिनॅप्सिस (os लोसिंडेसिस)
Alternate bearing,वैकल्पिक बेअरिंग
Alternate land use,वैकल्पिक जमीन वापर
Ambient,सभोवतालचे
Ameliorant,Meliorant
Amitosis,अमिटोसिस
Amminization,अमृत
Ammonification,अमोनिफिकेशन
Ammonifier,अमोनिफायर
Amorph,अमॉर्फ
Amphimixis,अ‍ॅम्फिमिक्सिस
Amphoteric,अ‍ॅम्फोटेरिक
Anabolism,अ‍ॅनाबोलिझम
Anaerobe,अनरोब
Aneuploid,Eneuploid
Angle planting,कोन लागवड
Animal husbandry,पशुसंवर्धन
Animal refuse,प्राणी नकार
Animate energy,एनिमेट एनर्जी
Anisoploid,एनिसोप्लॉइड
Annual plant,वार्षिक वनस्पती
Annual,वार्षिक
Anthesis,अँथेसिस
Anthrax,अँथ्रॅक्स
Anthropogenic factor,मानववंशिक घटक
Antibiosis,प्रतिजैविक
Antibiotic,प्रतिजैविक
Antidote,प्रतिजैविक
Antioxidants,अँटीऑक्सिडेंट्स
Antitoxin,अँटीटॉक्सिन
Annulus,अ‍ॅनुलस
Aphid,Ph फिड
Apical bud,एपिकल अंकुर
Apical dominance,एपिकल वर्चस्व
Apiculture (bee keeping),एपिकल्चर (मधमाशी पाळणे)
Apomixis,अपोमिक्सिस
Apoptosis,अ‍ॅपॉप्टोसिस
Appendage,परिशिष्ट
Appetizer,भूक
Applied,लागू
Aquatic weed,जलीय तण
Arboreal,आर्बोरियल
Arborization,आर्बोरायझेशन
Archaeo-botanical records,आर्चीओ-बॉटॅनिकल रेकॉर्ड
Area statistics,क्षेत्र आकडेवारी
Area,क्षेत्र
