Marathi,Punjabi
गर्भपात,ਅਧੂਰਾ ਛੱਡਣਾ
गर्भपात टाइमर,ਅਧੂਰਾ ਛੱਡੋ
परिपूर्ण पत्ता,निरपेक्ष an s
परिपूर्ण पत्ता,ਪੂਰਨ ਪਤਾ
परिपूर्ण असेंबलर,ਸੰਪੂਰਨ ਸੰਜਮ
परिपूर्ण कोड,ਸੰਪੂਰਨ ਕੋਡ
परिपूर्ण कोडिंग,ਸੰਪੂਰਨ ਕੋਡਿੰਗ
परिपूर्ण आज्ञा,ਸੰਪੂਰਨ ਕਮਾਂਡ
परिपूर्ण समन्वय,ਸੰਪੂਰਨ ਕੋਆਰਡੀਨੇਟ
परिपूर्ण डेटा,ਸੰਪੂਰਨ ਡੇਟਾ
परिपूर्ण त्रुटी,ਪੂਰੀ ਗਲਤੀ
परिपूर्ण अभिव्यक्ती,ਪੂਰਨ ਸਮੀਕਰਨ
परिपूर्ण सूचना,ਪੂਰਨ ਹਦਾਇਤ
परिपूर्ण लोडर,ਸੰਪੂਰਨ ਲੋਡਰ
परिपूर्ण ऑर्डर,ਸੰਪੂਰਨ ਕ੍ਰਮ
परिपूर्ण प्रोग्रामिंग,ਸੰਪੂਰਨ ਪ੍ਰੋਗਰਾਮਿੰਗ
परिपूर्ण संज्ञा,ਸੰਪੂਰਨ ਅਵਧੀ
परिपूर्ण मूल्य,ਸਹੀ ਮੁੱਲ
परिपूर्ण वेक्टर,ਸੰਪੂਰਨ ਵੈਕਟਰ
गोषवारा,ਸਾਰ
अमूर्त,ਐਬਸਟ੍ਰੈਕਟਿੰਗ
अमूर्त प्रतीक,ਸੰਖੇਪ ਪ੍ਰਤੀਕ
प्रवेग कालावधी,ਪ੍ਰਵੇਗ ਦੀ ਮਿਆਦ
प्रवेग वेळ,ਪ੍ਰਵੇਗ ਟਾਈਮ
उच्चारण,ਲਹਿਜ਼ਾ
स्वीकृती चाचणी,ਪ੍ਰਵਾਨਗੀ ਟੈਸਟ
प्रवेश,ਪਹੁੰਚ
प्रवेश आर्म,ਐਗ ਬਾਂਹ ਨੂੰ ਐਕਸੈਸ ਕਰੋ
प्रवेश व्यवस्था,ਐਕਸੈਸ ਪ੍ਰਬੰਧ
प्रवेश प्राधिकरण,ਪਹੁੰਚ ਅਥਾਰਟੀ
प्रवेश शुल्क,ਐਕਸੈਸ ਚਾਰਜ
प्रवेश वर्ग,ਐਕਸੈਸ ਕਲਾਸ
प्रवेश डेटा बेस व्यवस्थापन,ਐਕਸੈਸ ਡੇਟਾ ਬੇਸ ਪ੍ਰਬੰਧਨ
