English,Punjabi
A (Ampere unit of current),ਐਂਪੀਅਰ (ਯੂਨਿਟ)
A (angstrom),angstrum
A amplifier,ਏ-ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
A-N radio range,ਏਐਨ ਰੇਡੀਓ ਸਹਾਏ
A-scan presentation,ਇੱਕ-ਸਕੈਨਿੰਗ ਪੇਸ਼ਕਾਰੀ
A-scope,a-ਦਰਸ਼
A-scope display,ਏ-ਸਕੋਪ ਪ੍ਰਦਰਸ਼ਨ
A-T Cut crystal,A-T ਕਰਵਡ ਕ੍ਰਿਸਟਲ
A.c-d.c. gain,"AC-DC ਲਾਭ, ਏ. ਸੀ.ਡੀ. ਸੀ.ਲਾਭੀ, ਏ. ਸੀ.ਡੀ. c. ਪ੍ਰਸਾਰਣ"
A.M. (ante meridiem),am
A.m.u. (atomic mass unit),ਏ.ਐੱਮ.ਯੂ (ਪਰਮਾਣੂ ਪੁੰਜ ਯੂਨਿਟ)
Aard-vark,ਆਰਡ-ਵਰਕ*
Ab ampere,ਐਬ-ਐਂਪੀਅਰ
AB amplifier,ਏ-ਬੀ ਕਲਾਸ ਐਂਪਲੀਫਾਇਰ
Ab initio,adah
AB power pack,ਏ-ਬੀ ਸ਼ਕਤੀ ਪਿਟਕ
Abac=alignment chart=nomograph,abc = ਅਲਾਈਨਮੈਂਟ ਚਾਰਟ = ਨਾਮੋਗ੍ਰਾਫ
Abbe number (=Abbe constant),ਅਬੇ ਨੰਬਰ (ਆਬੇ ਸਥਿਰ)
ABBE refractometer,abe refractometer
Abbe sine condition,ਅਬੇ ਸਾਈਨ ਸਟੇਟ
Abc (automatic bias compensation),ਆਟੋਮੈਟਿਕ ਪੱਖਪਾਤ ਮੁਆਵਜ਼ਾ
Abcoulomb,abcoulom
Aberration,ਵਿਗਾੜ
Aberration corrector lens,ਵਿਗਾੜ ਠੀਕ ਕਰਨ ਵਾਲਾ ਲੈਂਸ
Aberration of light,ਅਸਮਾਨ ਵਿਕਾਰ
Abfarad,abfarad
Abhenry,ਈਬੇਨਰੀ
Abney effect (=Abney law),ਈਬੋਨੀ ਪ੍ਰਭਾਵ
Abnormal polarisation,ਅਸਧਾਰਨ ਧਰੁਵੀਕਰਨ
