Kannada,Hindi
ಅಬ್ಯಾಕಸ್,"1.एबेकस ,2. गिनतारा"
ಅಸಹಜ ಮುಕ್ತಾಯ,असामान्य समापन
ಸ್ಥಗಿತಗೊಳಿಸು,अवरोधन
ಸಂಪೂರ್ಣ,"1. निरपेक्ष ,2. परम"
ಸಂಪೂರ್ಣ ವಿಳಾಸ,निरपेक्ष पता
ಸಂಪೂರ್ಣ ವಿಳಾಸ,निरपेक्ष पताभिगमन
ಸಂಪೂರ್ಣ ಅಸೆಂಬ್ಲರ್,निरपेक्ष कोडांतरक
ಸಂಪೂರ್ಣ ಕೋಡ್,"1. निरपेक्ष कूट ,2. निरपेक्ष कोड"
ಸಂಪೂರ್ಣ ಆಜ್ಞೆ,निरपेक्ष समादेश
ಸಂಪೂರ್ಣ ಡೇಟಾ,"1.निरपेक्ष आंकडे ,2. निरपेक्ष डाटा"
ಸಂಪೂರ್ಣ ಸೂಚನೆ,निरपेक्ष अनुदेश
ಸಂಪೂರ್ಣ ಮೋಡ್,निरपेक्ष विधा
ಸಂಪೂರ್ಣ ಮಾರ್ಗ,निरपेक्ष पथ
ಸಂಪೂರ್ಣ ಪ್ರೋಗ್ರಾಮಿಂಗ್,"1. निरपेक्ष क्रमादेशन ,2. निरपेक्ष प्रोग्रामन"
ಅಮೂರ್ತ ವರ್ಗ,अमूर्त वर्ग
ಅಮೂರ್ತ ಡೇಟಾ ಪ್ರಕಾರ,अमूर्त आंकड़ा प्रकार
ಅಮೂರ್ತ ಯಂತ್ರ,अमूर्त मशीन
ಅಮೂರ್ತ ಚಿಹ್ನೆ,अमूर्त प्रतीक
ಅಮೂರ್ತ ಸಿಂಟ್ಯಾಕ್ಸ್,अमूर्त वाक्य विन्यास
ಸ್ವೀಕಾರ ಪರೀಕ್ಷೆ,स्वीकृति परीक्षण
ಪ್ರವೇಶ ದೃಢೀಕರಣ,अभिगम प्रमाणन
ಪ್ರವೇಶ ಕೋಡ್,"1. अभिगम कूट ,2. अभिगम कोड"
ಪ್ರವೇಶ ನಿಯಂತ್ರಣ,अभिगम नियंत्रण
ಪ್ರವೇಶ ಸ್ಕ್ಯಾನ್,अभिगम क्रमवीक्षण
ಪರಿಕರ,सहयंत्र
ಖಾತೆ,लेखा
ಖಾತೆ ID,"1. एकाउंट आई डी ,2. लेखा पहचान"
